,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,3001353016,06/28/2020,5.0,"(A) 86% | ExtraordinaryNotes: A relationshippy respite, it’s Sturm und Drang defogging: all lovesick woe, observing foes, and problematic snogging.",536,-0.8271,0.367,0.633,0.0,0.0,NEGATIVE,0.879
1,1246195113,08/28/2019,,"Holy shit, I'm in all sorts right now.Video Review: https://www.youtube.com/watch?v=sTfaG...",455,-0.5574,0.286,0.714,0.0,0.6678571428571429,POSITIVE,0.9974
2,3749175894,01/09/2021,5.0,"""5. Should you feel that a family member, colleague, friend, or neighbor is acting in a strange manner, contact the Magical Law Enforcement Squad at once. They may have been put under the Imperius Curse.""Time for interesting little subplots is over. We've arrived finally, where everything is closely tied to the core of the story and progressing fast. It's always delightful to see, everything that was great about the series still remains the same, if not better. However, disappointments, sorrow and hardships are what the reader is going to encounter for the most part. As I finished reading Half-Blood Prince, more than ever before, I feel being trapped in a hopeless situation filled with nothing but forebodings.""Destination...determination...deliberation...""One would imagine, we're beyond being accommodated with new characters, but the author will quickly convince you otherwise, and introduction of new and interesting characters continues. It's great to see how Rowling keeps outperforming herself with each new book . Harry's ill-tempered nature and suspicions does not end with the last book as I hoped it would, but the results are quite the opposite this time around. Honestly, I did not anticipate the way how things turned out right till the last three chapters.""To friendship! To generosity! To ten Galleons a hair!We've been somewhat used to happy ending in the first four books (relatively) with 5th being a bit disappointing but this one, it was the most depressing ending for me yet. It probably comes down to reinforcing the suspense toward the final book but, it's a difficult place to be in - especially if you had to wait for a year..""Eet 'as been too long!""",352,0.971,0.079,0.777,0.144,0.5218396369712159,NEGATIVE,0.9938
3,1243718880,04/02/2015,,"“I am a wizard, not a baboon or a transphobe.”- Not JKRMermaids UKThe Trevor ProjectBlack Visions Collective because Black trans lives matter.",329,0.25,0.0,0.85,0.15,0.4333333333333333,NEGATIVE,0.9994
4,2533600835,10/18/2018,5.0,"I'm not sure why, but this one took me completely by surprise. I was expecting this installment to be mainly filler to get us to the Deathly Hallows, but so much happened here that I must have forgotten from the movie. The Half-Blood prince was considerably darker than the previous 5 books, and I just adore how this series has progressed and grown just like most of its readers have. Obviously I knew what the big reveal was prior to finishing the book due to my viewing the films before, but it didn't take away from the experience the novel had to offer. I have this nervous lump in my throat knowing that the next book is the final one, but am simultaneously excited to finally read what the films surely have left out surrounding the conclusion of the series. ",295,0.9453,0.045,0.817,0.138,0.4442810457516339,POSITIVE,0.9992
5,730488284,09/29/2013,5.0,"Welcome to my re-read of the phenomenal series “Harry Potter”. 🤓⚡️I'm reading the books, listening to a fun (adult) podcast and watching the movies. ❤️📚🎧🎬 ⚠️This review contains spoilers⚠️If you don’t yet know:*why the elf made wine is the one to try tonight*why the dragons blood is a bit dusty*why Hermione’s confiscating fanged frisbees from 4th years*why the mouth organ was always just a mouth organ*why we hide sherry bottles*why it is our mercy that matters now*why we’re reaching into the lake for water——-Then proceed with extreme caution!——-Spoiler Credit: Podcast: Binge Mode (listen on Spotify)Personal Opinion Note: I’m terribly sad for you, if you’ve never read the books (or at least watched the movies). 😉📚🎧🎬 You really should jump on the Hogwarts Express with me!I’ll be making notes of my favorite part of each chapter/podcast as I finish.📚Chapter 1: The Other MinisterFudges resignation.📚Chapter 2: Spinner’s EndDraco’s mother begging Snape to protect him.🎧Podcast: Binge Mode: Chapters 1-2***Warning: Binge Mode contains adult content***Snape insights and how he embeds himself in Voldemort's camp.📚Chapter 3: Will and Won'tDumbledore calling out the Dursley's on their treatment of Harry throughout his life.📚Chapter 4: Horace SlughornDumbledore admitting that it was cruel for Harry and Sirius to have such little time together.📚Chapter 5: An Excess of PhlegmGinny's expressed dislike of Fleur.📚Chapter 6: Draco's DetourFred and George’s shop lighting up the street in Diagon Alley and their joke about ‘you know who, versus you know poo’ and Mrs. Weasley being worried they’ll be murdered in their beds. 📚Chapter 7: The Slug ClubGroups of girls asking Harry to join him in their compartment on the train and Harry declining saying he'll sit with his friends (Luna and Neville).🎧Podcast: Binge Mode: Chapters 3-7***Warning: Binge Mode contains adult content***The history of the Hogwarts Express.📚Chapter 8: Snape VictoriousHagrid’s waving at Harry from the head table, with McGonagall shaking her head at his unprofessionalism.📚Chapter 9: The Half-Blood PrinceHarry’s perfect potion and Hermione’s reaction.📚Chapter 10: The House of GauntDumbledore’s slowly opening the curtain, for Harry to better understand, Voldemort’s past, present and future.📚Chapter 11: Hermione’s Helping HandHarry’s calling out Hermione on spelling McLaggen to miss a goal at keeper tryouts, pointing out that it was dishonest of a prefect to do. 🎧Podcast: Binge Mode: Chapters 8-11***Warning: Binge Mode contains adult content***The Ginny/Harry foreshadowing. Also, the added insights into the Gaunt family (Slytherin descendants).📚Chapter 12: Silver and OpalsHarry’s relentless insistence that Malfoy is a death eater.📚Chapter 13: The Secret RiddleHarry’s not shy about asking Dumbledore the hard questions.📚Chapter 14: Felix FelicisThis is the point where Harry really starts to recognize his real feelings for Ginny. But it’s also the angst of Hermione’s true feelings about Ron. Ahhhh… teenage hearts and jealousy.📚Chapter 15: The Unbreakable VowI love that Harry chose Luna to go to the party with him. 🎧Podcast: Binge Mode: Chapters 12-15***Warning: Binge Mode contains adult content***History and process of potion making and the hilarious jokes about Ron being a virgin. 📚Chapter 16: A Very Frosty ChristmasMrs. Weasley continually turning up the volume on the radio over Fleur.📚Chapter 17: A Sluggish Memory Whawn whawn… and the pensive Voldemort bits.📚Chapter 18: Birthday SurprisesHarry honestly asking Slughorn about horcruxes and admitting that Dumbledore shared his memory.📚Chapter 19: Elf TailsRon recovering in hospital saying Hermione’s name.🎧Podcast: Binge Mode: Chapters 16-19***Warning: Binge Mode contains adult content***Jason’s impression of Fleur commenting on Mrs. Weasley’s music had me rolling.📚Chapter 20: Lord Voldemort’s RequestBack into the pensive... Dumbledore refusing to hire Voldemort for the Defense Against the Dark Arts post. 📚Chapter 21: The Unknowable RoomHarry scaring Goyle as he was guarding the room of requirement disguised as a girl.📚Chapter 22: After the Burial Harry getting Slughorn and Hagrid trashed at the funeral.📚Chapter 23: HorcruxesDiving into the pensive to finally see Slughorn communicate with Tom. 🎧Podcast: Binge Mode: Chapters 20-23***Warning: Binge Mode contains adult content***All of the insights into horcruxes.📚Chapter 24: SectumsempraFinally! Harry and Ginny!! Harry and Ginny!!📚Chapter 25: The Seer OverheardTrelawney trying to hide her booze.📚Chapter 26: The CaveMan, this chapter was rough- but that last sentence uttered my Dumbledore- “I am not worried Harry, I am with you.”🎧Podcast: Binge Mode: Chapters 24-26***Warning: Binge Mode contains adult content***Dumbledore’s history and his passing of torch to Harry.📚Chapter 27: The Lightning-Struck TowerDumbledore’s belief that Malfoy would choose the right side, all the way to his end.📚Chapter 28: Flight of the PrinceShapes refusal to kill or fight Harry.🎧Podcast: Binge Mode: Chapters 27-28***Warning: Binge Mode contains adult content***Cry fest episode… all heart wrenching.📚Chapter 29: The Phoenix LamentFleur and Mrs Weasley’s bonding over Bill.📚Chapter 30: The White TombHarry loving Ginny enough to let her go. Plus, Ron and Hermione’s unwavering friendship.🎧Podcast: Binge Mode: Chapters 29-30***Warning: Binge Mode contains adult content***All about Dumbledore… my heart aches.🎬Movie #6I have a hard time with all the liberties taken in the film adaption- but the casting of Lavender and Luna is really great.🎧Podcast: Binge Mode: Movie***Warning: Binge Mode contains adult content***They put into words all the things I felt about the movie adaptation. So, spot, on. This concludes my re-reading/listening/watching of Harry Potter and the Half Blood Prince. I’m sad that I’m so close to the end now. It’s been such an amazing adventure.",295,0.8637,0.055,0.871,0.074,0.4884700176366843,POSITIVE,0.6039
6,35089462,10/11/2008,5.0,"Harry Potter and the Half-Blood Prince (Harry Potter #6), J.K. Rowling Harry Potter and the Half-Blood Prince is a fantasy novel written by British author J. K. Rowling and the sixth and penultimate novel in the Harry Potter series. Set during protagonist Harry Potter's sixth year at Hogwarts, the novel explores the past of Harry's nemesis, Lord Voldemort, and Harry's preparations for the final battle against Voldemort alongside his headmaster and mentor Albus Dumbledore. The book was published in the United Kingdom by Bloomsbury, and in the United States by Scholastic on 16 July 2005, as well as in several other countries.Lord Voldemort is tightening his grip on both the wizarding and Muggle worlds, with his Death Eaters kidnapping wand-maker Garrick Ollivander from Diagon Alley and destroying the Millennium Bridge. The Malfoy family is disgraced when Lucius is apprehended and sent to Azkaban for his involvement with the Death Eaters. Voldemort instead chooses Draco to carry out a secret mission at Hogwarts. Draco's mother Narcissa and aunt Bellatrix Lestrange seek help from Severus Snape, who claims to have been acting as a mole within the Order of the Phoenix all along. Snape makes an Unbreakable Vow with Narcissa to protect Draco and fulfill the assignment if he fails.Harry Potter, now 16 years old, accompanies Albus Dumbledore from Surbiton to the village of Budleigh Babberton to visit former Potions professor Horace Slughorn. Slughorn, who has been in hiding, agrees to return to teach at Hogwarts. Dumbledore then takes Harry to The Burrow, where Harry reunites with his best friends, Ron Weasley and Hermione Granger. The three visit Fred and George Weasley's new joke shop at Diagon Alley and see Draco entering Knockturn Alley with a group of Death Eaters including Fenrir Greyback. Harry believes Voldemort has made Draco a Death Eater, but Ron and Hermione are sceptical. On the Hogwarts Express, Harry hides in the Slytherin carriage using his Invisibility Cloak, but is spotted and petrified by Malfoy. عنوانهای چاپ شده در ایران: «هری پاتر و پرنس نیمه اصیل»؛ «هری پاتر و شاهزاده دورگه»؛ «هری پاتر و پرنس دو رگه»؛ «هری پاتر و شاهزاده نیمه اصیل»؛ نویسنده: جی.کی رولینگ؛ تاریخ نخستین خوانش: ماه نوامبر سال 2005میلادیعنوان: هری پاتر و پرنس نیمه اصیل - کتاب شش در دو جلد؛ نویسنده: جی.کی رولینگ؛ مترجم: سمیه گنجی؛ ساری، زهره، 1384؛ در دوجلد، در660ص؛ شابک 9645704766؛ موضوع داستانهای نویسندگان بریتانیا - سده 21معنوان: هری پاتر و شاهزاده ی دورگه - کتاب شش در دو جلد ؛ نویسنده: جی.کی رولینگ؛ مترجم: ویدا اسلامیه؛ تهران، تندیس، 1384؛ در دو جلد؛ شابک 9648944024؛ چاپ دوم تا هشتم 1384؛ چاپ یازدهم 1392؛ شابک 9789648944013؛عنوان: هری پاتر و پرنس دورگه - کتاب شش؛ نویسنده: جی.کی رولینگ؛ مترجم: غلامحسین اعرابی؛ تهران، پلیکان، 1384؛ در 912ص؛ شابک9648690065؛عنوان: هری‌ پاتر و شاهزاده‌ ی دو‌رگه؛ نویسنده: جی.کی رولینگ؛ مترجم: محمدحسن واحد؛ قم گنج عرفان‏‫، 1384؛ در دو جلد؛ شابک9647985498؛عنوان: هری‌ پاتر و شاهزاده‌ ی دو‌رگه؛ نویسنده: جی.کی رولینگ؛ مترجم: مریم شعبانی (نصیری آذر)؛ تهران، طحان، 1384؛ در دو جلد؛ چاپ دیگر تهران علمی شایان‏‫، 1391؛ در دو جلد؛ شابک 9786009304219؛عنوان: هری‌ پاتر و شاهزاده‌ ی نیمه اصیل؛ نویسنده: جی.کی رولینگ؛ مترجم: سعید ابراهیمی؛ تهران، نگاه امروز‏‫، 1384؛ در دو جلد؛ شابک دوره9647470002؛عنوان: هری‌ پاتر و شاهزاده‌ نیمه اصیل؛ نویسنده: جی.کی رولینگ؛ مترجم: محمد نوراللهی؛ تهران، بهنام‏‫، 1384؛ در دو جلد؛ شابک دوره9645668360؛عنوان: هری‌ پاتر و شاهزاده‌ دورگه؛ نویسنده: جی.کی رولینگ؛ مترجم: نامور عابدینی؛ تهران، نامور عابدینی‏‫، 1384؛ در سه جلد؛ شابک دوره9640670464؛عنوان: هری‌ پاتر و شاهزاده‌ دورگه؛ نویسنده: جی.کی رولینگ؛ مترجم: الهام آرام نیا؛ شمس الدین حسینی؛ تهران، پیکان‏‫، 1384؛ در دو جلد؛ شابک دوره9643284913؛عنوان: هری‌ پاتر و شاهزاده‌ دورگه؛ نویسنده: جی.کی رولینگ؛ مترجم: شهناز مجیدی؛ تهران، روشا‏‫، 1384؛ در دو جلد؛فهرست: آن وزیر دیگر؛ بن‌بست اسپینر؛ وصیت‌نامه و جن خانه؛ هوریس اسلاگهورن؛ خلط اضافی؛ مسیر بیراهه‌ی دراکو؛ انجمن اسلاگ؛ اسنیپ پیروز؛ شاهزاده‌ی دورگه؛ خانه‌ی گونت؛ همکاری هرمیون؛ نقره و عقیق سلیمانی؛ ریدل، معمای مرموز؛ فلیکس فلیسیس؛ و پیمان ناگسستنی؛ششمين سال تحصيلی هری در مدرسه‌ ی علوم و فنون جادوگری هاگوارتز آغاز میشود؛ «آلبوس دامبلدور»، مدیر مدرسه، برای «هری» کلاس‌های خصوصی ترتیب میدهد، و در کلاس‌ها، او را با گذشته‌ ی «لرد ولدمورت»، و اندیشه ها و آرزوهای او آشنا میکند؛ و راز جاودانگی او را برملا میسازدنقل از متن جلد نخست: (هری پاتر با صدای بلندی خروپف می‌کرد؛ بیش‌تر چهار ساعت گذشته را در کنار پنجره‌ ی اتاق‌ خوابش، بر روی صندلی نشسته و به منظره‌ ی خیابان زل زده بود، که دم‌ به‌ دم تاریک‌تر می‌شد و سرانجام، در حالی که یک‌طرف صورتش به پنجره تکیه داشت، با دهان باز و عینک، یک وری، به خواب رفته بود؛ بخشی از شیشه‌ ی پنجره که در اثر نفس‌های او بخار گرفته بود، در برابر نور نارنجی رنگ چراغ خیابان می‌درخشید و در پرتو این نور غیرطبیعی، هیچ رنگ دیگری بر چهره‌ اش سایه نمی‌انداخت، چنان که صورتش در زیر سیاهی متضاد موهای نامرتبش، رنگ پریده و ترسناک به نظر می‌رسید؛ اتاق، پر از وسایل درهم ریخته‌ ی گوناگون و خرده آشغال‌های پراکنده بود؛ پرهای جغد، دانه‌های سیب و کاغذهای مچاله‌ ی شکلات در گوشه و کنار اتاق ريخته بود؛ چندین کتاب جادوگری لابه‌لای رداهای درهم گوریده‌ ی روی تختش قرار داشت و دسته‌ ی نامرتب روزنامه‌ها بر روی میز تحریرش در زیر هاله‌ ای از نور به چشم می‌خورد؛ عنوان یکی از روزنامه‌ها گویی با داد و فریاد، خودنمایی می‌کرد: هری پاتر: پسر برگزیده؟)؛ پایانتاریخ بهنگام رسانی 09/07/1399هجری خورشیدی؛ 30/05/1400هجری خورشیدی؛ ا. شربیانی",250,-0.8201,0.031,0.941,0.027,0.3291958041958042,POSITIVE,0.9567
7,956890387,06/03/2014,5.0,"I’m yet to mention one of the most important characters in this series in a review. I’m, of course, talking about Severus Snape.Severus, the unsung hero. Severus, who sacrificed his own soul. Severus, who loved another more than life itself. Severus, the half-blood prince- the truth about his character was, and will likely always be, one of the most surprising twists I’ve ever read in fiction. The set up is all in this book. ",242,0.9229,0.0,0.826,0.174,0.725,POSITIVE,0.9993
8,2856577,07/09/2007,5.0,"I was first introduced to Harry Potter in a Children’s Lit class in college. I had resisted this popular phenomenon until I was forced to pick it up for a grade, and Book 1 was short enough that I could read it in the course of 2 hours. I have to admit I wasn’t impressed to any extent, nor did I dislike the experience, but I was critical on grounds of its being derivative, even if reading the first led to reading the second. After all, if I was bored and looking for something light, I could do worse than a fantasy about a child wizard who fights evil with his friends. But it was really the third book, with its increasing darkness, that took me in and made me a fan. With a movie coming out for Order of Phoenix and Deathly Hallows on the horizon, I decided I would reread Half-Blood Prince. I figured it would take four sittings, of course, with its 600 pages, but time does fly when reading this one, and I’ve come to the conclusion that this is my favorite so far. What I wouldn’t have been willing to admit in college that I’m perfectly comfortable saying now is that J.K. Rowling is a fantastic storyteller; she writes with great clarity, wit, and humor; and she’s created a cast of loveable characters with whom most people, due to the common experience of growing up, can relate closely. That said, the reason for my preference for the 6th book is that it’s the most emotionally rich in the series. Here we get the backstory of Voldemort (*spoiler alert*) through a series of flashbacks (coming in HP by way of magically extracted memories), and in this way, we come to understand the villain’s similarities and differences with our hero. After all, the villain has to have reasons for committing heinous acts, and until now, we don’t know what these are.Voldemort is from a once-powerful wizard family reduced to poverty that lives in a dilapidated hovel on the edge of a small town, wary of outsiders, and their main point of pride is their pure blood, the lineage having cross-bred for generations so as not to pollute the line. Voldemort’s mother lives with her father and brother and yearns for the love of a nonmagical man (“muggle” in this world) and when her father and brother are arrested, she uses the opportunity to bewitch her beloved and run off. She ends up pregnant, the man deserts her, and she dies while giving birth to her half-wizard, half-muggle son, thus making him an orphan (like Harry).(Faulkner anyone?)But whereas Harry comes to Hogwarts and befriends Ron and Hermione creating unity and strength through positive emotions, Voldemort, when growing in the orphanage shuns other children, torturing them at times (without the awareness of adults) and stealing their possessions. What fuels him is his hatred of his beginnings, his mother’s weakness at having died like a common person despite being a witch, and the “muggle” blood inherited from his father. Over the course of his time at Hogwarts, Voldemort, charming as only evil can be, learns to win over people as a means to an end and disguise his insidious purposes, but he never befriends anyone. He moves, through his hatred, further away from many of the emotions that drive Harry, namely the desire to protect the people he loves and avenge his parents’ death.With Dumbledore’s help in exploring Voldemort’s past, Harry begins to understand that he’s come to be where he is through the choices he’s made, that his greatest strengths are an alliance with his friends, and that this might hold the key to destroying his enemy, a fact that’s made all the more poignant when Dumbledore, in an all-out assault on Hogwarts by Voldemort’s Death Eaters, is killed at the end. The stakes are higher than before, the action and pace increase as the conclusion draws near, and things are looking darker than ever, which is the setup that any fan wants when the end is looming and it leaves us with the question: How will our hero prevail?",222,0.9941,0.121,0.693,0.185,0.5856331168831169,POSITIVE,0.9249
9,567096841,03/21/2013,5.0,I could revisit this world over and over!! Mel 🖤🐾🐺,209,0.0,0.0,1.0,0.0,0.0,POSITIVE,0.9996
