,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,1887038195,01/21/2017,3.0,"Brains beat brawns every time. The Gruffalo teaches children to be patient and understanding. Whilst not necessarily advocating the cunning manipulation that the mouse utilises, it does suggest that there is more to people than their outward appearance. Just because someone may appear “scary” doesn’t mean they’re a bad person, and innocent seeming things can be the worse. Judge only on actions not how one appears. ",56,-0.7506,0.122,0.845,0.033,0.7615740740740741,NEGATIVE,0.9873
1,3295780119,04/22/2020,5.0,"One of the delights of parenthood is being able to enjoy some of the most popular children's books from the last 20 years, The Gruffalo is an award winning hit from 1999.It's a brilliant simple rhythmic story as a mouse trys to scare off other woodland creatures from eating him by describing this big beast known as The Gruffalo.Unfortunately The Mouse is about to discover that he's been right all along!I think the reason why this appeals so much as it hooks into a child's vivid imagination, I remember tells of strange creatures living in the woods when I used to go camping.With each animal mouse meets the descriptions become even more elaborate!This is one that I'm looking forward to enjoying together over and over again.",28,0.9637,0.035,0.794,0.17,0.494345238095238,POSITIVE,0.9998
2,2215285464,12/15/2017,5.0,"I love, love, love this book. I'm a fan of stories where a little mousy guy gets its way against the most terrible odds, and this one it's just perfect in that and many other ways.The little mouse, our protagonist, is smart and full of grit but he's also lucky and sweet and it's so cool to see him getting out of a bad situation just to run into a worst one to then manage to get out of that as well.The illustrations are lovely, the rhymes are funny, the story it's interesting--as shown by my niece's little yelps of excitement each time a new nemesis appears--so I can't recommend this book enough.Read it with your children before bed, read it to yourself after a long day... just read it and enojy, it doesn't matter when.",24,0.9679,0.099,0.67,0.231,0.648745572609209,POSITIVE,0.9991
3,2503150003,08/22/2018,5.0,"Foxes are supposed to be cunning, but it is the mouse who is cunning and manipulative. He or She manipulated all the predators fears against them to stay safe. That's pretty smart. I guess that's how you survive. I love that even the Gruffalo had fears. I guess being a mouse, the mouse has had to learn to live with fear. It's an amazing story about bravery and finding the weakness of scary looking, bigger obstacles in life. Find that fear and use it against you. Does the mouse offer a seminar? I need to learn a thing or two from it.The kids enjoyed this. The nephew loved the gruffalo and the niece did too for different reasons. They both gave it 4 stars. ",25,0.8402,0.184,0.597,0.22,0.6530612244897959,POSITIVE,0.971
4,1822250674,11/26/2016,5.0,A wonderful tale and movie about dealing with bullies. A must for kids!,22,0.6114,0.0,0.715,0.285,1.0,POSITIVE,0.9997
5,1935047349,03/09/2017,4.0,"The Gruffalo, by Julia Donaldson is a cute rhyming story about a mouse and a gruffalo. We loved the combination of the sly little mouse and gullible gruffalo. 
 ""My favorite food!"" the gruffalo said.""You'll taste good on a slice of bread!""""Good?"" said the mouse. ""Don't call me good!I'm the scariest creature in this deep dark wood.Just walk behind me and soon you'll see,everyone is afraid of me.""
The illustrations are detailed and interesting. Overall, its a charming little story children will enjoy.4****",27,0.958,0.024,0.757,0.218,0.6433333333333334,POSITIVE,0.9998
6,1780839516,10/10/2016,4.0,Another delightful rhyming story from the pen of Julia Donaldson with brilliant accompanying illustrations by Axel Scheffler.Donaldson and Scheffler are a formidable team (although not quite rivalling that of Dahl and Blake) and this is undoubtedly one of their classics. The Gruffalo is a great character and creation loved by adults and children alike. Although well adapted for television and stage versions - nothing can compare to the original story and illustrations. ,22,0.9686,0.0,0.737,0.263,0.86,POSITIVE,0.9997
7,100056862,08/27/2019,5.0,"With Julia Donaldson's 1999 picture book (and in my opinion already a classic) The Gruffalo, aside from the author's sweetly and humorously (not to mention rhythmically rollicking and yes just asking to be read aloud) poetic text and Axel Scheffler's delightful and visually stunning accompanying illustrations (which are not only wonderfully colourfully expressive and as such a perfect mirror to and for Donaldson's engaging verses, especially how Axel Scheffler has drawn the little mouse main protagonist, it sweetly and nostalgically reminds me visually of one of my very favourite German cartoons from when I was a young child, namely Die Sendung mit der Maus), for me The Gruffalo as a unit is actually not just a fun and engaging picture book romp. For indeed, The Gruffalo also shows both with Julia Donaldson's verses and Axel Scheffler's accompanying artwork the importance and even the at times necessity of both bravery and cleverness when dealing with possible dangers, bullies, nasties and monsters, as the little mouse bravely ventures into the forest and cleverly keeps itself safe from potential predators by telling a fantastical tale of the forest monster known as the Gruffalo (and later, when the Gruffalo actually turns out to not be a fantastical imaginary beast after all, but a very real and bona fide monster, how the mouse, instead of simply being frightened and capitulating then makes the Gruffalo actually believe that it, that the little mouse is in fact a big, bad and frightening animal, bravely manipulating both the Gruffalo and the forest animals to keep its diminutive self safe from harm, from being consumed as a meal or a snack).",20,0.3857,0.103,0.759,0.138,0.5874285714285715,POSITIVE,1.0
8,1985163100,04/28/2017,5.0,"Delightful!I've heard of this book, and my kids have seen the cartoon on Netflix, yet we hadn't read the book until recently, when my sister gave it to my youngest. We love Donaldson's Room on the Broom, and this is more of the same. Tight, elegant rhymes, a fun story, and great pictures. Now we need The Gruffalo's Child!",17,0.9458,0.0,0.779,0.221,0.4638392857142857,POSITIVE,0.9997
9,202678161,08/27/2011,,"This book tells the tale of a scary Gruffalo,is he real, is he pretend, nobody knows.A sly little mouse describes him so true, other animals listen intently, their ears fixed like glue.Through the deep dark woods does little mouse go,announcing his meeting with the fierce gruffalo.His aim is to put off predators leering in the woods,who all want to eat little mouse, they surely would.A fox comes along, thinking of his meal for the day, little mouse is quick to react, as he starts to say, ""Those terrible tusks, and terrible toes, with terrible teeth in his terrible jaws.He has knobbly knees and turn out toes, and a poisonous wart at the end of his nose. His eyes are orange, his tongue is black,he has purple prickles all over his back!"" Little mouse uses his tricks to leer off owl and snake,proud of himself for thinking he’s invented a fake!Through the woods little mouse continues to go,unaware that round the corner stands the big Grufallo!As little mouse sees him, heartbeats he can feel,The Grufallo isn’t pretend, he is in fact real!Little mouse continues his tricks and uses the beast, to scare off the animals who wanted him for their feast. Little mouse sat alone, amazed at his luck,as he nibbles into a brown, delicious sweet nut.",15,-0.8765,0.135,0.784,0.081,0.5716880341880342,NEGATIVE,0.5896
