,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,19573094,04/06/2008,1.0,"Will someone please explain to me why, at my age, and I should know better, I'm stilled swayed by the words ""No. 1 N.Y. Times Bestseller!""? I found this for fifty cents at my library's used book sale last week. A warning I clearly ignored. But it had a good title, a beautiful, mysterious cover, and lots of people are reading it. Lots of people watch ""Oprah"" and ""The View"", too. About halfway through the first paragraph I realized, too late to get my fifty cents back, that this is CHICK LIT. Not even goofy, over-the-top fun chick lit, but ""takes itself waaay too serious"" chick lit pretending to be literature. The subtitle of this preposterous premised-book, choked with a mountain of useless detail, should have been ""My Hidden Breastfeeding Agenda, Brought to You By the La Leche League"". She goes on, on, on, and on about ""the milk rising"", and other numerous references to the Joy of Breastfeeding. At least in the first chapters. Then she drops it like a hot potato, busily filling the pages with endless detail about patterns on people's clothing and how the ground looks. Instead of working on character development. Anyway, the plot is just too much: Husband Pretends Handicapped Baby is Born Dead Keeps Big Secret From Wife and Marriage is NEVER THE SAME. Well, duh.The main characters, except Caroline, are wholly unlikeable.The writing is beyond tolerable; my eyes rolled so often they hurt.Edwards clearly has ""The Writer's Guide to Trite"" and ""The Big Book of Cliches"" on her reference shelf. Ugh. Why do rooms always have to be ""small but immaculate""? Also, while casuarina trees and bougainvillea exist on Aruba, the ""trademark tree"" is the Divi-divi, and cacti are more typical than flowers. Let me guess, Edwards has never been there, right?And note to author: You don't know your ass from a hole in the ground about photography. ""Photography is about secrets"" she writes. Whaaaa???? I thought it was about revelation and discovery. Thanks, Kim, I'll bring my diploma from R.I.T to work tomorrow and shred it in the shredder. And my friends out there, if you ever hear me coin a phrase like ""Memory Keeper"" in reference to me being a photographer, please walk quietly up behind me and smash my skull in with a baseball bat. At least that will be more pleasurable than reading this book.",145,0.9703,0.065,0.82,0.115,0.450877192982456,NEGATIVE,1.0
1,1244900,05/16/2007,2.0,"Man I hated this book- the plot had some great potential, but instead you got to witness one scene of frustrated people not knowing how to deal with their emotions after another. Seriously, imagine 60 someodd pages of: wife- ""I'm sad, darling, talk to me"" husband- ""we can't have another baby"" silence...followed by wife being angry and husband yet again being emotionally stunted...ok, fine, I see that it's a result of him giving away their daughter with downs syndrome, but I just wouldn't end! After about 10 of these scenes, we get the point. Then we progress to 60 pages of a new hell: son- ""dad, I love music, you don't know who I am!"" father ""son, don't limit yourself to only this option"" once again, fine as a single scene, but we have to endure it again and AGAIN. Then the book adds some completely random characters, has people reflect on life ad nauseum, and basically does nothing to make you care about any of the characters. Also, despite basing an entire story around the mistake of giving up a child because of a mental disability, it gave absolutely no credit to the young girl who has downs syndrome! She's more of a prop than a person, no part of the story is told from her perspective, and asside from the desire to marry her boyfriend, never gets the chance to show the world what she wants and feels. Great job reaffirming stereotypes! My boss loved this book, and some of my coworkers thought it was OK, but obviously I thought it was bad enough to write a barely-cohesive rant rather than a review. This book was a waste of time and paper.",130,0.8778,0.138,0.7,0.162,0.5777558750773036,NEGATIVE,1.0
2,2744634815,03/09/2019,5.0,"This is a wonderfully unique story. Ms. Edwards creates characters very real and situations that are effectively believable. After delivering his wife's first child, while she is unaware of what is happening, he delivers another child, this one with Down's syndrome. He makes a quick decision to spare his wife the heartbreak of raising this child and asks his nurse to place the child in an institution. The nurse takes the infant but raises it on her own.There is always something not quite right about their relationship. He becomes obsessed with photography and draws away from his wife and even his son. Mrs. Henry decides to remake her life and starts a job in a travel agency, which she eventually buys and thrives at this business.The story moves flawlessly between Henry, Caroline and Phoebe. Much is learned about raising a Down's child and about the power of love.I think this is a wonderful book club book with many issues to talk about. How decisions are made and the price we pay for the wrong ones. There are great characters and moral issues to be discussed and insights to be learned.",110,0.8658,0.055,0.852,0.093,0.5845191409897292,POSITIVE,0.9999
3,2992109689,09/26/2019,4.0,"The Memory Keeper's Daughter, Kim EdwardsThe Memory Keeper's Daughter is a novel by American author Kim Edwards that tells the story of a man who gives away his newborn daughter, who has Down syndrome, to one of the nurses. Published by Viking Press in June 2005. In early March of 1964, Dr. David Henry is forced to deliver his wife Norah's twins with the help of a nurse, Caroline Gill. Their first child, a boy they name Paul, is born a healthy perfect child, but when the second baby is born, Phoebe, David notices she has Down syndrome. David, recalling the possibility of a heart defect and early death (which his younger sister June had had; dying at the young age of twelve) and decides that the baby girl will be placed in an institution. Caroline was given the baby to take to the institution, but simply didn't like the conditions. She decides to keep and raise the baby, who is named Phoebe. While Caroline is at the store, her car runs out of fuel and she is stranded in the snow with Phoebe. She is picked up by a truck driver, Al Simpson, who drives them to Caroline's home. Meanwhile, David tells Norah that their daughter died at birth. After hearing that Caroline had kept Phoebe rather than take her to the institution, David bids her to do what she thinks is right. Caroline leaves for Pittsburgh to make a fresh start with Phoebe. ...عنوانها: دختری در غبار خاطره‌ها؛ دختر یک راز؛ نویسنده: کیم ادواردز؛ تاریخ نخستین خوانش: روز بیست و هفتم ماه سپتامبر سال 2010میلادیعنوان: دختری در غبار خاطره‌ها؛ نویسنده: کیم ادواردز؛ مترجم اصغر اندرودی؛ کرج در دانش بهمن‏‫، ‏‫‏1387؛ در 508ص؛ شابک 9789641740636؛ موضوع: داستانهای نویسندگان ایالات متحده امریکا - سده 21معنوان: دختر یک راز؛ نویسنده: کیم ادواردز؛ مترجم: فرخنده (فریبا) کاظم‌لو؛ تهران حکایتی دگر‏‫، ‏‫1388؛ در 178 ص؛ شابک 9789642756155؛‬‬کولاک برف، دکتر «دیوید هنری» را وامی‌دارد دوقلوهایش را خود به دنیا آورد.؛ پسرش، که نخست به دنیا می‌آید، در سلامت کامل است؛ اما دکتر بی‌درنگ درمی‌یابد، که دخترش به عقب‌ ماندگی ذهنی مبتلاست.؛ بنا به انگیزه‌ هایی که به نظر او معقول است، در یک لحظه تصمیمی می‌گیرد که سراسر عمرشان از آن تاثیر می‌پذیرد؛ او از «کرولاین»، پرستار خود، می‌خواهد که بچه را به موسسه‌ ای که ویژه ی نگهداری از این‌گونه کودکان است، بسپارد، «کرولاین»، به جای اینکار به شهر دیگری می‌رود، و دختر را همانند فرزند خویش بزرگ می‌کند.؛ داستان حاضر حکایت چند زندگی در کنار هم، اسرار خانوادگی، و قدرت رهایی‌بخش عشق استتاریخ بهنگام رسانی 29/04/1399هجری خورشیدی؛ ا. شربیانی",87,-0.8851,0.042,0.934,0.025,0.3335978835978836,POSITIVE,0.8099
4,23657467,06/03/2008,1.0,"At first I couldn’t pinpoint exactly why I was not enjoying a book that sounded as though it would be ‘my kind of book’ in every way, but the more I read and the more I thought about it, the more reasons emerged.	From the beginning of the novel there were little details that bothered me. The plot often felt contrived, as pieces fell together too nicely. Of course life is crazy and there is always the possibility of the little pieces falling in the most peculiar way, but when all of your characters’ lives seem to follow that incredible pattern, it begins to feel ridiculous.	Some of the characters themselves also became clichés. Perhaps I reached a certain point in the story where I began to look for things that bothered me and therefore found them more readily than other readers. Yet, Norah, the mother of the twins, and her sister, Bree seem to never really develop. Bree is the young, free-loving free-spirit who is thus almost a danger to Norah’s thoughts on life – and that is what she remains, even when older and diagnosed with cancer (although Norah does come to appreciate her). Norah, whose life unravels for a bit after she thinks her daughter has died, drinks too much and then begins having affairs, and this is who she remains for most of the novel. The characters just seemed too much like a sappy Lifetime movie for me to really take them inside of me and keep with me.	I was also very disappointed in the character of Phoebe, the Down’s syndrome daughter given away by her father. She was the driving force of the novel and yet we really never know her other than glimpses through the eyes of Caroline. Paul, her twin brother, is given thoughts but Phoebe’s mind remains a mystery. I understand the difficulty in writing honestly for a character with Down’s but I kept thinking of the autistic narrator in Haddon’s The Curious Incident of the Dog in the Night-Time who was so rich and incredible and believable (if you haven’t read this one, please do!!). I just thought that Edwards had a mission in humanizing those who suffer Down’s syndrome; and that she herself undermines her purpose with the complete omission of Phoebe’s voice. I wanted to know this child as a child and not as a sad plot device. In all fairness, however, I have to say that I did love certain passages, as Edwards’ poetic language captured me wholly.	In the end, I think that my largest issue with this book was the absolute destruction of this family. I know that what happened at the birth of the babies was tragic and life changing but I felt as though it was a bit contrived that it drove every emotion and interaction afterwards for the remainder of the characters’ lives. Perhaps, for me, it just made their bonds from the beginning suspect as their destruction was made so inevitable by that one tragic mistake. I didn’t believe it and perhaps, because we read to understand others and to change ourselves, I do not want to believe it. ",78,-0.9672,0.126,0.782,0.092,0.5781498015873014,NEGATIVE,0.9999
5,667692,04/10/2007,2.0,"This is one of those books that I always see people reading in parks and on the subway, and I just want to shout at them, ""Save yourself! There's still time to quit reading!"" Really, it's one of those books that has an interesting premise/situation, but doesn't go anywhere. The interesting premise is this: a couple has twins and the father sneaks away with the one twin who has Downs Syndrome. The mother doesn't know about this baby and it's raised by the father's coworker. You're interested, right? Well, watch out, because after the initial birth scene, which is good, nothing happens for 200 pages. The author drags you through the book, dangling the moment that the mother finds out about her daughter in front of you. If this had been an actual good, daring book, it would have started at the point where the mother finds out about her long-lost daughter. Instead, it ends there. Cop out! Waste of time! Emotionally empty! ",76,0.951,0.044,0.814,0.142,0.366883116883117,NEGATIVE,1.0
6,17098495,03/05/2008,4.0,"I read a bunch of reviews of this book prior to reading it myself, and wasn't sure whether or not I would enjoy it.I was pleasantly surprised to find that I liked this book quite a bit, and here's why:1. The story was fascinating! What would I have done in that situation? It was fun to imagine myself as Norah, Caroline, David or Paul and determine if my actions would mirror theirs, or if I would have done things differently. 2. The metaphors and imagery that Edwards uses are captivating. For example, she describes ""crocuses shouting"" and ""a wedge of air coming through an open door"". The juxtaposition of physical characteristics ascribed to inanimate objects, and the fusion of opposites added texture to the story.Going along with that, she used the wind as a metaphor-unrest, loneliness, loss, guilt, shame, it spoke a different language to each of the characters and manifested itself in interesting ways. The obsessive compulsive picture taking, the drive to make sense of the world, the bones, the running, the travel-all of these were terrific physical manifestations of inner turmoil, some blatant, others, subtle reminders of the loss.3. Edwards descriptive abilities made it seem that I was in the room with the characters. She pointed out the pattern of sunlight cascading through the windows, or other mundane details that so many other authors gloss over or ignore because they are too busy telling about events that happen. I realize that in some cases this can be construed as ""dragging, boring, or slow"" but Edwards used such beautiful, interesting language to describe those things, that it made the story come alive for me, and I felt like I was a participant observer, rather than just an observer.4. One of my personal fascinations is tracking and tracing the pivotal points in people's lives that determine who they really are. Naturally this book was all about how one seemingly right decision affected dozens of lives. How would they have been different if different decision were made? The only really bothersome thing was that nobody triumphed over the loss...no matter how hard they tried...so, is this a cautionary tale to always tell the truth? To not make decisions based on how you think someone will react, but to give them the agency to decide that for themselves? I understand how the outcomes of each of the characters happened, but also would have liked to have seen some triumph and salvation-and perhaps that's what Rosemary and Jack were supposed to be, at least for David. He couldn't fix his own family so he spent his time fixing others-literally and figuratively. And, I guess, ultimately Phoebe and Caroline triumphed...I just don't like to believe that suffering a loss reduces us to throwing our lives to the wind. I want to think that peace and hope can still be found.",73,0.9878,0.06,0.82,0.12,0.5405753968253969,POSITIVE,0.999
7,44652104,01/28/2009,3.0,"Wow, I'm really torn as to what to say about this book. I will start by saying that Kim Edwards is a skilled writer and there's no taking that away from her. Her words flow beautifully and that was greatly appreciated by me.I began reading this book and fell in love with it. From the beginning, I was very sure that I was going to rate it with five stars. I was intrigued by the premise: It's 1964 and a doctor's wife gives birth to twins. The twins were unexpected (no ultrasounds back then) and so the second baby, a girl with Down's Syndrome, was a shock. In the panic of a moment, the doctor, who had lost his own sister when she was 12 (due to a heart problem), panics and gives his newborn daughter, Phoebe, to his nurse, Caroline. He wants to spare his wife (and himself) the pain of having a child with Down Syndrome who might not live long. Caroline takes the baby to the home, but when she gets there, she realizes she cannot leave the child in such a wretched place and makes a split-second decision to keep her as her own. The author skillfully goes back and forth between the doctor's family, David and Norah Henry (and their son, Paul) and Caroline's life with the girl, Phoebe. I was intrigued.Somewhere, around page 175, I started not liking the book so much. What had been a taut, interesting story, started taking little side trips that I felt tarnished the characters and didn't stay within what I thought the author had set up. But I didn't want to dislike the book for this reason, because I don't expect the author to go where I might go or where I might have liked to see her go. Still, the things that were going on kept nagging at me and making me uneasy in a way that I don't think were intended to make me uneasy.I began to care less and less about the characters, but stayed with the book because it was interesting to see where it went and I had already invested so much time in reading it. There were too many long descriptions of things that didn't matter to me, and no matter how hard I tried, I didn't get to know the characters in the way I thought I should.I am stuck in the middle. In the end, I didn't really care for it all too much, but cannot say that others would not. I give the writer kudos for being so skilled with the English language. I didn't really care about any of the characters very much in the end, if at all, and I think that's what really soured me on this book. This is a hard one for me to judge. If you're at all interested, read it for yourself and see what you think.",57,0.9652,0.07,0.836,0.094,0.4055962059620595,NEGATIVE,0.5109
8,3440269,07/24/2007,2.0,"**SPOILER FREE REVIEW**Reading this book was like an up-hill battle for me. I have looked forward to reading it for so long and was expecting great things based on all the praise-worthy reviews on the book jacket. Boy was i disappointed! The plot and synopsis of the story had such excellent promise but along the way the author dropped the ball. It was very difficult to relate or sympathize with Norah Henry, even though she is the one wronged by her husband's rash (but not unfounded) decision to lie about the ""supposed"" death of their mentally defected daughter while keeping her healthy twin brother. Norah's self destructive ways and at times selfish childishness did nothing but annoy me and drive me farther away from her pain. What the author did really well was humanizing Dr. David Henry because reading the back of the novel i thought he was a monster. He was the only character i actually felt was not overly contrived. Phoebe ""the memory keeper’s daughter"" did not have a true voice in the whole novel and that was a poor choice by the author. The major climax and confrontation i was hoping would happen between members of the family never occurred; instead the author decided do something that was shocking but totally unnecessary to the digression of the conflict. So why did i bother giving it 2 stars? Because the one question i wanted answered -- what would possess a man to do such a horrible thing as to not only give away his newborn daughter but then lie about her death? -- was convincingly answered and somewhat understandable. Also the book was beautifully written, and i appreciate any book that can evoke emotion based on simple sentence construction. So, i will look for other books by Kim Edwards -- at the library not the bookstore, for now.",50,-0.9819,0.183,0.693,0.124,0.6493842364532021,NEGATIVE,1.0
9,2258167602,01/24/2018,4.0,"The Memory Keeper's Daughter crept up on me in a way I never expected. After reading many conflicting reviews I assumed I would either DNF this book at worst or slap 3 stars on it at best.In 1964, Dr. David Henry delivers his own twins. His son is perfectly healthy. His daughter is born with Down's Syndrome. Remembering his own sickly sister who died young, and the unending sorrow it caused for his mother, he is determined to protect his wife from the same heartache. He asks his nurse to take the baby away to an institution, but Caroline, the nurse, chooses to disappear into another city to raise the child herself. The story unfolds over 25 years - two families, unknowingly bound by the fateful decision made long ago.Let me start off by saying, this book is not for the faint of heart. It is not a happy story. Dr. Henry and his wife Norah live a life teeming with grief; a heavy secret, unbeknownst to Norah, settles between them and grows ever larger as the years go by. It's a story I might not have understood a few years ago. I've always been troubled by characters that keep secrets or avoid having important conversations, usually thinking it was bad plot device. But I've recently experienced things in my own family that have opened my eyes to certain behaviors. I think this was something that happened a lot in the 60 and 70s. For whatever reason, families tended to brush things under the rug and keep skeletons in the closet.One of my favourite things about this book, apart from the writing which I found deeply engrossing, was the passage of time. This book takes place over 25 years and I was never once confused about what year it was or how old the twins were at any given time. Kim Edwards' storytelling is seamless; one chapter melting perfectly into the next, even if they were five or ten years apart.This story won't be for everyone, but it's one I won't forget anytime soon.",46,-0.8539,0.083,0.852,0.065,0.5775493025493024,POSITIVE,0.8908
