,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,2321441749,04/27/2021,3.0,"A stand alone thriller published 2005.A so-so 3 stars.This was, at it’s best, just so-so. There bits that were intriguing and bits that just went on and on.Our main protagonist, Joel Backman, was a high level lobbyist who got his hands on some very sensitive software. So sensitive that it would become a game changer for future military conflict.All Joel could see were dollar signs in front of his eyes and so he tried to sell it to the highest bidder. When the CIA became aware of this Joel was arrested and convicted for treason and to spend the next twenty years of his life behind a prison door.There were a lot of countries after Joel’s blood, promises were made and promises were broken. As a result Joel spent much of his life looking over his shoulder, even in prison.When the current Presidents term was just about over he gave, much to Joel’s delight and surprise, a pardon for past wrong doings. The reality was that this was a CIA ruse to see who would kill Joel first.Part of the ruse was to give Joel a new identity and send him somewhere safe, which turned out to be Bologna Italy. So Joel ends up in Bologna with some CIA minders in tow.At this point the book becomes a travelogue for Bologna, a crash course in learning Italian and also a good food guide to the best restaurants in Bologna. This would have been interesting had I been interested in going to Bologna. Enough said.Where credulity leaves us was when Joel, who knows about as much about espionage as I do, decides to takes on the CIA at there own game.Look there were parts that were quite exciting but there were lots of it that were just a drag so as I said at the beginning, at its best this was just so-so. ",30,0.8884,0.058,0.844,0.097,0.4132410037878788,NEGATIVE,0.9998
1,3320175258,08/24/2021,4.0,"Not exactly your typical Grisham legal-eagle book. But rather a story with a different twist toward an international espionage/change of identity/cat and mouse thriller.The book was an easy read, but there seemed to be a lot of needless filler. That filler was just the setup for the fast paced ending.Overall, an enjoyable read.",31,0.7003,0.0,0.892,0.108,0.5479166666666667,POSITIVE,0.5784
2,2031230279,06/21/2017,4.0,"I finally found a Grisham novel that I don't remember reading before! The Broker, Joel Backman is in prison serving twenty years for a crime that he may or may not have committed. With fourteen still to go he is unexpectedly pardoned by the outgoing President and smuggled to a secret location in Europe. Then, the authorities of various countries sit back and monitor him as they wait to see who will get to him first.....This was a great read and kept me hooked until the end. The danger the main character was in felt real and exposed the potential power plays going on at the highest levels of American government and within the intelligence systems.I wasn't as interested in the well researched history of Italy and the various Italian words and phrases that are included in the narrative but this might be a bonus for some people.As with most of Grisham's books, there are a few swear words, some violence and some sexual innuendo. There is nothing grossly offensive or especially graphic.An entertaining read. Recommended.Check out my John Grisham Shelf!",27,0.8264,0.098,0.766,0.136,0.5114035087719297,POSITIVE,0.9987
3,524976279,02/03/2013,2.0,"It's OK. Not that bad, not that good either. The plot was promising, but I got bored along the way. Because it's Grisham, the characters are always interesting and the writing is always great. But my problem here was the pace. There were a lot of instances where I thought Grisham was beating around the bush. He was rather fond of the Italian culture and took lengths to explain quite a few things and that would have been nice if this was a book about Italy. But, this is an espionage thriller of some sort and there were quite a lot of dull parts. Well if this is a thriller, I wasn't thrilled. The ending was redeeming because it contained some excitement, but it was little too late. I was at the point of no return. I had already gotten bored and my mind was already filled with thoughts about how I wasted my time. That being said, I still think that Grisham's sub-par work is better than most out there. If you're a Grisham fan then read this. If not, then don't. You're better off reading his other books.",27,0.9272,0.127,0.681,0.192,0.5541666666666667,NEGATIVE,1.0
4,1140586081,12/25/2014,2.0,It starts promisingly.. Then it gets repetitive and reads like Italy's tour guide instead of a thriller. Even the ending seems too far fetched & implausible. ,22,0.2263,0.074,0.781,0.145,0.5833333333333334,NEGATIVE,0.9997
5,387029099,08/08/2012,1.0,"In this hefty 422-page wanna-be spy-novel-travel guide, -421 pages too long-, Mr. Grisham confirms that he is fortunate, indeed, to make so much money with so little talent. This book is generously peppered with little gems, such as, ‘”I love Stuttgart,” Marco said, just to watch it unwrinkle.’ Or, “He met Joel at the powerful oak door and they shook hands properly, but not like old friends.” “In other days, he’d have followed Elke anywhere, but now it was only downstairs.” Mr. Grisham, who is no Paul Theroux, daringly forays into travel writing with his tedious descriptions of Bologna, Italy, and increases the word count by tediously writing delightful, rambling, mundane phrases, first in Italian, followed by the translation in English. “He had a brain, cervello. He touched a hand, mano; an arm, braccio; a leg, gamba.” The trees cut down for this book would have been more useful for toilet paper purposes, but nevertheless, not wanting to begrudge the book its value as in-flight low-grade soporific entertainment, one can best suggest to leave it on an airport bench somewhere, with a forewarning inside for its next unsuspecting reader.",20,0.9865,0.048,0.766,0.186,0.4265555555555556,NEGATIVE,0.9889
6,184254835,07/12/2011,4.0,"This is another novel in a long line of great books by John Grisham. You know it's going to be a fun book when the CIA is leaking someones whereabouts just to see who kills him. When I read the jacket of the book I was afraid that they may have given too much of the plot away. I was wrong. There was still plenty of suspense and drama to be had. This book had me guessing how it was going to end until it was over. I must admit that I didn't guess right at all. The characters in this book are well rounded and well developed. It seems that Grisham takes great pride in developing the characters and the settings of his books and it shows. The chase in this book takes you into 3 or 4 different countries and crosses paths with many, many people. If you are a mystery fan or a Grisham fan then this book is a good read for you. It's not as good as ""A Time to Kill"" or ""Runaway Jury"" but it's by far better than ""The Brethren"" (those references will make sense to the Grisham addicts out there). Overall Rating: 4/5",15,0.9186,0.035,0.839,0.127,0.5432773109243697,POSITIVE,0.9993
7,3907493400,04/04/2021,5.0,"Welcome to John Grisham's fast pace, high-tech (not too technical) International, political, suspense/thriller. All complete with a nicely flawed antihero. A tad bit of romance. And a nice descriptive trip to Italy (however and unfortunately, at times the language interpreting portion within this trip has a casual tediousness to it). Oh, did I forget to mention CIA hitmen?4.5 to 5 stars",22,0.8689,0.065,0.723,0.212,0.5466666666666666,POSITIVE,1.0
8,677100230,07/25/2013,2.0,"My brother recommended this book. Since I want him to read Joel Salatin, in a tit-for-tat deal I agreed to read The Broker. The first 13 pages, the political pardon arrangement, were hilarious. I was hooked. But not for long. After the main character, Backman, was whisked away to Europe by the CIA, the spy-vs-spy vs innocent-in-a-strange-land story - or whatever this was supposed to be - went awry. At this point Grisham's editor - he does have one, I presume - should have sent back the manuscript and told his celebrated author to toss all pages from 14 on into the garbage and not only rewrite the book, but rethink the story. What is all this mangiare and vino and birra and espresso doing in a story of a man hunted by assassins? While I belong to the 1% of Grisham's readers who thoroughly enjoyed learning to speak basic Italian right along with Backman, I was expecting a thriller, not a language lesson and tour guide to northern Italy with an emphasis on Bologna. To repeat, where was his knife-wielding editor?Worse, The Broker doesn't make sense. It contains many plot Whys, but I'll note just 5 big ones. First, the CIA places Backman in Italy, gives him an apartment and wardrobe but no money or passport, tutors him in how and when to order a cappucino, and then gives the equivalent CIAs of 4 foreign governments a recent photo of Backman on the streets of Bologna just because the CIA wants to see who will kill him. The CIA says this plan is vital to the national security of the U.S.A., but even I, a non-reader of thrillers, recognize that this plan is pointless, so why do it? Second, how is killing Backman going to help the CIA get what they desperately want, which is JAM? Third, since the CIA believes Backman has JAM, why didn't they stick to Plan A and inject him with sodium pentathol when they had him under their thumb at the military hospital? Fourth, eventually we learn that Backman does have JAM. He's always had it. So why didn't he cut a deal with the CIA before he was sentenced to 20 years in solitary confinement? Of course, had Backman done that, this book would not exist. Fifth, while real life doesn't have neat endings, fiction does. But this story has no conclusion. Is Backman safe now from all his would-be assassins, or not? Is this sloppy mess typical of Grisham or was I just handed a lemon? ",14,-0.6211,0.066,0.854,0.08,0.3636904761904762,NEGATIVE,0.9996
9,456845969,10/11/2016,4.0," WOW..... THIS WAS A WILD RIDE!!!! This starts out with a super secret meeting in the White House, doing HIGHLY ILLEGAL things, and from that first bit we go to a Federal Prison to get out ""The Broker"" A High command, High powered lawyer/lobbyist(Rubbing shoulders with Senators, Congressmen, Even Getting a President elected!!!!) in Washington D.C. He is out and from there whisked out of the country to Italy......From there is where our main character is on his own so to speak with the deck stacked against them (That's was always the plan....) Can he figure out how to save his butt from whats coming, Can he use all his wits and skills to keep 1 step ahead of trained CIA, FBI, AND MORE!!!! Little does he know the last deal that put him in prison is far from over...  and it could be ANYONE around the corner ready to jump!!! ",12,-0.6733,0.081,0.859,0.059,0.5362499999999999,POSITIVE,0.9996
