,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,68942489,08/26/2009,3,"I work in the Information Technology field so relating to this book was easy for me. I don’t know anything about NSA (National Security Agency) and how they operate but I know stuff like encryption, algorithm, anagram, computer virus, code-breaking, etc. So, this book glued me from start to finish. My officemate has been telling me that this is his favorite Dan Brown book. He said that since I’ve read all his 4 other novels, The Da Vinci Code, Angels and Demons, Deception Point (all 3 stars, i.e., I liked them!) and The Lost Symbol (2 stars, i.e., It’s okay!) and I am glad that I finally read this book. Hurray, I am now a Dan Brown completist! I liked the story. NSA has a program that can track personal conversations around the world. One employee gets angry so he becomes a whistleblower. NSA hires a pretty detective (not yet Robert Langdon since this is Dan Brown’s first novel) and she is so hot most of the male characters in this book lust for her. This lust for her body and for power (as usual) basically becomes the driving force for all these men to outwit or kill each other or even themselves. The plot is a little overpopulated by characters and the twists are a bit too many to become coincidental. However, this is Dan Brown’s first novel so they are expected. Just like any other first time novelists, Brown was trying to prove that he could intricately weave a suspenseful yet unbelievable plot.Wikipedia says that this book was based on real-life incident in cryptography. The story seems to tell me that Dan Brown not only did his thorough research on the topic but was also able to anticipate what NSA would do. He was a step ahead of NSA or maybe the NSA was influenced by the book. This one was not coincidence, I think. Or maybe Dan Brown was clever enough to befriend an insider in NSA. I just did not have any idea how a novelist could have access to NSA. Or maybe I am reading too many suspense-thriller books (Robert Ludlum, Jeffrey Archer, Ken Follett, John Grisham, etc) that my rational thinking is now tainted with all these far-fetched possibilities or thoughts.Dan Brown was born on the same year I was, i.e., 1964. His books have been translated in many languages and stayed in New York’s Bestsellers’ List and adapted into big movie blockbusters. Wimps cannot do just those. I like Dan Brown definitely not for his literary prowess, i.e., his writing is ordinary, but for his imagination and the efforts that he put in his research. He just does not sit down and types away his thoughts. He backs those up with facts. He goes to the museums in Paris or Capital Building, looks up on all the writings or symbols on the wall, paintings, towers. He reads history and current events and incorporates those to his plot. So, let’s spare this guy from our senseless tirades. We just cannot ignore the fact that he knows his trade. His books deserve to be read. His efforts deserve to be appreciated. ",115,0.9893,0.039,0.856,0.105,0.5496275252525253,POSITIVE,0.5219
1,610649310,05/08/2013,1,"My book group chose this book and I will never forgive them.I’ve never read anything by Dan Brown. He doesn’t write my type of fiction, so while I was aware that he’s a huge success, I never bothered to pick any of his books up because I knew I wouldn’t be interested.What I didn’t know is how much of a shit writer he is.I’m sure he cries into a giant pile of money every single time someone tells him that. Digital Fortress is about the government and secrecy. Susan Fletcher works for a super top secret government agency called NSA that cracks codes to read emails and save the world. How do I remember that her name is Susan Fletcher? Susan Fletcher is referred to as Susan Fletcher on every page that Susan Fletcher appears on. Apparently Brown is worried that people won’t remember that Susan Fletcher is one of the main character is his book Digital Fortress by Dan Brown.Susan Fletcher is the best code breaker NSA has. Susan Fletcher is also beautiful and perfect and everyone loves her and wants to do her. Susan Fletcher has a brilliant mind. Susan Fletcher is also very attractive. Susan Fletcher is also smart. People look at Susan Fletcher and think to themselves “How does an IQ of 170 fit into a body that attractive? I am going to think more of these thoughts so that the reader of Dan Brown’s Digital Fortress will know what Susan Fletcher looks like in the book Digital Fortress by Dan Brown.”Your first drinking game is to take a shot every time someone chuckles.Your next drinking game is to empty a Red Solo Cup every time someone’s eyes are described as strong hazel, deep green, inky black, sable, gray, or any other color that barely exists in real life. Yes, people do have these eyes, and apparently they all live in Dan Brown’s world. Dan Brown wrote the book Digital Fortress.If you do not drink and are into health, do push ups or squats or something instead of pounding booze. Either way, we’re all going to crumple to the floor and throw up.When Susan Fletcher is called in to work on a Saturday by Commander Strathmore, head of NSA, Susan Fletcher knows that something must be very wrong. Susan Fletcher was supposed to be on a vacation with her finance David Becker. David Becker is beautiful and smart. David Becker plays squash and no one minds when David Becker puts his entire head into the water fountain to wash away the sweat. David Becker is that amazing.Turns out that the Commander has sent David Becker, Susan Fletcher’s finance, to Spain, even though David Becker does not work for NSA. Susan Fletcher thinks thoughts to tell the reader how important NSA is.Seriously, how is this guy a big name writer? I just don’t get it.Dan Brown, the author of Digital Fortress, does not have time for important things like “Show, don’t tell.” when it comes to writing his books. Dan Brown wants to get to the important things like telling the reader how intelligent and beautiful Susan Fletcher and David Becker are. Susan Fletcher and David Becker are engaged. Susan Fletcher and David Becker have been engaged for six months. Susan Fletcher tells David Becker this when she says “You do remember we’re engaged, don’t you?” which is exactly what people in real life would say if they wanted to let you know that they were engaged.Susan Fetcher stays underground in the NSA bunker trying to figure out what is wrong with their giant, enormous, massive, expensive, costly, top secret, classified translator project. The computer is used to cull through email and crack codes and save the entire planet. It has done so successfully. But now it has found a code that it cannot crack and Susan Fletcher has to use her beautiful body and intelligent mind to solve the problem.Meanwhile, in Spain, David Becker is on a crazy journey of his own. He has to find a ring because it somehow has something to do with this code. He is able to follow thin clues to track the ring from person to person. Apparently David Becker, with no training (because if he had training, someone in the book Digital Fortress by Dan Brown, would have told us about it) becomes the world’s most brilliant detective. Oh, and also David Becker is given stupid coincidences that tell him where to go next. David Becker is smart and is able to use these giant arrows to find the next person to talk to.Of course everything turns out to be suspicious and there’s lots of traitors and threats from every side. One thing I did like about the book Digital Fortress, written by Dan Brown, is that there were parts where I honestly didn’t know who the bad guy was. Luckily Dan Brown quickly tells information to make me pay attention to a specific character in his book Digital Fortress and I, the reader, can get back to the important part which is remembering that Susan Fletcher and David Becker are engaged and they are both very intelligent and very beautiful.The crazy ending was kind of fun because everyone was in the same place sort of screaming and trying to solve the problem before the entire government was shut down, but other than that… What the fuck, America? This is one of our top selling authors?In conclusion, I did not like the book Digital Fortress by Dan Brown. Not only do I not care for this type of story, I could not get past the writing. How does this happen?I don’t care if this makes me sound like a book snob, but seriously, this is who we’ve chosen as one of our Must Read Authors? For fuck’s sake.My book group meets tomorrow and I’m bringing a giant list of discussion questions. Apparently they all hated the book too, including the two people who suggested it for this month. Way to make the rest of us pay for your mistakes.",109,0.9765,0.057,0.846,0.096,0.5460209235209236,NEGATIVE,0.9993
2,72546892,09/26/2009,4,"Digital Fortress, Dan BrownDigital Fortress is a techno-thriller novel written by American author Dan Brown and published in 1998 by St. Martin's Press. The book explores the theme of government surveillance of electronically stored information on the private lives of citizens, and the possible civil liberties and ethical implications of using such technology.When the National Security Agency's invincible code-breaking machine encounters a mysterious code it cannot break, the agency calls its head cryptographer, Susan Fletcher, a brilliant and beautiful mathematician. What she uncovers sends shock waves through the corridors of power. The NSA is being held hostage... not by guns or bombs, but by a code so ingeniously complex that if released it would cripple U.S. intelligence.Caught in an accelerating tempest of secrecy and lies, Susan Fletcher battles to save the agency she believes in. Betrayed on all sides, she finds herself fighting not only for her country but for her life, and in the end, for the life of the man she loves.عنوانهای چاپ شده در ایران: «قلعه دیجیتالی»؛ «دژ دیجیتالی»؛ نویسنده: دن براون؛ تاریخ نخستین خوانش روز بیستم ماه می سال 2009میلادیعنوان: قلعه دیجیتالی؛ نویسنده: دن براون؛ مترجم آرزو کلانی؛ بازبینی نوشین ریشهری؛ تهران، نگارینه؛ 1385؛ در 528ص؛ شابک 9789647533935؛ چاپ دوم 1386؛ موضوع: داستانهای نویسندگان ایالات متحده امریکا - سده 20معنوان: دژ دیجیتالی؛ نویسنده: دن براون؛ مترجم: حسن زیادلو؛ ساری، زهره، 1385؛ در 447ص؛ شابک 9645704804؛داستان خیال انگیز نحوه ی گشودن رمزهای محرمانه، که در مراسلات اینترنتی، یا مبادله ی اطلاعات دیجیتالی، توسط سوپر کامپیوترهای سازمانهای اطلاعات کشورها، گشوده میشوند، داده های دقیقی، از نحوه ی کد کردن اطلاعات، در این داستان ارائه شده است؛تاریخ بهنگام رسانی 24/02/1400هجری خورشیدی؛ ا. شربیانی",106,-0.4118,0.061,0.874,0.065,0.625,POSITIVE,0.9821
3,500809407,01/08/2013,4,"Dan Brown is not just Da Vinci Code! This is a pretty good cyber-thriller. It resonates well in a world where data security and hacking are a part of the daily news. Check it out if you are a fan of fast paced thrillers with lots of suspense. (It has short chapters, too, which I like a lot)",83,0.9299,0.0,0.728,0.272,0.5,POSITIVE,1.0
4,1588181487,03/23/2016,5,Spine wrecking thriller. Never could I put my popcorn down.A complete and comprehensive review on my lists this year!,70,0.4003,0.0,0.813,0.187,0.4,POSITIVE,0.9978
5,51823011,04/07/2009,3,"The topic is quite interesting & having an author perfectly fit the shoes of one so revered (talking, of course about the late great Michael Crichton) is truly magnificent, in my book. This thriller is fast (hooray!) & riveting. It is relevant to modern times & some reviewers have gone as far as calling it plausible.But it must be said that its an adventure less compelling than The Da Vinci Code, even more contrived; devoid of interesting characters but plagued with dead ends, ineffective repetitiveness, empty journeys. While many characters deal with differently major or minor catastrophes, the short chapters speed by. The plot, if dissected, would resemble this: a career girl (& therefore, one lacking of a personality, other than being described as being incredibly fond of expensive shoes [as if such an example would underscore her femininity:]) stuck in a compound, perplexed by computer screens and consoles, hurrying to save humanity before the doomsday clock strikes; her boyfriend, a prof. with sure and extreme luck out on a wild goose chase (in--Sevilla, Spain! AWESUM!), a fish out of water with a blind purpose (and again, afflicted with the No Personality Syndrome along with his contemporary drones); and other tech nerds, out trying to physically or technologically (whatever that means... the novel tries to personify what's intangible: cyberspace) um, save the planet. There are codes and puzzles along the way, easy to decipher and sometimes overly-explained by these tech- (and only tech-) minded, overpaid, individuals.Because it was educational, fun, sometimes (I say this with a grain of salt) unpredictable, it should be read. Expect no Waugh or Hawthorne, but Crichton, or at least a worthy imitation. It is definitely a dumb action adventure but if it captures you, and it will, then just take the ride. It's as harmless as impersonating the protagonist: your eyes will move and your body will mostly be in repose. But something within the human machine will be processed in some way, surely.",65,0.9778,0.104,0.715,0.181,0.556203433754454,POSITIVE,0.9854
6,3691491251,12/27/2020,4,"Digital Fortress is the first book Dan Brown published, and it's the last of his that I read. I am now up to date and awaiting whatever comes next (outside his newer children's release). I enjoy thrillers and suspense novels, but I haven't figured out my favorite authors in this genre yet. I'm determined to make that a 2021 reading goal. Before I head there, let's chat about this book.Published in 1998, the key thing readers must remember is that if you're devouring it now, remember how much technology and security has changed in the last two decades. Much of the theory and approach is different today, and while you don't need to understand technology to enjoy the book, it helps... and if you know a bit about it (I work in the field), you will feel a different connection. I admit fully, it was a little too technical at times... not that I didn't understand it, but I couldn't focus on the story.Overall, the plot is intriguing. A man dies, he threatened to reveal all the US secrets from the NSA site. He had a virus and an unbreakable code. What that actually means is very different from what we come to learn in the book. I was excited to solve the very last puzzle and work out the answer on my own... so that was a nice ending.The main character is a female technologist working for a male head of the NSA (okay two male heads, one is African American, one is Caucasian). So, right from the beginning, I was glad to see the diversity and that it was somewhat ahead of its times. Nonetheless, she is engaged and her husband-to-be is involved in the plot. A few trips through Europe, a political nightmare, and lots of fiery explosions. And some murders too!I'll go with a 3.5 rounded up here. Mostly, the plot is stretched. There is no reason the main character's fiancé needed to be the one to go to Spain. It felt like a plot device... which I don't mind, if he truly was qualified and we got to know him more. That said, I felt like we got to know him better than the main character too. She was smart and highly qualified, and she kicked butt several times, but I knew nothing about her personally. I felt a bit too distanced.The villain dies immediately. Or one of them. So that was a different experience. But all the engaging, quick dialog and action scenes are spot on. It shows why he evolved into a great writer.Of all his books, probably in the bottom half of my faves... but still one to read if you like these types of novels. It will pull you in.",63,0.9925,0.041,0.823,0.136,0.384704761904762,NEGATIVE,0.927
7,28286233,07/25/2008,1,"I learned that Dan Brown is a bad writer and I will never read any of his other books. I also am upset at my friend for recommending me this book.In short, the book is a bad novel, and a very bad novel if you know anything about math / cryptography.Not only the technical errors were appalling, but the writing style itself is mediocre.WARNING: spoiler here.There is a scene where the heads of NSA along with some of the smartest people on Earth were trying to solve a riddle left by the bad guy as a clue. It took them a whole chapter to solve the riddle, these people who with IQ of supposedly 170+. But I, a reader with average IQ and no formal training in cryptography, knew instantly what the riddle is all about. How is that realistic? either Dan Brown's IQ is below average, or it doesn't take that much to become the head of NSA. I opt for the former.The character development is weak, no strong plot lines, and the dialogs were so bad they could have been written by me. Total waste of time. The only fun I got from this book was the time I wrote this review to bash it.",61,-0.8573,0.15,0.745,0.105,0.5181159420289855,NEGATIVE,1.0
8,1199691084,02/13/2015,2,"This was just ok for me, I think I expected more because I enjoyed his others so much.",48,0.6983,0.0,0.692,0.308,0.4599999999999999,NEGATIVE,0.9738
9,284741386,02/26/2012,5,"No matter what people want to say about Dan Brown or his books or hatred towards him you got to admire the fact that what he brings to the table no one else does.This was the book which brought me to the beautiful world of books. Before reading this book I though reading was a bit cissy and a waste of time since everything is fictional, why not better read some spiritual/self help and knowledge books. After reading this book everything changed, I started to read more and more fiction and today books have become one of the most important parts of my life all thanks to this books.Today I have read all of Dan Brown books apart from Angels & Demons but this book remains to be my favorite. I agree that he is not a great writer and uses the same formula in every of his books, not versatile at all. But he holds a special place and I will always hold a special place in my bookshelf because of the reasons I mentioned above.",42,0.8898,0.074,0.786,0.14,0.5045238095238095,POSITIVE,0.9984
