,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,208394789,09/14/2011,3.0,"I bought and read this book in about 2008, even though I don't generally go for memoirs or biographies, as such (though I am aware that I've read a couple more; one was a biography on Kevin Costner)... I did find it a page-turner, and it's certainly different from many books out there ;)For those who don't know who the Hell Peter Kay is; he's a Northern English (Bolton, Lancashire) comedian ;)It basically covers how he started off in work, gained material from funny (kind of) things that happenned to him, then went into stand up comedy. Followed by a couple of television shows and commercials... Is it funny? Some parts may make you smile (depending on your sense of humour, he's not funny to everyone, and not all the time), but I didn't find it a 'laugh out loud' read... Example: In one of his places of work, he rounds a corner with a work friend and finds armed masked robbers and staff on the ground. One guy, in a Mickey Mouse or Colonel Ghadafi mask points a sawn-off shotgun at him and tells him ""Get Down!"" Peter Kay replies ""What, you mean dance?"" *Laughing*Okay, maybe some parts are actually 'laugh out loud' funny ;)The thing that struck me as a little odd, or maybe just not healthy, I'm not sure; Was how much he relied on his mother (I'm not saying that's a bad thing, or maybe I am *smiling*)... I mean like cooking his meals when he's an adult (daily, not occassionally), though he was obviously very close to his mother (and I certainly don't object to that)... At one point he leaves home to go to college, he packs his clothes and duvet and goes to catch a train. Okay, so far this isn't weird ;) But then, after one day (or something close) he decides it's not for him and he phones his mother... He says that college is okay, then asks what she's having for dinner... Then, as he's actually in a phone booth at the end of the street, he rushes down and knocks on his mother's door (then goes in for his dinner)... Maybe it's just me... I do understand showing your mother that you love her. I understand spending time with her... But I was cooking my own meals when I was 14 years old, doing my own washing and shopping (and my mother's shopping)... Okay, that may not be 'normal' either LMFAO... But I also left home at 18, so maybe it's just me... It's certainly my opinion ;)I enjoyed reading it the first time, but I wouldn't want to read it again. ",4,0.9842,0.052,0.824,0.124,0.5852793040293041,NEGATIVE,0.9511
1,2809255961,05/05/2019,5.0,"Hilarious from page one, had to keep stopping as I couldn't see to read through the tears of laughter. Loved it!",3,0.8221,0.122,0.525,0.353,0.9,POSITIVE,0.9992
2,4477238403,02/02/2022,3.0,"Tonally, it’s exactly what you’d expect from the family-friendly comedian, even though some of it really hasn’t aged well in terms of political correctness.It was a breezy read - funny and generally very light.Only a small slither at the end was about his standup - the vast majority was his late teen years. It’s a shame because I would have liked much more about his comedy career.",2,0.8529,0.043,0.769,0.188,0.4624999999999999,POSITIVE,0.9988
3,37178928,11/08/2008,4.0,"One of the best autobiograhys I have read. You can just imagine Peter Kay writing it and is just what you expect from him. I did, however, expect the book to be more about his comedy career & more recent happenings.",2,0.7884,0.0,0.838,0.162,0.3875,POSITIVE,0.9986
4,2119985645,09/10/2017,5.0,"Brilliant - a laugh a minute, sentimental but not schmaltzy memoir of the comedian Peter Kay.",2,0.8294,0.0,0.48,0.52,0.7000000000000001,POSITIVE,0.999
5,2932926107,08/11/2019,5.0,A comedian writes about his early life.I found this book laugh out loud funny in places.Reading time around five hours.,2,0.8442,0.0,0.637,0.363,0.55,POSITIVE,0.9679
6,4404144613,12/30/2021,5.0,"Thoroughly enjoyed this. I'm getting more and more into autobiographies as time goes on, and it's reassuring to know that a lot of famous people were precisely nowhere when all of a sudden, things started happening for them. A booster dose of hope at the end of the year! Maybe one day people will be giving my own autobiography two stars and wondering 'why the hell he felt the need to tell us this crap, who is he anyway?' A boy can dream. Needless to say, Peter did a much better job than I would.",0,0.8012,0.072,0.769,0.159,0.73,POSITIVE,0.9323
7,2598052021,11/25/2018,4.0,"It wasn't as good as I expected, but I did enjoy it. It picked up and got more interesting towards the end",0,0.8218,0.063,0.63,0.307,0.5,NEGATIVE,0.9284
8,4491787298,01/23/2022,4.0,It was an entertaining and enjoyable read!,0,0.7263,0.0,0.451,0.549,0.6499999999999999,POSITIVE,0.9945
9,2907438779,12/11/2020,5.0,Absolutely funny book but I expected nothing less from Peter Kay 😁,0,0.2724,0.0,0.811,0.189,0.4888888888888889,POSITIVE,0.9986
10,3248251167,03/26/2020,5.0,And laugh you do ! Fab read x,0,0.784,0.0,0.367,0.633,0.1,POSITIVE,0.9917
11,978039025,06/26/2014,2.0,"The rating of this book is reflective of the story rather than the writing skill. There are no errors or structural problems and it is easy to read and vaguely interesting. I was thoroughly disappointed, however, with the plot. As a memoir the plot suffers from being a report of the truth which in the case of Mr Kay seems to be surprisingly dull.I read a lot of memoirs of comedians, Russel Brand, Jack Dee, Rob Brydon, Michael McIntyre and Stephen Fry to name a few. All of their memoirs showed a frank, warts and all glimpse into their lives and were a lot more humorous as a result as well. With The sound of laughter, I felt I could have written it myself with enough research and feel I know Peter Kay less than I did from my preconceptions before reading it. All the 'funny anecdotes' were things I had seen dozens of times before. He even described how he does a wedding sketch where he's a kid at a wedding sliding on his knees. Who hasn't seen that? He describes much of the things we have all seen before and made me feel I was now more than familiar with his entire repertoire. This isn't entirely Peter's fault. It is just that he seems to have been extremely lucky in his road to success and we are all aware of all of it. There isn't really a back story. I have found that, as a result of reading this book, my enjoyment in watching Peter Kay's comedy has suffered. All in all, I wish that I had never read it.",0,0.9575,0.071,0.786,0.143,0.4944444444444445,NEGATIVE,0.9999
12,2830303230,05/27/2019,2.0,"Not my cup of tea. I have enjoyed Peter Kay as a comedian but as a writer, no. I find that having to read “joke” every three sentences is a real put off particularly when the joke is not funny. This book being an autobiography I wanted to know something of the man and how he got to be a comedian. It was quite clear early on that Peter really didn’t have the material for an autobiography. Shame.",0,0.5612,0.115,0.707,0.179,0.4595238095238095,NEGATIVE,1.0
13,468096881,12/02/2012,4.0,A very funny read but in this case it is no substitute for the live performances of Peter Kay. An entertaining quick read.Another one of those books that's ideal to dip in and out of when you want cheering up. A very light read that is not great but there are plenty of laughs to make it well worth reading. Pretty much what you expect with Peter Kay.,0,0.9713,0.078,0.596,0.326,0.666,POSITIVE,0.9994
14,2778125161,04/09/2019,5.0,"I am not a huge fan of autobiographies but this is the only book my husband has ever mentioned to me (that may be because it is the only one he has ever read) so I was guilted into reading it. However, it is hysterically funny and wildly relatable, Peter Kay is the everyman. It was also by chance that I read it before sitting my driving test... so maybe it is a sign.",0,0.6584,0.04,0.875,0.085,0.86,NEGATIVE,0.5092
15,2505955672,08/24/2018,5.0,He’s just funny xx,0,0.4404,0.0,0.508,0.492,1.0,POSITIVE,0.9984
16,4252711480,09/28/2021,5.0,"This autobiography by Peter Kay was first published back in 2006. To be honest I didn’t read it back then, even though I love Peter Kay. Autobiographies in my opinion should be written towards the end of the subjects long and illustrious career, or at least in the autumn of it, once they have a story to tell. However it then came out on Audible read by Peter Kay. It was a no brainer, I had to listen to it. I may be 15 years late in discovering this book, but the wait was worth it and although I thoroughly enjoyed the content Peter Kay’s reading off it enhanced it 200%!What I loved about this was the way he reads it, it’s not just a straight forward narration, you get the feeling he’s sat there, book in hand reading just to you, constantly breaking off with comments, comic asides and the occasional brew. He mentions in his book that audio books can sometimes be boring and put you to sleep half way through the first chapter, that’s a criticism that can’t be applied in this case! This reading style fits perfectly with Peter Kay’s persona and it makes for a very entertaining, enjoyable and funny listen. As for my criticism of autobiographies published too early in someone’s career, well The Sound of Laughter only covers Peter Kay’s life up to him breaking through as a stand up comedian. There’s nothing about his successes such as Pheonix Night’s, Car Share or his uproariously funny stand up tours. So there is room for another volume - maybe at the end of his long and illustrious career! What you do get here amongst the jokes and laughter is a story of someone who worked hard to get where he is. Having had several part time jobs along the way. I think for me what sums him up is the fact it took him 5 tests and 6 years to pass his driving test, he never gave up.I would thoroughly recommend the Audible version of The Sound of Laughter if like me you didn’t read the book or if even if you did, either way it’ll brighten up your day and put a smile on your face. ",0,0.9967,0.046,0.76,0.194,0.4951041666666667,POSITIVE,0.9934
17,4266951321,10/25/2021,4.0,"Did a complete 360 with this book. I didn’t get off to a good start with it. The story spans his life from high school to mid twenties when he won his first stand up comedy competition. This covers his school life, life following school, uni, various college courses and dozens of jobs. However good luck working out which order all of that goes in. This was my first and immediate frustration with the book. Nothing is in chronological order and he leaps about going forwards and backwards. But only that but he will start a story, go off on a tangent, come back to the original story, go off on a tangent again… The first chapter I hadn’t a clue in the end which story he was trying to tell. A few chapters in and I was really fed up with it. I listened to this on audible so it was Peter reading it, and he has put in some extra bits where he will just stop the book and talk for half an hour. Except he talks about nothing (sorry). With his chaotic form of recounting events and his rambling in between I very nearly gave up on the book. But I decided after a weeks rest to give it another go. Glad I did, as this was the part where he tells his little anecdotes about the various jobs he’s had. I loved listening to his stories. I loved hearing how close he was to his family, how he loved being at home, his favourite tea of chicken Kiev, chips, beans and a fried egg (must try that). It all made it very Peter Kay. Suddenly I was really enjoying the book, and it picked up a lot. The lack of chronology still bothered me but when i heard how he started his stand up acts it made sense, it’s his style. No order just as it comes, and he’s been known to change his whole act on his way to the stage and improvise. So it was just his style. Really enjoyed it in the end. ",0,0.98,0.048,0.837,0.115,0.4820833333333333,NEGATIVE,0.6686
18,4296427797,11/04/2021,4.0,"I listened to the audiobook as I figured having the man himself read his own book would be on the money. Hmmm. It was ok, but the actual reading was quite strained and sometimes painful. Much better when he strays off-script and wanders off on a distraction, which let’s face it is the style of him in action. Let’s be clear, I think Peter Kay is one of the best comedians I’ve ever seen and vividly remember around 2002 unable to breathe for laughing at one of his gigs. Though some of his material/delivery has now dated a little, there’s still a lot of joy in this. However there is one (seemingly very funny) chapter where he is describing his training for his Stewards job at the Manchester Arena which suddenly becomes, with hindsight, quite insensitive (searching bags for bombs, referring to “blowing the legs off” etc). It was written (and narrated) prior to the Ariana Grande incident, but the smile fades very quickly at this point. That said, I enjoyed the book and it does offer an insight into the man himself as well as some of his funniest moments. ",0,0.9837,0.062,0.75,0.187,0.4824074074074074,NEGATIVE,0.9991
19,4254387843,10/06/2021,3.0,"There is no doubt that this is entertaining, but I'm not sure how much you learn about Kay himself. The focus is on delivering comedy around the stories in his life, rather than the reality of the stories themselves. There are two times I think we come close to seeing anything different. The first - unfortunately - is the parade of Partridge style ""needless to say, I had the last laugh"" grudges throughout the book where Kay continually names various people who rubbed him up the wrong way in his formative years. The second is more touching where he reflects on the role religion has played in his life, and was a unexpected moment of unapologetic sincerity.That said, the funniest line in the book is where he says he ""doesn't like to rip people off"" - presumably he got over that when he released the same stand up tour on repackaged DVD for about five years running. Needless to say Peter had the last laugh as he got my cash for this book.",0,0.8832,0.081,0.8,0.119,0.4906944444444444,NEGATIVE,0.9932
20,2199822626,11/30/2017,2.0,"I love Peter Kay but I didn't love his autobiography.It started off well enough and some of the characters he recalls from his early years growing up in Bolton were amusing and unique. I found myself making connections between his stand up and the subject matter in this book. There were a few real laugh out loud moments and I was really enjoying it. Then, something happened halfway through. It seemed to get lost and I was finding it incredibly dull. He warbled on about his music interests and collection for what seemed like a decade and I found it harder and harder to pluck up the enthusiasm to pick up the book and continue reading. In the end, I stopped fighting and took it back to the library. I think I'll stick to his DVDs instead.",0,0.9721,0.078,0.699,0.222,0.4322222222222222,NEGATIVE,0.9999
21,3628487463,11/10/2020,3.0,"The book begins with a story about how he started learning to drive which seemed odd, but he goes off on tangents, with loads of flashbacks. There’s some funny stories, or at least he manages to throw in some punchlines now and then. Each chapter is on a different part of his life, but the stories aren’t chronological. Sometimes he even jumps about in time during the same chapter. I don’t see any reason for him to do this. He mainly discusses his employment history; warehouse, petrol station, video rentals, bingo hall, cinema, and more. There’s not much content about his transition into the world of comedy which is rather odd, given that it’s a comedian’s autobiography.",0,0.5423,0.038,0.903,0.059,0.3658333333333333,NEGATIVE,0.9982
22,3145577745,01/20/2020,3.0,"For an autobiography this is not like Peter Kay at all and it is such a shame.Extreme negativity and complaining throughout, Kay comes across as mean and even offensive. The novel doesn't get going until it's too late and, for some reason, focuses mainly on his life between 15-21 years old.It does have some laughs and is extremely easy to read, with Kay's special 'chatty' style. However, to not focus on how he actually rose to fame in his own story, seems surreal and neglectful of his audience.",0,0.2693,0.126,0.737,0.137,0.719510582010582,NEGATIVE,1.0
23,4247589486,09/22/2021,4.0,"Do not read this book!Peter reads the audiobook himself many years after writing it and often just puts his book down and goes off on a tangent which could go anywhere, so listen to it! The book was a great listen, with many laugh out loud moments that kept me entertained for a couple of days worth of driving.It spans from his childhood up to when he first wins a local stand up competition beating Jonny Vegas, now maybe there already is one (I’ll have to check) but I hope one day there’s a book which takes the story up to present day.More power to you Peter.",0,0.8986,0.018,0.847,0.135,0.3247474747474748,POSITIVE,0.997
24,4506689257,01/26/2022,5.0,"Peter Kay has long been the UK’s favourite comedian with sell-out arena tours, TV series and memorable guest appearances. For reasons known to himself, in 2017, he stepped back from all public appearances including a second sell-out arena tour. Peter Kay’s record breaking, best-selling autobiography was written back in 2006 and finally came out on audible last year with the narration by the great man himself. It is so good to see (and hear) him again. He has been sorely missed. A real treat on this damp and cold January day.",0,0.8988,0.022,0.846,0.132,0.4319444444444444,POSITIVE,0.9996
25,1781756471,01/02/2017,3.0,Peter Kays autobiography starts off pretty funny then fades the further it goes on. There are quite afew funny bits but I am on the fence about whether I found it particularly interesting or not. There was something about this book I just couldn't put my finger on and meant I wasn't quite engaged in it which was a shame.I quite like Peter Kay as a comedian but I am not a huge fan and maybe thats why I am on the fence as avid fans probably really enjoyed it.,0,0.9491,0.079,0.68,0.241,0.8250000000000001,NEGATIVE,0.9999
26,2201905887,12/02/2017,4.0,"I'm not one for autobiographies or memoirs but I did enjoy this. Kay's writing style made it so easy to just keep dipping into this book & reading a bit at a time. It's just like listening to him talk...unless I'm starting to read with a Lancashire accent (which I do hope not being a Yorkshire lass!)If you've seen his Mum Want's A Bungalow show, you'll recognise a lot of the anecdotes....great fun, & don't forget to look out for all the side notes.",0,0.9757,0.0,0.745,0.255,0.4083333333333334,POSITIVE,0.9988
27,2302280799,02/24/2018,4.0,"An entertaining read, charting Peter Kay's early life and rise to becoming a successful comedian. In parts it seemed to jump around and lack cohesion, but overall its a good read - a 'laugh out loud' book. Not sure about his confessions to petty thievery, but maybe going public puts the management of such establishments on the alert! An easy and pleasant book to read; you can hear his voice in the narrative.",0,0.9517,0.11,0.609,0.281,0.5811965811965811,POSITIVE,0.9982
28,4360778426,12/25/2021,5.0,"I listened to the new audiobook version of Peter Kay’s autobiography more than a decade after reading it. The audiobook has the benefit of Kay going off on tangents about his memories, as this is the first time he read the book since it’s release.It is a very wholesome read and includes many hilarious childhood anecdotes, many of which made it into his standup routines later in his life.Great book for fans of Peter Kay.",0,0.6908,0.0,0.925,0.075,0.4484848484848485,POSITIVE,0.9988
29,2341652124,04/14/2018,2.0,"If you're looking for a laugh-out-loud read, this isn't it. Peter Kay's stand-up performances are impressive but his writing skills are ok. It's not that I hated it, it just didn't have that staying power I expected of it. This book appears to be a staple in the charity shops I frequent for good reason; you read it, think ""yeah, it was ok"" and pass it on.",0,0.9631,0.0,0.738,0.262,0.5714285714285714,NEGATIVE,1.0
30,2753886715,03/20/2019,3.0,"Peter Kay is a very funny man, but this autobiography feels a bit odd. It’s worth reading for the last couple of chapters where he becomes the comedian everyone loves, and those strange little stories told in the earlier chapters make sense when you realise they’re part of his first few routines as a stand-up. ",0,0.8292,0.08,0.718,0.201,0.3333333333333333,POSITIVE,0.6912
