,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,7142589,10/02/2007,5.0,"The title of this autobiography tells it all ""Extreme"". If you want to go on a wild ride then this is the book for you. Prepare yourself for some bizarre escapades and foul language and you won't be able to put this book down. Hard to believe anyone could survive a life such as this.",8,-0.34,0.067,0.909,0.024,0.5650793650793651,NEGATIVE,0.9941
1,418562302,09/20/2012,5.0,"Excellent. I read A LOT of bios- especially rock and celebrity... but I never read one that I connected with so personally, or was so sad to finish. I just want to have coffee with Sharon every morning.... in another life, perhaps.Painfully honest about her struggle as the wife of an addict. I am the wife of an alcoholic, and I have read a lot of books about addiction and/or addicts. But none other has touched my heart so deeply. If you love an addict- spouse, child, friend, etc- and have found other accounts to not exactly portray your pov, try this one. I am a similar smart-ass, no-back-down personality to Sharon, I think. But I often feel others think my commitment to my husband is viewed as a weakness. Like, if I was so tough, I would ""just leave"".... this aspect of living with an addict is a central theme of Sharon's book. So also is the guilt brought on by considering cutting lose someone who has a real disease, when all of your own success was built on their back.But, dont get me wrong-- this is NOT a whiny wallowing version of being an addicts wife. It is an account of owning your part, and remaining faithful, while maintaining to the end a position of fighting for an addict until they are either in remission or gone. I may some day see my husband finish himself off... but it wont be without me fighting him every step of the way...It was also a story of hope, in that- at the time of it's finish- Ozzy was 2 years clean, and her son 3 years. Sharon's story reinforced my belief that my way may not be the AlAnon way, but it is MY journey... not conducive to the choices of others, but not ""wrong"" either.",7,0.9395,0.087,0.788,0.125,0.6134920634920635,POSITIVE,0.9998
2,174147683,06/06/2011,2.0,"I must admit I expected a lot more from Sharon Osbourne, being the strong opionated woman that she is. Instead I discovered a woman very much dependant and dictated to by those around her, particularly her father (who was not a nice chap to put it nicely) then by her partners and husband. I was shocked to discover that the woman we know today did not come out until she was nearly killed by the man she had married and to whom she stood by despite his abusive nature. Putting that aside I was also surprised by how little Sharon actually gave of herself to the book, keeping it focused on the acts she grew up around, toured with, managed etc rather than looking into the more personal aspects of her life, such as her personal relationship with her parents (rather than the business one) and how this impacted her decisions in later life. It was not until she has been diagnosed with colon cancer and Ozzy has calmed down dramatically that I began to feel that it was the real Sharon talking rather than a show-biz drama queen. This is an interesting book , particularly if celebrity is your thing but don't expect heart-felt explorations into her past or details of her as a person rather than as a music agent/manager.",7,0.1368,0.046,0.897,0.057,0.4369082125603866,POSITIVE,0.9247
3,4255803815,11/10/2021,,It's only $2.99!!!!!I hear this memoir is cray cray,5,0.0,0.0,1.0,0.0,1.0,NEGATIVE,0.9945
4,12159442,01/10/2008,1.0,"Sharon Osbourne, wife of Ozzy Osbourne of Black Sabbath & bat-eating fame, mother of three, and former talk show host, has a fascinating life to an outsider. That being said, it’s not very fun to read about. Extreme: My Autobiography is chock-full of people who abuse substances, are abusive, and are abused. And most of the people found herein do all three to an extent that I couldn’t find a reason for reading about them.I had high hopes for Osbourne’s book, because I think she is a very likable, strong woman who has accomplished many things. I was disappointed.",5,-0.4661,0.154,0.711,0.136,0.5508760683760684,NEGATIVE,1.0
5,118655220,08/25/2010,5.0,"I've needed a little bit of Sharon Osbourne in my life! This book really taught me that despite set backs (and Shaz had some major setbacks...is setbacks even the right word for what happened to her?!) it's possible to be a huge success. I'm in awe of someone who clearly has it all: loving husband, amazing career, doting children, and sweet puppies. It was fun to read this after reading Ozzy's autobiography and ""compare"" notes. A survivor story in more ways than one. HIGHLY recommended.",4,0.9813,0.0,0.708,0.292,0.55421768707483,POSITIVE,0.9992
6,3692605,07/28/2007,3.0,"this review first appeared on [http://intraspace.blogspot.com]anna got this from her book club, i think. i came across it when i was looking for something a bit lighter to read...i suppose it's a bit of a ""girl's book"", but it's also a rather interesting insight on the music industry of the 50s, 60s, 70s and 80s.sharon osbourne is famous to most people for being the wife of ozzy osbourne, former lead singer of black sabbath. but apart from this significant accomplishment, she was also on the inner circle of the british music industry.her father was an artist manager, and was responsible for bringing rock n roll to britain. he turned down management of a new band called ""the beatles"" because he thought the idea of british rock was a joke. instead he continued to focus on bringing american acts like chuck berry over to the uk. other famous artists he represented included ELO in the 70s (by then he had caught on to the idea of british music).sharon became involved in the industry, and much of this book is about the corruption and criminal under-current of the music business. nothing girly about that! sharon herself was (is) a bit of a hard woman - not afraid (it transpires) to use her excrement (literally), her language and her fists to prove a point. before i leave off talking about the music industry bits of the book, i should also say - did you know that sharon once managed the smashing pumpkins? she ditched them because billy corgan was a royal pain in the arse.the rest of the book is about her relationship with ozzy - enduring weekly beatings and his insane drug and alcohol addiction. she also talks about her kids and her fight with cancer.so lots of aspects to this book - well worth reading for either the music industry stuff or for the human drama.",3,0.1134,0.059,0.878,0.063,0.4111847643097643,POSITIVE,0.9791
7,71727440,09/18/2009,5.0,"I will be honest and admitt the only reason I ended up reading this book, was because I was on holiday and read all my books before it was time to go (truely hate it when that happens) so I tried one of my friends ... well I can say I asctually loooved it! .. I had no idea the live Sharon Osbourne lead prior/during her earlier life with hubby Ozzy!It's a truely remarkable story, one at times seems fictional, but definatly a good read, to look into the life of others and find just how different people's lives are. I think one of the reasons I liked the book so much was due to the amount of honesty layed out on the pages; it makes you feel a certain way when you read it .. All I can say is for me it was a good read,(I don't no maybe it was the extreme heat-but I enjoyed it)I wont spoil anything for anyone wondering about the events that occure inside the book; all I will say is there has been a lot of drama in Sharon Osbourne's life.",3,0.9789,0.034,0.798,0.168,0.6404017857142856,POSITIVE,0.9982
8,426772320,10/02/2012,2.0,"Everyone talks about Mrs. Osbourne as a hero but after reading this book I see her as a victim of serious abuse who is incapable to break the abusive circle she has forced herself and her kids to live in. She is a sad example of a woman who keeps staying together with a man who abuses her physically and mentally and tries even to murder her. I don´t see anything heroic in that and definitely wouldn´t count her as a role model. She is an incredible talented and smart woman, so why does she spend her entire life of being a co-dependant for a violent drug user?Also, the style of the book was quite shallow. Osbourne gets by huge happenings in her life in 1-2 sentences. That might of course be because her life is so full of dramatic turns that they wouldn´t fit in abook though it had 5000 pages.If you´re interested to know how functional the Osbourne family truly is I´d recommend a documentary God Bless Ozzy Osbourne,co-produced by Jack Osbourne. ",3,-0.7964,0.195,0.619,0.186,0.5489718614718616,NEGATIVE,1.0
9,500452131,01/08/2013,4.0,"I'm afraid I've never had any respect for Ozzy Osbourne due to the infamous bat and dove incidents, so it's with a great deal of surprise that I have to admit I really enjoyed this book. (Same as I actually enjoyed ""The Osbourne's"" despite not wanting to...)But I don't know why exactly? After all it's filled with alcoholism, drug addiction, abusive men and above all a very abusive main relationship between Ozzy and Sharon. It's hard for me to see how they have risen above that to have the relationship they seemingly have now. I think I would find it near impossible to love someone who constantly cheated on me, punched and hit me, broke my teeth and of course tried to strangle me to death! Maybe it works because they are as bad as each other!Still I did enjoy it, found it a book I couldn't put down and ended up giving a 4 star rating to...go figure....",3,-0.2933,0.146,0.716,0.139,0.5173280423280423,NEGATIVE,0.9428
