,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,1163570729,01/10/2015,4.0,The first cookbook I cooked almost half the recipes from. So much yum. Reads like lit--apparently he speaks his recipes aloud and they're written by someone else. Could be urban myth.,3,0.3612,0.0,0.921,0.079,0.175,POSITIVE,0.9973
1,1657,12/10/2006,5.0,"My favorite and only cookbook. I love the ravioli with ricotta cheese and pine nuts and basil. Also I've made the pot roast with peaches and sunchokes, which taste like really savory potatoes. Its delicious slathered in peach juice. Yummy. ",2,0.9382,0.044,0.633,0.322,0.76,POSITIVE,0.9996
2,144025914,01/27/2011,5.0,I love pasta. I can eat it everyday and be happy. This book is full of great pasta recipes. I have now prepared all of them and they are all winners! I also made the roasted beets this summer and it was to die for. Even those who think they don't like beets would probably love Jamie's recipe. I'm now starting on some of the starters and snacks. This is one my favorite all time cookbooks.,0,0.9611,0.064,0.674,0.262,0.6499999999999999,POSITIVE,0.9982
3,32200139,09/06/2008,5.0,"Jamie's way of cooking - a glob of this and a crank of that...it's right up my alley. Everything I've made that's been inspired by this book has been freakin' fabulous. My fave is the avocado/watercress/new potato salad - just toss it all together with some good olive oil, fresh lemon, salt and peppa! Mmmmmmm......",0,0.9324,0.0,0.754,0.246,0.6589285714285714,POSITIVE,1.0
4,244965792,12/09/2011,4.0,"I got this as a birthday present when I was 16. Stared at the beautiful pictures for ages, and when I began actually making some of the recipes, found they were excellent as well. I am especially fond of the Roast Chicken, the Asian salad (I add noodles for a no-cook meatless dinner), and the Pukkolla, best make-ahead breakfast ever.",0,0.9524,0.0,0.741,0.259,0.54375,POSITIVE,0.9998
5,43220086,01/16/2009,5.0,"This book, known as The Return of the Naked Chef where I come from, is the Jamie Oliver book I use most frequently, except perhaps Jamie's Dinners. The latter section on sauces, pickles, dips etc is outstanding.",0,0.6124,0.0,0.895,0.105,0.415,POSITIVE,0.9869
6,48932279,03/11/2009,5.0,"brother got me this for christmas- haven't done even a fraction of the recipes yet, but just from reading it i can tell i'm going to love it. everything looks so tasty and he explains it all so i think even an extreme novice would be able to do a lot of the recipes. jamie oliver is my jam!",0,0.7959,0.0,0.899,0.101,0.7416666666666667,POSITIVE,0.9991
7,56722827,05/20/2009,5.0,The Naked Chef Takes Off by Jamie Oliver (1/3),0,0.0,0.0,1.0,0.0,0.4,POSITIVE,0.9827
8,56722918,05/20/2009,5.0,The Naked Chef Takes Off by Jamie Oliver (2/3),0,0.0,0.0,1.0,0.0,0.4,POSITIVE,0.9856
9,56722972,05/20/2009,5.0,The Naked Chef Takes Off by Jamie Oliver (3/3),0,0.0,0.0,1.0,0.0,0.4,POSITIVE,0.984
10,768971655,11/19/2013,4.0,"This is a re-read for me -- Thanksgiving is next week! This book taught me how to make the bomb baked chicken with lemon, I highly recommend it. A little more free-form than most cookbooks, but lots of fun and great pictures.",0,0.9412,0.0,0.703,0.297,0.4925,POSITIVE,0.9966
11,1035121224,08/24/2014,3.0,"Even if you're not a fan of Jamie Oliver, this book has a good range of basic recipes and lots of ideas for informal entertaining, although there's a bit too much of the 'pile it all on a plate and invite everyone to share' approach.",0,0.7676,0.041,0.757,0.202,0.40625,POSITIVE,0.9967
12,1338630,05/21/2007,5.0,"I sat down and read this cookbook like a novel, it was that entertaining. Beautiful pictures, delicious recipes and instructions.",0,0.936,0.0,0.459,0.541,0.7472222222222222,POSITIVE,0.9908
13,4507442,08/13/2007,,"jamie smiles o so cute,witty silly funny dude,n he can cooks great yummy foods...",0,0.9342,0.0,0.346,0.654,0.875,POSITIVE,0.9994
14,5561544,09/02/2007,3.0,"I like this cookbook, I don't use it as heavily as some of my others but it has some gems in there! ",0,0.2598,0.0,0.903,0.097,0.5,POSITIVE,0.9984
15,23689216,06/04/2008,3.0,"this is a tricky book to cook with - as several of the recipes include errors - but the photos and the ideas are fun, and the layout is pretty ",0,0.8294,0.086,0.662,0.252,0.3999999999999999,POSITIVE,0.9897
16,31322431,08/27/2008,4.0,Jamie Oliver is just so cute.,0,0.5949,0.0,0.564,0.436,1.0,POSITIVE,0.9969
17,33614995,09/23/2008,5.0,Fantastic cooking book. I also love Jamie!!!!! Great easy to make delicious recipes!,0,0.9669,0.0,0.262,0.738,0.8166666666666668,POSITIVE,0.991
18,36968187,11/05/2008,3.0,"Simple recipes, easy to find ingredients, and no fluff. ",0,0.1779,0.182,0.579,0.24,0.4968253968253968,POSITIVE,0.9999
19,55359163,05/08/2009,4.0,Jamie's recipes are easy to follow. The risotto recipes are delicious and simple to make. The photography in this book is wonderful. ,0,0.8834,0.0,0.648,0.352,0.7976190476190477,POSITIVE,0.9988
20,86211433,01/22/2010,4.0,I enjoyed the recipes in here and have had trouble deciding what to make first! I borrowed it from the library and I would like to buy a copy.,0,0.5255,0.088,0.714,0.198,0.411111111111111,POSITIVE,0.9829
21,101686122,05/07/2010,4.0,"This is a very worthwhile cook- book. Packed with all the recipes that hve hallmarks of Jamies simple yet delicious style, this will keep any keen cook occupied for a long while to come.",0,0.8357,0.0,0.765,0.235,0.6017857142857143,POSITIVE,0.9924
22,120924232,09/09/2010,4.0,"Although Jamie is adorable and his recipes are lovely/easy, I found it somehow obnoxious that all receipes imitated his actual way of speaking - casual, choppy, a little too cute. ",0,0.575,0.089,0.682,0.229,0.6111111111111112,NEGATIVE,0.9998
23,170671790,05/24/2011,4.0,"Oh how I love thee, Jaime Oliver!",0,0.6696,0.0,0.527,0.473,0.6,POSITIVE,0.9991
24,192104341,07/30/2011,4.0,More yum.,0,0.0,0.0,1.0,0.0,0.5,POSITIVE,0.9992
25,199466657,08/17/2011,4.0,"""Pukka!""- as Jamie would say.",0,0.0,0.0,1.0,0.0,0.0,POSITIVE,0.9741
26,246375320,12/12/2011,5.0,One of the best cookbooks I have read in years. Has a veritable forest of tags for recipes I am going to try.,0,0.6369,0.0,0.819,0.181,0.3,POSITIVE,0.9978
27,333428658,05/20/2012,3.0,"Most of the recipes are pretentious and impractical but the basics like bread, pizza and pasta (without the expensive sauces and toppings) are explained well.",0,0.7096,0.0,0.796,0.204,0.6333333333333333,POSITIVE,0.9991
28,344011935,06/07/2012,3.0,"Got a few good recipes out of this, that I am looking forward to trying. I do like Jamie Oliver and his yummy food!",0,0.8439,0.0,0.664,0.336,0.35,POSITIVE,0.9997
29,384905761,08/05/2012,4.0,Love all the pictures and can't wait to try several if these.,0,0.6369,0.0,0.724,0.276,0.3,POSITIVE,0.9997
30,563723380,03/17/2013,5.0,"Always delicious recipes, and non deceiving pictures; it shows the food in a 'I could have made this' way.Success guaranteed with this book.",0,0.3182,0.092,0.766,0.142,1.0,POSITIVE,0.9965
31,1321360752,06/29/2015,4.0,Ate adaptations of most of these recipes when I had a vegan roommate who also cooked everyday. ,0,0.0,0.0,1.0,0.0,0.55,POSITIVE,0.9803
32,1431419045,11/02/2015,4.0,"It is actually a bit above 3.5 stars! It is a nice book, nice new recipes, but not so much different from the previous one.",0,0.4753,0.0,0.837,0.163,0.4887445887445887,POSITIVE,0.8304
33,1224586969,03/11/2015,5.0,"I love all of his cook books, simple, raw and outstanding",0,0.8481,0.0,0.494,0.506,0.5734203296703296,POSITIVE,0.9905
34,3103581835,12/27/2019,4.0,"Jamie Oliver's classic bestselling book, with simple recipes that combine bold flavours and nutritious fresh ingredientsThe Naked Chef teaches you how to make beautiful dishes from scratch, whether you're cooking for guests or simply enjoying good food with your family. Host a dinner party your friends won't forget with light Vegetable Tempura, followed by melt-in-the-mouth spiced Slow-Cooked Lamb Shank. Or why not try the Chilli, Tomato, Oregano and Pancetta Pizza; perfect for getting the family stuck in.This book has something for everyone - from those who want great food but want to keep it simple, to those who work for a living and don't have time to spend all evening cooking. The Naked Chef is all about giving people confidence and getting them to feel at ease in the kitchen, with the help of Jamie Oliver, even if they have never tried cooking before!",0,0.9833,0.009,0.761,0.23,0.5767399267399268,POSITIVE,0.9999
35,1998098631,05/12/2017,4.0,Lovely and easy recipes that made my mouth water :),0,0.8658,0.0,0.419,0.581,0.8611111111111112,POSITIVE,0.9998
36,2233276704,12/30/2018,5.0,Just tidying up my reads for the year. Really recommend the fish pie!,0,0.474,0.0,0.795,0.205,0.2,POSITIVE,0.9965
37,3175455537,02/04/2020,4.0,"more of those delicious, easy to make recipes",0,0.7823,0.0,0.466,0.534,0.7777777777777778,POSITIVE,0.9998
38,1830884849,12/05/2016,3.0,"I used to own this, and flip through it endlessly, but my experiments with the recipes did not cause me to love it deeply (although I liked reading it), so I gave it away. I still swear by the pukolla, or whatever it's called, and I've been known to make the chocolate bread since, but with my own bread recipes, not his.",0,0.8914,0.02,0.831,0.15,0.7583333333333333,NEGATIVE,0.9995
39,928522655,05/04/2014,5.0,"Easy to prepare recipes that taste great. Fresh, simple cuisine with Mediterranean influences. Casual elegance and healthy food that is purely delicious. I used to cook from this book all the time in the early 2000s; really enjoying rediscovering it now. ",0,0.9738,0.0,0.566,0.434,0.6341269841269841,POSITIVE,0.9829
40,1777413772,11/06/2016,4.0,I like the easy recipes in this cookbook!,0,0.69,0.0,0.468,0.532,0.8333333333333334,POSITIVE,0.997
