,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,1937340,06/13/2007,3.0,The greatest first 30 pages ever. The worst rest.,675,0.0258,0.268,0.458,0.275,0.7777777777777777,NEGATIVE,0.9999
1,13316930,01/23/2008,1.0,"Haaaaaated it. I am one of those OCD literary nerds who takes on a war bunker mentality with books that I've started and dislike: ""I will see this through to the end."" For ""The Lovely Bones,"" I made an exception.Somewhere, sometime, someone told Sebold she could write. That person should be made to apologize to me, in person, and to all other poor souls who were duped into buying this shlock. The literary press also needs to break out the cattails for a serious bout of flogging. Lev Grossman of Time Magazine is at the top of my flogging docket; he called this book ""a beautiful, sensitive, melancholy novel"" and repeated that claim a year later in a review for a book called ""The Dogs of Babel"" (a book just as terrible as The Lovely Bones). I can only assume that Mr. Grossman confined his reading to the zeros on the check accompanying the publisher's blurb or else has some sort of vitamin deficiency that causes his brain to process ham-handed tripe as ""beautiful"" art.It was Mr. Grossman's review along with the alluring premise of the novel (a young girl posthumously tries to make sense of the events that led to her death) that led me to order ""The Lovely Bones"" and ""The Dogs of Babel,"" which at the time were only available in hardcover. Financial reasons made this an extremely uncommon practice for me, and my experience reading both of those novels ensured that I would never do so again.To further illustrate how absolutely wretched this novel is, I'm going to provide a paragraph of background. The ""substance"" of the novel will be criticized in the subsequent body of this review.During the summer of 2003, I was occupying space as an intern at a company that accepted me at the last minute and had nothing for me to do. The company was white-collar and behemoth in office space. HR sent me to an deserted floor to file documents that took up, at most, 2 hours of my 8-hour day. Even in this vacuum of monotony, I could not finish this book. I chose to watch paint chip away, and pick up dust bunnies with recycled paper (I didn't have a broom) rather than finish this book.So with that said, I suppose I should actually mention something specific about the book I hated. My caveat here is that I am unwilling to punish myself by picking through a copy of the book for textual examples. I'm going by memory and online synopses alone.The narrator and victim is ""Susie Salmon."" Let me stop there. SUSIE SALMON. That really should have clued me in, but I was too eager to see how the author would represent the afterlife, to catch a glimpse of this beautiful pain of looking a life that goes on without you.Unfortunately, Sebold managed to bleach out anything remotely interesting out of the plot in spectacular fashion. Heaven is a school, you see, not that Susie spends much time there or learns anything. Her rapist and murderer is a creepy loser while somehow being the dullest of all of Sebold's numerous dull characters. The ""reason"" for his murderous tendencies could be guessed by anyone who's ever even heard of a pop psychology book.You'd think her family would at least be interesting in grief, but Sebold reduces them to one note drones. Everything in The Lovely Bones is a gimmick, played cheaply for sentiment and with no other reward. I'd compare to a Hallmark movie, but Hallmark movies do not adopt the pretension that Sebold belabors with terrible pseudo-post-modernist metaphors. All of this would be bad enough, but what made me throw this book ""aside with great force"" is the offensive, and unjustifiable resolution to Susie's laments that she did not get to live. This unfairness, although poorly developed, was at least a cause of sympathy until Susie decides to forcibly correct it at the expense of others. In the hands of someone else, this last turn could've been bleak insight into motivations of the cycle of victimization but Sebold conveys not one iota of ambivalence.Much of my hatred of this novel results from its inexplicable popularity and commendation from people who have a responsibility to promote reading. I shudder to think who else picked up this novel convinced it was the best that the contemporary literary world had to offer. It is not my intention to slam those who enjoyed this book. If you did, I am glad to hear it. I love books, and I want others to love books. I simply fear that someone who is tempted out of a long vacation from reading might pick up a novel like this and give up the cause for lost.",353,0.8996,0.112,0.762,0.126,0.5340842490842489,NEGATIVE,1.0
2,6577751,09/21/2007,5.0,"I worked at Borders for more than a year and I worked the boring ass registers, usually at night whic was always slow. I leaned there with my chin in my hand staring at the shelves actually wishing that I could help customers in their purchases. It's purely insane, but I think that's what happens anytime you place someone in any kind of confinement. The thing is that if I wasn't a register girl, I would have constant actual contact with the books themselves. All lunacy aside, one book that I stared at the entire time was this one, cuz it was literally on the number one shelf in the front of the store for a good two years or so. It sounded interesting and got good critical reviews despite its sucess with the bookish Oprah-watching housewife types. So, I REALLY didn't wanna jump on the bandwagon and read it. But at the same time I would open it and try. But I just didn't get into it. Last week or so, I was reading a friend's blog and she talked about reading the book and how it was so affecting that she found herself driving to work in complete tears. From then on an invisible seed had been planted. I went to the library the other day to pay my fines ($2.75! Man.) and suddenly remembered the book. I read it in three nights. Sebold's voice is entirely unique. Never seen it before ever. I think that being allowed into the vision and point of view of another person is probably one of the awesomest feelings ever. I think that's what it is to be in love, actually. Get in someone's skin, sit in a recliner in a little theatre located behind their eye sockets, and just watch. Not judge, not worry, not affect. Just experience someone who is so not you. Sebold allows this on two levels. She sets you up in the front row seat right next to Susie the murdered and raped 14 year old while she watches her former world from Heaven. But she also delivers this language that is new, original, totally fresh and yet entirely accessible. At 3am. In bed. From a free city library borrow.Her characters are completely amazing individuals, but not unreal or impossible. The way she wrote the book, from Suzie's viewpoint, was definitely some work on her part. And she pulls it off. What I really enjoyed is the way she would sneak in these little pieces of info - I call them "" 'omg, are you serious?' mystery info nuggets"". She would just be writing a scene, and at an unsuspecting moment she'd just add in a little sentence. And ofcourse, since the story revolves around the grief of the family and the Susie's unsolved case, their are moment of utter thrill as the reader joins the characters in their search for understanding, motive and the killer himself. The sentences feel like when you've been looking for something non-urgent for a while, and it's not really a big deal to find it now or later, but when you do find it your like, 'Man, now I can do this, and this and that, cuz I finally found this thing that I've been inactively searching for for a while'. So, the nuggets definitely keep you reading and sometimes they even make you say, 'omg' out loud. As always, if you read the first few pages and hate it, then don't force the feeling. Just cuz I thought it was a total modern classic, don't mean anything if it really ain't your thing. Either way, truly a great story, even if your mom thinks so too.",314,0.9889,0.067,0.811,0.122,0.4990418346021794,NEGATIVE,0.9156
3,3697503,07/28/2007,1.0,"Two-dimensional stereotyped characters-Mother – living with the regret of losing her independence to the demands of childrearing. The tragic loss of a daughter accelerates her departure from those heavy burdens and into the arms of the detective working the case.-Father – obsessed to the point that he neglects the living members of his family destroying his relationship with his wife. Only in her absence is he able to fall in love with her “all over again”.-Detective – his ‘sob-story’ past (wife committed suicide) explains his devotion to make sense of senseless death by solving cases of murdered women. This leads him into the arms of the latest victim’s mother (who, incidentally, reminds him of his dead wife - eww).-Mrs. Singh – the exotic, wise, independent, and strong foreigner who calmly dispenses cool sage-like personal advice to near-strangers.-George Harvey – the ‘odd-but-harmless neighbor’ otherwise know as the psychotic pedophile/murderer who builds dollhouses in his spare time. Queue soundtrack with mangled version of a nursery rhyme transposed to a minor key ungainly lobbed from a detuned piano. Snippets from his mildly troubling childhood are revealed…explaining nothing.-Grandma Lynn – the often drunk but all-knowing grandmother with a ‘wacky’ liberal perspective on life.-I could go on…the youngest sibling who sees the ghost of Susie as his imaginary friend, the sister who struggles to become her own person from under the shadow of her dead sister, her boyfriend as the complete antithesis to the evil Mr. Harvey, her boyfriend’s older brother as the macho gear-head with a heart of gold.The NarrativeThere is only the occasional passage where the narrator’s voice sounds like that a teenage girl from the mid-seventies (“Lindsay had a boy in the kitchen!” – oh the giddiness of it all!). Small blessings. Cliché after cliché. If you haven’t already gotten a sense of the hackneyed construction of this book please re-read the first page of this rant. Only a sportscaster from some small-town cable station would stand a fighting chance of besting Sebold in a contest of cliché slinging.The EndingWorthy of Hallmark. Every loose end is tied up with nobody owning up to the consequences of their actions (with the exception of Mr. Harvey, because he’s bad, you see). The family is reunited, the murderer is murdered, the daughter marries her high school sweetheart and has a child of her own (thus proving that life does go on…sniff), and lastly, the teenaged ghost of murdered Susie Salmon transcends her personal minor heaven (a staging ground for spirits who persistently cling to the living world) by ‘falling’ back to earth, inhabiting the now 20-something body of a lesbian acquaintance in order to trespass into another person’s home and have sex with the now 20-something boy she had a crush on shortly before her murder. The moral? Only after wilfully experiencing the delightful carnal pleasures of the flesh can one, even the spirit of a murdered teenaged girl, let go of those lost earthly pleasures and move on to a higher and presumably more enlightened plane of existence where you are free to smite those that have wronged you. Touching, really.The Lovely Bones reviews-Why do they always say “brutal” murder or “brutal” rape? Is that opposed to the “wonderful” murders and “superb” rapes in other novels?-Did any of these reviewers even read the book?! They just seem to be reading each other’s reviews, praising the unique first person narrative of a protagonist in heaven and how it deals with such a horrifying topic. The fist person perspective does not offer anything new and the only thing horrifying here is that people consume mind-numbing garbage like this at an alarming rate.-There’s nothing new here. What was the point? Aside from, paranormal sex is a wonderfully liberating experience for both the possessive-spiri",264,-0.9953,0.184,0.699,0.116,0.6050702583801175,NEGATIVE,0.9997
4,158721021,04/04/2011,5.0,"The Lovely Bones, Alice SeboldThe Lovely Bones is a 2002 novel by American writer Alice Sebold. It is the story of a teenage girl who, after being raped and murdered, watches from her personal Heaven as her family and friends struggle to move on with their lives while she comes to terms with her own death. On December 6, 1973, 14-year-old Susie Salmon takes her usual shortcut home from her school through a cornfield in Norristown, Pennsylvania. George Harvey, her 36-year-old neighbor, a bachelor who builds doll houses for a living, persuades her to look at an underground kid's hideout he constructed in the field. Once she enters, he rapes and murders her, then dismembers her body and puts her remains in a safe that he dumps in a sinkhole, along with throwing her charm bracelet into a pond. Susie's spirit flees toward her personal Heaven, and in doing so, rushes past her classmate, social outcast Ruth Connors, who can see Susie's ghostly spirit. ...تاریخ نخستین خوانش: روز سی ام اکتبر سال 2003میلادیعنوان: استخوانهای دوست داشتنی؛ اثر: آلیس سبالد (سیبالد)؛ مترجم: فریدون قاضی نژاد؛ تهران، روزگار، 1382، در 495ص، شابک9643740285؛ چاپ دوم 1383، چاپ چهارم 1384؛ چاپ پنجم 1386؛ موضوع داستانهای نویسندگان ایالات آمریکا سده 21معنوان: استخوانهای دوست داشتنی؛ اثر: آلیس سیبالد؛ مترجم: میترا معتضد؛ تهران، البرز، 1382، در 435ص، شابک 9644423682؛ عنوان: استخوانهای دوست داشتنی؛ اثر: آلیس سیبالد؛ مترجم: فریده اشرفی؛ تهران، مروارید، 1383، در 421ص، شابک 9645881536؛ قهرمان داستان، دختری چهارده ساله، به‌ نام «سوزی» است؛ او پس از آنکه از سوی «جرج هاروی»، مورد تجاوز قرار گرفته، و به قتل می‌رسد، با زبانی کودکانه، و جذاب، رویدادهای پس از مرگ خویش را، روایت می‌کند؛ لحن کودکانه ی «سوزی»، با گذشت سال‌ها، همچنان کودکانه می‌ماند، و این روح، به روایت ماجراهایی می‌پردازد، که در طول ده سال، پیرامون والدین، دوستان، پلیس، و حتی قاتلش، رخ می‌دهد؛ راوی همچنین توصیفی ساده و صمیمی، از بهشتی که در آن مستقر شده، ارائه می‌دهد؛ و ...؛تاریخ بهنگام رسانی 14/06/1399هجری خورشیدی؛ 17/05/1400هجری خورشیدی؛ ا. شربیانی",260,-0.3612,0.079,0.841,0.08,0.3787878787878787,POSITIVE,0.926
5,133726912,12/05/2010,1.0,"After hearing all the hype about this book, I couldn't wait to read it and discover how amazing it is for myself. I was greatly disappointed.How has this book become such a worldwide success? It's slow, boring and there is no real connection with any of the characters. I found myself disliking everyone in the book.The overall idea could have been very good, even though it isn't exactly original, but I just thought the author didn't make the most of this great idea that she had. The best part of the book, without meaning to sound gruesome and morbid, was the death scene at the beginning. I admit that it was creepy and well told, I read that and geared myself up for a good book. But for me, it was as if the story ended there and the rest was a load of slow-moving waffle. The great idea had come along, happened for a while, and then died a painful death with the protagonist. The characters weren't interesting enough to hold up the rest of the story, I was just relieved when I finally got to the end. It was a painfully boring book... and I've lost count of the times people have told me how much they love it - why? Did I miss something? I honestly feel like I've read a completely different book from everyone else... I do not understand it's popularity at all.",233,0.9386,0.152,0.664,0.185,0.6251851851851852,NEGATIVE,1.0
6,20145272,04/14/2008,1.0,"This book has single handedly shown me that I spend too much time skimming and not enough time really reading and thinking about the books I have been reading. I have two kids and so I'm busy and I often find myself reading when I am stealing time or tired. But that is not even an excuse for this book. When i read the book I thought it was pretty good. Not great, but not bad. I liked the concept and the fact that the girl was the narrator. I like a murder mystery, so I liked the suspense of waiting to see if the guy would get caught, etc. So when all was said and done and I finished the book, I thought - yeah, okay. Not bad, but not great. Then I went online here and read the other reviews, particularly one by TheDane (http://www.goodreads.com/user/show/16...) and I went - HEY!! That's right! I mean, the writing alone is something I should have picked up one had I really been paying attention. Pupils pulsing like olives?? Buttering toast with tears?? Umm... I really must have been distracted or skimming like crazy because that is ridiculous. And the real meaning of the final scene went WAY over my head, which I am somewhat ashamed to admit. When I read it, I really was like, yeah yeah, oh that's sweet she got one night with her boyfriend which she had been cheated of and all. But when you slow down and really think of this, the enormity of that is overwhelming. A young girl who dies after being RAPED. A girl who's first sexual experience was RAPE by an older man. A girl who actually barely knew this boy in her life. This girl can only let go of life after having sex. With that boy. That she really didn't know that well. That alone is enough to send of some big alarms. But then you add that she was allowed to go back to earth - to have sex??? Not see her family, not comfort her father and brother and sister? Not point out the killer?? Nope, heaven lets her go back, then of all times, not earlier when she wanted it more, or could have done more both for justice and her family? So the admission to heaven is teen sex? Really? The way to overcome deep grief and gain acceptance and peace is.. again, teen sex? Wow. I missed out as a teen because that was NOT my experience. Okay, now louder warning bells should have been going off. But the final issue - she takes over the body of a ""friend"". Without the girl's knowledge or permission. The ""friend"" who is a lesbian. And uses her body to have sex with a boy. Just taking over her body is a violation. Taking over her body and using that time to have sex is another violation. And to have sex with a boy, knowing that is the antithesis of everything this ""friend"" would have wanted or agreed to is yet another violation. What the hell??? And none of that gets brought up or mentioned. No, it is a feel good ending. yeah! I mean, I have some pretty close friends - some I have known for at least triple the time these two girls have ""known"" each other - and if I somehow managed to just steal their bodies and have sex with a woman?? Well, it would be good for me that I was already dead. That is a betrayal in the worst sense on so many levels it is shocking. And what of the possible consequences? Pregnancy? STDs? Never mind the ""lesser"" consequences of emotional damage, damage to their friendship, the trust issues, etc etc etc????? After thinking about it more and more, I was truly embarrassed to have not seen these dark and disturbing connotations, made all the worse for the fact that the author serves this up as the feel good ending - not noticing the irony at all of having the main character who was raped and violated in turn rape and violate a friend, while denouncing the first act as a heinous crime and lauding the second act as happy ending? So in short, I have learned my lesson and I am now making more of an effort to truly read and then think about what I am reading!!!",230,-0.9979,0.212,0.656,0.132,0.5018402777777777,NEGATIVE,1.0
7,3034171177,11/02/2019,4.0,"I read this book after watching the movie because it was the first time I heard about it. First, I have to say that I liked the movie very much and I've seen it several times. The scenes from In-Between are one of my all-time favourites. And the moment when Susie's father destroys the ships in bottles is just the best; it keeps popping on my Youtube because I just watched so many times. So, if I go a couple of moths without watching it, Youtube is like: ""Here, watch it.""Usually, I'm not much of an audiobook gal, but if there is a version which was narrated by Saoirse Ronan, I'm gonna listen to it!My name was Salmon, like the fish; first name, Susie. I was fourteen when I was murdered on December 6, 1973.Anyway, why am I talking about a movie here, right? Because I saw it first, I did not compare it with the book, and I believe if I knew the book previous to watching the movie, I would see it in a different light. However, right now, I see them as two separate entities, there is a movie I enjoy, and a book which is fantastic and both have the power to break my heart. “And I was gone.”It's very hard to describe this book without spoiling much. All I'm going to say that even reading quotes gives me the ""tension"" feeling in my jaw, which I usually have right before I'm about to cry. It just breaks my heart. Because of Susie. Because of the real Susies who go through the same thing she did. Because of their families. And because Georges Harveys exist in the real world. “The living deserve attention, too.”But I have to say that this book is right up my alley, I enjoy books when people die and get a chance to relive their last day to make things right, where they are still there and watch their families. It might not be for everyone — definitely something to consider before picking up this book.",191,0.8463,0.057,0.855,0.088,0.4098070607553367,POSITIVE,0.9996
8,40055808,12/13/2008,5.0,"I can't review this book by thinking about the plot or about theme and diction, for it is only (and truly) a series of snapshots, candid and sore, that piece together the lives of living people. The delicate sweet soul of a father; a grandmother with the heart of an empath; a sister whose youth and adulthood travel arm in arm; a numb and emptied mother; a young girl then grown woman living pierced on the periphery. This book is about the people in my life and yours whose very essence is pinned down to a spot in time and space--these lovely bones, growing in a soft-shelled skeleton around our lives. It is by turning the pages where these bones grow, that I could reflect on the wheel of life--what a joy (can you call it joy when it's sad?) to witness humanity breathing ceaselessly, moving forward, and loving without remorse. I am at peace to think that this sweet family, though scarred, will smile at another sunrise. To touch the living is a precious thing.",187,0.982,0.035,0.778,0.188,0.6228758169934641,POSITIVE,0.9944
9,154891766,10/31/2017,2.0,I’m finally free of this book ,141,0.5106,0.0,0.602,0.398,0.8,NEGATIVE,0.9974
