,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,5279786,08/29/2007,5,"August 2007I was riding in a cab in Bombay recently, and a bookseller on foot approached me at a traffic light with a stack of books. I did my best not to look at the boy, but I couldn't help it. He was waving several books in my face and something caught my eye. I thought my glance was discreet, but he saw me look.. and it was game over. The light turned green right then and the boy starts running with the cab yelling 'Memsahib! Memsahib!'. We're picking up speed.. I'm so scared he's going to get his foot runover so I grab whatever I could from my wallet and somehow get it into his hands. In return he tosses a random book at me through the window as he's getting further & further away from the cab. I look to see what I ended up with. It was A Thousand Splendid Suns, which I was planning on buying anyways. The cab driver asked me how much I ended up giving the boy. 'A hundred and fifty rupees,' I said, which is barely $4. The cab driver says in return, 'You paid a hundred rupees too much!'. Hardly, I thought to myself. That boy worked his butt off. The best part is because the book is bootlegged it's full of typos and random fonts. Love it. In case I ever discuss the book with you and my recollection of the story is completely different from what you read, you'll know why.January 2008Read the book on my way to Vietnam a few days ago. Loved it, although it was missing a few pages here and there :). Coincidentally, the friend I'm traveling with brought the same book on our trip so I had access to the missing pages. (And another coincidence - our Mekong Delta guide was carrying a copy of the Kite Runner. We were like some sort of Hosseini fanclub floating down the Mekong in our longboat...haha). I have a few thoughts on this book, I'll write them out in more detail soon. I'm heading back to Bombay in a few days...maybe I'll run into another bookseller on foot :).",1662,0.9792,0.037,0.866,0.098,0.4027657527657527,NEGATIVE,0.7663
1,4052165912,06/10/2021,5,Apparently this will break my heart even more than The Kite Runner 🤞Update: It did.,622,0.0,0.0,1.0,0.0,0.425,NEGATIVE,0.5068
2,3782466117,08/01/2021,5,"
""A face of grievances unspoken, burdens gone unprotested, a destiny submitted to and endured.""
This must have been the longest time I had waited to review a fiction after finishing the book. Even after a week, I still haven't fully recuperated from the emotional blow of A Thousand Splendid Suns... Painful, heartbreaking, but quite beautiful in a very sad way. Hosseini has improved upon what he did with Kite Runner, if that's even possible, in every conceivable way imaginable to give the reader another masterpiece! I loved every little thing about this book.
""Learn this now and learn it well, my daughter: Like a compass needle that points north, a man's accusing finger always finds a woman.""
When I finished Kite Runner before, it became clear how impactful Hosseini's story telling is: It was tragic yet beautiful in a unique way. I had thought I was prepared to pretty much anything the author could throw at me after that. But A Thousand Splendid Suns, for me, was a far more difficult read. Unlike in Kite Runner, Hosseini does not hold back when it comes to unfolding Mariam and Laila's story. Saying that reading through the abuse and other privations of the two protagonists was shocking would be a huge understatement. Everything felt too real to be consoled otherwise. In the Afterwards section, I did come across about Hosseini's work in UNHCR, and maybe it's his firsthand experience that made the portrayal this authentic. 
""It's our lot in life, Mariam. Women like us. We endure. It's all we have.""
The author continues to use his simple, and straightforward writing style which suits perfectly to the atmosphere he creates in these stories. But, even if one finds the writing style to be lacking in flavor, when the story telling is this good, most would never be bothered by anything else. And when you add Hosseini's flawless character development, it's impossible not to fall in love with this book. But where I saw the most significant improvement is in the plot, which stole the spotlight away from character department. The life story of the two protagonists -Mariam and Laila- allows the reader to peak in to a couple of lives heavily affected not only by war, but their journey amidst various domestic difficulties, providing the reader with another unique opportunity to empathize with Afghan people, and specifically from a woman's point of view this time. Instead of coming across hateful stories about Taliban and terrorism in general, it's enlightening to see the events from a perspective like this, which enables any reader to understand the bitter reality, along with the fact that countless thousands of people are experiencing worse circumstances in such countries. Even though it is fiction, I think it's commendable, and remarkable, what Hosseini does with these stories, as they help shift any reader's opinion about the people who are affected by wars in such countries.
""People, she believed now, shouldn't be allowed to have new children if they'd already given away all their love to their old ones. It wasn't fair.""
Everything else that was good about Kite Runner is still here, from pace, flow of events, and handling of emotions to the ending. Oh, that ending! I rarely admire a sad ending, but Hosseini is definitely the exception. During the middle part of the book, even though I loved everything, I didn't see myself giving a rating higher than 4-stars, but the concluding chapters broke me down and changed everything. Now I feel like there aren't enough starts to do justice.
""As she closed her eyes, it was not regret any longer but a sensation of abundant peace that washed over her.""""One last time, Mariam did as she was told.""
It's not every day that I get to shelf two consecutive books from the same author as all-time-favorites. Honestly, I was not expecting this to be better than the first, and thought there might even be some repetitiveness. This is anything but that! If you loved Kite Runner, it is most likely that you will have an even better reading experience with this ATSS. However, be warned that the emotional impact this delivers is far more profound, leaving one with tears for quite a while. Unlike with Kite Runner, the luxury of hiding the despicable actions of villains, which left many horrific events to readers' imagination, is gone. But at the end of the day, just like with Kite Runner, it's worth every second... it's worth the heartbreak... it's worth evert tear... Another must-read-for-all from Hosseini.
""A young Mariam is sitting at the table making a doll by the glow of an oil lamp. She's humming something. Her face is smooth and youthful, her hair washed, combed back. She has all her teeth.""


""The little girl looks up. Puts down the doll. Smiles. Laila jo?""

",568,0.9985,0.097,0.712,0.191,0.5923045388954482,POSITIVE,0.998
3,2879034999,07/17/2019,5,"Amazing!Heart-Wrenching!Important!In a world where people tend to make assumptions about people and places based on the news, preconceived notions, prejudice, etc., this book needs to be read. I think a good portion of the American population hears “Afghanistan” and they think it is a country full or terrorists and unreasonable Muslim extremists who all band together to plot the downfall of anyone not like them. A Thousand Splendid Suns shows the progression of life in Afghanistan from the Soviet takeover in 1980s through post 9/11 Taliban control. All of this is through the eyes of two women trying to live a normal and peaceful life just like anyone in the world wants. You will see that despite the extremists and unreasonable values of some, most of the Afghani people are no different than you and me.Hosseini is a fantastic writer. Not only is the story enthralling, but the way he writes is engaging and easy to follow. I was never bored or confused. When I was not reading the book, I was thinking about the book and could not wait to get back to it and find out what happens. Sometimes you find the perfect book where the writing just falls into place with a click – that happened with this one. While the story takes place far away and the life discussed unusual for me, he made it very approachable and understandable.The characters were great. The ones I was rooting for I was REALLY rooting for. The ones that I despised I REALLY hated. When I get this invested in the characters, it is a sure sign of a great book!I will end with this warning: while a great and interesting book, it is, at times, difficult to read. There are situations and scenarios that are upsetting and may trigger lots of emotion. If you are extremely sensitive, it may be difficult to make it through. But, if you can, I think it will be worth it in the end.If you have not read this book yet, I think you should give it a try. The experience is very likely to be eye-opening and maybe even life-changing.",437,0.9513,0.088,0.782,0.131,0.6658249158249158,POSITIVE,0.9998
4,402938197,08/29/2012,4,"It was a warm, sunny day in Montenegro and I was about to set out on a boat trip. I felt certain that a combination of sightseeing and the people I was with would keep me from having much time to read, but I packed a book anyway just in case there was time for a chapter or two in between stops. A Thousand Splendid Suns happened to be that book. And at the end of the day, when I staggered off that boat, blinking at my sudden exposure to reality, it wasn't because I'd been mesmerised by the stunning architecture and history lessons, no, it was because Hosseini stomped all over my heart. I'm not even sure how I found enough hours in the day to take a boat trip around Montenegro and read this entire novel, but somehow I finished this in the few hours I had... simply because I had to.My initial reaction was a furious, teary promise to myself that I would have to give this book five stars - I think it's impossible for the mind to win a battle with the heart in that level of heat, especially when you're used to English weather. But afterwards, I managed to reclaim some of my sense and sanity, which is when I finally began to acknowledge this book's limitations. For one thing, I think it's extremely generous to place this book in the ""literary fiction"" category. I am certainly no book snob (give me a delicious page-turner over some pretentious waffle any day) but I find myself comparing A Thousand Splendid Suns to another book about a country and culture I was only vaguely familiar with - The Poisonwood Bible - a book which I also read on my trip. The latter is a far more complex, ambitious work that brings something which, to me, felt entirely fresh and original. Hosseini's story, on the other hand, is not groundbreaking and I recognise many of the scenes and characters from other books.What it is, however, is incredibly emotional, sad, uplifting, infuriating and memorable. It's lessons on the history of Afghanistan and the rise of the Taliban might be basic but they are nothing if not compelling. I came away feeling like I learned something. What I did learn was truly horrifying, it painted details into the very vague images I already had in my mind that I had gotten from various British newspapers. But I also really liked the affection for his birth country that shines through Hosseini's story; his faith in the ultimate goodness of these people who witnessed society and order crumbling around them.The ultimate tragedy of this story, for me, is how everything could have been very different for Mariam and Laila if people had just acted a little faster, stopped worrying about their pride a little earlier, and trusted a little more. I really liked the range of emotions both women experienced and they way the author showed this. I know some readers thought it was wrong for Mariam to be jealous of Laila at first, but I actually really liked the complexity. Rasheed may be a bastard but he was the only thing in the world that she had at that point, and on some level it made sense to me that she would want to claim him for herself.While I believe Mariam and Laila experienced complex emotions and were well-developed, Rasheed did not get the same treatment - a fact which I'm torn about. On the one hand, I think Rasheed would have been a better character if he'd been developed beyond him being the most villainous villain in all villaindom. On the other hand, I think Rasheed's evil personality offers an important distinction between him and Jalil (and the other men), one which is needed in a book that looks at the cruelties women suffer at the hands of men. The difference between Rasheed and Jalil is important. The latter is a man who acts badly because his behaviour is shaped by the society he lives in. Rasheed, on the other hand, is a mean and violent brute who completely abuses the power handed to him as a man in this society. These differences between Rasheed, Jalil and the other men (Tariq, Laila's dad, etc.) show there is not one type of man in this society, that wife-beating is not simply a part of the culture, that even in a patriarchal society you can choose what type of man you want to be.I admit this is far from a perfect book, but it is a good book. It's a book that seems to swallow you whole but spit you back out in pieces. And, just to mention, I keep intending to read The Kite Runner again because I think studying it at school ruined it for me, but so far, I much prefer A Thousand Splendid Suns.",430,0.9806,0.119,0.727,0.154,0.6072560425685424,POSITIVE,0.5002
5,47227372,02/22/2009,2,"It's apparently becoming something of a tradition for me to trash books that are not only widely loved and praised, but were specifically recommended to me by friends. Khaled Hosseini's ""A Thousand Splended Suns,"" I'm sorry to say, is going to get the same treatment. (Forgive me, Rose.) ""Splendid Suns"" has been so widely read by this point, I won't bother recounting the story, and instead simply list my objections:- Hosseini seems incapable of creating characters with much depth to them. E.M. Forster, in ""Aspects of the Novel,"" talks about books having round characters and flat characters, with round ones being more like people you'd encounter in the real world, and flat ones being more of caricatures used to move a book's story along. The only character in ""Splendid Suns"" who approaches roundness, and he's a relatively minor character, is Mariam's father, Jalil. Everyone else is either a villain without any positive traits (Rasheed) or a hero who can do almost no wrong (Laila, Tariq, Mullah Faizullah). Even when Hosseini is depicting a child who has every right to behave badly given his circumstances (Zalmai), he can't help but depict the child as almost evil. The New York Times review of ""Splendid Suns"" said Hosseini ""creates characters who have the simplicity and primary-colored emotions of people in a fairy tale or fable."" That's pretty generous of the New York Times. I'd say Hosseini may not be able to create three-dimensional characters.- While I appreciate Hosseini's attempt to teach a few decades of Afghan history -- a history few readers likely know in much detail -- grafting that history onto the story of one family makes for a rather creaky novel. To impart the history, Hosseini goes back and forth between giving the history through third-person narration, in Wikipedia-like prose, and putting it in his characers' mouths via dialogue -- dialogue often spoken to people who would already know the history. As a result, you sometimes get characters saying things like, ""As you know, the Taliban forces men to grow their beards long and women to wear burkas."" The cut-and-paste history lessons make the novel painful to read at times.- Hosseini routinely uses ""harami"" (bastard) and other words from the characters' native languages in his dialogue, followed by the English translation, apparently in an attempt to bring readers closer to the Afghan culture. But it usually feels incredibly superficial, especially when the words being used aren't foreign concepts, but rather basic words -- ""brother,"" ""sister"" and the like. Hosseini and his editors also seem to forget about the trope, and cut back on the use of the foreign words in the book's later chapters. I wish they had done the same throughout the book.- The relationship between Mariam and Laila feels completely artificial. Mariam's initial hate for and jealousy of Laila never feels remotely justified, especially given how awful her husband Rasheed is anyhow, and their coming together later feels rushed and unrealistic. Even after they form a friendship, they never seem to grow quite close enough to fully explain why Laila misses Mariam so much towards the novel's conclusion. Hosseini fails to lay the groundwork needed to justify Laila's emotions in the novel's last chapters.- Almost the entire book is unrelentingly bleak. Don't get me wrong, I understand Afghanistan wasn't exactly Disneyland over the past few decades, but I think there were more lighthearted moments in the Book of Job than in ""Splendid Suns."" I don't mind reading a depressing novel, but Jesus. Reading ""Splendid Suns,"" I kept thinking of that old workplace poster: ""The beatings will continue until morale improves.""I didn't completely hate ""Splendid Suns"" -- the story moved along nicely, and it gave me a little more insight into a culture I probably should know more about -- but I don't think I'll be following this one with ""The Kite Runner."" Khaled Hosseini probably doesn't need me as a reader, though. It seems he has plenty of fans.",399,0.9892,0.096,0.764,0.14,0.5389966573510877,NEGATIVE,0.9979
6,29678856,08/09/2008,4,"A Thousand Splendid Suns, Khaled HosseiniA Thousand Splendid Suns is a 2007 novel by Afghan-American author Khaled Hosseini. It is his second, following his bestselling 2003 debut, The Kite Runner. Mariam is an illegitimate child, and suffers from both the stigma surrounding her birth along with the abuse she faces throughout her marriage. Laila, born a generation later, is comparatively privileged during her youth until their lives intersect and she is also forced to accept a marriage proposal from Rasheed, Mariam's husband.عنوانهای چاپ شده در ایران: یک: «هزار خورشید درخشان»؛ دو: «هزار آفتاب شکفت انگیز»؛ سه: «هزار خورشید تابان»؛ چهار: «هزاران خورشید تابان»؛ پنج: «هزاران خورشید درخشان»؛ شش: «هزاران خورشید فروزان»؛ هفت: «هزار خورشید باشکوه»؛ هشت: «هزار خورشید رخشان»؛ نویسنده خالد حسینی؛ تاریخ نخستین خوانش ماه فوریه سال 2007میلادی و بار دیگر در ماه اکتبر سال 2008میلادیعنوان: هزار خورشید درخشان؛ نویسنده: خالد حسینی؛ مترجم: بیتا کاظمی؛ تهران، باغ نو، 1386؛ در 461ص؛ شابک 9789647425384؛ موضوع: داستانهای نویسندگان افغانی امریکایی - سده 21معنوان: هزار خورشید رخشان؛ نویسنده: خالد حسینی؛ مترجم زامیاد سعدوندیان؛ تهران، نگارستان کتاب، 1387؛ در 488ص؛ شابک 9789648155297؛ عنوان: هزار خورشید تابان؛ نویسنده: خالد حسینی؛ مترجم: پریسا سلیمانزاده اردبیلی؛ زیبا گنجی؛ تهران، مروارید، 1386؛ در 451ص؛ شابک 9789648831879؛ چاپ دوم و سوم 1387؛ پنجم 1388؛ ششم 1389؛ عنوان: هزار خورشید تابان؛ نویسنده: خالد حسینی؛ مترجم: آزاده شهپری؛ تهران، ماهابه، 1393؛ در 428ص؛ شابک 9786005205503؛ عنوان: هزار خورشید تابان؛ نویسنده: خالد حسینی؛ مترجم: حمیدرضا بلوچ؛ تهران، به سخن، 1394؛ در 407ص؛ شابک 9786009484492؛ عنوان: هزار خورشید باشکوه؛ نویسنده: خالد حسینی؛ مترجم: ایرج مثال آذر؛ تهران، در دانش بهمن، 1386؛ در 464ص؛ شابک 9789641740070؛ چاپ دوم 1387؛عنوان: هزار خورشید باشکوه؛ نویسنده: خالد حسینی؛ مترجم: ناهید سلامی؛ تهران، نشر چشمه، 1386؛ در 433ص؛ شابک 9789643623920؛ عنوان: هزاران خورشید فروزان؛ نویسنده: خالد حسینی؛ مترجم: فیروزه مقدم (عابدی)؛ تهران، نشر تهران، 1389؛ در 487ص؛ شابک 9789642911158؛ عنوان: هزاران خورشید درخشان؛ نویسنده: خالد حسینی؛ مترجم: سمیه گنجی؛ ساری، زهره، 1386؛ در 447ص؛ شابک 9789642981038؛ عنوان: هزاران خورشید تابان؛ نویسنده: خالد حسینی؛ مترجم: مژگان احمدی؛ تهران، بهزاد، 1389؛ در 320ص؛ شابک 9789642569939؛ عنوان: هزاران آفتاب شگفت انگیز؛ نویسنده: خالد حسینی؛ مترجم: منیژه شیخ جوادی (بهزاد)؛ تهران، پیکان، 1386؛ در 432ص؛ شابک 9789643285623؛ نام و عنوان این کتاب از این بیت برگرفته شده: «حساب مه جبینان لب بامش که میداند؟ دوصد خورشیدرو افتاده بر، هر پای دیوارش»؛ بیت را روانشاد «صائب تبریزی اصفهانی» بزرگ‌ترین غزل سرای سده یازدهم هجری و نامدارترین شاعر زمان «صفویه» در وصف شهر «کابل» سروده اند؛نقل از متن کتاب: («جلیل» با خنده برایش داستان «ملکه گوهرشاد» را تعریف میکرد، که مناره های مشهور «هرات» را در سده پانزدهم میلادی، به عنوان چکامه ای از عشق خود به آن دیار بنا کرده بود، او برایش، از «گندمزارهای سبز هرات»، و «باغهای میوه»، «تاکستانهایی که آبستن شاخه های پربار انگور» بودند، «بازارهای پر ازدحام و شلوغ با سقفهای بلند و محرابی شان» گفته بود؛ یک روز «جلیل» گفت: «یک درخت پسته هست «مریم» جان، که زیر آن کسی جز «جامی»، شاعر بزرگ نخوابیده است»، پس از آن «جلیل» خم شد و زمزمه کرد «جامی پانصد سال پیش زندگی میکرد؛ بله؛ یکبار ترا به آنجا برده ام، پیش آن درخت، اما تو کوچک بودی و یادت نمیآید»)؛ پایان نقل از متنهشدار اگر هنوز کتاب را نخوانده اید و میخواهید بخوانید از خوانش ادامه ی ریویو لطفا خودداری فرمایید؛نویسنده روایتی دردناک از زندگی دو زن هموطن خویش ارائه میدهد، روایتی که به گفته ی خود ایشان تنها گوشه ای از دردهای بی پایان زنان افغان را، به تصویر میکشد، زنان توانا و پاکدامنی که در دام دنیایی خشن، نازیبا و ضد زن گرفتار شده اند، دنیایی که حتی فرصتی اندک برای لذت بردن از زندگی را از آنها دریغ میکند، دنیایی که در آن آنها مجالی برای ارائه ی توانایی هاشان نمییابند و دنیایی که در آن زن تنهاترین و البته مظلومترین موجود است؛ اما آیا محکوم بودن به زندگی در چنین دنیایی توانسته امید را از دلهای این زنان برباید؟ این پرسشی است که «مریم» و «لیلا» شخصیتهای اصلی رمان به آن پاسخ منفی میدهندهزار خورشید تابان روایت زندگی دو زن است، «مریم» دختر نامشروع یک بازرگان افغان، و «لیلا» دختر نازپرورده ی یک روشنفکر افغان، دو زنی که به رغم آغازهای متفاوت، سرنوشتی مشترک پیدا میکنند، و هر کدام غمخوار غم دیگری میشوند؛ پس از مرگ مادر، «مریم» برای مدتی کوتاه به خانه پدرش میرود، پدری که او را از خود نمیداند؛ در ادامه، پدر برای رها شدن از دست این مهمان ناخوانده، او را به عقد مردی مسن درمیآورد، مردی که «مریم» در خانه ی او، تلخترین رنجها را تجربه میکند؛ در گوشه ای دیگر از این سرزمین، موشکی شلیک میشود و «لیلا» را که دختر یک روشنفکر افغان است، همخانه ی «مریم» میکند، «مریمی» که اندک اندک در حال از دست دادن امیدش به زندگی استاما ورود «لیلا» به زندگی «مریم» او را صاحب دختری میکند، که آرزویش را داشته است، و «مریم» انگیزه ی نوی برای زندگی مییابد، انگیزه ی رهانیدن «لیلا»، از سرنوشتی که به نظر همان سرنوشت «مریم» است.؛ در سوی دیگر ماجرا، «لیلا» نیز که از آغوش پر مهر پدر و مادر خود محروم شده، به آغوش «مریمی» پناه میبرد که گویی به انتظارش نشسته بوده؛ از اینجا به بعد داستان به روایت مقاومتهای این دو زن در برابر خشونت «رشید» شوهرشان بدل میشود.؛ اما نقطه ی اوج داستان، صحنه کشته شدن «رشید» توسط «مریم» است، آنجا که «مریم» زندگی «رشید» را میگیرد و از زندگی خودش میگذرد، تا به لیلا و فرزندانش زندگی ببخشد.؛ «مریم» به زندان میافتد و سپس اعدام میشود، و «لیلا» به همراه عشق قدیمیش «طارق»، راه سرزمین همسایه، پاکستان را در پیش میگیرند، تا همراه با فرزندانش، جند روز آرامش را تجربه کندتاریخ بهنگام رسانی 01/06/1399هجری خورشیدی؛ 09/05/1400هجری خورشیدی؛ ا. شربیانی",310,0.6249,0.011,0.972,0.017,0.5,POSITIVE,0.9494
7,271318066,02/02/2012,5,"I have never cried while reading a book,like I Did while reading this one!It is the story of poor, uneducated women who have to endure the hardships of life... The horrors and terrors that a lot of women have gone through during certain period in Afghanistan, the war torn country ,and the narration through the lives of two women Mariam and Laila..Going through All kinds of Physical abuse of hitting, kicking and slapping ,brutal beating ,etc….Struggling the cruel extremely sadistic Rasheed, And suffering all kinds of violence and subjected to his shifting mood and volatile temper.Witnessing the ugliness of war, the fate of loved ones, grieving for lost lives.And sadly this is not exclusive to Afghan society only it is happening in many other countries The unhappy, abusive marriages, oppressive governments and repressive Cultural mores .. It finds its echo in varying forms, in differing degrees, through the different time periods, across the world. The end of the novel give some hope in its last scene after all the violent accidents ,with Laila's pregnancy, Kabul rebuilding, and a loving family reunion. “I know you're still young but I want you to understand and learn this now. Marriage can wait, education cannot.And I also know that when this war is over Afghanistan is going to need you as much as its men maybe even more. Because a society has no chance of success if its women are uneducated. No chance.” Laila fulfilled her father’s dreams and he can rest in peace watching his brave daughter completing his path and teaching young Afghan children the true values and principles of Their social heritage and culture educating them how they could be good citizens in the future.In this critical age when personalities are shaped And what they learn will stay with them.And protecting them from falling in the hands of those who would mould them to absorb hatred ,violence and intolerance.",274,-0.9653,0.197,0.679,0.124,0.5936649659863945,POSITIVE,0.9986
8,65245266,07/28/2009,5,"A Thousand Splendid Suns, Khaled HosseiniA Thousand Splendid Suns is a 2007 novel by Afghan-American author Khaled Hosseini. It is his second, following his bestselling 2003 debut, The Kite Runner. Mariam is an illegitimate child, and suffers from both the stigma surrounding her birth along with the abuse she faces throughout her marriage. Laila, born a generation later, is comparatively privileged during her youth until their lives intersect and she is also forced to accept a marriage proposal from Rasheed, Mariam's husband. Hosseini has remarked that he regards the novel as a ""mother-daughter story"" in contrast to The Kite Runner, which he considers a ""father-son story"". It continues some of the themes used in his previous work, such as the familial aspects, but focuses primarily on female characters and their roles in Afghan society.عنوانهای چاپ شده در ایران: «هزار خورشید درخشان»؛ «هزار آفتاب شگفت انگیز»؛ «هزار خورشید تابان»؛ «هزاران خورشید تابان»؛ «هزاران خورشید درخشان»؛ «هزاران خورشید فروزان»؛ «هزار خورشید باشکوه»؛ «هزار خورشید رخشان»؛ نویسنده: خالد حسینی؛ تاریخ نخستین خوانش: ماه فوریه سال 2007میلادی و بار دیگر در ماه اکتبر سال 2008میلادیعنوان: هزار خورشید درخشان؛ نویسنده: خالد حسینی؛ مترجم: بیتا کاظمی؛ تهران، باغ نو، 1386؛ در 461ص؛ شابک 9789647425384؛ موضوع: داستانهای نویسندگان افغانی تبار امریکایی - سده 21معنوان: هزار خورشید رخشان؛ نویسنده: خالد حسینی؛ مترجم: زامیاد سعدوندیان؛ تهران، نگارستان کتاب، 1387؛ در 488ص؛ شابک 9789648155297؛ عنوان: هزار خورشید تابان؛ نویسنده: خالد حسینی؛ مترجم: پریسا سلیمانزاده اردبیلی؛ زیبا گنجی؛ تهران، مروارید، 1386؛ در 451ص؛ شابک 9789648831879؛ چاپ دوم و سوم 1387؛ پنجم 1388؛ ششم 1389؛ عنوان: هزار خورشید تابان؛ نویسنده: خالد حسینی؛ مترجم: آزاده شهپری؛ تهران، ماهابه، 1393؛ در 428ص؛ شابک 9786005205503؛ عنوان: هزار خورشید تابان؛ نویسنده: خالد حسینی؛ مترجم: حمیدرضا بلوچ؛ تهران، به سخن، 1394؛ در 407ص؛ شابک 9786009484492؛ عنوان: هزار خورشید باشکوه؛ نویسنده: خالد حسینی؛ مترجم: ایرج مثال آذر؛ تهران، در دانش بهمن، 1386؛ در 464ص؛ شابک 9789641740070؛ چاپ دوم 1387؛عنوان: هزار خورشید باشکوه؛ نویسنده: خالد حسینی؛ مترجم: ناهید سلامی؛ تهران، نشر چشمه، 1386؛ در 433ص؛ شابک 9789643623920؛ عنوان: هزاران خورشید فروزان؛ نویسنده: خالد حسینی؛ مترجم: فیروزه مقدم (عابدی)؛ تهران، نشر تهران، 1389؛ در 487ص؛ شابک 9789642911158؛ عنوان: هزاران خورشید درخشان؛ نویسنده: خالد حسینی؛ مترجم: سمیه گنجی؛ ساری، زهره، 1386؛ در 447ص؛ شابک 9789642981038؛ عنوان: هزاران خورشید تابان؛ نویسنده: خالد حسینی؛ مترجم: مژگان احمدی؛ تهران، بهزاد، 1389؛ در 320ص؛ شابک 9789642569939؛ عنوان: هزاران آفتاب شگفت انگیز؛ نویسنده: خالد حسینی؛ مترجم: منیژه شیخ جوادی (بهزاد)؛ تهران، پیکان، 1386؛ در 432ص؛ شابک 9789643285623؛ نام و عنوان کتاب از این شعر برگرفته شده: «حساب مه جبینان لب بامش که میداند؟ دوصد خورشیدرو افتاده بر، هر پای دیوارش»؛ بیت را «صائب تبریزی» در وصف «کابل» سروده استاز متن کتاب («جلیل» با خنده برایش داستان «ملکه گوهرشاد» را تعریف میکرد، که مناره های مشهور «هرات» را در قرن پانزدهم میلادی، به عنوان چکامه ای از عشق خود به آن دیار بنا کرده بود، او برایش از گندمزارهای سبز «هرات» و باغهای میوه، تاکستانهایی که آبستن شاخه های پربار انگور بودند، بازارهای پر ازدحام و شلوغ با سقفهای بلند و محرابیشان گفته بود؛ یک روز «جلیل» گفت: یک درخت پسته هست «مریم» جان، که زیر آن کسی جز «جامی»، شاعر بزرگ نخوابیده است، پس از آن «جلیل» خم شد و زمزمه کرد: «جامی» پانصد سال پیش زندگی میکرد؛ بله؛ یکبار ترا به آنجا برده ام، پیش آن درخت، اما تو کوچک بودی و یادت نمیآید)؛ پایان نقل از متنتاریخ بهنگام رسانی 08/07/1399هجری خورشیدی؛ 20/05/1400هجری خورشیدی؛ ا. شربیانی",256,0.4939,0.012,0.967,0.021,0.3833333333333333,POSITIVE,0.9953
9,32775607,09/13/2008,2,"To my editor:Khaled here. As I was reviewing my final draft of “A Thousand Splendid Suns,” some questions occurred to me.1. Could I make the characters any less complex? Despite my efforts, I feel I haven’t fully achieved the one-dimensionality my readers seemed to love in “The Kite Runner.” Specifically, I’m afraid I may have given Rassan one or two potentially sympathetic moments early on despite his overall abusive personality (although I more than make up for it). I don’t know whether my readers can handle that level of complexity. Fortunately, aside from that minor lapse with Rassan, I think I managed to keep my characters and their relationships pretty simplistic, although there’s always room for improvement in that regard!2. Do you think I included enough graphic violent scenes, or should I add another ten or so?3. Are my characters stereotypical enough?4. Pretty clever the way I stuffed the facts of recent Afghani history into my characters’ dialogue whenever I could, don’tcha think?5. Speaking of dialogue, I’m wondering whether I can inject a little more of my agenda into the characters’ conversation or introspection, or maybe structure the plot around it a little more. Any ideas?6. Isn’t it great that Afghanistan is such a hot topic that mediocre writers like me can make a buck by pandering to people’s intellectual pretensions?With hopes for another bestseller, Khaled ",242,0.9892,0.016,0.813,0.171,0.6016129032258065,NEGATIVE,0.9855
