,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,973869855,06/21/2014,5.0,"It's hard for me to believe that I finished the Harry Potter series... I wish this series would go on forever!I don't know how I've gone through my life without these books. I regret not reading it when I was younger, but I am so happy that I finally did, better late than never, right?The world built in these books is so real and tangible, it is truly a masterpiece. The characters are engaging and brilliant, and I love how the plot is so interwoven and twisted within itself, especially in this last book.I was taken by surprise when I started the series, I didn't think it would pull me in as it did. As I kept reading through the books, the characters slyly stole my heart. Now, having finished the last line, I am flooded with emotion. This series is more than a story or words on a page, it is magic.",1345,0.9919,0.007,0.754,0.239,0.6171875,POSITIVE,0.9999
1,1246195120,10/21/2019,5.0,I can't believe its over.... I've FINALLY read the Harry Potter series. And WHAT an ending to the series this book was..Video Review: https://youtu.be/aefPuw_O3n4,702,0.0,0.0,1.0,0.0,1.0,POSITIVE,0.9966
2,683662305,08/01/2013,5.0,"(A) 86% | ExtraordinaryNotes: It ends too expository and convenient, but the story's compelling, and its new settings are a nice break from formula.",540,0.7227,0.0,0.768,0.232,0.6848484848484849,POSITIVE,0.99
3,3760503826,01/14/2021,5.0,"""OI! There's a war going on here!""""Merlin's Pants!""The six-year build-up is over. The final adventure, towards which we've been sailing for - through six amazing Hogwarts years - is here at last. And yet again, Rowling surpasses her own standards to bring us the most adventurous book of the entire series, to conclude everything is a most dramatic way. Twist after twist after twist is going to keep the reader immersed more than ever. Be warned: once started, you won't have a moment's rest till your finish this one!""Twelve Fail-Safe Ways to Charm Witches""It seems redundant now to repeat all the good things about Harry Potter books in general - from plot to writing style - which never reached a plateau, but kept on improving. All of that is still there. But setting up the atmosphere for events has reached a level that is far beyond anything we've seen before. And the complexity of the events has also been increased. Even the few sup-plots are highly detailed and complex, and contributes a lot to the main story. It gives a very fulfilling feeling, when the reader is allowed to connect all the dots as progressing towards the end, tying up a lot of loose ends. Also, it's unbelievable how well the plot twists are introduced - whether they are happy or sad - maintaining suspense better than ever.""permettez-moi to assister vous,""The reader is bound to encounter a lot of heartbreaking disappointments here, but all that help make the ending much more satisfying. I did miss the occasional humor, though it would not have complimented well the dark world we are in right now. Oh, and I'm really happy that I only had to hate Snape for a few days... (from finish of Half-blood prince till now) I guess that's the good thing about reading all the books of series at once: less anxiety!""Wit beyond measure is man's greatest treasure!""When I started Philosopher's Stone, it made me realize that I've been missing out on a lot - a world of magic which is full of amazing characters. Then the journey got ever so thrilling and entertaining, with each book outperforming the previous one in every possible way. It's been three magical weeks for me - literally and figuratively - from the starting of the first book till the last. I don't recall ever been immersed in a book series as much as I did with Harry Potter, and, though the ending was great, it's sad not being able to continue, to know that this is the end. I've watched the first few HP movies a long time ago, but those didn't come anywhere near the books in my opinion, and I really wasn't a fan. But now, I'm finally enlightened as to why Harry Potter series is much loved by millions. It's impossible not to, once you're through with the books! A well thought out foundation put in place in first three books, then setting stage for the core of the series in next two and finally, an incredibly thrilling ending with the last two books, while each book being a five-star read, at least for me. Harry Potter became the my all-time-favorite book series. ""Only the difference between truth and lies, courage and cowardice,""",512,0.9966,0.074,0.754,0.172,0.5794941169941171,POSITIVE,0.9996
4,3001352056,08/04/2020,5.0,"(A) 86% | ExtraordinaryNotes: A bittersweet bewitchment: all stumble-back and rally, the touchy truth of bitter youth, and fevered feelings to finale.",514,-0.2023,0.175,0.726,0.098,0.5,POSITIVE,0.9509
5,1243658992,04/02/2015,,"“Words are, in my not-so-humble opinion, our most inexhaustible source of magic. Capable of both inflicting injury, and remedying it. Use your words wisely and support trans lives.”- Definitely not JKRI love Harry Potter as much as anyone, which is why I urge everyone who spends money on these books to also support the trans community.To say it with the author's words: “If you want to know what a man’s like, take a good look at how he treats his inferiors, not his equals.” Well.Here’s a list of organisations that support trans lives (feel free to reach out and recommend more). Every penny counts:Mermaids UKThe Trevor ProjectBlack Visions Collective because Black trans lives matter.Find more of my books on Instagram",430,0.964,0.055,0.718,0.227,0.5777777777777777,POSITIVE,0.6913
6,596471743,04/21/2013,5.0,Sigh... I just can't ,850,0.0,0.0,1.0,0.0,0.0,NEGATIVE,0.9934
7,126591021,10/16/2010,,"J.K. Rowling is a sad, pathetic TERF who hates on marginalized people because she is a piece of human garbage.",344,-0.8658,0.393,0.607,0.0,0.7000000000000001,NEGATIVE,0.9857
8,730488505,09/29/2013,5.0,"Welcome to my re-read of the timeless series “Harry Potter”. 🤓⚡️If you’ve followed along, then you already know, that I’m reading the books, listening to a fun (adult) podcast and watching the movies. ❤️📚🎧🎬 ⚠️This review contains spoilers⚠️If you don’t yet know:*why we wonder if the Dementors blew a new personality into Dudley *why we’re calling Harry Barney or Barry, the cousin*the loss of laughter with a twin*why the word “always” means more than you know——-Then proceed with extreme caution!——-Spoiler Credit: Podcast: Binge Mode (listen on Spotify)Personal Opinion Note: I’m incredibly sad for you, if you’ve never read the books (or at least watched the movies). 😉📚🎧🎬 This magical story is worth the time, I promise.We’re near the end of this adventure… and…. This book is incredibly sad. So, I’ll be updating this review with what I consider to be the most memorable/heartache/important part of each chapter/podcast as I finish.📚Chapter 1: The Dark Lord AscendingThe doubts clearly displayed by the Malfoy’s, in choosing the wrong side.📚Chapter 2: In MemoriamRita Skeeter pops her head out of her jar again… and she sucks!📚Chapter 3: The Dursley’s DepartingDudley asking why Harry wasn’t going with them and his genuine (and uncharacteristic) concern.🎧Podcast: Binge Mode: Chapters 1-3***Warning: Binge Mode contains adult content***Insight into what Petunia was going to say, but just couldn’t and the change in Dudley.📚Chapter 4: The Seven PottersRIP Hedwig…. My heart aches.📚Chapter 5: Fallen WarriorRIP Madeye and George’s ear (although he is now truly holy).📚Chapter 6: The Ghoul in PajamasRon/Hermione vibes… plus, their insistence on helping Harry.🎧Podcast: Binge Mode: Chapters 4-6***Warning: Binge Mode contains adult content***Further insight into Horcruxe’s and splitting of soul.📚Chapter 7: The Will of Albus Dumbledore Rufus Scrimgeour proves, yet again, that to be the Minister of Magic, means being an utter twat.📚Chapter 8: The Wedding Aunt Muriel really sucks.🎧Podcast: Binge Mode: Chapters 7-8***Warning: Binge Mode contains adult content***The history of the sword of Gryffindor.📚Chapter 9: A Place to HideHermione really is brilliant with her Mary Poppins bag.📚Chapter 10: Kreacher’s TaleVoldemort’s underestimation and/or complete lack of thought about house elves.📚Chapter 11: The BribeHarry turns Lupin away, in hopes that he’ll go back to Tonks.🎧Podcast: Binge Mode: Chapters 9-11***Warning: Binge Mode contains adult content***House elves and Lupin/Harry throw down.📚Chapter 12: Magic is MightRon’s trying to protect Hermione and Hermione’s trying to protect Ron.📚Chapter 13: The Muggle-born Registration Commission Harry’s impromptu decision to get all the muggle born (awaiting unfair trial) out of the ministry.📚Chapter 14: The ThiefRon getting hurt and the trio hunkering down while he recovers.🎧Podcast: Binge Mode: Chapters 12-14***Warning: Binge Mode contains adult content***All the insights into medical magical things.📚Chapter 15: The Goblin’s Revenge Harry and Ron’s intense fight and Hermione’s forced to choose a side.📚Chapter 16: Godric’s HollowThe sadness Harry feels at discovering that the Dumbledore’s grave is near his parents.📚Chapter 17: Bathilda’s SecretThe snake and the broken wand.🎧Podcast: Binge Mode: Chapters 15-17***Warning: Binge Mode contains adult content***The Potter’s family history.📚Chapter 18: The Life and Lies of Albus Dumbledore Hermione defending Dumbledore’s young past.📚Chapter 19: The Silver DoeRon’s timely return.🎧Podcast: Binge Mode: Chapters 18-19***Warning: Binge Mode contains adult content***Exploring Dumbledore’s past and how his change helped the trio.📚Chapter 20: Xenophilius LovegoodRon and Hermione’s outvoting Harry.📚Chapter 21: The Tale of the Three Brothers The story of the hollows.📚Chapter 22: The Deathly HollowsLee Jordan, Lupin and Fred being on the radio.🎧Podcast: Binge Mode: Chapters 20-22***Warning: Binge Mode contains adult content***Harry’s family ties to the hollows.📚Chapter 23: Malfoy ManorDobby… sweet and loyal to the end…. RIP Dobby.📚Chapter 24: The WandmakerHarry buried Dobby without use of Magic.📚Chapter 25: Shell CottageLupin and Harry’s mended relationship.🎧Podcast: Binge Mode: Chapters 23-25***Warning: Binge Mode contains adult content***Interesting insights into apparition long distance.🎬Movie #7: Part 1Considering how much they had to jam pack into this movie, they did a decent job on this one. 🎧Podcast: Binge Mode: Movie: Part 1***Warning: Binge Mode contains adult content***The actors really know these characters well at this point.📚Chapter 26: GringottsHermione as Bellatrix feeling ewwwwww.📚Chapter 27: The Final Hiding PlaceHarry’s “Voldemort Vision” finally coming in handy.📚Chapter 28: The Missing Mirror The greater good and the Dumbledore’s.🎧Podcast: Binge Mode: Chapters 26-28***Warning: Binge Mode contains adult content***Sad. Close to the end.📚Chapter 29: The Lost DiademThe DA members showing up at Hogwarts.📚Chapter 30: The Sacking of Severus SnapeMcGonagall’s taking over and standing as leader of Hogwarts.📚Chapter 31: The Battle of HogwartsThe Weasley’s really are the best wizard family and my heart aches. 💔🎧Podcast: Binge Mode: Chapters 29-31***Warning: Binge Mode contains adult content***Neville comes full circle and the Ron/Hermione connection.📚Chapter 32: The Elder WandVoldemort finishes Snape and the battle is taking endless lives.📚Chapter 33: The Prince’s TaleAll of Snape’s secrets. Always. 😭🎧Podcast: Binge Mode: Chapters 32-33***Warning: Binge Mode contains adult content***All the cries and Snape’s true self.📚Chapter 34: The Forest AgainAll the losses and Harry’s bravery.📚Chapter 35: King’s CrossDumbledore’s testimony to Harry and his insistence that it’s better to live with love.🎧Podcast: Binge Mode: Chapters 34-35***Warning: Binge Mode contains adult content***The fact that JK had chapter 34 down from the beginning.📚Chapter 36: The Flaw in the PlanThe great defeat and celebration.📚Epilogue:The little family. Life continues.🎧Podcast: Binge Mode: Chapters 36-Epilogue ***Warning: Binge Mode contains adult content***The sadness that is the end.🎬Movie #7: Part 2This was the best movie adaptation, in my opinion, of the series. I cry buckets when Harry dives into Snape’s memories.🎧Podcast: Binge Mode: Movie: Part 2***Warning: Binge Mode contains adult content***All the additions and deductions reviewed but consensus is still- a great movie.This concludes my re-reading of the timelessly magical series. I’m so glad that I took the time to re-read it, but also, that I was able to enjoy Binge Mode Harry Potter on Spotify as well. My heart is full. Thanks for sticking with me on my journey. ❤️📚",339,0.9628,0.083,0.819,0.098,0.503633207070707,POSITIVE,0.9057
9,2159235426,10/20/2017,5.0,I hadn't read this book in so long... it's been great to reread it and notice all the details I had forgotten!It was perfect for the holidays (even though this one is quite dark!),331,0.8997,0.0,0.725,0.275,0.6375,POSITIVE,0.9986
