,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,683662317,08/01/2013,4.0,"(A-) 83% | Very GoodNotes: A bit bland at times, with less wonder and discovery than before, but finishes well with a more satisfying conclusion.",656,0.7958,0.0,0.738,0.262,0.54,POSITIVE,0.9408
1,2194818392,11/30/2017,5.0,"Continuing my reread with the illustrated editions! Gotta get through this one so that my daughter can start it next. <3*********************""It is our choices, Harry, that show what we truly are, far more than our abilities.""What can I say that hasn't been said before about this series? What words can do this book justice? I've felt at a loss on how to explain my feelings for these books as I've read them. I didn't experience them as a child and therefore my experience is clearly different than most others on here, but in some ways I think it's just as magical to read these for the first time as an adult as it was for everyone who devoured these as they were published in their childhood. I have kids, so I was constantly wondering how my 5 year old will accept these books when she's a bit older and tried to view the story through her eyes. The holidays are always a busy, stressful time for us. All of our family is a hefty distance to travel to and, on top of that, we're moving into our new place this month. All I could think about was how desperately I wanted to escape all of my adult responsibilities for just a bit each day, and this was the perfect book to do so with. No matter your age, the magical world of Hogwarts is truly spectacular; the characters are such that they stay with you even after the final page is turned and the writing takes you back to a place you weren't sure existed for us old farts anymore. If you have been hiding under a rock for the past 20 years like I have, I highly encourage you pick these books up and get swept away like I did. Time is a precious commodity these days, and you couldn't spend it in a better way than with these precious kiddos.",535,0.9887,0.051,0.796,0.153,0.581114478114478,POSITIVE,0.9971
2,463025498,11/25/2012,5.0,"I love this book, of course I do, but the fact remains that this book prominently featured two of my most hated Harry Potter characters. Ginny Weasley and Dobby. There, I said it. I hate them both. In my Harry Potter hate list, Ginny and Dobby probably rank somewhere below Umbridge and Peter Pettigrew. Yeah, you heard me. I hate them that much.The reason I hate Ginny is---well, never mind. I don't want to start another shipping war here, the last one was terrible enough, so let the reason for my hatred be implicit and unsaid. Dobby is freaking annoying, yo. All his eagerness and shit - and yeah, I know what happens in the end. Doesn't matter. I still hate Dobby. Dobby is the equivalent of fingernails on chalkboard for me. If he had been my elf, I'd have given him a sock already so he could his whimpering, sniveling ass out of my life. He means well, I know he does, it's just that he's such a frustratingly well-meaning bumbling idiot.
“You know what, Harry? If he doesn’t stop trying to save your life he’s going to kill you.”
Aaaaaaaand one final note.
“Ginny!” said Mr. Weasley, flabbergasted. “Haven’t I taught you anything. What have I always told you? Never trust anything that can think for itself if you can’t see where it keeps its brain?""
No particular reason I included that, except for the fact that it reminded me of my ex-boyfriend :3",515,-0.9974,0.284,0.639,0.077,0.7619047619047621,NEGATIVE,1.0
3,3001354534,01/25/2020,4.0,"(A-) 83% | Very GoodNotes: A clever conjuration, it's a cozy castle mystery, a creature-fest, and Ripper-esque: lit by monsters, ghosts, and history.",461,0.507,0.0,0.846,0.154,0.6277777777777778,POSITIVE,0.9986
4,3219138936,03/23/2020,3.0,"This was a cute middle grade book. Even though it was slow, I liked it a little more than the first book since at this point the world has already been established and now we get to see more of the characters and the setting. Ron and his family, especially the twins, are endearing. I also thought it was interesting seeing Harry’s internal struggle with whether he was truly Gryffindor or Slytherin, and the payoff later on about how it is our choices that show what we truly are. I didn’t like how the mystery was conveniently solved, the monologue of explanation from the villain at the end, and how Hermione was literally petrified throughout most of the book just so that she wouldn’t have figured everything out right away. But I’m glad to finally be done with this book so that, just like Dobby, I am free.",427,0.946,0.057,0.777,0.167,0.5482804232804234,POSITIVE,0.6414
5,3707499783,12/24/2020,5.0,"""My late lamented lords, ladies, and gentlemen,""""The best of us must sometimes eat our words,""Every time you loved the first book of a series, and then start reading the second - eagerly waiting for the story to continue - there's always the apprehension, that things might not be as great as the first. Well, Chamber of Secrets will convince you otherwise: everything keeps getting better.""Have you ever heard of a plan where so many things could go wrong?""I was glad to find everything I loved about the first book still applicable to the second. It'll be a bit redundant if all those plus points were to be repeated here, but still, I cannot refrain from mentioning how easy it is to read the story. In no way I'm implying that the narration is plain or just too simple - for it is definitely not the case - but it is just one smooth flow. The story itself is much more detailed than the first one, mainly because setting up of environment and characters were done in the original. Though I didn't feel so before, in retrospect, the first book now feels like an introduction to the series, and this as the first real adventure.""It is our choices, Harry, that show what we truly are, far more than our abilities.""And again, it's impossible not to start reading the next one immediately.""Regrowing bones is a nasty business.""",321,0.9451,0.054,0.82,0.126,0.5160894660894663,POSITIVE,0.97
6,1595711302,03/30/2016,5.0,"Re-read audio 2017 ♥Okay, I'm going to do a little *spoilery* in this review so those of you that haven't read the book then you might just want to look at the pictures. I have picked a ton of pictures from the book but believe me, there are plenty more beautiful ones in the book. Plus, if your a Harry Potter fan you will be getting the book anyway if you haven't already!So poor Harry is stuck back with the Dursley's on Privet Drive. And even though Harry is a relative, they still treat him like poo because he's magical. Ewwwwww. Harry is depressed because he has be cut off from talking to his friends or getting any kind of correspondence. Even poor Hedwig has been locked in her cage and hasn't been able to fly around. CRUEL! But Harry can't use magic inside the muggle world. Then Harry meets Doby - the little house-elf that is waiting for him in his room. It turns out that Doby has been intercepting his correspondence because he fears for Harry's life and doesn't want him to return to Hogwarts. So Doby causes some problems at the house that get Harry in trouble. I had to add this cute little picture of Doby running off, look at his little butt. lol ↓Then one night, Ron, George and Fred pull up outside Harry's window in their dads flying car to save Harry. It's pretty funny how they get it all going but that is okay as long as Harry gets away from his evil relatives. Of course, Mrs. Weasley is not pleased when they get back home. The sneaking out part didn't work very well, but she welcomed Harry with open arms and he stayed with them until it was time for them all to go back to school. I love that picture of the Weasley house =) Life at The Burrow was as different as possible from life in Privet Drive. The Dursleys liked everything neat and ordered; the Weasleys' house burst with the strange and unexpected. Harry got a shock the first time he looked in the mirror over the kitchen mantlepiece and it shouted, 'Tuck your shirt in, scruffy!' The ghoul in the attic howled and dropped pipes whenever he felt things were getting too quiet, and small explosions from Fred and George's bedroom were considered perfectly normal. What Harry found most unusual about life at Ron's, however, wasn't the talking mirror or the clanking ghoul: it was the fact that everybody there seemed to like himPoor sweet Harry and I would love to live with the Weasleys' for a bit =) Look at cute, fat little Scabbers ↓The kids are going to meet Hermione to get some shopping done. But ole Harry takes a wrong turn down the chimney hole and ends up in some creepy shop. He hides and gets to hear some things Malfoy and his father are talking about.Finally Harry makes it out of the store and Hagrid finds him and gets him to the right place with his friends. Then Ron and Harry are blocked from getting on the train soooooo back to stealing the flying car. AND of course they get into trouble when they get to Hogwarts but it wasn't anything too bad. Snape looked as though Christmas had been cancelled. He cleared his throat and said. 'Professor Dumbledore, these boys have flouted the Decree for the Restriction of Underage Wizardry, caused serious damage to an old and valuable tree . . . surely acts of this nature . . . 'It will be for Professor McGonagall to decide on these boys' punishments, Severus,' said Dumbledore calmly. 'They are in her house and are therefore her responsibility.' He turned to Professor McGonagall. 'I must go back to the feast, Minerva, I've got to give out a few notices. Come, Severus, there's a delicious-looking custard tart I want to sample.'There is a new Defence Against the Dark Arts professor named Gideroy Lockhart. He's a bit off but still . . . Anyway things are not right at Hogwarts. (are they ever?) And Harry and the gang must figure out what's going on. Poor ole Hagrid gets sent off to Azkaban for something he didn't do! Malfoy is a jerk, as if we didn't know that. lol Harry and Ron go out in the woods to meet Aragog the spider that is friends of Hagrid to find out some truth behind some stuff. Comes to find out there is this diary of a person named Tom Riddle. I'm not telling you who this person really is but they are the one causing all kinds of trouble for a lot of people. In the end Harry has to end up fighting a Basilisk to set things right. He has the help of the sorting hat for reasons, Dumbledore's Phoenix and a sword. Oh happy day! There is loads more to the book then the things I have described but you can just read it and if you haven't, why haven't you? Harry Potter rocks and always will. There is another happy ending for sweet Doby! ♥Harry gives Dobby his stinky sock so this releases Doby. He now has his freedom from the evil Lucius Malfoy! Woot! 'Come, Dobby, I said, Come!'But Dobby didn't move. He was holding up Harry's disgusting, slimy sock, and looking at it as though it were a priceless treasure. 'Master has given Dobby a sock,' said the elf in wonderment. 'Master gave it to Dobby.''What's that?' spat Mr. Malfoy. 'What did you say?''Dobby has got a sock,' said Dobby in disbelief. 'Master threw it, and Dobby caught it, and Dobby-Dobby is free.'Lucius Malfoy stood frozen, staring at the elf. Then he lunged for Harry. 'You've lost me my servant, boy!'But Dobby shouted, 'You shall not harm Harry Potter!'There was a loud bang, and Mr. Malfoy was thrown backwards. He crashed down the stairs, three at a time, landing in a crumbled heap on the landing below. He got up, his face livid, and pulled out his wand, but Dobby raised a long threatening finger. 'You shall go now,' he said fiercely, pointing down at Mr. Malfoy. 'You shall not touch Harry Potter. You shall go now.'Lucius Malfoy had no choice. With a last, incensed stare at the pair of them, he swung his cloak around him ad hurried out of sight.This book is wonderful, it always has been and always will, and the graphics in this book make it even better. ♥MY BLOG: Melissa Martin's Reading List",306,0.996,0.097,0.763,0.141,0.5954524480687271,NEGATIVE,0.9694
7,2048866437,07/04/2017,5.0,"”It is our choices, Harry, that show what we truly are, far more than our abilities.”And here I go with another one of my short “My thoughts about this book” reviews. I can’t believe that I forgot so many things. Like for instance the fact that Dumbledore actually was a Transfiguration teacher before he became headmaster. Kinda suitable that this is McGonagall’s role now. ;-) 1.) ”Harry Potter asks if he can help Dobby … Dobby has heard of your greatness, sir, but of your goodness, Dobby never knew…”Aww Dobby! It was so good to see him again! He’s really one of the best HP characters ever and this even though he made it kind of tough to like him. *lol* Well, at least at the beginning. Poor Harry! XD2.) ”Your sons flew that car to Harry’s house and back last night!” shouted Mrs Weasley. “What have you got to say about that, eh?”“Did you really?” said Mr Weasley eagerly. “Did it go all right? I-I mean,” he faltered, as sparks flew from Mrs Weasley’s eyes, “that-that was very wrong, boys – very wrong indeed …”I’ll always love how Mr Weasley is more interested in finding out if the car flew well than in his kids actually flying the car! *lol* Also Molly Weasley giving him hell for not reacting the way a responsible parent is supposed to is just epic! Haha! Those two. You can see they have a great marriage! ;-P3.) ”Mr Weasley had a cut lip and Mr Malfoy had been hit in the eye by an Encyclopedia of Toadstools.”How could I forget that Mr Weasley threw himself at Malfoy? One of the best things in this book ever! Not that I support violence (I’m a pacifist) but even I can’t help appreciating that Lucius Malfoy for once, actually had his ass handed to him. XD 4.) ”That vanishing cabinet was extremely valuable!” he was saying gleefully to Mrs Norris. “We’ll have Peeves out this time, my sweet.”How come I never noticed this before?! The foreboding!!! OMG! Like damn, there are so many things that are mentioned only briefly and rather casually and then when you continue to read the series they reappear with a vengeance! O_o With every book I read I’m more and more awed by J.K Rowling’s genius! 5.) ”Homework: compose a poem about my defeat of the Wagga Wagga werewolf! Signed copies of Magical Me to the author of the best one!”Gilderoy Lockhart is so full of himself! I swear he must have been the worst DADA teacher they ever had. And they had many over the years which even Dumbledore can’t deny. Loved that bit at the ending when he said he’d have to write an ad because they “seem to run through them”. *lol*6.) ”You are Muggle-born?”“Half-blood, sir,” said Riddle. “Muggle father, witch mother.”There definitely was a history lesson hidden in there. It’s fascinating how Riddle of all people could be a half-blood and then go against Muggle born wizards! I’m sure J.K. Rowling thought about World War II when she wrote this, because all the pure-blood and half-blood etc. stuff reminds me of a very dark chapter in German history… >_<7.) ”But why’s she got to go to the library?”“Because that’s what Hermione does,” said Ron, shrugging. “When in doubt, go to the library.”Did anyone notice how well Ron knows Hermione? And how often he defended her in this book? I mean he actually would have fought Malfoy with his bare hands if Harry and Dean would have allowed it! It’s so obvious that Ron cares about her deeply! To vomit snails without complaining about it should count as the ultimate indication of eternal love and affection! *LOL*8.) ”Of course,” she said, and Harry, amazed, saw a tear glistening in her beady eye.McGonagall losing it was another great moment in this book! When you least expect it she always shows some kindness and heart and to be honest this never ceases to amaze me! XD She’s a great teacher and I’m not surprised that she always takes over when Dumbledore isn’t around. 9.) ”You’re in luck,” said Harry, forcing Lockhart to his feet at wandpoint. “We think we know where it is. And what’s inside it. Let’s go.”I just love Harry, okay?! *lol* For such a young kid he certainly has a lot of guts and courage! The way he dealt with Lockhart? I think not even an adult wizard could have done it any better. XD The sheer audacity to demand aid from him like that. YES! Haha! <310.) (view spoiler)[”Voldemort put a bit of himself in me?” Harry said, thunderstruck.”I CAN’T BELIEVE ROWLING ALREADY MENTIONED THIS IN BOOK TWO!!! I mean Harry quite literally said that Voldemort put a bit of himself in him!!! A part of his soul!!! It’s so obvious that Harry is a Horcrux!!! GAH!!! It’s all there and I never saw it!!! That’s just brilliant! Dumbledore must have known all along! I really need to reread the entire series because I can’t remember if he already knew it right from the beginning or if it was just a theory at first.  (hide spoiler)]I can’t wait to read “The Prisoner of Azkaban”! I’m afraid it might have to wait until next year though! So many books, so little time! ;-) ______________________________As always I loved this! <3And boy there were so many hints! The foreboding is real in this one! *lol*Also I kinda like that every book ends with the school year and that there’s no cliff-hanger! I never thought about this but HP is so successful and this even though there are never cliff-hangers. XD (Well, at least not in the strict sense...)Must be magic! ;-P______________________________I’m already reading 6 books,
BUT
this is Harry Potterand it’s autumn close to Halloweenand I just need another comfort read? *lol* Plus 2 of my six books will be finished soon so this means that I’ll be down to 5 again which is my usual amount. XDLook at me being all reasonable and responsible. Haha! ;-PBut honestly, do I even need a reason to read Harry Potter? No, HP can be read anytime! =))",298,0.9995,0.073,0.73,0.197,0.5727650639543843,POSITIVE,0.9974
8,1820638045,11/24/2016,5.0,"ENGLISH (Harry Potter and the Chamber of Secrets) / ITALIANOBedtime reading for my daughter (and second reading for me). It is once again exciting to wander across the Hogwarts halls, observing the mysterious facts that involve the protagonists, just like we were there too. This is Rowling's rare gift: making sure that we see through the eyes of Harry, Ron and Hermione.The summer holidays have passed, and the new school year is about to start at Hogwarts School of Witchcraft and Wizardry. Harry's power is still immature, but Dumbledore's teaching is adamant:«It is our choices, Harry, that show what we truly are, far more than our abilities» This time, our young wizards are struggling with the new professor of defense against the dark arts, the dork and vein Gilderoy Lockhart, called to replace Professor Quirrell (died in the previous adventure). However, the joyful atmosphere is soon ruined: strange events begin to happen...Far be it from me to spoiler something of this mystery-fantasy. J.K. Rowling gives us another masterpiece to live, rather than to read. Actually, I do not know if my daughter was more pleased than me to hear this novel, or if I was happier than her to read it and literally interpret it (I even modulated the voices of the different characters). Any excuse to read Harry Potter.Vote: 9Lettura serale per mia figlia (e seconda rilettura per me). E' ancora una volta emozionante vagare per le sale di Hogwarts e osservare i fatti misteriosi che coinvolgono i protagonisti, proprio come se fossimo lì anche noi. Questo è il raro dono della Rowling. Fare in modo che vediamo con gli occhi di Harry, Ron ed Hermione.Trascorse le vacanze estive, alla scuola di magia e stregoneria di Hogwarts sta per iniziare il nuovo anno. Il potere di Harry è ancora immaturo, ma l'insegnamento di Silente è categorico:«Sono le scelte che facciamo, Harry, che dimostrano quel che siamo veramente, molto più delle nostre capacità» Stavolta, i nostri giovani maghi sono alle prese con il nuovo insegnante di difesa dalle arti oscure, il Professor Gilderoy Lockhart, tanto imbranato quanto vanitoso, chiamato a sostituire il Professor Quirrell, deceduto nella precedente avventura. L'atmosfera gioiosa è presto rovinata, però: strani eventi cominciano ad accadere, associati ad una certa camera dei segreti...Lungi da me spoilerare qualcosa di questo fantasy del mistero. J.K. Rowling ci regala un'altro capolavoro da vivere, più che da leggere. A conti fatti, non so se sia stata più contenta mia figlia di sentirselo raccontare, o se sia stato più contento io di leggerlo e letteralmente interpretarlo (ho perfino modulato le voci dei diversi personaggi). La scusa è buona, in ogni caso.Voto: 9",291,0.9632,0.041,0.873,0.086,0.4932323232323233,POSITIVE,0.8129
9,2298659223,02/18/2018,5.0,"I sat down to ""read a few pages"" of this before bed two nights ago and had to force myself to stop at page 100...then picked it up and flew through the rest the next day.I really enjoyed this one (as did millions of others, obviously) and, with this installment, I am definitely seeing why this is such a beloved series. The magical wizarding world of Harry, his friends, and the folks at Hogwart's is just FUN to read about. I am in LOVE with Fawkes the phoenix and I adore Dumbledore...And now I am so worried something bad is going to happen to one of them over the course of the remaining books. And, yes, I know it's probably made you gasp in shock that - in addition to never having read the books before now - I have also never seen any of the movies...and I truly have no idea what happens throughout the remainder of the series. I guess it IS possible to blissfully ignore spoilers for over two decades...unless we are talking about Game of Thrones. Good luck making it a fucking day with all the assholes posting every single scene on Twitter. Not that I'm on Twitter...But I digress.  So yeah, firstly, loved this book and looking forward to the next one. And secondly, now more of the art on the HP mug I got from OwlCrate a few months ago makes more sense and I totally love it more now, so there's that. Winning all around.",271,0.9868,0.07,0.748,0.182,0.493070818070818,POSITIVE,0.9999
