,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,1526686425,01/26/2016,4.0,"My best friend recommended this and I have to thank her for it. A lovely book, I remember crying my eyes out so I often had to put it down, get a grip and then go on. Easily read even though I hadn't read the first 3 books of the Walsh Family series. If you enjoyed books by Ahern or Kinsella then you will love Keyes' style!",43,0.9705,0.039,0.639,0.322,0.5506944444444444,POSITIVE,0.995
1,2104935842,08/29/2017,5.0,"First time I read this book, I was too young, too dim witted and lack of spidey or spider senses. I caught the big revelation at the second half but I have to tell you: this quite emotional, ugly tear jerking, poignant story and my second favorite book of Walsh Sisters series (Angels is my least favorite one: even though it takes place in LA) I highly recommend it.",38,0.8182,0.083,0.738,0.179,0.4707142857142857,POSITIVE,0.9989
2,2288941690,02/08/2018,4.0,Powerful narrative.Blog | YouTube  | Instagram | Facebook | LinkedIn,29,0.4215,0.0,0.641,0.359,1.0,POSITIVE,0.9974
3,44549604,01/27/2009,1.0,"This book is one terrible mess, which is surprising because it's written by a ""bestselling"" author. I mean, the dialogue...does she really think people talk like that? And what was up with all those boring email sections, which did nothing to add to the story. Plus, all the main characters are super annoying, especially the parts concerning the main character's job. The most obnoxious part of the story is the ""plot twist"" which happens about 200 pages into the book. I'm fairly certain that everyone must know what the twist is about 50 pages into the story, and the rest of the pages leading up to the ""shocking"" twist are painful. Why did I keep reading this book?",26,-0.7617,0.129,0.791,0.08,0.6511507936507936,NEGATIVE,1.0
4,31714663,09/01/2008,5.0,"I'd have to put this book in my list of top-ten favorites of all time! I picked up the book-on-tape version at the library and immediately fell in love with Marian Keyes. I had to get the print version to enjoy the story again, and I am not usually one to re-read books (because there are so many others on my ""to-read"" list)! After reading this most engaging novel, I felt compelled to read all of Keyes' other books, most of which were wonderful as well. This one remains my favorite of hers, however. I think it is several steps above the chick-lit category. The story is both hysterically funny and extremely poignant. I loved getting to know the Walsh sisters and bits and pieces of their various stories, so I was delighted to learn that there were other books that had different Walsh sisters as the main character.I like how Anna's story is revealed a little bit at a time, and the intermittent flashbacks that help us learn about her relationship to Aiden. I fell in love with him right along with her and felt endeared to him throughout the story. I sobbed at the end--it was such a touching and satisfying conclusion. I enjoyed this book so much that I have given it as a gift to several of my friends. *Highly recommended!",23,0.995,0.011,0.749,0.24,0.5303015873015872,POSITIVE,0.9999
5,16505597,02/27/2008,4.0,"This was my first Marian Keyes book, so I haven't read the others about the Walsh sisters. I think I have a hard time getting into a lot of books, it usually takes the first 100 pages before I care about the book. Once I hit the turning point in the novel (around chapter 25) it was un-put-down-able. Seriously, I read the majority of the book on Sunday afternoon (about 300 pages).I enjoy Anna, there is a lot that I can relate to about her under the surface. She is a PR Account Executive, I've worked in the PR field (not on the account side) for about five years and the things she would complain about made me giggle because I could totally see it.Watching Anna remember February 16th was heartbreaking, watching her recovery would break my heart one minute and have me laughing out loud the next page. Definitely a good read, now I think I need to read Watermelon so I can experience more of the other Walsh sisters. Only Helen and Rachel were discussed a lot in Anybody Out There?",14,0.9136,0.047,0.843,0.11,0.5115384615384616,POSITIVE,0.9852
6,21343573,04/30/2008,5.0,"I'm having a love affair with Keyes at the moment. Started with Lucy Sullivan gets married (loved it) hiccuped with Watermelon (not so much) then on to Rachel's holiday (rivaled Lucy's story) and now, this one. Anybody out there is Anna's story. Keyes was on point in this book, Anna was heartbreakingly familiar. When I realized where her story was heading I was a bit angry, as I was already in love with Anna and Andy as a couple...how could Keyes do this to me. It was the delicate way that Keyes wove Annas story that made me keep reading through my anger =) I love how in each of these story about this family, one sisters life story, or segment of their life, is explored, and then you kind of get updates in the following sisters story. It's a nice way for the stories to continue. I'm trying not to give too much away, mostly cause I know Laura has this marked as to read. There were many moments in the books where I just paused and was wowed by Keyes ability to turn a phrase, or make a moment so recognizable and emotional. One of my favorite quotes (cause I have felt this way before) is""Funnily enough, I wasn't that keen on butterflies. It was a hard thing to admit because everyone loves butterflies and not liking them is akin to saying you don't like Michael Palin, or dolphins or strawberries. But to me, butterflies were slightly sneaky; all they were were moths in embroidered jackets. And, yes, moths were creepy and their flapping wings made a nasty papery sound-but at least they were honest; they were brown, they were dull, they were stupid (flying into flames at the drop of a hat). All in all, they hadn't much going for them but they didn't pretend to be anything other than what they were.""its not really a pivotal quote, but I liked it ;)",12,0.9175,0.064,0.827,0.109,0.6152380952380951,POSITIVE,0.9508
7,95498221,03/23/2010,1.0,"Why I will never read this book. The verdict is in.As I wandered down to my local coffee shop the other morning, I couldn’t help noticing a little pile of books somebody had put on the footpath, part of a clearing up. A motley collection, if ever I saw one, was my professional assessment. Over the next couple of days the pile got smaller. Somebody took the book on ’Twenty-two ways to improve the feng shui of your lavatory.’ And ‘Things you can do with bonsai plants if you have a front loader.’ Even the Booker Prize winner went missing. Eventually all that was left was Marian Keyes Anybody Out There? Apparently not, Marian. Apparently not.",11,0.9022,0.019,0.861,0.121,0.2844907407407407,NEGATIVE,0.9999
8,6358603,09/17/2007,3.0,"I read the Marian Keyes novels completely out of order, having started with a copy of  Watermelon my mum leant me when I was home on break. As a result, I perhaps saw the Sullivan girls mature in a slightly different order than other people who read the books in ""order.""Nevertheless, I was confused by this book, and one other,  Rachel's Holiday. From the initial character development I got on Anna and Rachel, I always felt that it would have made far more sense to send Anna to rehab. This book was even further for me. This isn't a bad book. The writing isn't bad, although the plot is a bit strange. My main complaint about this novel is that, for my money, except for a few small flashbacks that fill in the missing years between books, this novel has NOTHING to do with the Anna we meet in the other books. Pretty much all of the Anna, the pretty, somewhat diaphanous hippie we meet in the other books-- is explained away in a few pages, which sum up a whirlwind of her life and dismiss every other instance of her in the series. I felt discomfited by this fact, especially since I felt that the actions of the character in this novel were not in tune with those which would have been taken by the character I knew. All in all, I felt if Keyes felt she needed to write this book, it should have been written as a stand-alone; I didn't feel the plot was well-served by being compressed into a standing character structure that really did not allow for the interplay between the characters here. If nothing else, again, I feel this book would have been better ""delegated"" to Rachel. ",9,0.9514,0.035,0.871,0.093,0.4428160919540229,NEGATIVE,0.9997
9,21033767,04/26/2008,5.0,"SPOILERS AHEAD - do not read if you plan to read this book!!I've had a sense of deja vu lately when I've been reading. One was with Remember Me? and the other one was with this great one by Marion Keyes. It's been ages since I read PS I Love You by Cecilia Ahern but I think the premise was similar - in this one, the main character has been seriously injured in a car crash that has killed her newlywed husband. She is in denial of this fact for the first third of the book but then comes to accept it and is in grim pursuit of trying to communicate with him, along with dealing with her friends sympathy and trying to keep her job at a cosmetics firm. I loved it - she's an Irish woman living in NYC and her family back in Dublin is hilarious, and the twist at the end of the book brings it to a satisfying conclusion. I don't think I've ever been let down by Marion Keyes. ",9,0.7764,0.103,0.755,0.142,0.4748456790123457,POSITIVE,0.9969
