,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,662147771,01/22/2018,3.0,"3.5*I didn't love this, but I did appreciate the fact that it had a very powerful message (and an ending I wasn't expecting at all). My feelings were definitely changed by the fact that the author describes the story as a fable. The abstractness makes a lot more sense in that way. Definitely an unforgettable read, nonetheless!",610,0.9312,0.034,0.731,0.235,0.72,POSITIVE,0.9975
1,89511574,02/13/2010,1.0,"As Michael Kors once sighed to a clueless designer on Project Runway: Where do I start? Let's open with some descriptive words that sum up this book, and I will then go on to explain them in further detail: Patronizing. Insipid. Smarmy. Just plain bad. Patronizing: I believe that to write good children's literature, you have to think that children are intelligent, capable human beings who are worth writing for - like Stephen King, who probably thinks kids are smarter than adults. The author of The Boy in the Striped Pajamas, on the other hand, clearly thinks that children are idiots. The main character, Bruno, is supposed to be nine years old, but compared to him Danny Torrance of The Shining (who was six) looks like a Mensa member. There's childlike naivety, and then there's Bruno, who is so stunningly unobservant and unperceptive that I actually started to wonder if he was supposed to be mentally deficient somehow. And he's not the only child who receives Boyne's withering scorn and condescension. Take this scene between Bruno and his sister Gretel, when they've just moved to their house at ""Out-With"" (as Bruno insists on calling it, despite being corrected many times and seeing the name written down) and are wondering how long they're going to stay there. Bruno's father, a commandant in charge of the camp, has told the kids that they'll be there ""for the foreseeable future"" and Bruno doesn't know what that means. ""'It means weeks from now,' Gretel said with an intelligent nod of her head. 'Perhaps as long as three.'"" Gretel is twelve years old, by the way. TWELVE. See what I meant about Boyne thinking kids are morons? Insipid And Smarmy: this book was not meant for kids to read. It's meant for adults who know about the Holocaust already, so they can read it and sigh over the precious innocent widdle children's adorable misunderstanding of the horrible events surrounding them and how they still remain innocent and uuuuuuggggggghhhhh. There's a scene towards the end, where Bruno puts on a pair of the ""striped pajamas"" so he can visit his friend on the other side of the fence. Bruno has had lice, so his head is shaved. When he puts on the pajamas, the Jewish boy observes him and the narration commits the following Hallmark-worthy atrocity: ""If it wasn't for the fact that Bruno was nowhere near as skinny as the boys on his side of the fence, and not quite so pale either, it would have been difficult to tell them apart. It was almost (Shmuel thought) as if they were all exactly the same really."" YES JOHN BOYNE I SEE WHAT YOU DID THERE. Just Plain Bad: This book is, technically, historic fiction, but I'm not putting it on my history shelf, because there is nothing historical in this book. Bruno is supposed to have grown up in Nazi Germany, the son of a high ranking SS officer, but based on his knowledge of everything, he's spent his entire nine years sitting inside with his eyes shut humming loudly while covering his ears. Okay, I get that he wouldn't know about the concentration camps - hardly anyone did at that point. But there are other things: Bruno consistently (and adorably!) mispronounces the Fuhrer as ""the Fury"" (I SEE WHAT YOU DID THERE JOHN BOYNE), and doesn't recognize the following key words and phrases: Jews, Fatherland, Heil Hitler. What. The fuck. Okay, so maybe this kid's too young to be in Hitler Youth (his sister isn't though, but for some reason she's not in it either), but come on - he thinks ""Heil Hitler"" is just a polite way to end a conversation. A nine-year-old boy growing up in a military household in Nazi Germany doesn't know what Heil Hitler means.All of this comes back to my original thesis: John Boyne thinks that children are idiots. Look, Boyne: just because you don't understand anything (history, children, good writing) doesn't mean the rest of us are quite so useless. Go cash your checks for that awful movie adaptation they did of this book and never try to make a statement about anything ever again, please. Read for: Social Justice in Young Adult Literature",531,0.8887,0.068,0.84,0.092,0.479985622268231,NEGATIVE,0.9999
2,2761131937,03/29/2019,4.0,"Two innocent boys, and two very different worlds, separated by a not so infallible fence.Berlin 1942, middle of WWII, beginnings of the Holocaust. Bruno is a little boy of barely nine years old, son of a very well standing german family. His life passes relatively uneventful until one day his father is appointed commander in a faraway region. Bruno, his sister Gretel and his parents are compelled to relocate to Out-With, to a much smaller house, forsaking family and friends, and sacrificing everything for the important rank promotion. In this new house isolated from the rest of the world, Bruno finds a small window that allows him to see at the distance an incredibly large area with tiny little huts; and an endless number of tiny little figures dressed in a curious striped outfit. Mature, old people... and children. In a huge wire fenced field.Excellent historical fiction novel. A must read alongside the Diary of Anne Frank. Two unique and different perspectives of a same tragedy. A novel about the cruelties of war, and the self invented differences that lead humanity to separate itself. Highly recommendable. Very powerful. Painful as few others.Still remaining, the movie (2008).Until next time, -----------------------------------------------Dos niños inocente, y dos mundos muy diferentes, separados por un no tan infalible alambrado.Berlín 1942, mediados de la segunda guerra mundial, principios del Holocausto. Bruno es un pequeño nene de escasos nueve años, hijo de una familia alemana de buen pasar. Su vida transcurre sin mayores problemas hasta que un día su padre es designado comandante en una región lejana. Bruno, su hermana Gretel y sus padres se ven obligados a reubicarse en Out-With a una casa más pequeña, abandonando familia y amigos en sacrificio de la importante promoción laboral. En esta nueva casa aislada del mundo, Bruno encuentra una pequeña ventana que permite entrever a la distancia una enorme cantidad de pequeñas chozas; y un sinfin de pequeñas figuras vistiendo un curioso uniforme de rayas. Gente adulta, mayor... y niños. En un enorme campo alambrado.Excelente novela histórica de ficciٕón. Un must para leer del tema, junto al Diario de Ana Frank. Dos perspectivas únicas y diferentes de una misma tragedia. Una novela sobre las crueldades de la guerra, y sobre las diferencias autoinventadas que llegan a separar la humanidad. Muy recomendable. Muy poderosa. Dolosoa como pocas.Queda pendiente ver la película (2008).Hasta la próxima,",287,-0.0846,0.057,0.875,0.068,0.4690338449429357,POSITIVE,1.0
3,45617399,02/06/2009,1.0,"I seriously suggest you read about what happened to real children in the Holocaust. It won't fill your thoughts for many days or shock you; rather it will fill your LIFE and make you feel sick to the core of your being.Paul Friedlander, himself a survivor, recounts in his recent highly praised book the incident of 90 Jewish infants all under the age of five, orphaned after their parents were murdered in a mass shooting.These children were subjected to indescribable mistreatment for days.Then they were individually hanged.I read this with horror, revulsion and total disbelief.(ref.The Years of Extermination: Nazi Germany and the Jews, 1939 - 1945)Or the incident of the young German soldier participating in the evacuation of the patients in the hospital in the Warsaw Ghetto. In the presence of a distraught Jewish crowd of relatives and onlookers, patients were being thrown onto the backs of trucks.The babies were being thrown from the upper windows. The soldier requested and was given permission to catch the falling babies on his bayonet.(ref. The Holocaust - the Jewish Tragedy by Martin Gilbert.ISBN 0 00 637194 9 )There are so many historical inaccuracies and ludicrous details in this totally implausible story of Boyne's eg. Bruno's ignorance of basics, impossible when he would have been in the Hitler Youth and the Nazi education system.This travesty of the Holocaust is called a 'fable' as if with all its faults, it has special claim on some gravitas, thus giving Boyne justification for this lame expose of racism.I was a member of the Jewish Holocaust Committee here in Sydney for a while and once had to endure a young rabbi lecturing on how the Holocaust was God's punishment on the Jews. So there are fools to be found inside the club as well as outside it.Not a single pure ethnic German child entered a gas chamber as part of the extermination of the Jews...although many died in Germany as part of thepre-war killing of disabled and retarded children.When protests brought this program to a close the same staff were later sent to operate the gas chambers in the camps.And for six million Jewish men, women and children there was no saviour. This bitter pill is too much for some people to swallow.Some, like the young rabbi, takes refuge in blaming the very victims;others find refuge in sentimental fiction such as Boyne's which does no honour to these tragic, lost people. And today there are perverse forces abroad, from renowned historians to Catholic bishops, who would deny that the Holocaust ever took place or to an extraordinary lesser degree.They use every discrepancy of detail as well as lies to justify their denial. So for anyone touching on this subject it is vital and morally incumbent on them to GET THE FACTS RIGHT.There is an overwhelming library of rivetting, emotional, inspiring and tragic Holocaust stories out there - all factual, which you may have already plunged into. Boyne may even have led you there. But finally Boyne just deserves to fade away.P.S.The Oscar winning Foreign Language film of 1997, ""Life is Beautiful"", was also, not surprisingly, referred to as a 'fable'. It also is an implausible piece of Holocaust sentimentality and a stampede away from having to swallow the bitter pill of reality. ",273,-0.9957,0.161,0.78,0.059,0.4584711779448621,NEGATIVE,0.9989
4,70876244,09/11/2009,1.0,"A powerful concept, but very poorly written (even allowing for the young adult target audience) - and one of a tiny number of books I can think of that was better in the film version.PlotBruno is 9 and lives in Berlin in 1943 with his parents and 12 year old sister. They are wealthy and his father is an important soldier who is promoted to be the Commandant at Auschwitz. The trick of the story is that Bruno doesn't realise the horror of what goes on behind the barbed wire, where everyone wears striped pyjamas, even when he befriends a boy of the same age at a corner of the camp. Although his father can be strict and distant, Bruno is unfailing in his trust in the goodness of his father. In the film, there was at least a gradual, if reluctant, dawning of doubt about his father and all he stood for, but that doesn't happen in the book; the themes of family, friendship and trust are barely touched on.Implausible IgnoranceThe main problem is that it's told from Bruno's viewpoint, and he is ridiculously naive and ignorant for the son of a senior Nazi. Not knowing, and not wanting to know, the horror of what was happening is entirely understandable (especially when a parent is involved). However, he hasn't heard of ""the Fatherland"", thinks the Fuhrer is called The Fury (throughout), that Auschwitz is called ""Out With"" and that ""Heil Hitler"" means ""goodbye""! Yet we're meant to believe that he's the 9 year old son of a senior Nazi! His father had clearly been neglecting his duty to train the next generation of Hitler youth. And anyway, the puns wouldn't work in German. What is even more insulting to readers is that Boyne has responded to this widespread point of criticism by saying that anyone who thinks the boy is too naive is denying the holocaust! (See Kelly H. (Maybedog) comment on Oct 02, 2012 and subsequent ones).Other Flaws* Surely some aspects of Schmuel's plight would have been glaringly obvious (emaciated, shorn hair, possibly lice-ridden, ragged clothes etc)?* There are several stock phrases that are trotted out annoyingly often (""a Hopeless Case"", ""mouth in the shape of an O"", ""if he was honest as he always tried to be"").* They talk of miles not kilometres and feet not centimetres, which might not matter were the rest of it more realistic.* Just occasionally, and completely out of character, Bruno talks in an unnaturally adult way (""If you ask me we're all in the same boat. And it's leaking"", and a nasty person who ""always looked as if he wanted to cut someone out of his will"").It might have worked better if Bruno had been 5 or 6, but I suppose the target audience would have been less willing to read it, so the result is a book that isn't really suitable for any age group. What a waste.Postscript 1Arising from Kelly Hawkins' review:Boyne says:I think the most frequent criticism of the book in the years since it’s been published is that Bruno is too naive. People say: “He’s verging on the stupid – how could he not know?” For all the criticisms you can make, I always feel that’s the wrong one because he’s grown up in a house with his father wearing a uniform, so I always think why would be question it? There wouldn’t be any motivation for him to suddenly turn around… if your father came home wearing a doctor’s uniform every day, you wouldn’t turn around one day and ask: “Why are you wearing that?”So, Bruno is kind of representing that blindness, in a way. When he goes to the fence, and when he asks that question, he is kind of representing the rest of us who are trying to understand the Holocaust and find some answers to it. Also, when the camps were liberated, the world was surprised through 1945 and 1946. The majority of the Holocaust had taken place over four years and, granted, it was a different information age but I still maintain that in those sorts of movies, the naivety is appropriate. It’s based on real life.From: http://www.indielondon.co.uk/Books-Re...Elsewhere, he is quoted as saying that naivety and complacency were two of the main reasons the Holocaust occurred (http://yareviews.wikispaces.com/The+B...).I find that a very unsatisfying defence. It answers why people don't want to know the horrors (which I fully acknowledge), but does not begin to tackle Bruno's specific ignorance of common words related to the Third Reich. Postscript 2, October 2015His new book has a similar title and another Nazi theme - with Hitler himself this time: The Boy at the Top of the Mountain. I won't be reading that, but I suspect it will cause similar controversy.Postscript 3See this excellent review by a survivor of Nazi concentration camps. Boyne (posting as John) responded to some of the criticisms:https://www.goodreads.com/review/show...Postscript 4, 14 May 2017In today's Sunday Times, the Prime Minister Theresa May was asked by a 19-year old in her constituency, ""Has your thinking ever changed because of a novel?""She replied:""A book that brought something home to me was The Boy in the Striped Pyjamas. It is a very, very cleverly written book and a very well-written book, and what it brings home is the absolute horror of the Holocaust.""Hmmm.",230,0.7833,0.087,0.821,0.091,0.5371204906204904,NEGATIVE,1.0
5,2975485450,09/12/2019,4.0,"""When he closed his eyes, everything around him just felt empty and cold, as if he was in the loneliest place in the world. The middle of nowhere.""*May 2021 Re-readOne of the worst fictional sister characters. Gretel, you're really annoying. Exactly a Hopeless Case.Maria's character is memorable. She's grateful and I really appreciate such characters in stories.But you know the most memorable character in the entire story is? The one who peels potatoes. Pavel. I will always have a soft spot for this character.The complicated father character is something I want to learn more about.And another most hateful fictional character ever? Don't let me talk about Lieutenant Kotler. Apart from the highly hateful behaviour, I do not forgive someone who are cruel towards animals. Can he just disappear in my next reread? I just cannot stand this character.Real easy to start and finish in one sitting.This was a really good read. I couldn't help getting images of the movie adaptation that I have watched a long time ago.I loved everything about this book.I loved the fact that this book made me love some of the characters so much as well as hate a few hateful characters to the core.I thought this book would make me cry buckets and buckets but I didn't.Actually it clutched my whole being. And I just had to keep on reading it till the last page as I couldn't stop reading it.Yes, it is this interesting.The characters were so alive and unique on their own.Bruno and Shmuel. Your innocence and friendship will be etched forever in my soul.One of my most favourite classics so far.Planning to read more John Boyne👍So worth it!Highly recommended👍",218,0.8473,0.095,0.788,0.116,0.5306578947368421,POSITIVE,0.9988
6,347070985,06/12/2012,4.0,"quick reread because, lets face it, im high-key obsessed with john boyne. this is my seventh JB book in less than a month. when i hit my tenth, someone please stage an intervention. lol.i first read this years ago, so i forgot just how innocent the perspective of this story is. which i think makes it even more haunting. we, as humans, are not born with hatred; its something we learn and acquire throughout life. and what a horrible thing that is. to see how carefree a child can be in the most horrific of times is so heartbreaking, because it shows he doesnt have to capacity to see how truly monstrous humanity can be. this story is definitely one to make your mind reflect and your heart ache. ↠ 4.5 stars",200,-0.5242,0.127,0.763,0.111,0.61,POSITIVE,0.9998
7,133144288,12/01/2010,5.0,"The Boy in the Striped Pajamas is truly an amazing yet daunting novel that I will never forget. The author John Boyne did a masterful job of depicting the setting in such vivid detail and exposing the events in a manner that I felt a constant emotional pull as the story unfolded and impending doom lingered on the horizon.I was recommended this novel a while back while reading The Book Thief, but after finishing that story and experiencing such deep sadness, I knew I couldn’t jump into another novel about the Holocaust for quite some time. I’m glad I waited because as with other works that cover this topic, distance and perspective is key. I feel the author did a grand job of juxtaposing two resounding themes in such a flawless manner; one being of the  evil  that was the Holocaust; against the second theme that of the innocence of a child. I thought it was brilliant of Boyne to tell the story from the perspective of a nine year old German boy as you experience the events of this abominable and unthinkable time in history as a mere complicit bystander, which ultimately leaves you with a sense of hopelessness. The story unfolds the day Bruno arrives home to discover his family is moving from Berlin to Auschwitz where his father will serve as a Commandant for the concentration camp. Bruno is forced to leave his three best friends for life and discovers that life in Auschwitz is lonely and desolate. All that changes the day he meets a boy his exact age and they begin to forge a friendship over the course of year. However, as much as he finds he and Schmuel have in common, living on opposite sides of the fence proves to have a devastating consequence to their friendship.After completing this book, I did some research on the author and the novel and found that he not only received well deserved praise for this book, but also harsh criticism. As with any piece of literature, when words are committed to page and presented to an audience for their interpretation there will be varying degrees of acceptance and backlash. Couple that with such a sensitive topic and you’re bound to get a reaction. Well, my hats off to John Boyne for tackling a story through a unique perspective and presenting a poignant fable that as a reader I willingly suspended my reality and experienced the events in a way that exposed my emotions and feelings to such a raw level. Well done IMHO.",186,0.9438,0.107,0.748,0.145,0.5897588522588522,POSITIVE,1.0
8,3052872126,11/14/2020,4.0,"I did enjoy this book although not as much as some others. It’s a gruesome and sad topic told through the point of view of an innocent little boy a great concept and expertly executed. The author does a wonderful job in the voice of the young boy. The language and syntax are adult with enough smatterings of the child’s perceptions and reflections and word choice to make it real. Excellent, job here. The author also doesn’t beat the reader over head with descriptions or facts and gives a great deal of credit to the reader to understand and figure out what is happening. Calling the man, The Fury is an excellent example as well as The Out With. Amazing creativity. This creativity is in part what held me in the story. I will definitely read more by this author and recommend this book.David Putnam Author of The Bruno Johnson Series.",180,0.9877,0.038,0.72,0.242,0.6764705882352943,POSITIVE,0.9979
9,2112194873,09/03/2017,1.0,"There are plenty of insightful reviews on this piece of sensationalist, badly written, idiotic Disneyfication of the Holocaust on Goodreads. I don't have anything to add to the criticism, except that I would love to see it taken off the curriculum in schools.Here are my replacement suggestions:Upon the Head of the Goat: A Childhood in Hungary 1939-1944When Hitler Stole Pink RabbitA Day of Pleasure: Stories of a Boy Growing Up in WarsawAnd of course for more mature students, I recommend Anne Frank, Elie Wiesel and other authentic witness accounts. The Boy In The Striped Pyjamas is a shameless money-making machine without writing skill or depth, without nuance or finesse, without basic knowledge of history or children's levels of understanding at age 9, and without the slightest ethical guidelines.The target group is unfortunately a generation of parents, teachers and children who have lost touch with complex historical and linguistic knowledge and who need a babyish, fictionalised, shockingly inaccurate version of the Second World War to stay focused - and that is unacceptable in my opinion. Instead of giving in to the lower level of comprehension, we need to put in the extra effort to be able to read on the same level as generations of children before! We can't afford to lose the literacy fight, as it means losing the fight for historical knowledge and distinctions!",176,-0.9309,0.151,0.76,0.089,0.41,NEGATIVE,1.0
