,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,106605826,06/11/2010,4.0,"I love the unconventional format of this book. Oliver groups the recipes by season/ingredient. This is a great companion to his television series, ironically titled ""Jamie at Home."" His passion and enthusiasm for fresh ingredients and simple recipes translates very well to the page. Personally, I like to have a companion photo with as many recipes as possible for presentation ideas and this book has wonderful photographs of the food. I haven't cooked all the recipes yet but, I must say that most are quite tasty. I've found that some of his recipes do have a definite English quality. That is not to say they are awful but rather have a bitter quality. In my humble opinion, he tends to use too much lemon. His Italian recipes are fabulous, especially, his pizza. They key is his very simple four ingredient sauce, the best you'll ever have. In addition to recipes and commentary, gives simple instructions on how to grow most of the ingredients in a home garden. It inspired my first foray into gardening. What I’ve learned from other great cookbooks and chefs is that the simplest recipes are the best and “Jamie at Home” (the book) supports this thesis. ",3,0.9905,0.033,0.756,0.211,0.5281037414965987,POSITIVE,0.9977
1,497524163,01/06/2013,5.0,"If you're trying to figure out new ways to highlight the bounty of your garden, this is it. Using simple, everyday pantry items (for the most part) Jamie really brings out the best in fresh, ripe produce. The photos are gorgeous, and the recipes are very easy to follow. The book is broken up into seasons, and the Mothership tomato salad is not to be missed. It is stupidly easy, but tastes like everything tomatoes ever promised to be. A bottle of wine, a loaf of crusty bread, and maybe some cheese is all you need to round out a meal featuring the bright salad (recipe here: http://www.foodnetwork.com/recipes/ja...). A slight warning: this book will definitely make you long for your own garden, and quite likely, an outdoor wood-fired oven (especially if you watch the companion television show). Even if you already are a pro in the kitchen, this should be added to the collection of cookbooks. Oliver is able to bring out the best that each vegetable (or fruit) has to offer, revealing techniques not to be missed.",2,0.9763,0.036,0.79,0.174,0.5826994434137291,POSITIVE,0.9999
2,56444443,05/17/2009,5.0,"Whenever I peer into this book, I'm attacked by the green monster of jealousy. How gorgeous (and gigantic) is his garden? It's so fantastic! And that's what's really interesting about his latest cookbook. He intimately describes his garden and teaches you how to grow veggies...shortly, it's awesome. I've tried a few recipes from his book. I tried his asparagus dishes, which were all fantastic. And I made his onion soup, which turned out yummy. The best thing I think I made so far was the blackberry and apple pie. He also includes a pastry dough recipe, which is fantastic and kind of MADE the pie (though it was a little bit on the thick side, all due to the fact that I fail rolling out dough).And as an art major, I have to shout out the the designers of this book. BEAUTIFUL photography, graphics, texts, layout. *GROAN* FANTASTIC!",2,0.9893,0.05,0.711,0.239,0.6625,POSITIVE,0.9996
3,6976131,09/28/2007,4.0,"Love the format of this book. If you're fond of gardening or just dreaming to own a vegetable garden despite living in a cramped urban apartment like me, this book is a great treat! Like most Jamie Oliver's books, this one is filled with great photos, colors, and pretty illustrations. ",2,0.9788,0.0,0.595,0.405,0.6875,POSITIVE,0.9977
4,2412138478,06/03/2018,2.0,Charming but ultimately I didn't leave with a single recipe that I intended to actually try.,2,0.3863,0.0,0.752,0.248,0.5785714285714286,POSITIVE,0.9139
5,1203179801,10/01/2018,4.0,"Love the countrified photos, layout, paper quality and format of this book (Sophie Dahl's cookbooks are similar).However if you are vegetarian like me you wont appreciate all the references to shooting game, meat and there are some dead animal images... But for carnivores maybe it might get them thinking about where their meat actually comes from. Great recipes (very time consuming and chefy though) the cheeky chilli chutney actually took me 3 hours over two days! Welsh rarebit, rhubarb bellini, english onion soup, apple & blackberry pie and the squash soup were also delicious, I recommend them.Just wish I grew my own fruit and vegetables instead of relying on tasteless supermarket ones!",0,0.929,0.052,0.788,0.16,0.5045454545454546,POSITIVE,0.9996
6,1998560991,06/21/2019,5.0,"Excellent all-round cook book. Friendly feel and many, many recipes that you WILL ACTUALLY COOK, unlike most celebrity chef books.Jamie introduces a vegetable with a spread explaining how he grows tham in his garden, with lots of wholesome photos of him getting his hands muddy. Then follows a section on using that vegetable in the kitchen. Some recipes revolving around it, others focusing on a different main ingredient.The pie recipe is a favourite.",0,0.7845,0.0,0.905,0.095,0.5041666666666667,POSITIVE,0.9982
7,88314743,02/05/2010,5.0,"It's been more than a year and I'm still working through this inspirational collection of seasonal recipes. Frankly, I'm appalled it's taking me so long when everything I make turns out lovely.Jamie Oliver, my cooking icon, uses veggies as the centerpiece in the majority of the recipes grouped here and every passthrough I find something droolworthy. One of my favorite recipes, the Asparagus and Potato Tart, has made numerous dinner appearances, despite the pitfalls of creating a filo crust. Grrr, filo. Although many recipes have meat in them, it's usually either something that's simple to leave out or something I'm inspired to make with a meat substitute. The Italian Ham and Spinach Tart, for example, I'll be making this week and leaving the ham off. Easy peasy.All the recipes I've tried have been successes. Many have earned repeated rounds on the menu, like Sweet Pear and Apple Salad with Endive, Superb Squash Soup, Creamy Asparagus Soup, Fresh Tagliatelle with Sprouting Broccoli and Oozy Cheese Sauce, Rhubarb and Sticky Ginger Crumble, Mothership Tomato Salad and more. Top two recipes on my 'to make' list: Baked Cauliflower & Broccoli Cannelloni, Incredible Smashed Peas & Fava Beans on Toast. Note to self: plant fava beans.I admit, I'm a sucker for Oliver's excitement over good-quality, fresh produce. Why shouldn't I be? He's absolutely right. Jamie's abstract directions (a 'good handful of parsley') may worry a more methodical cook, but I find them an opening, a verbal head-nod to improvisation and creativity. I find Oliver's recipes and his hands-on approach to home cookery continually inspiring, making this book one of the first I reach for in a pinch.",0,0.9727,0.03,0.832,0.138,0.6138278388278389,POSITIVE,0.9999
8,116631444,08/13/2010,4.0,"This is one of the most interesting cookbooks I've come across. It's divided by season and subdivided by main ingredient...with gardening tips thrown in to boot! Very cool way to organize recipes, IMHO. And the photography is gorgeous.In the Introduction Jamie gives a shout out to the Brittish sitcom The Good Life. I fell in love with that show back in the late 80s. The show was produced in the 70s and was way ahead of the curve telling the story of a couple who went off the grid to live a sustainable, simple, self-sufficint lifestyle. The show made a real impression on my all those years ago and perhaps it influenced the person I am today.I tried 3 recipes from this book and all 3 were good to very good. My favorite of the 3 was the the grilled butterflied monkfish with a sweet runner bean stew. I could not find monkfish at my market so I used swordfish....and it was a real winner! I also loved the humble home-cooked beans. I love beans and this was a nice way to prepare them and I plan to use this recipe often. The last recipe I tried was the Welsh Rarebit with Attitude. I liked it, but it wasn't my favorite. I would have tried more recipes but it's time to return this one to the library. I'll be keeping my eyes open for a used copy to add to my personal collection.",0,0.98,0.0,0.859,0.141,0.5550824175824176,POSITIVE,0.9996
9,52167654,04/10/2009,4.0,"Each chapter of this book was an episode of Jamie at Home (all of which were fantastic). It's in seasonal order and highlights the food Jamie makes at home throughout the year, which includes most things he grows in his garden, as well as broader topics like eggs, barbecue, foraged mushrooms, feathered game, pastry and pizza. He does 3-4 recipes for each section (all complete with beautiful photos) as well as a short write up about each - mostly his planting, growing and harvesting tips, but also important issues (why factory farm eggs aren't awesome, etc). I've made several recipes from this book, all of which have been ridiculously delicious: 'proper' chicken caesar salad, orchard fruit pudding, calzones, strawberry jam, green bean ragout, roasted carrots, pea/fava bruschetta....and more that I can't remember off the top of my head but know that they were all delicious. I think all of these recipes are now on his website, but this is one of those books that's just beautiful to hold (and, also, has converted the measurements and temperatures from the original UK recipes). I'd recommend at least borrowing it from the library to be inspired by all the photos.",0,0.9825,0.034,0.793,0.174,0.625,POSITIVE,0.9997
10,40407580,12/18/2008,5.0,"I absolutely love Jamie at Home, so was really excited when I saw that a cookbook was coming out. The show is focused on single, seasonal ingredients - so, for example, three recipes about rhubarb - and the cookbook takes a similar focus. In addition, the cookbook has advice about eating and growing local. We haven't made many recipes from the cookbook yet, but I've genuinely enjoyed reading it, and am looking forward to doing more as the seasons come around.",0,0.884,0.0,0.85,0.15,0.4580357142857143,POSITIVE,0.9996
11,41051648,12/27/2008,4.0,"This isn't really a cookbook as much as it is a manifesto or a lifestyle book. The photography is GORGEOUS, and the book itself is just beautiful, with thick textured paper and a lovely cloth cover. I'm just beginning my cooking experiments, so a lot of the recipes here seem very unfamiliar to me -- not what *I* would consider simple fare. Aside from that, I thought that the gardening / vegetable information was extremely helpful and really liked that portion of the book. This is one to really sit down with and spend a lot of time on -- there's a lot to get through in this book.",0,0.9619,0.0,0.836,0.164,0.5392526455026455,POSITIVE,0.9965
12,338143619,05/28/2012,5.0,"Great book to curl up with. Makes u want to buy a farm, a land and start everything new by planting and growing ... :)) ",0,0.7269,0.0,0.728,0.272,0.7348484848484849,POSITIVE,0.9997
13,342592991,06/04/2012,5.0,"My favorite, most used cookbook! Many pages have food splatters on them, which to me, means that a cookbook is loved, and serving it's purpose in the world. ",0,0.8016,0.0,0.777,0.223,0.7,POSITIVE,0.9999
14,229207836,10/30/2011,5.0,"Good book. Not just to cook from, but also to flick through. Lovely pictures.",0,0.7992,0.0,0.627,0.373,0.675,POSITIVE,0.9987
15,3690760634,12/12/2020,2.0,"Gorgeous book. The design and photography are fabulous. Being that it focuses on gardening and growing vegetables in many of the added essays, it's really disappointing that nearly every recipe uses meat and dairy. Why not highlight the veggies? There's not one recipe I'd make without major alterations. An extra star added for the brilliant design. ",0,0.8111,0.081,0.731,0.189,0.6375,NEGATIVE,0.9868
16,4491305906,01/20/2022,5.0,"More than any other person, Jamie Oliver taught me how to cook. And more than that, he taught me to love cooking. This cookbook, based on his TV show of the same name, taught me the most. Recipes from this book have become essential family staples in our home.",0,0.6369,0.0,0.92,0.08,0.4142857142857142,POSITIVE,0.9995
17,2063631005,07/17/2017,5.0,"Beautiful book, wonderful photos. Excellent, Jamie.",0,0.9062,0.0,0.21,0.79,1.0,POSITIVE,0.9854
18,2070686275,07/24/2017,4.0,"It's a lovely book, but those pictures of dead rabbits are quite creepy so I give it 4 stars and not 5.",0,-0.6757,0.235,0.671,0.095,0.7166666666666667,NEGATIVE,0.9991
19,2089729677,08/11/2017,4.0,Loved it. Still use it.,0,0.5994,0.0,0.506,0.494,0.8,POSITIVE,0.9865
20,2291527248,02/10/2018,5.0,Good home cooking with some great tips on how to make them extra special and tasty. Lots of handy tips and good information and photos are superb. Just what I expected from Jamie Oliver.,0,0.9493,0.0,0.626,0.374,0.6151785714285715,POSITIVE,0.9721
21,2314740928,03/03/2018,4.0,Lovely staple foods with beautiful photos and top tips on growing your own and where your food comes from. If only I had that lovely British soil. ,0,0.9325,0.0,0.583,0.417,0.7142857142857143,POSITIVE,0.9992
22,251231227,08/02/2018,5.0,Loved this cookbook!,0,0.636,0.0,0.323,0.677,0.8,POSITIVE,0.9923
23,2843416297,06/02/2019,5.0,"Gourmet Gardeners will love this book, although it may cause garden envy!",0,0.5255,0.127,0.603,0.271,0.6,POSITIVE,0.9974
24,3244627315,03/24/2020,5.0,This recipe book by Jaime Oliver has both recipes and how to grow your own veggies and fruits and herbs. I will buy this because I loved it. The pizza dough recipe was awesome. ,0,0.8402,0.0,0.789,0.211,0.9333333333333332,POSITIVE,0.9953
25,3577073840,10/02/2020,5.0,"I read and reread this all the time. Thoroughly love Jamie,'s books!",0,0.6989,0.0,0.676,0.324,0.6,POSITIVE,0.9817
26,1524755988,01/25/2016,2.0,"Personally I didn't like this book, I wouldn't use it, but for those who are in to very natural foods with the explanations: all the different types of eggs & how they are produced; how to grow asparagus; how to grow rhubarb; how to barbecue; types of lamb; and or chilies & peppers....... This is a good book for you. In fact I view it more of a text book with recipes rather than a cookbook. It is 398+ pages!The pages are non-glossy paper; the photographs (although abundant) are neither always of the dishes nor are they very appetizing; the color of the pages varies as does the color of the font; the font is not always readable as the ingredients are in bold font, but the instructions are small non-bold font.Contents: a nice little chat; spring; summer; autumn; winter; useful stuff; thanks; and indexSpring: asparagus / eggs / lamb / rhubarbSummer: barbecue / cabbage family ' carrots & beets / climbing beans / zucchini / onions / peas & fava beans / pizza / potatoes / strawberries / summer salads / tomatoesAutumn: chillies & peppers / feathered game / furred game / mushrooms / orchard fruit / picklesWinter: leeks / pastry / squash / winter salads / winter vegUseful stuff: my favorite seed & plant varieties / where to buy them / other good addresses & websites",0,0.9848,0.007,0.849,0.144,0.5439814814814815,NEGATIVE,0.9998
27,96274552,03/29/2010,5.0,"SO CHARMING. Many of the recipes are titled things like Beautiful, Incredible, Amazing, or Really Very Delicious, and include instructions like ""Preheat the oven to full whack."" There are gorgeous, gorgeous photos of Oliver's garden and the beautiful food that comes out of it, and the whole thing is just incredibly (amazingly! really very deliciously!) inspiring, a celebration of food and cooking and eating. Arranged seasonally, with some basic instructions for growing various kinds of vegetables as well as ideas for showcasing the results to their fullest. I've already made his pizza dough recipe, a great success, and can't wait for the summer market so that I can try more of his recipes (homemade ketchup! quickest strawberry jam! warm strawberries with pimm's and vanilla ice cream!). Borrowed this copy from Phyllis, but definitely need my own.",0,0.9847,0.0,0.756,0.244,0.70125,POSITIVE,0.9999
28,115023718,08/03/2010,5.0,"I'm a pretty big fan of Oliver's and have been for many years. He's about the only celebrity chef I really like, though I've recently gotten hooked on the Rachel Allen:Bake! show. Anyway, I do actually use Oliver's recipes on a regular basis and this book has several I'm going to try out, especially a beautiful meringue and chocolate dessert.This book is sectioned off by ingredients, such as an all mushroom section or all leeks. In each section are instructions for growing that fruit or vegetable at home, as Oliver is encouraging self-sufficiency. He also has a section about his opinions on hunting and the treatment of chickens in factories. It's a large book, about 400 pages, and has really creative recipes.",0,0.9641,0.0,0.837,0.163,0.4734995773457312,POSITIVE,0.9462
29,4060794240,07/07/2021,3.0,"I was expecting a cookbook, a big heavy one at that, but what I got was a gardening book. He bought the house we see on tv at the beginning of the millennium and it had been derelict for over 30yrs. There were some gorgeous photos of his garden which is packed with vegetables and fruit he has grown, and somewhere amongst all this gardening advice, of which there are loads of really helpful tips, are some recipes. It is a nice looking book but the photos of the food don't look particularly appetising and for the first time in owning his books, and I have many, I haven't cooked even one recipe. I think I'll sell this to World of Books.",0,0.9365,0.0,0.892,0.108,0.4833333333333334,NEGATIVE,0.9429
30,125027679,10/06/2010,5.0,"I am absolutely in love with Jamie's love of fresh, organic gardening and cooking (and way of life) and love this companion cookbook to his tv series. The photography and illustrations are wonderful and the recipes are simple to make and the flavors are fantastic... he really lets the food sing in every dish. Keep things fresh, keep things simple, eat healthy food and know where it comes from... and hopefully grow some of your own. So happy to have something to keep from watching & loving his series Jamie at Home so very much. I love everything this man does! Fantastico!",0,0.9915,0.0,0.677,0.323,0.6442857142857142,POSITIVE,0.9945
