,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,10993149,12/25/2007,5.0,"This is a book to treasure, a new classic. I absolutely loved it.Set in Germany in the years 1939-1943, The Book Thief tells the story of Liesel, narrated by Death who has in his possession the book she wrote about these years. So, in a way, they are both book thieves. Liesel steals randomly at first, and later more methodically, but she's never greedy. Death pockets Liesel's notebook after she leaves it, forgotten in her grief, amongst the destruction that was once her street, her home, and carries it with him.Liesel is effectively an orphan. She never knew her father, her mother disappears after delivering her to her new foster parents, and her younger brother died on the train to Molching where the foster parents live. Death first encounters nine-year-old Liesel when her brother dies, and hangs around long enough to watch her steal her first book, The Gravedigger's Handbook, left lying in the snow by her brother's grave.Her foster parents, Hans and Rosa Herbermann, are poor Germans given a small allowance to take her in. Hans, a tall, quiet man with silver eyes, is a painter (of houses etc.) and plays the accordian. He teaches Liesel how to read and write. Rosa is gruff and swears a lot but has a big heart, and does laundry for rich people in the town. Liesel becomes best friends with her neighbour Rudy, a boy with ""hair the colour of lemons"" who idolises the black Olympic champion sprinter Jesse Owens. One night a Jew turns up in their home. He's the son of a friend of Hans from the first world war, the man who taught him the accordian, whose widowed wife Hans promised to help if she ever needed it. Hans is a German who does not hate Jews, though he knows the risk he and his family are taking, letting Max live in the basement. Max and Liesel become close friends, and he writes an absolutely beautiful story for her, called The Standover Man, which damn near broke my heart. It's the story of Max, growing up and coming to Liesel's home, and it's painted over white-painted pages of Mein Kampf, which you can see through the paint.Whenever I read a book, I cannot help but read it in two ways: the story itself, and how it's written. They're not quite inseparable, but they definitely support each other. With The Book Thief, Markus Zusak has shown he's a writer of genius, an artist of words, a poet, a literary marvel. His writing is lyrical, haunting, poetic, profound. Death is rendered vividly, a lonely, haunted being who is drawn to children, who has had a lot of time to contemplate human nature and wonder at it. Liesel is very real, a child living a child's life of soccer in the street, stolen pleasures, sudden passions and a full heart while around her bombs drop, maimed veterans hang themselves, bereaved parents move like ghosts, Gestapo take children away and the dirty skeletons of Jews are paraded through the town.Many things save this book from being all-out depressing. It's never morbid, for a start. A lively humour dances through the pages, and the richness of the descriptions as well as the richness of the characters' hearts cannot fail to lift you up. Also, it's great to read such a balanced story, where ordinary Germans - even those who are blond and blue-eyed - are as much at risk of losing their lives, of being persecuted, as the Jews themselves.I can't go any further without talking about the writing itself. From the very first title page, you know you're in for something very special indeed. The only way to really show you what I mean is to select a few quotes (and I wish I was better at keeping track of lines I love).""As he looked uncomfortably at the human shape before him, the young man's voice was scraped out and handed across the dark like it was all that remained of him."" (p187) ""Imagine smiling after a slap in the face. Then think of doing it twenty-four hours a day. That was the business of hiding a Jew."" (p.239)""The book was released gloriously from his hand. It opened and flapped, the pages rattling as it covered ground in the air. More abruptly than expected, it stopped and appeared to be sucked towards the water. It clapped when it hit the surface and began to float downstream."" (p.325)""So many humans. So many colours. They keep triggering inside me. They harass my memory. I see them tall in their heaps, all mounted on top of each other. There is air like plastic, a horizon like setting glue. There are skies manufactured by people, punctured and leaking, and there are soft, coal-coloured clouds, beating, like black hearts. And then. There is death. Making his way through all of it. On the surface: unflappable, unwavering. Below: unnerved, untied, and undone."" (p.331)""After ten minutes or so, what was most prominent in the cellar was a kind of non-movement. Their bodies were welded together and only their feet changed position or pressure. Stillness was shackled to their faces. They watched each other and waited."" (p.402)""People and Jews and clouds all stopped. They watched. As he stood, Max looked first at the girl and then stared directly into the sky who was wide and blue and magnificent. There were heavy beams - planks of sun - falling randomly, wonderfully, onto the road. Clouds arched their backs to look behind as they started again to move on. ""It's such a beautiful day,"" he said, and his voice was in many pieces. A great day to die. A great day to die, like this."" (pp.543-4)Writing like this is not something just anyone can do: it's true art. Only a writer of Zusak's talent could make this story work, and coud get away with such a proliferation of adjectives and adverbs, to write in such a way as to revitalise the language and use words to paint emotion and a vivid visual landscape in a way you'd never before encountered. This is a book about the power of words and language, and it is fitting that it is written in just such this way. The way this book was written also makes me think of a musical, or an elaborate, flamboyant stage-play. It's in the title pages for each part, in Death's asides and manner of emphasing little details or even speech, in the way Death narrates, giving us the ending at the beginning, giving little melodrammatic pronouncements that make you shiver. It's probably the first book I've read that makes me feel how I feel watching The Phantom of the Opera, if that helps explain it.And it made me cry.",1323,0.9937,0.127,0.714,0.159,0.5040044361579015,POSITIVE,0.9999
1,28143721,07/24/2008,1.0,"UPDATE: AUG 26, 2016: This review has been here 8 years, has 18 pages of 854 comments and 764 likes. There's no outrage for you to add in the comments section that hasn't already been addressed.If you want to talk about the book, or why you liked it, or anything else, feel free. UPDATE: FEB 17, 2014: I wrote this review 4 years ago on a foreign keyboad, so I'm well aware that I spelled Chekhov's name wrong. I'm not going to fix it, so please don't drive my review further up in the rankings by commenting on the misspelling. You're very dear, but I know his name is Anton and not Antonin. On that same note, you don't need to add comments telling me that I didn't like the book because I ""don't know how to read"" and ""don't understand metaphors."" I actually have an M.A. in in English Lit, so I do know how to read -- much better than you do, in fact. Now quit bothering me before I go get my PhD and then really turn into a credential-touting ass. UPDATE: JULY 10, 2013: To all jr. high students who find themselves grossly offended by my review: please remember that every time you leave a comment here, you push my review up even higher in the rankings. Please save us both time and energy by not commenting. Thnx.  This was the biggest piece of garbage I've ever read after The Kite Runner. Just as with The Kite Runner, I'm (somewhat) shocked that this book is a bestseller and has been given awards, chewed up and swallowed by the literary masses and regarded as greatness. Riiiight.  The whole thing can be summed up as the story of a girl who sometimes steals books coming of age during the Holocaust. Throw in the snarky narration by Death (nifty trick except that it doesn't work), a few half-assed drawings of birdies and swastikas, senseless and often laughable prose that sounds like it was pulled from the ""poetry"" journal of a self-important 15 year-old, and a cast of characters that throughout are like watching cardboard cutouts walking around VERY SLOWLY, and that's the novel.  Here are some humble observations.  First, chances are that you, Mr. Zusak, are not Antonin Chekhov. You are, therefore, incapable of properly describing the weather for use as a literary device, and you end up sounding like an asshole. Don't believe me?""I like a chocolate-colored sky. Dark, dark chocolate."" Really? Do you, now? ""The sky was dripping. Like a tap that a child has tried it’s hardest to turn off but hasn’t quite managed.” Really?? Wow. Next you'll tell me that the rain was like a shower. I'm moved. ""Oh, how the clouds stumbled in and assembled stupidly in the sky. Great obese clouds."" Yes. Stupid, obese clouds! They need an education and a healthy diet! Next, chances are that you, Mr. Zusak, are not William Styron or any one of the other small handful of authors that can get away with Holocaust fiction. They've done their research, had some inkling of writing ability, and were able to tell fascinating stories. You invented a fake town in Germany (probably so you didn't have to do any research) and told a long-winded and poorly-written story, and in 500+ pages you couldn't even make it to 1945, so you sloppily dropped off and wrapped it up in 1943. What's the point of writing historical fiction if you can't even stay within the basic confines of that hisotrical event? For me, this does nothing more than trivialize the mass murder of over 6 million people. Maybe that's why a 30 year-old Australian shouldn't write about the Holocaust. But that's just me. Moving on.  But what really makes this book expensive toilet paper is the bad writing which is to be found not just in bizarre descriptions of the weather, but really on every page. Some personal favorites?  ""The breakfast colored sun.""  ""Somewhere inside her were the souls of words.""  ""The oldened young man."" WTF?!!?  ""He crawled to a disfigured figure.""  ""Her words were motionless.""  ""It smelled like friendship."" (Remind me to sniff my friends next time I see them.)""A multitude of words and sentences were at her fingertips."" (HUH?)  ""Pinecones littered the ground like cookies.""  Sigh.  All of this is quite funny coming from a book where the main character supposedly learns the importance of words. Further, I love that the protagonist comes to the conclusion that Hitler ""would be nothing without words."" Really? REALLY? Would Hitler be nothing without WORDS? What about self-loathing, misplaced blame and hatred, an ideology, xenophobia, charisma, an army, and a pride-injured nation willing to listen? Don't those count for something??  The shit-storm comes to an end when a bomb lands on our fictional town, wiping out everyone save for the sometimes book-thief main character. Of course. Because weak writers who don't know how to end their story just kill everyone off for a clean break and some nice emotional manipulation. Written for maximum tear-jerking effect, our main character spews out some great lines when she sees the death and destruction around her:  To her dead mother, ""God damn it, you were so beautiful.""  To her dead best friend as she shakes him, ""Wake up! I love you! Wake up!"" (Didn't I see the same thing in that movie My Girl?) Then she profoundly notes that her dead father ""...was a man with silver eyes, not dead ones.""  And this kind of angsty adolescent prose just never ended! It went on and on to form the one long-ass, senseless, disjointed story.  But that's ok. Take it all the junk, give it a quirky narrator, an obscure and mysterious title, throw in a Jew on the run from Nazis who likes to draw silly pictures of birds and swastikas, and market it all as Holocaust lit. Ahh, the packaging of bullshit makes for such a sweet best seller.  Swallow it down, America. Put it on the shelf next to The Kite Runner. You love this. You live for this.  SUCKED.",1503,-0.8781,0.133,0.731,0.136,0.4815096618357485,NEGATIVE,1.0
2,197349632,08/11/2011,5.0,"“When death captures me,” the boy vowed, “he will feel my fist on his face.”Personally, I quite like that. Such stupid gallantry.Yes.I like that a lot.A few days ago, when I was starting The Book Thief, my mother stopped by and saw the book on my coffee table. Having just read it herself (and knowing me better than anyone else in the world, I might add), she was determined to save me from myself. She did her very best to convince me not to read it. She described in detail the three day long headache all the crying had caused her and the heartache she now has to live with, but I’m nothing if not stubborn. I guess I never learned to listen to my mother. I’m pretty sure her parting sentence was: “Don’t come crying to me.” And I didn’t. I huddled in a corner and cried inconsolably instead. Death himself narrates the story about a little girl named Liesel growing up with her foster parents in Nazi Germany. At the beginning, I felt somewhat intimidated by the idea of Death as a narrator. I assumed that his voice would be dark and thunderous, but for the most part, he was a ray of light illuminating earth’s saddest time. Incredibly insightful observations and occasional dry humor are only some of the things no one but Death could have brought into this story. Besides, we hear people calling God’s name every day for many reasons, but when Death calls to Him in despair and even those calls fall on deaf ears, no one can fail to understand the gravity of the situation.I do not carry a sickle or a scythe.I only wear a hooded black robe when it’s cold.And I don’t have those skull-like facial features you seem to enjoypinning on me from a distance. You want to know what I truly look like?I’ll help you out. Find yourself a mirror while I continue.The Book Thief is not one of those books you read compulsively, desperate to find out what’s on the next page. No. It is, in fact, better to read it slowly, in small doses, in a way that allows you to savor every word and absorb the power and the magic it contains. All the while, you know what’s going to happen. Death has no patience for mysteries. However, anticipation of the inevitable makes it even worse. My whole body was tingling with fear because I knew what was coming and I knew that it was only a matter of time.Zusak found a way to give a fresh approach to a much-told story. He offered a glimpse at the other side of the coin. Really, should we feel sorry for the people hiding in a basement in Munich suburbs? Sure, bombs are falling on their heads, but most of them are members of the Nazi Party, willingly or reluctantly. Some of them truly think that Jews are no better than rats. Some, on the other hand, are hiding a Jew in their own basement. Some are just innocent children. But the more important question is, are we any better at all if we don’t feel compassion and sorrow? Death does a great job of asking all these questions in a calm, unobtrusive way.I’m not pretentious enough to believe that my clumsy words can ever do this book justice. I won’t even try. Time will speak for it, as I’m pretty sure it will survive for decades and generations to come. The Book Thief and Markus Zusak should find their place in every school textbook all over the world. Seven thousand stars could never be enough for this book. EDIT: A few words from the man himself:https://twitter.com/#!/Markus_Zusak/s...https://twitter.com/#!/Markus_Zusak/s...

",749,-0.9807,0.16,0.707,0.132,0.5881896551724137,NEGATIVE,0.6725
3,2533301309,10/10/2018,4.0," This one is a long book. But was it worth all that paper?Click the link for my video review of the big bois in my life.The Written Review:
 I have hated words and I have loved them, and I hope I have made them right.
Liesel, an orphaned girl, is sent to live with a foster family right before the Nazi's take over Germany. She has a peculiar attachment to books, her first being a gravedigger's manual that she picks up during her brother's funeral. Death takes an interest in her and her books on that day and follows her, sometimes constantly and sometimes at a distance. There's just something so...fascinating...about her that Death cannot stay away.Meanwhile Liesel slowly grows up in the heart of Nazi Germany. Her adoptive Papa and Mama make her bleak life bearable. But Rudy, her best friend, makes everything right in this world.
A snowball in the face is surely the perfect beginning to a lasting friendship.
 But their idyllic lives cannot stay that way forever. Food shortages are rampart, money becomes ever tighter and Papa's son believes every word from Hitler. And throughout all of this, Death watches.... and waits. 
Even death has a heart.
Whew. I have avoided this one for so long...and I'm so glad that I finally took the plunge.Normally, I dislike most books/movies/games set in Nazi Germany.I absolutely hate anything that turns that much pain and sorrow into a gimmick to sell more of the product. I feel that a majority of that entertainment field both cheapens the experience and is hugely disrespectful to the victims. I feel like this subject should be treated delicately - and there are very few bits of media that I feel do it justice.The Book Thief was just absolutely perfect in that sense. This book was just the right mixture of joys and sorrows, of highs and lows, and of good and evil.I loved Liesel and the way she grew up against the ever-present tide of Nazis. The way she and her family struggled against the world, by hiding a Jew or showing sympathy, really made this book shine.Death made an interesting perspective, though I wish the book would have been narrated more from inside his head. Overall, loved this one. Though (and this may be just me), but am I the only one disappointed by the title?I really was expecting a bit more book-thievery...instead Liesel was (mostly) given the very few books that she ""steals"". Audiobook CommentsExtremely well-read - an absolute delight to listen to!YouTube | Blog | Instagram | Twitter | Facebook | Snapchat @miranda_reads",602,0.867,0.089,0.795,0.115,0.5521336286452566,NEGATIVE,0.9168
4,4748440,08/18/2007,5.0,"I put off reading this book for the library book club. Here are my three reasons for doing so:1) It's a Young Adult Book. I am an Adult. It can't be that good if it's written for young people.2) It's about the Holocaust, and I think we've all heard enough about that. The author will probably even focus on colors among the grays, as in ""Schindler's List.""3) I have WAY too many other books to read.After avoiding the book for as long as possible, I sat down, hoping to enjoy it enough to gain some clever comments for the book group.Turns out, most of my concerns were right. But one other thing was also true: THIS BOOK ROCKS.The first thing any review will say about this book is that it is narrated by death. So, I might as well get it out of the way. Death, the Hooded One, the Angel of the Night, narrates. He is very busy during the war years, as you might expect. Some people claim this is a mere gimmick, and that the story is strong enough as it is. I agree that this is a strong story-- it moves like a sailboat on a brisk day-- but I think the choice to tell it through Death was a good one. Death foreshadows constantly, so we know a bit about which of the characters will die. Instead of ruining the shock value, this heightened my anticipation and dread. And isn't that how people feel during war? They know some of them are bound to die. They know they will lose loved ones. It's one long, hellish wait to see how it will turn out. It's also an unusual take on the Holocaust because it focuses on Liesel, an orphaned German girl living in Hitler's birthplace. Liesel (The Book Thief) and the other characters in this book are rich, interesting, and wily. I say wily because at points in the book you hate them, but they change, and you grow to love them. For instance, Liesel's adopted mother is a foul-mouthed, abusive, sharp woman. (SPOILER--->) When Liesel's adopted father is shipped off to war, however, Liesel creeps through the house to see Rosa sleeping with her husband's accordian strapped around her waist. Rosa's changes prove one of the greatest reasons to read good literature-- to get insight into the type of people we don't usually give a second chance. ",1464,-0.9888,0.166,0.724,0.11,0.525156746031746,NEGATIVE,0.9892
5,147296478,02/10/2011,3.0,"I hate it when this happens, I truly do. It makes me feel wrong inside when everyone else loves a book that I find to be underwhelming... I mean, what's wrong with me?? Did I not get it?? Obviously it must be a lack of intelligence or something because everyone seems to rate this 5 stars. I was looking through my friend reviews hoping that someone would share my opinion - at least a tiny bit - and seeing 5 stars, 5 stars, 4.5 stars, 5 stars... I can appreciate that Markus Zusak is a very talented writer, some of the phrases he uses are beautiful and highly quotable - more reminiscent of poetry than prose. And the story idea? A tale narrated by Death and set in Nazi Germany... original and ominous. But it was the story-telling that never really worked for me. This is one of those incredibly slow, subtle books that are told in a series of anecdotes and are meant to cleverly build up a bigger picture... but the stories just didn't interest me.I could imagine I was reading a collection of short stories (and not a full-length novel) about playground fights, developing friendships, WWI stories and death. The book felt almost episodic in nature. These stories are supposed to come together and form a novel that is all kinds of awesome, but it was so bland. I also think that nearly 600 pages of ""subtlety"" can make you want to throw yourself off the nearest tall building... anyone read To the Lighthouse and spend 99% of it just wishing they'd get to the effin' lighthouse?! I'm giving this book 3 stars for the pretty words and the concept. But other than that this book unfortunately won't stay with me. I find it an easily forgettable novel. I'm sorry :(Blog | Facebook | Twitter | Instagram | Youtube | Store",930,0.939,0.1,0.745,0.155,0.6673275862068967,NEGATIVE,1.0
6,2816823,07/07/2007,5.0,"I give this 5 stars, BUT there is a disclaimer: If you want a fast read, this book is not for you. If you only like happy endings this book is not for you. If you don't like experimental fiction, this book is not for you. If you love to read and if you love to care about the characters you read about and if you love to eat words like they're ice cream and if you love to have your heart broken and mended on the same page, this book is for you. This story is narrated by Death during World War II, and it is the story of a young German girl who comes of age during one of the most horrific times in recent history. Death has a personality. If something bad is about to happen, Death warns you ahead of time. My favorite part is when ""he"" stomps on a framed picture of Hitler on his way to retrieve a thousand souls from a bomb raid. Death is trying to understand the human race as much as the humans are. When ""his"" job becomes unbearable, he watches the color of the sky as he gathers the souls and carries them away. The descriptions of the sky are like nothing I've ever read. A few quotes: In years to come, he would be a giver of bread, not a stealer - proof again of the contradictory human being. So much good, so much evil. Just add water. p.164The town that afternoon was covered in a yellow mist, which stroked the rooftops as if they were pets and filled up the streets like a bath. p.247He was more a black suit than a man. His face was a mustache. p.413He does something to me, that boy. Every time. It's his only detriment. he steps on my heart. He makes me cry. p.531There was once a strange, small man. He decided three important details about his life: 1. He would part his hair from the opposite side to everyone else. 2. He would make himself a small, strange mustache. 3. He would one day rule the world. ...Yes, the Fuhrer decided that he would rule the world with words. p.445",3441,-0.3721,0.147,0.706,0.148,0.4933823529411763,NEGATIVE,0.9547
7,1556505599,02/21/2016,5.0,"Video review can be found here: https://youtu.be/rzEHcw769xgIt's going to take awhile for this book to fully sink in, but overall this was a masterpiece. ",1741,0.7684,0.0,0.796,0.204,0.0,POSITIVE,0.999
8,2146920428,10/08/2017,5.0,I feel like I was just given a history lesson but in the most emotionally damaging way possible.,1229,-0.627,0.248,0.663,0.089,0.7166666666666667,NEGATIVE,0.9691
9,24208299,06/10/2008,1.0,"I am apparently one of the few people who just do not see what all of the hype is about on this one. I was really excited to read this after all of the glowing reviews it got, but I was left extremely disappointed. I found the writing stilted and stuttering (hard to stutter in writing, but this book pulls it off), overly sentimental, and heavy-handed on the symbolism.I also found the author's approach to the story to be just plain gimmicky. The first and foremost gimmick (also see heavyy-handed symbolism) is that the story is narrated by Death. Now, this might work in some books, but not this one. The choice of narrator adds absolutely nothing to the story; it is only a distraction to the reader, and it also encouraged the author to add trite observations about Death's perspective (for example, he doesn't carry a scythe, but likes the human image) that add nothing to the story. If Death here had been given developed personality or a unique perspective, then maybe (and even then it's a stretch) the choice of narrator would have worked. As it is, the story is told almost entirely as though by an omniscient narrator (is Death omniscient?) and we get absolutely nothing from the choice of Death to fill the role. It's a gimmick, and it falls flat.The other gimmick I found most distracting (these are not the only two, but they are the most egregious) is the repeated use of little newsflash-type, bold and centered notes that appear periodically through the story to highlight some stupid point and add (in the author's mind) dramatic effect. These newsflashes, as I think of them, were irritating and served only to break up the natural narrative flow without adding anything significant. This is another example of the author hitting the reader over the head with his points, rather than trusting his own writing to get the message across. This is another ill-conceived and heavy-handed gimmick intended to correct for a poor narrative.I think it is telling that while this book gets listed as teen fiction, Zusak actually wrote it for adults. For some reason, it got identified as being for teens when it got marketed in the U.S. (it was written in Australia). It seems to me that the explanation for this change is that the novel feels like it was written by a very immature author, and so the prose does not attain the quality one should expect of adult fiction.I think good Holocaust stories need to be told, but the Book Thief fails at that endeavor. The story is trite; the narrative is sentimental and uninspired. I recommend that you look elsewhere for something better. If you want something for younger readers, try Number the Stars, by Lois Lowry. If you're a bit older, also read Night by Elie Weisel or the Diary of Anne Frank. I might even add in Fahrenheit 451 by Ray Bradbury, to counteract the heavy-handed book-burning theme of the Book Thief. There's plenty more out there that better deserve your time and attention than does this book.",569,-0.9765,0.119,0.794,0.087,0.5626623376623378,NEGATIVE,1.0
