,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,96180763,03/28/2010,5.0,"Interview with JK Rowling...
Stephen Fry: Can we settle an important question?JK Rowling: Yes.Stephen Fry: How do you pronounce your last name?JK Rowling: It is Row-ling. As in rolling pin.Stephen Fry: So if any of you hear someone pronounce her name “Rohw-ling”, you have my permission to hit them over the head with — not with Order of the Phoenix, that would be cruel. Something smaller, like a fridge.
",1685,0.3597,0.051,0.85,0.098,0.6416666666666666,NEGATIVE,0.9884
1,683662311,08/01/2013,5.0,"(A) 86% | ExtraordinaryNotes: It's a transitional book, which holds back its potential, but it adds greatly to its mythos with excellent new characters.",695,0.7227,0.0,0.806,0.194,0.6409090909090909,POSITIVE,0.9989
2,1465940955,12/11/2015,5.0,"I finished this book with tears in my eyes and laughter on my lips.Just wow, excellent book!",1493,0.8777,0.076,0.482,0.442,1.0,POSITIVE,0.9978
3,1545533880,02/11/2016,5.0,(obviously a reread) *cries* ,906,0.0,0.0,1.0,0.0,0.5,NEGATIVE,0.9923
4,1246195072,08/06/2018,,"It only took me 7 months, but at least i've FINALLY finished the damn book! Video Review:https://www.youtube.com/watch?v=KzB8h...",758,-0.5916,0.204,0.796,0.0,0.7999999999999999,POSITIVE,0.9976
5,1138875534,12/22/2014,5.0,I had to re read it. I was in such a nostalgic mood.,599,0.0,0.0,1.0,0.0,0.75,POSITIVE,0.9859
6,3001353340,05/08/2020,5.0,"(A) 86% | ExtraordinaryNotes: An angsty apprehension, it's a tome of teacher torment, misbelief, new girlfriend grief, and dread no longer dormant.",548,-0.8885,0.418,0.582,0.0,0.3272727272727272,POSITIVE,0.7766
7,3727144341,01/05/2021,5.0,"
""Galloping gargoyles!""

""Hang on. This Lord Voldything's back, you say.""
When a book gets too long, there's always the risk of giving up halfway, or start skimming through parts. I think, The Order of Phoenix qualifies as long (the version I read had around a 1000 pages), but I wish it to be even longer. Only Rowling can do that. I didn't find one boring bit, or anything out of place. We are reaching a near-perfect level of writing here at the fifth of the series, which, in my opinion, is an excellent concoction of suspense, hope, triumph, disappointment, humor, anger, happiness, sadness and so many others.
""I've always wanted to try firewhisky -""
Right from the beginning, you'll find everything to be intriguing as always, with an excellent set of new characters being introduced. The main characters around Harry are of course the main focus, and the narration inherits a lot from how the teenage Harry views the world. Average emotional rollercoaster of a teenager blends in nicely with the main plot, and makes things more interesting.
""Ask us no questions and we'll tell you no lies,""
We've finally moved in to the core of the story, and an-action-packed story is being unfolded - full of dark times - with no more holding back. If it wasn't for Rowling's writing, this might've felt like one complex story, not to mention how unbearable it would've been with Umbrige, and also with Lestrange and Fudge closely behind. But everything's put in place perfectly, and even the annoying characters do their part really well. And the ending chapters - though disappointing - are the best and most dramatic in the series so far. This has been one amazing ride, while proving the 'Last-is-Best' still to be true.
""Youth cannot know how age thinks and feels. But old men are guilty if they forget what it was to be young...""
",413,0.99,0.097,0.714,0.189,0.5451223195409242,POSITIVE,0.998
8,26033375,07/01/2008,5.0,"I cried like a little baby. J.K. Rowling really starts taking the series down a darker road in this book. She is so talented at character development, and it really shines in this book. Here, Harry is 15 years old, and for most of the book, he's whiny and self-centered, just like a typical teenager. I also adore Dumbledore's role in this book--his conversation at the end with Harry put me to tears. Rowling did an amazing job with the character of Umbridge...never have I hated a fictional character more than I hated her. I do have to admit, I'm curious to see whether she makes any more appearances or not. For me, this book was stronger for character development than plot. Yes, this is a key book for the series, but I felt like most of the book was spent with characters' internal issues and development rather than the plot. I love how Harry and the crew are dealing with more adult issues now, such as relationships and death. As with all of her books, I have a really difficult time putting these books down, but especially within the last 100 pages, I physically could not separate the book from my hands. Overall, another outstanding addition from J.K. Rowling. ",408,0.9115,0.077,0.781,0.142,0.4904100529100529,POSITIVE,0.9996
9,923913499,04/29/2014,5.0,"Despite this being the longest book in the series, I read it quicker than all the others. Here’s three things I really loved about it: 1. Harry and Sirius- they never had much time together but the time they did have really influenced Harry’s development, a few wise words from a sincere friend (or godfather) can go a real long way. And this scene was perhaps the most powerfully written in the series for me, we all know what happens next: 2. Dumbledore’s Army- Harry, Ron and Hermione have always taken matters into their own hands; they’ve never waited for someone to come along and save them. And here they have got so many great characters involved in their heroics, which leads me onto my next point. 3. Luna Lovegood- because the weird people are always the best people. Luna’s by far my favourite character because she is so completely herself in all her colourfulness; she’s often ignored, avoided and even ridiculed as a result but secretly she is brilliant. The world needs more Luna Lovegoods. I always thought she had far more chemistry with Harry than Ginny ever did. ",354,0.9876,0.051,0.761,0.188,0.5847826086956522,POSITIVE,1.0
