,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,7355592,10/06/2007,3.0,"Okay, so here's my Bill Bryson story. I was in The Gladstone, a public house not too far from this very keyboard, with my friend Yvonne, who will remain nameless. We had been imbibing more than freely. A guy approached our table and asked me in a sly surreptitious manner if I was him. Him who? Was I Bill Bryson? Now it is true that I bear a very slight resemblancebut you could also say that about Bjorn from Abbaand a zillion other white guys with beards and gently rounded fizzogs. Anyway, without missing a beat I said yes, I was him. So the guy immediately asked me if I'd sign two of his books, and before I could say ""Come on mate, I'm not actually American, can't you bleedin well tell?"" he had zapped out of the pub. Only to zap straight back with two hardbacks of Bill's deathless works. What could I do? He opened them up reverentially and told me one would be for him and one for his mother. Friends, I signed them - ""Best wishes, your friend Bill Bryson"". He was so grateful, so very very pleased. We drank up and got the hell out of there. I look back on this disgraceful incident and shudder. That's the last time I'm impersonating a famous author.Short note on the book in question:There was no way our Bill could write a gently humorous book about the history of all of science without sounding like a fairly smirky know-it-all, so that's what he does sound like, which can be just a trifle wearing. LOTS of good info in here, but it's like being forced to live on Indian takeaways and nothing else, great for a while and then GET ME A SANDWICH! Or like being stuck on a long airplane ride with a very garrolous and opinionated fellow who thinks he is the very model of the modern travelling companion, regaling you with insightful and humourous anecdotes by the bucketful while you're wondering if it would be so bad if you faked a heart attack and you could whisper to the flight attendant ""I'm okay really but GET ME AWAY FROM THIS GUY!""",410,-0.831,0.093,0.803,0.104,0.4686936936936937,NEGATIVE,0.9985
1,79495680,11/30/2009,4.0,"What I learned from this book (in no particular order)1.	Phosphor was accidentally discovered when a scientist tried to turn human urine into gold. The similarity in color seemed to have been a factor in his conviction that this was possible. Like, duh. I’m no scientist, but shouldn’t it be obvious enough?2.	“In the early 1800s there arose in England a fashion for inhaling nitrous oxide, or laughing gas, after it was discovered that its use ‘ was attended by a highly pleasurable thrilling’. For the next half- century it would be the drug of choice for young people.” How groovy is that? 3.	If you are an average-sized adult, you contain within you enough potential energy to explode with the force of THIRTY very large hydrogen bombs. Assuming, that is, that you KNOW how to actually do this and REALLY want to make a point. Talk about a monstrous temper tantrum.4.	We are each so atomically numerous and so vigorously recycled at death that some of our atoms probably belonged to Shakespeare, Genghis Khan or any other historical figure. But no, you are NOT Elvis or Marilyn Monroe; it takes quite a while for their atoms to get recycled.5.	When you sit in a chair, you are not actually sitting there, but levitating above it at the height of a hundredth millions of a centimeter. Throw away those yoga mats, your ARE already levitating without knowing it.6.	The atomic particles that we now know as Quarks were almost named Partons, after you know who. The image of Ms. Parton with her, uh, cosmic mammaries bouncing around the atomic nuclei is VERY unsettling.Thankfully, that scientist guy changed his mind.7.	The indigestible parts of a giant squid, in particular their beaks, accumulate in sperm whales’ stomachs into ambergris, which is used as a fixative in perfumes. The next time you spray on Chanel No. 5, you’re dowsing yourself in the distillate of unseen sea monsters. * Note to self: must throw away sea monster perfume collection*8.	The ‘maidenhair’ in maidenhair moss does NOT refer to the hair on the maiden’s head.BUT SERIOUSLY,this is a fascinating, accessible book on the history of the natural sciences, covering topics as diverse as cosmology, quantum physics, paleontology, chemistry and other subjects that have bedeviled a science dolt like me through high school and beyond. Yes, it’s true, I failed BOTH chemistry and physics in high school. I can't judge how accurate Mr. Bryson represents the sciences in this book, but it surely beats being bogged down in A Brief History of Time and their ilk. ",249,0.9634,0.053,0.855,0.092,0.4251261701261701,NEGATIVE,0.8801
2,448075462,11/03/2012,4.0,"A Short History of Nearly Everything, Bill BrysonA Short History of Nearly Everything by American author Bill Bryson is a popular science book that explains some areas of science, using easily accessible language that appeals more so to the general public than many other books dedicated to the subject. Bryson describes graphically and in layperson's terms the size of the universe and that of atoms and subatomic particles. He then explores the history of geology and biology and traces life from its first appearance to today's modern humans, placing emphasis on the development of the modern Homo sapiens. Furthermore, he discusses the possibility of the Earth being struck by a meteorite and reflects on human capabilities of spotting a meteor before it impacts the Earth, and the extensive damage that such an event would cause. ...عنوانهای چاپ شده در ایران: «تاریخچه تقریبا همه چیز»؛ «شرح مختصری از همه چیز»؛ «علم و سرگذشت آن»؛ نویسنده: بیل برایسون؛ تاریخ نخستین خوانش: روز ششم ماه جولای سال 2005میلادیعنوان: تاریخچه تقریبا همه چیز؛ نویسنده: بیل برایسون؛ مترجم: محمدتقی فرامرزی؛ تهران، مازیار، 1384، در 615ص، شابک 9645676487؛ موضوع: علوم به زبان ساده از نویسندگان ایالات متحده آمریکا - سده 21معنوان: شرح مختصری از همه چیز؛ نویسنده: بیل برایسون؛ مترجم: محمود زنجانی؛ تهران، دایره المعارف ایرانشناسی، 1388، در 512ص، شابک9786005204155؛عنوان: علم و سرگذشت آن؛ نویسنده: بیل برایسون؛ مترجم: مجید عمیق؛ تهران، مهراب قلم کتابهای مهتاب، 1390، در 171ص، شابک9786001033636؛نویسنده درباره ی موضوعاتی گوناگون، از «مهبانگ» گرفته، تا «مکانیک کوانتوم»، و از «تکامل»، تا «زمین شناسی»، به بحث میپردازند؛ ایشان در کتابشان از راه ماجراهای «کاشفان» و «دانشمندان» موضوعات علمی را، به بحث میگذارد؛ ایشان در این کتاب کوشش میکنند برخلاف درسنامه های علمی، که به نظر ایشان، شوقی برای دانستن، در خوانشگران برنمیانگیزند، چرا که هیچگاه به چراها، چگونه ها و چه هنگام ها، در مورد اکتشافات علمی نمیپردازند، ایشان توانسه اند موضوعات علمی را به شکلی جذاب ارائه دهندنقل از متن: (نمیدانستم «پروتون» یا «پروتئین» چیست، «کوارک» را از «کواسار» تشخیص نمیدادم، نمیدانستم زمینشناسها چگونه میتوانند نگاهی به یک لایه از توده سنگ دیواره ی یک دره بیندازند، و عمر آن را تشخیص دهند، حقیقتاً هیچ چیز نمیدانستم؛ یک اشتیاق آرام و خارق العاده، برای یاد گرفتن، و دانستن برخی نکات، درباره ی این موضوعات، و دریافتن اینکه تا کنون چند نفر توانسته اند از آنها سر درآورند، آرام آرام بر وجودم چیره شد؛ این همواره بزرگترین شگفتی زندگی ام بوده است ـ دانشمندان چگونه از مسائل سر درمیآورند...)؛ پایان نقل؛تاریخ بهنگام رسانی 11/08/1399هجری خورشیدی؛ 29/06/1400هجری خورشیدی؛ ا. شربیانی",205,0.4588,0.013,0.967,0.02,0.3908333333333332,POSITIVE,0.9984
3,5229394,08/28/2007,4.0,"Bryson's dead serious: this is a history of pretty much everything there is -- the planet, the solar system, the universe -- as well as a history of how we've come to know as much as we do. A book on science written by a non-scientist, this a perfect bridge between the humanities and the natural sciences. A course in the history of science should be mandatory for every teenager, and this should be the textbook.Yes, it's a big, chunky book. No, it can't be trimmed down any further: when you're addressing cosmology, earth science, ecology and zoology, with healthy doses of chemistry and physics, plus the historical development of each, you're going to end up with a doorstop of a text, no matter how smoothly written. The wonder of Bryson's writing is that the reader doesn't get lost in these sweeping surveys. When name-dropping, Bryson always gives a short description of the person in question; if mentioned earlier in the book, he drops in a quick reminder to the reader. This is fabulously effective at giving the names some context, not to mention a little personality.And indeed, isn't that what science education needs most: more humanity and less intimidation? Those science-phobes out there who freely admit their near-complete ignorance of the subject should do themselves a favor and buy a copy of this book. No, don't get it from your library. There's so much here you'll want to have a copy on hand to refer to later.To those nerds in the audience -- myself included -- don't think your degrees mean you can pass this one over. As hyper-specialized as science has become, it's refreshing as hell to step back and take a look at things with new eyes. While there's not a lot here I haven't encountered before, there's a lot of information about how our current theories were developed that I didn't know.(Also? It's heartening to read about the social ineptitude, blind spots, and how utterly incompetent many of these scientist were in other aspects of life. Makes me feel better about never finishing that PhD -- at least I have a life.)Thorough, humorous, engaging, and educational: what's not to like?",161,0.9122,0.077,0.805,0.117,0.4605650252525252,POSITIVE,0.9984
4,168935313,05/17/2011,5.0,"Picked this up on audiobook when I was on tour and listened to it in my car. I found it fascinating and informative. Kinda like a reader's digest version of the history of science. And even though I knew a fair chunk of what was mention, there was a lot of material I'd never even had a glimmer of before. Fair warning: If you are prone to worry about, say, the end of the world. This probably isn't the book for you. ",161,0.6133,0.063,0.816,0.122,0.8833333333333333,NEGATIVE,0.7069
5,2906291588,07/22/2019,5.0,"Fascinating, interesting and filled with so much knowledge - A Short History of Nearly Everything is a very good read. Clearly Bill Bryson has done a lot of hard work and research. This book is one of the examples of how to learn, acquire knowledge, along with wisdom at the same time. The focus of the book is on learning lessons from history and the past, so that there's a better future. This highly recommended book should be made part of the school syllabus.",155,0.9618,0.015,0.76,0.225,0.4567857142857143,POSITIVE,0.9963
6,2177540993,11/07/2017,4.0," Big bois. Long bois. Extra extra page bois.Everyone's heard of them. The Libraries are full of them. But are they worth it?Click the link for my video review of the big bois in my life.The Written Review:Want a whirlwind worldwide romance adventure minus the romance? This is the book for you.This book really does cover nearly everything. From the Big Bang to current life on earth, Bill Bryson does wonderful job of breaking down complex theories and concepts to their essential message:
Protons give an atom its identity, electrons its personality.
Though, sometimes he  gets a bit wordy.
Not one of your pertinent ancestors was squashed, devoured, drowned, starved, stranded, stuck fast, untimely wounded, or otherwise deflected from its life's quest of delivering a tiny charge of genetic material to the right partner at the right moment in order to perpetuate the only possible sequence of hereditary combinations that could result -- eventually, astoundingly, and all too briefly -- in you.
This was such an interesting book to read and I walked away learning so much. This is the sort of book that requires two or three times reading through it to fully understand and digest everything. I can barely comprehend how much time and effort went into research. Truly a masterpiece. Audiobook Comments:While he did not narrate his own book, the Richard Matthews does a great job of reading it. Though, this is one of those books that you cannot tune out on without missing something crucial. This is a great big-picture book. For a fun microhistory, I'd recommend  At Home: A Short History of Private Life also by Bill Bryson.YouTube | Blog | Instagram | Twitter | Facebook | Snapchat @miranda_reads",139,0.9869,0.031,0.824,0.145,0.4254908103592313,POSITIVE,0.9982
7,492413417,01/02/2013,4.0,"It's easy to nitpick A Short History of Nearly Everything. Bryson, by his own cheerful admission anything but a scientist, makes a fair number of mistakes. He says that all living creatures contain hox genes; he omits Alexander Friedmann and George Gamow from his description of how the Big Bang theory was developed; when talking about Darwin and Paley, he doesn't seem to be aware that Natural Theology was one of Darwin's favorite books and had a huge influence on him. Those are just a few of the glitches I happened to notice. I'm sure a real expert would have spotted many more.But so what? The author is incredibly entertaining, and I came across dozens of great stories from the history of science. He has done a fantastic job of tracking down details that you won't find in the other books! Continuing with Darwin, everyone's heard about the evolution debate between T.H. Huxley and Samuel Wilberforce; this was the dozenth time I'd seen Huxley's contemptuous reply to Wilberforce's question about whether he claimed descent from a monkey though his grandmother or his grandfather. But I'd never before read that Lady Brewster fainted, or that one of Darwin's Beagle colleagues wandered through the crowd, holding a Bible aloft and shouting ""the Book, the Book!"" Similarly, everyone tells you that Newton only published the Principia after Halley persuaded him to do it. But I hadn't heard that Newton intentionally made it as difficult as possible to read because he didn't want amateurs bothering him, or that Halley's reward was to be told by the Royal Society that since they could no longer afford to pay his salary in pounds sterling, he would instead be given remaindered copies of The History of Fishes. And there were numerous other stories I'd never seen at all. If you don't find plenty here to amuse and instruct, you're either encyclopedically well-read in all branches of science or you have no interest in it whatsoever.",138,0.9884,0.053,0.804,0.144,0.5878968253968254,NEGATIVE,0.6817
8,1143714298,12/27/2014,4.0,"A Short History of Nearly Everything is Bill Bryson's summation of life, the universe, and everything, a nice little easy-reading science book containing an overview of things every earthling should be aware of.As I've repeatedly mentioned over the years, every time one of the casual-readers tells me I have to read something, like Harry Potter or the DaVinci Code, I dig my feet in deeper and resolve to never read it. This is one of the occasions I should have shaved a decade off of my stubbornness and caved in right away.Bryson covers a wide range of topics, from the formation of the universe to the evolution of man for our apelike forebears, and all points in between. Atoms? Cells? These are just stops along the enlightenment highway that Bill Bryson has paved! He touches upon quantum physics, geology, the size of our solar system, the year without a summer, and other topics innumerable.The writing style is so accessible that I have to think I'd be some kind of scientists if my high school and college text books were written by Bill Bryson. His easy, breezy style makes even the most complicated topics easier to digest.It's not often that I come away from a book having felt like I learned something new, criminal techniques from my usual reads excepted. Bryson has succeeded where many have failed before him. He has used chicanery to get me to read nonfiction and enjoy myself while doing it. 4.5 out of 5 stars.",117,0.9121,0.04,0.87,0.089,0.5231796536796538,POSITIVE,0.9773
9,7620310,10/12/2007,5.0,"This is one of the most enjoyable books I have ever read. There, I said itBryson's book combines the best qualities of science writers like Attenborough, Diamond, Durrell, and Wilson; presenting the information with the wit he is most known for. It is an amazing achievement to condense the entire base of human scientific knowledge into 478 pages, but Bryson has done it. I completely agree with Tim Flannery, who writes on the jacket that ""all schools would be better places if it were the core science reader on the curriculum."" I certainly would have gained much if I had read it when I was 15.This is one of the few books that has truly challenged what I had previously held to be conventional wisdom (at least in my own mind). Two main changes have come about: 1. I had always been jealous of the ""true"" zoologists, such as Audubon and Darwin, who were around when the world was as yet unexplored, and discovering a species was as simple as being the first to walk into a patch of forest. I left science because the idea of being tied to a sterile lab held no interest for me. However, after reading Bryson's vignettes of early scientific/zoological exploration (much of which was both comic and tragic), I realize that those days weren't quite as idyllic as I had imagined. 2. Bryson does a ""good"" job of scaring the hell out of you by showing just how precarious our daily existence really is. I probably shouldn't say this, but it puts such problems as global climate change into context when you read how an eruption of the supervolcano beneath Yellowstone National Park would wipe out most of the life on earth in a painfully slow manner; especially when Bryson describes how this eruption is overdue by 30, 000 years by historical average.Combined with those two new impressions, I am left with the following conclusions, and a slightly rearranged outlook on life.First off, it is clear that science benefits from a large degree of serendipity. We as a species/civilization have been lucky to have some truly great minds working on deciphering the way our world works. Some of these are household names [Newton, Halley, Einstein], some are not [Henry Cavendish, Rosalind Franklin]. However, as with everything that us humans put our hands on, this endeavor wasn't perfect. Egregious mistakes, pathological lying, childlike rivalries and tantrums - they all occurred. On balance, whether they helped or hurt the effort isn't clear. But what is clear is that our present level of understanding was by no means assured.Secondly, the fact that life is so tenuous makes one a little more philosophical. Since I've finished the chapter about Yellowstone and similar catastrophic threats, I find myself asking ""what if today is the day?"" It can be rough when you get on the bus at the end of a particularly annoying workday, when the disagreements were petty and you didn't get much done, and think ""is that what I did on the last day of my life?""Thankfully, that attitude only lasted for a short while, until I was able to reframe it in a more productive way. Now I tell myself not to worry about big problems that might happen in the future, because I know that we will be hit by a meteor, we will experience a supervolcano eruption. It's best to just enjoy every day, doing what you really know to be what it is that you want to do. Does that mean that I won't recycle anymore, that I will leave the tap running while I brush my teeth? No! Because doing things to reduce my impact makes me feel good, that I'm thinking about society's needs - not just my own. It's what I want to do.So, in an incredible way (that even Bill Bryson probably didn't predict) this book can really change your life.",98,0.9247,0.099,0.779,0.122,0.4318761595547308,POSITIVE,0.9996
