,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,3721376504,01/24/2021,5.0,"""Holy cows?""This one is... just wow! I don't know how this could get any better. The Battle of the Labyrinth blows first three books out of the water. Though I am yet to read the final one, I think it'll be harder to beat this one out of my-favorite-of-the-series spot. What an adventure.""Yay! Blow-things-up time!""Time for having laughs all over the place is over (at least for the most part) and penultimate book means serious business. Percy, Annabeth and the team embarks on the most thrilling adventure yet, immersing us in an eventful journey. Everything's well written as always, it's difficult to stop until one is finished reading. Events are building up nicely towards the Battle of Half-blood camp, while keeping the reader oblivious to the way how seemingly unrelated plot lines will come to unravel at the end.""so many things. Large snake. Large dogs. Men with swords.""Oh! There are so many good things to tell about this one, but I can't wait till I get started with the next. Thank you Rick Riordan for this one, which made you one of my favorite writers. ""Don't judge someone until you've stood at his forge and worked with his hammer,""",399,0.9464,0.038,0.846,0.116,0.5977443609022556,POSITIVE,0.9945
1,3184463714,02/10/2020,4.0,"”I am senior empousa,” she growled. “No hero has bested me in a thousand years.”“Yeah?” I said. “Then you’re overdue!”Well, as you can see Percy still didn’t lose his touch. Or snark for that matter! ;-P I’ve to admit that the way things are going it sounds like our heroes will have to use every ounce of will to keep their good humour intact though. As I already suspected this didn’t only get way darker than its predecessors but also a little more mature as well. Yes, our little baby heroes are growing up and for the first time monsters aren’t the only thing they have to deal with. There are other kinds of problems they have to face and most of them seem to be of a more – erm – romantic nature. XD I’m sure sometimes troubles like that might be even worse than monsters. What do you say, Percy?”So you told her the truth.”“She recognized me from Hoover Dam, so –““You’ve met her before?”“Um, last winter. But, seriously, I barely know her.”“She’s kind of cute.”“I – I never thought about it.”Jeez! Annabeth, jealous much? Could you be so kind and give Percy at least a little chance to get in a few words? Or, well, maybe a proper sentence? *lol* Just saying! Would make it easier to understand him, right? XD All that gibberish isn’t going to get you two out of the labyrinth anytime soon. Oh yeah, the labyrinth. I almost forgot to mention it! Love troubles will do that to you. ;-P I definitely don’t envy Percy right now. Amazingly enough and despite everything they still manage to keep their minds focused on the most important things. Like for instance the task of finding Pan!”Percy, I can’t go back to camp without finding Pan. I just can’t. You understand that, don’t you? I can’t face Juniper if I fail. I can’t even face myself.”Poor Grover, he has a really tough time in this one but thankfully Tyson, Percy and Annabeth always got his back! And of course there are other new characters I sorely missed and that actually reappeared in “The Battle of the Labyrinth”. For instance Rachel Elizabeth Dare and Nico di Angelo! And before you even say anything: Yes, Rachel adds to Percy’s drama and Nico, well I suppose in some way he does too. No, not the way you think! *lol* He’s more like Percy’s little baby brother and it’s kinda cute how much he worries about him. Nico certainly isn’t defenceless though! That kid! I swear I love him to bits and pieces and can’t wait to see more of him. He’s not only adorable but also quite resourceful and assertive. In short: This kid rocks! ;-)Minos laughed. “You have no power over me. I am the lord of spirits! The ghost king!”“No.” Nico drew his sword. “I am.”He stabbed his black blade into the floor, and it cleaved through the stone like butter.For all of you who keep wondering what our heroes are doing in the labyrinth. Well, it’s Annabeth’s quest and they need to find Daedalus before Luke does. Yep, our dear archenemy is still around and kicking and of course he’s up to no good! But worry not, before the grand finale takes place there happen quite a few things first: For instance our heroes encounter more and more monsters they never knew about or heard of and also most certainly never wanted to know about as well, Tyson has intriguing conversations with Hephaestus and Percy tries his hand at teaching.”Well, a Cyclops. Good, good. What are you doing travelling with this lot?”“Uh…” said Tyson, staring in wonder at the god.“Yes, well said,” Hephaestus agreed.”New lesson, class,” I announced. “Most monsters will vaporize when sliced with a celestial bronze sword. This change is perfectly normal, and will happen to you right now if you don’t BACK OFF!”Okay, that one didn’t go all that well and I strongly doubt that this is a possible future career path. At least not for Percy. ;-P I’ve to admit that he grew quite a lot in this book though. Alone his encounter with a certain girl on a certain island shows how much his character developed and changed over the course of those last few books. And, yes some part of me ached with Percy. >_< The ending of this book made me really sad but unfortunately I’m more than just certain that the worst is yet to come. There’s one last and final book and I’m convinced that it’s waiting for me at my library! I think I’ll just, you know, finish this review, leave you here and go grab it! ;-P Happy reading and take care!________________________________I can’t believe I’m already reading the fourth book! As it seems Percy Jackson reads really fast! *lol* Also I’m very curious how this series is going to continue. As far as I know this is the penultimate book and since the last book took a turn to the dark side I can only assume that this will hold true for “The Battle of the Labyrinth” as well.I wonder if they’ll meet the Minotaur. XDLet’s do this! I’m ready! ;-)",278,0.9988,0.095,0.704,0.201,0.5343623648079093,NEGATIVE,0.8063
2,2921774883,08/04/2019,4.0,"holy hades! this is for sure the best book in the series so far! there is a lot more adventure, much better pacing, and incredibly improved character development and world building. one of my main concerns about the previous books is that they have the same repetitive vibe and feeling. this book totally changed things up and i couldnt be happier. i love that percy is getting older. his character is becoming more complex and the storytelling definitely shows that. the juvenile feel of the first couple books has disappeared and the story has become more relatable to me, reading this as an adult. kind of a bittersweet feeling knowing theres only one more book left, but im ready!↠ 4 stars",193,0.7377,0.066,0.812,0.123,0.5072222222222222,POSITIVE,0.9871
3,1503707286,01/10/2016,5.0,"I've read the first four books in this series to Celyn now and got her #5 for her birthday. A fun read, though the monsters get steadily more outlandish as Rick mines the lesser known corners of Greek myth. In this book we meet the Empousa who are pictured as women wearing brazen slippers and bearing flaming hair. The name is said to mean ""one-footed."" This is because they are a one-legged hybrid, with a donkey's leg and a celestial bronze prosthetic leg...Part of me is wondering how long before South Park's Scuzzlebutt turns up with a hand that's made of celery and Patrick Duffy for a left leg? We also meet Kampe who is depicted as having the head and upper body of a beautiful woman, the lower body of a dragon, a massive scorpion's tail full of venom, snakes around her ankles, and 50 grisly heads of various creatures (wolves, snakes, bears, lions...) bubbling around her waist. She also possesses black wings on her back and a pair of envenomed swords!The labyrinth itself and Daedalus were interestingly portrayed. Percy's girl cluelessness continues unabated. And the Luke/Kronos plot comes to a bubble.I also liked the rather silly Mrs O'Leary hell hound and the issue of giant dog biscuits and squeaky pink full-sized buffalo chew toys.Normally the inconsistent level of farce and semi-seriousness would bug me, but the series' style and charm has somehow inured me to it.Celyn continues to make her 'yes' sign when I ask if I should give these books 5* and who am I to argue with the expert? Percy hits 16 next book - should be fun! Join my Patreon Join my 3-emails-a-year newsletter #prizes......",189,0.9402,0.033,0.876,0.091,0.4366319444444445,POSITIVE,0.9253
4,455574567,11/13/2012,4.0,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4), Rick RiordanThe Battle of the Labyrinth is a 2008 fantasy-adventure novel based on Greek mythology written by Rick Riordan. It is the fourth novel in the Percy Jackson & the Olympians series. The novel was first published in the United States on May 6, 2008 by Hyperion Books for Children, an imprint of Disney Publishing Worldwide. It has been published in hardcover, audiobook, ebook, and large-print editions. To date, The Battle of the Labyrinth (Daedalus) has been translated into 29 languages from its original English. The book follows the adventures of modern-day fifteen-year-old demigod Percy Jackson, the son of a mortal woman and the Greek god Poseidon. Percy and his friends Annabeth Chase, Grover Underwood, Rachel Dare and Tyson attempt to stop Luke Castellan and his army from invading Camp Half-Blood through Daedalus's labyrinth by trying to prevent the Ariadne's string from falling into his hands.عنوانهای چاپ شده در ایران: «نبرد هزارتو کتاب چهارم»؛ «نبرد هزارتو»؛ «پرسی جکسون و نبرد هزارتو؛»؛ نویسنده: ریک ریوردان؛ تاریخ نخستین خوانش: روز بیست و هشتم ماه سپتامبر سال2012میلادیعنوان: نبرد هزارتو کتاب چهارم؛ نویسنده: ریک ریوردان؛ مترجم: مریم حیدری؛ تهران، بهنام، سال1391؛ در375ص؛ شابک9789645668851؛ چاپ دوم سال1392؛ چاپ سوم سال1394؛ چاپ پنجم سال1396؛ موضوع: داستانهای نویسندگان ایالات متحده آمریکا - سده 21معنوان: نبرد هزار تو؛ نویسنده: ریک ریوردان؛ مترجم: عباس زارعی؛ قزوین: سایه گستر، کتاب‌های توت فرنگی‏‫، سال1394؛ در456ص؛ شابک9789645028525؛عنوان: نبرد هزار تو؛ نویسنده: ریک ریوردان؛ مترجم: فرخنده خوش‌خصلت؛ ویراستار: فاطمه حقی‌ناوند؛ گرافیست: مهرداد دولت‌آبادی؛ طراح جلد رسول احمدی؛ تهران: انتشارات بین المللی گاج، سال‏‫1396؛ در344ص؛ شابک9786003597761؛‬عنوان: پرسی جکسون و نبرد هزارتو؛ نویسنده: ریک ریوردن؛ مترجم: پریا آریا؛ تهران : کتابهای کیمیا (وابسته به انتشارات هرمس)‏‫، سال‫1397؛ در456ص؛ شابک9789643638344؛‬‬‬پرسی جکسون: نبرد هزارتو جلد چهارم سری «پرسی جکسون و خدایان یونان»، اثر «ریک ریوردان» نخستین بار در روز ششم ماه می سال2008میلادی، منتشر شده است؛ داستان با این موضوع آغاز میشود که: «لوک»، از طریق هزارتوی «دایدالوس (دِدالوس)»، قصد دارد به اردوگاه حمله کند؛ «آنابت»، «پرسی»، «گروور»، و «تایسون»، به مقصدی خطرناک، برای جلوگیری از این رخداد، راهی میشوند، یعنی به درون هـزارتوی «دِدالوس» میروند...؛تاریخ بهنگام رسانی 27/09/1399هجری خورشیدی؛ 14/08/1400هجری خورشیدی؛ ا. شربیانی",177,0.7964,0.032,0.912,0.057,0.1805555555555555,POSITIVE,0.9975
5,2012903799,05/28/2017,5.0,I reread Percy Jackson for the fourth time because I am sad: part 4,177,-0.4767,0.237,0.763,0.0,0.5,POSITIVE,0.9998
6,1666249228,06/12/2016,5.0,Definitely the best book of the series. I love how grown up Percy is. I forgot how cute hating Nico was lol. And... percabeth feels *-*,164,0.9274,0.086,0.471,0.442,0.6199999999999999,POSITIVE,0.9995
7,742049007,10/15/2013,4.0,"At first I was going to rate it 4.5 stars, but that ending made me smile so much and I think that was what I've been looking for in this saga. I wanted a PJO book to end leaving me with a warm feeling in my heart and I didn't get it until this book <3. I love Nico so much. Also, I really like Poseidon :').So 5 stars!",157,0.9526,0.0,0.762,0.238,0.4041666666666667,POSITIVE,1.0
8,1604928514,04/08/2016,5.0,SO MUCH YES. ,917,0.4549,0.0,0.402,0.598,0.2,POSITIVE,0.9917
9,2094897495,08/16/2017,5.0,"See this review and more like it on www.bookbastion.net!_____________This entry to the Percy Jackson series just took things to a whole new level! As a first time reader of the series, it blows me away that not only am I enjoying this series as an adult reader, but I'm actually finding that my excitement and love for it has grown with each book as well. The writing has improved, and the way that Riordan has slowly been building up the stakes in each story has definitely stoked my interest as well. I'm so hyped to see how the big showdown in the next book is going to go down! I have to talk about the characters for a second. The dynamic Percy has with his friends has gotten better and better with each book. I never thought I could find another group of friends in a children's story that I enjoyed quite as much as the gang from Harry Potter, but Percy's gang of friends are just as compelling. I love the core trio (Percy, Annabeth and Grover) but the outliers that Rick Riordan has added on over the course of the series (like Tyson, Rachel Elizabeth Dare and Thalia) have grown on me as well. None have grown on me more than Nico though. In the previous book, I had some real issues with Nico. In a lot of ways, this book seemed to build off of much that was introduced in the previous one and I thought it worked out well for Nico in terms of growth. I really felt for him and his struggles during this book. Also, I love his strange on-again, off-again burgeoning friendship with Percy. I'm very excited to see how that develops in the final book, especially considering the implications of their existence and the whole prophecy subplot that Rick Riordan has been establishing for 4 books now. Hopefully it doesn't let me down! I'm a sucker for magical locations and creatures in my fantasy - the stranger the better! So the fact that basically this entire book gets set in a spooky, atmospheric and magic-filled Labyrinth was essentially a dream come true for me. I think it had earned points in my mind for that before I'd even started the book, to be honest. Riordan doesn't disappoint with the setting either, instead he utilizes the magical properties of the Labyrinth to introduce a whole host of memorable locations, creatures and events. This is the most fun I've had in a Labyrinth since I had to rescue my stepbrother from goblins. If I had to change one thing, I would have wanted this novel to be a trifle longer! While I think Riordan's ability to write characters and plot a story is definitely improving, in some ways I wish the prose would slow down a bit and describe things a little bit more. There are certain scenes (particularly the action sequences in this book) that I felt like could have been a bit more grand or of a larger scale than they ended up feeling because the prose moves along with such zeal to get to the next event. Sometimes a sense of dread and danger is good, and I think it's muddled a tiny bit in those fast-moving scenes. With that being said, plot-wise and character-wise, this was definitely my favorite of the series! I love the way the main plot and theme of the series has sort of unfolded around Percy and the years he's spent questing for the Gods of Olympus. I'm looking forward to seeing how his final clash with the Titans is going to turn out! Onwards to book 5!★★★★✯ = 4.5/5 stars___________Percy Jackson Reviews:The Lightning Thief ★★★★★The Sea of Monsters: ★★★★✯The Titan's Curse: ★★★★The Battle of the Labyrinth: ★★★★✯The Last Olympian: RTC",137,0.9992,0.045,0.731,0.224,0.4718740197001067,POSITIVE,0.9999
