,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,1420206733,10/19/2015,3.0,"I don’t love the Beatles.*Ducks as he is castigated by the seething masses*I also don’t love green vegetables, punches to the face, or going to the dentist, though I don’t think those revelatory disclosures will elicit much in the way of rage-fueled attempts to slit my throat with the jagged edge of a broken CD (compact disc, kiddos—look it up). So, why risk a severed jugular on the day before I’m going to stuff myself so full of turkey that I’ll have a snood coming out of my ear? Well, because it’s the best way I can think of to articulate my feelings about The Golden Compass.I don’t LOVE the Beatles, but I recognize their skill and talent and appreciate them for the impact they had on popular music. There are Beatles songs that I enjoy. I think I might have a Beatles album on my iPod (though I’ve never actually played it on my iPod). But, I’m never going to suddenly say to myself, “Geez, I really need to hear a Beatles song RIGHT NOW” and rush off to listen to one. (Side note: I do occasionally get an urge to listen to Yesterday, but just the Boyz II Men version…so perhaps I’m not the most qualified judge of musical quality on the planet.)Is Philip Pullman a Beatles-level authorial entity? Well, no. But, he is a skilled writer with a gift for storytelling and world building. He’s a talented technician and stylist. But, I don’t love The Golden Compass. I appreciate that it’s a well-written and well-conceived story, but, as agents revel in saying to me when I pitch them, “I just didn’t connect with the material.” I can see why people (ahem, Kristin) love this series, and I certainly would not dissuade anyone who’s interested in reading it from giving it a go. It’s well done.Someone asked me, as I was finishing this, if I was going to check out the second book in the series, but I think I’ll Let It Be.",335,0.9957,0.03,0.785,0.184,0.4454670329670329,NEGATIVE,0.9978
1,2543362187,07/05/2019,4.0,"Before quantum mechanics and Schrödinger’s cat’s paradox, alternate universes were inherently accessible post-mortem, either Heaven or Hell: that whole “other side” business had a strong moral and religious bias. However, contemporary science fiction has introduced new possibilities of experimenting with alternate realities, e.g. travelling through time (Wells’ Time Machine) or through space (Stapledon’s Star Maker). More interestingly, it introduced the possibility of parallel worlds: utopias (Huxley’s Brave New World is a utopia cum grano salis), dystopias (Orwell’s 1984, Atwood’s Handmaid's Tale), uchronias (Philip K. Dick’s Man in the High Castle), fantasy worlds or, if you will, alternate Middle Ages (Tolkien’s Lord of the Rings, Martin’s Game of Thrones).Philip Pullman’s Northern Lights is an ambitious combination of all of the above. The protagonist, young Lyra Belacqua, lives in an alternate England. Her world is, in general, similar to ours, but everything is a little bit misaligned. It’s a world where a puritanical Church rules over everything, where Scandinavian culture is pervasive, where people travel mostly by boat and zeppelin (steampunk-style), where each person has an accompanying dæmon — a sort of sentient cuddly pet, shamanistic animal spirit, or Freudian Id, perhaps —, where one can meet witches and armoured bears, and own strange objects that look like a pocket watch but tell the truth instead of the time… At all events, Pullman has built one the richest, weirdest, most fascinating and consistent fictional worlds in contemporary literature. He also has succeeded in creating a magnificent gallery of supporting characters: Lord Asriel, John Faa, Iorek Byrnison, Serafina Pekkala — all are endearing and colourful. Pullman’s prose is exquisite, and the scope of his story is staggering. For all that — possibly because this was meant to be a children’s book —, the plot is surprisingly lively and easy to follow — some of the scenes are memorable indeed, like the attempted poisoning at the start (ch. 1) or Lyra’s slyness with the bear-king (ch. 19).I find it surprising that Pullman’s book was not received with at least as much acclaim as, say, J. K. Rowling’s Harry Potter series. The fact that Northern Lights contains some anticlerical ideas and gave the god-botherers a queasy stomach is beside the point. However, it is possible that Pullman’s novel introduces too many ideas at the same time without developing them fully and does not quite provide a clear sense of closure and of what it is all about by the end of this long first part. It left me with a downbeat sensation, asking myself while closing the book, “eventually, why should I care about all that picaresque and slightly fantastical adventure?”. The 2007 film adaptation (with Nicole Kidman, Ian McKellen, Derek Jacobi, and Christopher Lee) tried to compress Pullman’s novel even further but only managed to highlight the plot’s flaws. At any rate, I am sure that the next part, The Subtle Knife, will compensate for these slight inconveniences.Edit: Watched the first season of the BBC/HBO His Dark Materials TV series. It is much better than the 2007 movie, probably because a TV series provides ample space to develop the storyline, while a 120 minutes movie was like a bed of Procrustes, compressing and sabotaging Pullman’s narrative. The TV show seems to be taking the exact opposite direction and expands on the plot and characters beyond the limits of the novel. The result is still somewhat confusing, but the slower pace provides a sense of danger and darkness that is quite gripping. Dafne Keen and Ruth Wilson, who play the two female protagonists, are both fabulous.",228,0.9974,0.041,0.803,0.156,0.4398967617349969,POSITIVE,1.0
2,1148857932,02/21/2018,2.0,"2.5*I never read this as a kid and maybe I would have enjoyed it more if I had, but it was just okay for me!",219,0.5848,0.0,0.807,0.193,0.5666666666666667,NEGATIVE,0.9966
3,10383601,12/13/2007,4.0,"the golden compass trilogy seems like a natural progression in christian literature. yes, it is christian literature, the same way the chronicles of narnia are. aslan is only a lion when the reader is about 10 or so in the united states. after a point, he unrepentantly becomes jesus. and the four children are like, the gospels or something. and the story is somewhat ruined then, because as an adult, you can't just shoehorn jesus into a lion outfit without snickering a little.pullman however, has solved this problem. i can't continue without utterly spoiling the story for everyone who hasn't read it, so consider yourselves warned...he made jesus into a little girl. even better, he made jesus into a little girl who doesn't even know she's jesus. now how's that for a new twist on the new testament? the part that's particularly brilliant about it, is that it actually worked. lyra is never really anything like christ... she just follows the path of his narrative. first, she has the absent father. lord asrael is desperately involved in his own ideas, so though he's not actually in heaven, he may as well be. wait a sec, isn't this just dogma again? sort of, except dogma is really more relevant to catholicism in particular, rather than scriptures. and instead of linda fiorentino who is kind of a mopey christ, we get a 10 year old girl. 10 year old girls are the best focal point for any story. i've been one for years.and this is a perfect choice, because she really never takes time to mope. she doesn't miss her faith or wrestle with it... she doesn't believe at all. and therein lies the genius of pullman's work, that has all the christians in a snit; she's also the antichrist.why would he do that?because the bible does. if you really take a look at the word antichrist, it does not mean ""evil"". khristos, from which christ is derived, means ""anointed"". so what does antichrist really mean? unanointed, or that which is against the anointed. there's a bunch of baggage on top of that meaning, which is how we got those omen movies, but at the heart of it, it just means smeared with fat. actually, it means recognized by the divine... but in ancient times, we did that by smearing the recognized thing with the fat of a sacrificed animal or person. and that, is why we celebrate the crucifixion. it was the point of christ's birth. as if it wasn't obvious enough, it's why he's referred to as the lamb.wow. so this is heavy... pullman has gone all the way back to the origins of the judeo-christian faith and said, this important guy, was just the carrier of this magical stuff that we're obsessed with, that we don't even use anymore. it's like we're infected or poisoned by this idea. we need an antidote. we need an antichrist, to show us how far we've wandered from the truth, which had nothing to do with trooping along after some guy.and this explains why christians are so antagonized by the books. they've been following the beast for years without recognizing it. the golden compass referred to in the book, is the bible we've all forgotten how to read. and in its stead, we've rallied around the church which claims to help us understand the symbols. but in reality, it is the beast referred to. the one which rose from rome, with many heads that change over time. so what really, is the golden compass about? it's about how to be human again. how to regain an understanding of the world, that doesn't rely on our fragile expectations for good and evil. all it requires, is that you give up everything, in order to discover what is important again. and i don't know how christians could have missed that primary message. ",208,0.6397,0.06,0.866,0.074,0.5308170995670995,NEGATIVE,0.9969
4,444030941,10/29/2012,4.0,"Northern Lights = The Golden Compass (His Dark Materials, #1), Philip PullmanNorthern Lights (known as The Golden Compass in North America and some other countries) is the first book of ""His Dark Materials"" trilogy. Set in a parallel universe, it features the journey of Lyra Belacqua to the Arctic in search of her missing friend, Roger Parslow, and her imprisoned uncle, Lord Asriel, who has been conducting experiments with a mysterious substance known as ""Dust"". Northern Lights is a young-adult fantasy novel by Philip Pullman, published in 1995. A children’s tale with one child (Lyra) going on a quest to save other children.تاریخ نخستین خوانش: روز دوم آگوست سال2008میلادیعنوان: نیروی اهریمنی اش - کتاب اول - سپیده ی شمالی در دو جلد؛ نویسنده: فلیپ پولمن؛ مترجم: فرزاد فرید؛ تهران، کتاب پنجره، سال1384 تا سال1385، در پنج جلد؛ شابک دوره پنج جلدی9647822146؛ چاپ سوم سال1387؛ شابک دوره9789647822145؛ چاپ چهارم سال1388؛ موضوع: داستانهای کودکان و نوجوانان از نویسندگان بریتانیا - سده20معنوان ک‍ت‍اب‌ نخست از سه گانه ی: «نیروی اهریمنیش»، شامل دو جلد ب‍خ‍ش‌ اول‌ و دوم: «س‍پ‍ی‍ده‌ ی‌ ش‍م‍ال‍ی‌»؛ عنوان جلد سوم یا ک‍ت‍اب‌ دوم‌: «خ‍ن‍ج‍ر ظری‍ف‌»؛ و عنوان دو جلد چهارم و پنجم یا کتاب سوم: «دورب‍ی‍ن‌ ک‍ه‍رب‍ای‍ی‌» است؛ «نیروی اهریمنی‌ اش»؛ عنوان سه‌ گانه ای از داستانهای خیال انگیز است، که «فیلیپ پولمن» آنها را نگاشته اند؛ کتاب‌ها به ترتیب: «سپیده شمالی (سال1995میلادی، در آمریکای شمالی، با عنوان: قطب نمای طلایی)»، «خنجر ظریف (سال1997میلادی)» و «دوربین کهربایی (سال2000میلادی)» منتشر شده اند؛ داستان کتابها در مورد دو نوجوان به نام‌های: «لایرا بلاکوا»، و «ویل پری» است؛ که در دو دنیای موازی زندگی می‌کنند، و وارد ماجراهایی حماسی می‌شوند؛ کتاب سوم از سری «نیروی اهریمنی‌ اش» در سال2001میلادی برنده ی جایزه کتاب سال «وایت برید» در «انگلستان» شد، که یک جایزه ی معتبر ادبی به شمار می‌رود؛ روزنامه ی «آبزرور» از این سه گانه به عنوان یکصد رمان پرفروش دنیا یاد می‌کند؛ در کتاب نخست: «لایرا» به یاری دوستش رفته تا او را که «شفن»ها دزدیده اند، نجات دهد، ولی در پایان درمییابد که...؛ تاریخ بهنگام رسانی 11/01/1400هجری خورشیدی؛ 23/10/1400هجری خورشیدی؛ ا. شربیانی",188,0.5423,0.016,0.958,0.026,0.3933333333333333,POSITIVE,0.9987
5,347069230,06/12/2012,4.0,"i first read this when i was like 10 or 11 and i remember really liking it. i recently came across an online thread about this book/series and the message(s) the author was intending to convey, and i was taken aback. i honestly really didnt remember anything except for talking bears that wear armour. lol. after the reread, i am suprised that i read this as a child. this is definitely a ‘childrens book’ that is not meant for children, in my opinion. the deeper meanings are pretty subtle but, regardless, i have no idea how i was able to read and enjoy this because i highly doubt i really understood what was going on half the time. so it was an interesting experience to read this with an adult perspective. i still enjoyed it, but it was a completely different reading experience than when i was a kid, understandably. ↠ 4 stars",187,0.9372,0.043,0.801,0.157,0.4597058823529412,NEGATIVE,0.9467
6,2549587436,10/08/2018,4.0,"

“You cannot change what you are, only what you do.” 



“So Lyra and her daemon turned away from the world they were born in, and looked toward the sun, and walked into the sky.” 

",184,0.0,0.0,1.0,0.0,1.0,NEGATIVE,0.8542
7,364441881,07/09/2012,3.0,"I enjoyed the premise and theme of the book. Pullman created well thought out and memorable characters. It was a little too technical for me in regard to the depths of fantasy, i.e. I had to go back and look up the meaning of some of the made up words in the book to stay focused on what was actually happening. But great imagery. I'm not sure if I will read book 2 or 3 of the series yet... thoughts?",141,0.903,0.023,0.809,0.168,0.5048611111111112,POSITIVE,0.9974
8,351667466,06/19/2012,,"9/8/17:1. I cleared my rating. If that doesn't sufficiently refute the claim that I ""just wanted"" to give THE GOLDEN COMPASS 1.0 star, then you're irrational, and further discussion is pointless. 2. I am a BOOK REVIEW BLOGGER. That's what I do. If you want to make cracks about being a trophy wife, go right ahead, but to insinuate that I would ""skim"" a book to have the minimum knowledge required to give the appearance of having read it so that I can give it a bad review b/c reasons, is an attack on my character and work ethic. I'm not some conservative religious zealot who think books with magic are sending our children straight to hell. I don't have children. I'm not a Christian. I do, however, have four nephews, all under eight years old that I have already given HARRY POTTER and many, many other similar books, THE GOLDEN COMPASS not among them.3. In regards to my perceived lack of faith in a child's intelligence, I'm baffled that you think that's the only issue. ""Children aren't stupid. They have good instincts. Shame on you.""Are you going to tell me that children also have excellent impulse control? That they're always rational? That they aren't capable of making bad decisions when overwrought? And am I also to assume that you all strictly adhered to the suggested age requirements on books? None of you were specifically informed that you read several grade levels ahead of your peers? This isn't the simple issue some of you are trying to make it. You MUST know I'm a advocate for free thought, for going against the grain, for individuality vs. hive mentality . . .I believe it's important to teach children to question, to think for themselves.BUT.I feel this book crosses a line for its intended audience. The two adults Lyra should be most dependent on are villains, and whether or not there are good role models among the secondary cast of characters, they are SECONDARY, ultimately insignificant roles as evidenced when dollface takes off on her own b/c her parents cannot be trusted, and she knows better than they do. The fact that it's true in her scenario is exactly what concerns me.You can draw a straight line through all the steps on the path to a child's inevitable conclusion that Adults are the Enemy, and to do good, to do right, you cannot trust or obey them.I think that's a very dangerous, potentially harmful thing to teach a child. You don't have to agree with me. In fact, the whole reason I'm writing this, years after I read the book, is b/c I didn't want to be that person who essentially outlines their own (possibly contradictory) review on someone else's post. B/c those people suck. FYI. <------read between the lines.I don't recommend this book for readers not in their teens. Yes, some children mature faster than others, and, especially, if the child in question is your own, you're the best judge of what is appropriate--I would never tell anyone what to do with their children. I am merely voicing a concern and suggesting that one might consider personally screening THE GOLDEN COMPASS before passing along to young, impressionable minds. This is my opinion. If you are violently opposed to it, I invite you to WRITE AND POST YOUR OWN REVIEW.",143,-0.9198,0.12,0.769,0.111,0.5942019400352734,NEGATIVE,1.0
9,2263351095,01/18/2018,3.0,"Rating: 3.5 starsListened to this on audio, which was a lot of fun!",118,0.5562,0.0,0.754,0.246,0.2,POSITIVE,0.9935
