,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,1540614657,02/07/2016,4.0,Great salad ideas & easy curry paste recipes!,7,0.807,0.0,0.407,0.593,0.7916666666666667,POSITIVE,0.9993
1,2249386113,11/06/2018,5.0,5 stars - English hardcover - present from Jop - great recipes from Oliver to make with not to mutch to spent. Loving it! 😀😍🦋💜,6,0.8516,0.0,0.696,0.304,0.36,POSITIVE,0.9979
2,275026397,02/09/2012,2.0,"First off, I want to commend the art team on this book: great text layout, gorgeous pictures, and excellent paper. But beyond the visual appeal, I'm at a loss for praise.Granted, as an intermediate level cook, it doesn't look like I'm the target audience for his Food Revolution campaign, but I was bewildered to find recipes for things like plain oatmeal, boiled eggs, smoothies, and white rice. I know he's assuming only a passing familiarity with the stove, but many of these ""recipes"" can be found on the sides of packages. And the vast majority of the other recipes are lackluster -- salads, various grilled/roasted meats, omelets, vegetables with herbs & butter, sauces for ice-cream. The only interesting dishes were in the curries section, and for that I'd be better served by a Madhur Jaffrey cookbook.I was also surprised to find many recipes required fairly premium items like filet mignon, sun-dried tomatoes, jarred roasted red peppers, and crème fraiche. By no means were ALL the recipes so posh, but for a book that touts ""simple, affordable meals"", they seemed fairly out of place.Overall, the cookbook delivers basic variations on basic themes which, frankly, left me bored and uninspired. Beginner cooks might find some value in the visuals, but for comprehensive lessons in technique (and excellent recipes to boot) I would steer them towards Mark Bittman's How to Cook Everything: Simple Recipes for Great Food.",5,0.9733,0.059,0.799,0.142,0.573440065681445,NEGATIVE,1.0
3,155028483,03/17/2011,5.0,"I bought this cookbook after watching Jamie Oliver's Food Revolution documentary series. I'm from West Virginia and it was filmed about 3 hours away from me in Huntington, WV. I loved the tv series and everything he had to say about nutrition, so I couldn't resist supporting Jamie and attempting to make my life more healthy.I easily found all of the ingredients from the recipes I've cooked at my local Kroger. It seemed a little expensive when I went shopping, but each recipe seems to last for days. I actually started cutting them in half since I only feed my boyfriend and myself. Jamie added a lot of pictures of the cooking process for every recipe. That was extremely helpful. I hadn't cooked with a lot of the vegetables he uses, so they often looked very strange (almost disgusting). But his photographs showed me I was doing everything correctly and that his looked just as strange. It was also nice to see the sizes he would ""chop"" ""slice"" and ""cut"" things into.There were so many great recipes, and I haven't even cooked everything in it yet. My favorite: Pot-Roast Meatloaf. I've made it many times. First for myself, then for family dinners and potlucks.I also loved the chapter on Indian food. My favorite type of food is Indian. Jamie made the recipes so easy and still filled with all those Indian flavors.",5,0.9859,0.035,0.819,0.146,0.5843827160493829,POSITIVE,0.9999
4,80184282,12/07/2009,5.0,"Absolutely outstanding. This is now my favorite cookbook, and I'll be buying it if I don't receive it for Christmas. So far I've made the meatballs, banana oatmeal, scrambled eggs, and chickan tikka masala curry. The one time I tried to make meatballs before this recipe, I overcooked them and they fell apart in the pasta. Following the directions from this book, my meatballs became fragrant with rosemary and held together well. My husband loved them. The oatmeal was delicious, and the scrambled eggs recipe yielded perfect scrambled eggs. Actually, I've always always overcooked my eggs and my husband never really liked them, so he was thrilled with the results this time around. I was hesitant to try making curry, because I doubted I could make it as good as the kind we get as take-out, but it was also perfect. I think the cilantro/yogurt/almond toppings really helped to make it so yummy. There are colorful photos for EVERY recipe, usually at least several of the process, which I appreciated so much. The recipes do rely heavily on fresh herbs, but I was able to find a lot of things out of the book that I could make on a tight grocery budget, with some small substitutions (plain eggs instead of cage-free/organic, etc).",5,0.9864,0.021,0.812,0.167,0.555952380952381,POSITIVE,1.0
5,120303058,09/06/2010,5.0,"I started reading several books last week, most of them novels, but the book that got me the most excited was–of all things–a cookbook. I decided to order this book from the library after watching a couple episodes of “Jamie Oliver’s Food Revolution,” a show where the British chef comes to the American South and tries to reform the disgusting eating habits of the unhealthiest town in the world. Jamie Oliver reveals and rebukes the greasy, processed food that Americans eat, trying to turn over a new leaf in the school lunch program at a public elementary school.After waiting more than two months for my hold request to be fulfilled (as the 24th person in line at the library), I finally picked up my copy of the cookbook, Jamie’s Food Revolution: Rediscover How to Cook Simple, Delicious, Affordable Meals. Cookbooks aren’t generally a “read-it-from-cover-to-cover” item, but I found that this was one cookbook I couldn’t put down. Jamie begins by telling the novice chef what tools every good kitchen should contain and what ingredients every pantry should be stocked with. (I made some notes on the latter for my next trip to Winco.) Then he launches into the recipes.The first section listed off a handful of twenty minute meals for people who are short on time. With names like “Shrimp and Avacado with an Old-School Marie Rose Sauce,” I found that they did indeed look simple and delicious, though maybe not quite as affordable as our usual fare. The next section of the book was even more intriguing: “Quick Pasta.” The pasta dishes I usually make are a last-ditch resort born of empty cupboards and small imagination. Jamie offers exciting dishes like “Broccoli and Pesto Tagliatelle,” containing only a handful of ingredients but looking mouthwateringly delicious in the full color pictures.The book proceeded with “Tasty Stir-Fries” and “Easy Curries.” I resolved then and there that I was going to make a curry that week, something I had never before attempted. A few days later I produced a passable “Chicken Tikka Masala,” with a lovely sauce and decent chicken (that would probably have been more tender if my stovetop had a more even heat).The next section contained recipes for salads. This exemplified what I love about Jamie Oliver’s book–versatility. In the salad section, he tries to teach you general rules so that you can whip up your own salad creation. The full-color chart on page 119 has six rows of “kinds” of ingredients: soft, crunchy, herby, veggies, cheese, and toppings. Each of the rows contains four items; for instance, the “herby” row has mint, basil, italian parsley, and arugula. All you need to do is pick one ingredient from each row to come up with an awesome salad! There are literally hundreds of combinations to choose from.The second recipe that I cooked from this book was the “Beef and Ale Stew,” and I must say that it turned out divine! The portions for most of the main dishes are for 4-6 servings, so we have half of the stew in the freezer waiting for another day. Yesterday, I was sorely tempted to take it out and heat it up for lunch, but I resisted–knowing, that someday soon, I would want to put a delicious dinner on the table without doing any work.I highly recommend this cookbook to beginner and expert chefs alike. I like it so much that I ordered my own copy from Amazon.com. It should get here later this week.",3,0.9974,0.011,0.862,0.127,0.4740674880674881,POSITIVE,0.716
6,37653390,11/13/2008,5.0,"I have been watching his TV show as well as downloading his podcast from the Minestry of Food and it has been so fun to get into the ease of these recipies. I am an experienced home cook but this book put a lot of great and really easy ideas into play for me. Philip, who never cooks much has taken to making dinners on Sat night and made the Chicken Chow Mein and it was seriously one of the best stir-frys I have eaten! Even our kids chowed down without complaint.(and there was ""green stuff"" it it. I think Jamie Oliver is a serious pioneer of food reform in the UK and I respect him highly for the work he does getting school kids, the government and the common person to *think* about what they are eating and where it came from. ",3,0.9812,0.022,0.794,0.184,0.5458119658119659,POSITIVE,0.9979
7,121648634,09/14/2010,2.0,"Oh look, I'm British and my Mommy and Daddy let me cook in their restaurant and now I write books with a sprinkle of this and a handful of that. Listen Jamie Oliver, don't call it a Food Revolution if you require alfalfa flour and ketchup in the same recipe or worse yet, call for canned goods as main ingredients. He should be ashamed of himself. ",3,-0.7351,0.094,0.906,0.0,0.2645833333333333,NEGATIVE,0.9993
8,2284566845,02/04/2018,4.0,"As the cover suggests, 'Revolution' finds our hero behind the Iron Curtain attempting to introduce his own brand of music to the Soviets, called Wok n Roll.Will he succeed? Or will he plummet headfirst into some borscht? What will his children think of his terrible taste in shirts? This and many more questions left unanswered.",2,0.6416,0.05,0.83,0.119,0.5571428571428572,NEGATIVE,0.9997
9,3013379421,11/14/2019,4.0,"I have tried several recipes from this book now and overall I have been pleased with the results. The only flaw with this book is the way the method has been written, it can be very confusing and difficult to follow.",2,-0.2632,0.113,0.821,0.066,0.5866666666666667,POSITIVE,0.9988
