,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,1656845653,06/02/2016,4.0,"3 items worthy of note in Robert Louis Stevenson's classic treasure ""Treasure Island"":1) There are a ton of tropes! We understand that this is pretty much what Disney's Pirates of the Caribbean ripped off, making tons of money off of this adventurous classic, including but not limited to: rampant alcoholism; a code of honor; castaways (at sea or in land); shipwrecks (new and ancient); treason (group & individual) & double crosses; mutiny, hostages, captures and shocking escapes; strangers appearing from the mist & pirate flags; raresome slapstick comedy (""...[he] fell from his whole height face foremost to the floor."" [16]) & good comedic timing (the parrot tells everybody The Secret, ruining plans); a compass made up entirely of human bones; & ghosts.2)Jim Hawkins is your typical YA protagonist prototype. He's the go-between the two fighting groups, the one who bargains with the villain Long John Silver (mmm.... breaded fish and shrimp...yumm) and propels the narrative forward. He's the center; a dreamer; while he loses his humility he attains a coming-of-age wisdom that peaks at the point where he brandishes a pistol for the first time.3)The plot resembles a Hollywood blockbuster. There is very little inaction, but when it occurs (such as the villain's cliched soliloquy or the factions grunting against their enemies) it does decelerate the pace of the story. Here is a very substantial urge to make everything explosive & loud. Thank you, Mr. Stevenson!",254,0.957,0.088,0.746,0.166,0.454752886002886,POSITIVE,0.9991
1,98085756,04/11/2010,5.0,"Treasure Island, Robert Louis StevensonTreasure Island is an adventure novel by Scottish author Robert Louis Stevenson, narrating a tale of ""buccaneers and buried gold"". Its influence is enormous on popular perceptions of pirates, including such elements as treasure maps marked with an ""X"", schooners, the Black Spot, tropical islands, and one-legged seamen bearing parrots on their shoulders.An old sailor named Billy Bones comes to lodge in the rural Admiral Benbow Inn on the West English coast. He tells the innkeeper's son, Jim Hawkins, to keep a lookout for ""a one-legged seafaring man."" A former shipmate, Black Dog, confronts Bones and engages in a violent fight with him. After Black Dog is run off, a blind beggar named Pew visits to give Bones ""the black spot"" as a summons to share a map leading to buried treasure. Shortly thereafter, Bones suffers a stroke and dies. Pew and his accomplices attack the inn, but Jim and his mother save themselves while taking Bones's sea chest. Inside the chest, they find a map of an island on which the infamous pirate Captain Flint hid his treasure. Jim shows the map to the local physician Dr. Livesey and the district squire John Trelawney, and they decide to make an expedition to the island, with Jim serving as a cabin boy. They set sail on Trelawney's schooner, the Hispaniola, under Captain Smollett. Much of the crew, as it is later revealed, are pirates who served under Captain Flint, most notable of which is the ship's one-legged chef ""Long John"" Silver. Jim, sitting in an apple casket, overhears the conspirators' plan to mutiny after the salvage of the treasure and to assassinate the skippers. ...تاریخ نخستین خوانش: یکی از روزهای سال 1973میلادیعنوان: جزیره گنج؛ نویسنده: رابرت لوئیس (لوئیز) استیونسون (استیونسن)؛ مترجم: هاجر تربیت؛ تهران، بنگاه ترجمه، چاپ دوم 1343، در 278ص؛ مترجم: اردشیر نیکپور؛ تهران، گوتنبرگ، چاپ دوم 1351، در 364ص؛ موضوع: داستان کودکان از نویسندگان اسکاتلند - سده 19ممترجمهای دیگر، خانمها و آقایان: «حسین دستوم»؛ «یوسف فرخ»؛ «عباس کرمی فر»؛ «پرویز نجم الدینی»؛ «محسن سلیمانی»؛ «امیرمهدی مراد حاصل»؛ «صفورا کلهر»؛ «احمد کسایی پور»؛ «سپهر شهلایی»؛ «علی اکبری»؛ «علیرضا نعمتی»؛ «محمدرضا جعفری»؛ «نعیمه ظاهری»؛ «آرمین هدایتی»؛ «مهسا طاهریان»؛ «مهسا یزدانی»؛ «محمد قصاع»؛ «امین دادور»؛ «سهیل رمضانی»؛ «محمد همت خواه»؛ «ناهید حاجی سلیمانی»؛ «شهلا طهماسبی»؛ «بیتا ابراهیمی»؛ «سوده کریمی»؛ و ...؛داستانی ماجراجویانه، که «رابرت لویی (لوئیز یا لوئیس) استیونسُن» نویسنده «اسکاتلندی» نوشته است؛ این رمان نخستین بار در سال 1883میلادی به صورت کتاب به چاپ رسید، و موضوع آن درباره ی دزدان دریایی، و گنجی مدفون، در یک جزیره است؛ «جزیره ی گنج» هماره در زمره ی ادبیات کودک و نوجوان، بوده است، و منتقدان آن را به خاطر توصیف استادانه ی نویسنده، از: «شخصیت‌ها»، «رویدادها»، و «فضای داستان»، بسیار ستوده‌ اند؛ بارها به روی صحنه ی تئاترها، و پرده ی سینماها رفته، و از محبوبیت ویژه ای، نزد نوجوانان، برخوردار استرابرت لویی استیونسن، تنها فرزند «توماس استیونسن» یکی ازبهترین مهندسان شهر بود؛ او که از کودکی ضعیف و مریض احوال بود، پس از سفر به کشورهای گوناگون، سالهای پایانی زندگی را، در سرزمین دلخواهش «سامو» گذراند؛ مردمان بومی، ایشان را «قصه گوی قصه ها» نامیدند؛ دریانوردی پیر، در مسافرخانه‌ ای میمیرد، و «جیم» در صندوقچه‌ ی او، نقشه ی گنجی را مییابد؛ او و دوستانش، به جزیره‌ ای دور سفر میکنند، اما دزدان دریایی خطرناکی نیز به دنبال همان گنج هستندنقل از آغاز متن: (مسافرخانه ی «آدمیرال بِن بو»: از من خواسته اند که هرچه درباره ی جزیره ی گنج میدانم، از اول تا آخر بنویسم؛ برای همین هم چیزی را از قلم نمیاندازم؛ ماجرای من، موقعی شروع شد که پدرم هنوز مسافرخانه ی «آدمیرال بِن بو» را اداره میکرد و این همان موقعی بود که دریانوردی پیر، برای اولین بار به مسافرخانه ی ما آمد؛ خوب به یاد دارم، انگار همین دیروز بود؛ او جلوی در مسافرخانه آمد؛ پشت سرش، یک گاری دستی بود که روی آن صندوقچه ای قرار داشت؛ مرد تازه وارد، قوی و بدقواره بود و کت ملوانی آبی رنگ و کثیفی به تن داشت؛ روی دستانش علامت زخمی دیده میشد و ناخنهایش سیاه و شکسته بود؛ روی صورتش هم علامت زخم شمشیر بوداو به خلیج کوچک جلوی مسافرخانه نگاه میکرد و برای خودش سوت میزد؛ پس از مدتی، ناگهان شروع به خواندن یکی از آوازهای قدیمی ملوانها کرد: پانزده مرد، روی سینه ی یک مرده؛ یوهوهو، هوهوهودریانورد پیر، پس از اینکه از پدرم یک نوشیدنی گرفت، گفت: «جای جالبی است؛ آدمهای زیادی اینجا می آیند؟»؛پدرم گفت: «نه متاسفانه.»؛مرد گفت: «پس جای من این جاست.»؛ بعد، خدمتکاری را که گاری دستی را آورده بود، صدا زد و گفت: «صندوق را بیاور تو!» و به پدرم گفت: «من آدمی ساده ام؛ از شما هم فقط نوشیدنی، ژامبون و تخم مرغ میخواهم.»؛بعد چند سکه ی طلا روی میز انداخت و گفت: «هر وقت تمام شد، بگویید! در ضمن میتوانید مرا ناخدا صدا بزنید.»؛ناخدا مرد ساکتی بود.؛ تمام روز را با دوربین برنجی اش، در اطراف خلیج یا روی صخره ها پرسه میزد؛ شبها نیز در گوشه ای از سالن مینشست و مینوشید؛ او، اغلب از ما میپرسید: «در جاده، دریانوردی ندیدید؟»؛ اوایل فکر میکردیم که او دوست دارد با دریانوردها هم صحبت شود؛ اما وقتی دریانوردی سر راهش به بریستِل به مسافرخانه ی ما میآمد، ناخدا قبل از ورود به سالن پذیرایی، ابتدا از پشت پرده های در، با دقت به او نگاه میکرد و آنگاه وارد میشد و مثل همیشه، ساکت در گوشه ای مینشست.؛ روزی، ناخدا مرا به کناری کشید و گفت: «جیم! اگر همیشه مواظب باشی و هر وقت ملوانی یک پا دیدی، فوری به من بگویی، هر ماه یک سکه ی نقره ی چهار پنی به تو میدهم.»؛ آن روز، فکر یافتن دریانورد یک پا، خوابهای مرا آشفته کرد؛ با اینحال، بیش از آن که از دریانورد یک پا بترسم، از خود ناخدا میترسیدم، زیرا بعضی از شبها که سرش گرم میشد، همه را ساکت و مجبور میکرد که به داستانهای ترسناکش گوش کنند و آوازهای قدیمی ملوانها را با او بخوانند.)؛ پایان نقلتاریخ بهنگام رسانی 27/09/1399هجری خورشیدی؛ 05/07/1400هجری خورشیدی؛ ا. شربیانی",224,0.8827,0.014,0.959,0.027,0.4624999999999999,POSITIVE,0.9518
2,1572535236,03/07/2016,4.0,"English (Treasure Island) / Italiano«Squire Trelawney, Dr. Livesey, and the rest of these gentlemen having asked me to write down the whole particulars about Treasure Island, from the beginning to the end, keeping nothing back but the bearings of the island, and that only because there is still treasure not yet lifted, I take up my pen in the year of grace 17_ and go back to the time when my father kept the Admiral Benbow inn and the brown old seaman with the sabre cut first took up his lodging under our roof»Perfect incipit for an adventure novel, able to introduce the whole story in a few lines and, at the same time, generate in the reader that tantalizing curiosity that invites you to read quickly the pages, thinking ""let's settle down, you're going to see some things"".However, I confess that for me the novel by Robert Louis Stevenson, reread years later (this time is a bedtime reading for my daughter), has lost part of its appeal. Nevertheless, my daughter appreciated it, probably it's a novel that best suits the tastes of children and young people. In fact, Stevenson has never hidden that the inspiration to the novel came frome his adopted son, Lloyd, with whom in a rainy afternoon drew an island for fun, fantasizing with him on the places about the places map and on future characters. The novel that was taking shape for the 12-year-olds boy's amusement changed in a really fun adventure. Well, then let's all sing it together:«Fifteen men on a dead man's chestYo ho ho and a bottle of rum!»Vote: 7,5«Sollecitato dal conte Trelawney, dal dottor Livesey e dal resto della brigata di scrivere la storia della nostra avventura all’Isola del Tesoro, con tutti i suoi particolari, nessun escluso, salvo la posizione dell’isola. e ciò perché una parte del tesoro ci è ancora nascosta, io prendo la penna nell’anno di grazia 17… e mi rifaccio al tempo in cui mio padre teneva la locanda dell’ “Ammiraglio Benbow” e il vecchio uomo di mare dal viso sfregiato da un colpo di sciabola prese per la prima volta alloggio presso di noi»L'incipit è di quelli perfetti per un romanzo d'avventura, in grado di introdurre in poche righe tutta la vicenda e contemporaneamente generare nel lettore quella stuzzicante curiosità che invoglia a divorare le pagine. Per la serie ""mettetevi a sedere che ora ne vedrete delle belle"".Confesso però che per me il romanzo di Robert Louis Stevenson, riletto a distanza di anni (lettura serale per mia figlia), ha perso un pò del suo fascino. Mia figlia ha comunque apprezzato, probabilmente è un romanzo che meglio si adatta ai gusti di bambini e ragazzi. D'altronde Stevenson non ha mai nascosto che l'ispirazione per il romanzo gliela ha data il figlio adottivo Lloyd, con il quale in un pomeriggio di pioggia disegnò per gioco un'isola, fantasticando assieme a lui sui luoghi della mappa e sui futuri personaggi. Il racconto che prendeva forma per il divertimento di un ragazzo dodicenne si è poi trasformato in una gran bella avventura. E allora cantiamo tutti insieme:«Quindici uomini sulla cassa del morto,yo-ho-ho, e una bottiglia di rum!»Voto: 7,5",191,0.9954,0.033,0.834,0.133,0.2747584541062802,POSITIVE,0.944
3,3677170986,12/25/2020,3.0,"Arr, me matey!I've finally downed the children's classic, Treasure Island.Sadly, these pirates weren't nearly as sexy as I was expecting. Where were all the sweaty pirate abs I've come to expect from the plethora of trashy romance novels I've gobbled down over the years?Not here, that's for damn sure. And mainly because of the overabundance of bodice rippers on my bookshelf, I felt like I maybe needed to expand my maritime horizons, and it seemed that going with a classic sailor story wouldn't be a bad way to accomplish that goal.Unsurprisingly, this is a pretty boring book by today's standards. And if this was what they gave kids to read back in the day, I'm no longer shocked that people found long walks and/or journaling about said long walks a valid form of entertainment.  When I'm done churning this butter, should I whittle for a bit before we have a family sing-a-long around the fire?Going to be totally honest, I don't understand the yearning for a simpler lifestyle, as this scenario sounds like my own personal version of Hell.Alright! Treasure Island by Robert Louis Stevenson and why you should read it.It's short! <--not as much of a time suck as Count of Monte CristoIt's a classic! <-- therefore, you will sound classyIt's got pirates! <--remember: dirty rum-bloated pirates, not shirtless Fabio piratesYou can learn new drinking songs! <--Yo ho ho and a bottle of Zima, bitchesThat all sounds great.But what is Treasure Island about, Anne?The gist is that our young hero, Jim Hawkins, has the shittiest luck ever.His dad dies and leaves a tweenage Jim and his mother with a ramshackle inn to run, complete with a scary drunken sailor (Billy Bones) that's not too keen on paying his tab as a tenant. He's what the kids these days call a scallywag.Why does it matter that Bones is continually dodging rent?Well, after Billy Bob meets his maker with the help of a few of his old sailing pals, Jim and his mother have to rifle through his things to get payment.AND JIM FINDS A MAP. <--to a place called Treasure Island*choir vocalizes*Back in the day, if you found a map it was apparently adventure time. You and your neighbors would rent a ship, hire a sketchy crew, and set out for parts unknown full of high hopes that you'd be coming back with gold doubloons! The reality is that you'd be lucky to come back alive without scurvy or syphilis.And dark thoughts like that are why I would have made a terrible pirate-adventurer...The adults (of course) make some really bad decisions when it comes to securing an efficient crew. They have a competent captain, but instead of listening to him, they hire a fairly obvious villain as the cook and then proceed to take his advice over the captain's. This ensures they have quite a surly group of sailors to man the SS Mutiny. Who is this cook? Long John Silver. <--yes, exactly like the sub-par seafood restaurant!When your cook's name is synonymous with chewy shrimp poppers and diarrhea, you might want to rethink your hiring process. Luckily for all the grown-ups, Jim is a brave and hearty lad who manages to save the day! <--not reallyOk, so this was written back when it was a big deal to keep your word. Like, if you promised your kidnappers that you wouldn't try to run for it, then you couldn't try to run for it because that would make you a liar. Which, for some unfathomable reason, was worth more than your life.SWEAR TO GOD, THESE OLD-TIMEY PEOPLE WERE RIDICULOUS.Naturally, there comes a point in the story where Jim needed to hop a fence and get the hell out of there, but wouldn't - because INTEGRITY. And I suppose we're meant to think he's a better person for it, but all I could think was that maybe Stevenson based his story around a child with special needs.Except, no. Because the doctor agreed with Jim, so apparently in the days of yore, the good guys couldn't just win, they had to win by a set of idiotic rules.Which is nuts! What are you teaching our kids, Robert!?Looking someone dead in the eyes whilst giving a firm handshake and lying through your teeth is a fucking lifeskill that every child needs to have perfected by adulthood in order to survive.But whatever. This is a fantasy, so it all works out for our heroes.They return home with their honor intact, a good bit of wealth, no STDs, and only a little bit of PTSD that kicks in whenever they hear a parrot squawk. Read it. As far as classics go, you could do a lot worse than this one.Michael Prichard - Narrator",189,0.9738,0.092,0.774,0.134,0.5273397713397714,NEGATIVE,0.9933
4,907146412,04/10/2014,4.0,"YO-HO-HO AND A BOTTLE OF RUM!!!This is the iconic novel about pirates that it stands as the best example in this topic and easily one of the most adapted to other media novels in any genre.I can remember having watched several adaptations, live action films, animated movies, even an animated film using animals as the characters, there is the Muppets' one, a Japanese anime TV series, an European mini-series taking the story to outer space starring Anthony Quinn, the animated remake of that version by Disney and the current Starz channel prequel TV series ""Black Sails"". Just to mention the ones that I have watched but there are a lot of more adaptations.While the topic of pirates is a popular one, I think that there aren't much novels about it. At least not examples really worthy of reading them. Obviously there are some here and there, but taking in account how much options one has in other topics in literature, pirates has been a concept seldom touched with success.However, this novel was able to keep on the mind of everybody the storytelling appeal of the topic of pirates inspiring successes on other media such as Japanese anime ""Captain Harlock"" and live actions films of ""Pirates of the Caribbean"".For all that and its own merit, Treasure Island keeps retaining the crown as the best novel about pirates. Characters like Jim Hawkins, Billy Bones, Ben Gunn, Captain Smollett and of course, Long John Silver have become iconic in the universe of literature. Even they have been so admired that other authors couldn't resist to makes homages/mentions of them on their own novels, such examples like on Peter Pan.Its appealing is obvious depending the readers, many young ones can't resist to be amazed by Jim Hawkins who is 14 years old but he is able to keep up in the middle of adult characters and even being a key character in the success of the adventure.To readers and writers of all ages, certainly the character of Long John Silver stands out as one of the best developed characters in the history of literature becoming a model to many following similar ones. He is able to do ruthless things but he has a code, he has limits, and not matter that he is not a nice person, there are things that he never will do and for that, he is a complicated and truly interesting character to read about.Not matter how was on real life, Robert Louis Stevenson, the author, was able to show a romantic picture of pirates' world with now iconic elements like islands with treasures, maps with ""x""'s, fearful papers with a black spot, peglegs, eye patches, parrots on shoulders, but above all, he had no doubt to show how dangerous and murderous can be real pirates.",173,0.9959,0.054,0.785,0.161,0.4818681318681319,POSITIVE,0.998
5,596107866,04/21/2013,5.0,"Treasure Island is a treasure for the young… If it is read in one’s childhood, it is irresistible but in the later years its magic might wear out…Now, if I can’t get away nohow, and they tip me the black spot, mind you, it’s my old sea-chest they’re after; you get on a horse – you can, can’t you? Well, then, you get on a horse, and go to – well, yes, I will! – to that eternal doctor swab, and tell him to pipe all hands – magistrates and sich – and he’ll lay ‘em aboard at the Admiral Benbow – all old Flint’s crew, man and boy, all on ‘em that’s left. I was first mate, I was, old Flint’s first mate, and I’m the on’y one as knows the place. He gave it me at Savannah, when he lay a-dying, like as if I was to now, you see. But you won’t peach unless they get the black spot on me, or unless you see that Black Dog again or a seafaring man with one leg, Jim – him above all.”It’s awesome! The great adventure lies ahead… Goose bumps are guaranteed… Now I see a lot of irony in the tale and even a bit of mockery – a funny quirk with cheese belongs rather to a subtle ridicule than to the romantic treasure hunting…At the foot of a pretty big pine and involved in a green creeper, which had even partly lifted some of the smaller bones, a human skeleton lay, with a few shreds of clothing, on the ground. I believe a chill struck for a moment to every heart.“He was a seaman,” said George Merry, who, bolder than the rest, had gone up close and was examining the rags of clothing. “Leastways, this is good sea-cloth.”“Aye, aye,” said Silver; “like enough; you wouldn’t look to find a bishop here, I reckon. But what sort of a way is that for bones to lie? ‘Tain’t in natur’.”Indeed, on a second glance, it seemed impossible to fancy that the body was in a natural position. But for some disarray (the work, perhaps, of the birds that had fed upon him or of the slow-growing creeper that had gradually enveloped his remains) the man lay perfectly straight—his feet pointing in one direction, his hands, raised above his head like a diver’s, pointing directly in the opposite.“I’ve taken a notion into my old numbskull,” observed Silver. “Here’s the compass; there’s the tip-top p’int o’ Skeleton Island, stickin’ out like a tooth. Just take a bearing, will you, along the line of them bones.”At different ages we believe in different treasures and they keep luring us.",164,0.9968,0.03,0.798,0.171,0.4261904761904762,POSITIVE,0.9851
6,1795947687,10/28/2016,4.0,"Treasure Island is arguably one of the most influential tales in the world of fiction. Every pirate stereotype that we take for granted these days we can see the foundation somewhere in this magic tale. Approaching this story; I am quite lucky that I knew nothing about the plot except that there was a map where X marked the spot showcasing Captain Flint's legendary treasure. I went into the task of reading this like a happy youth, wide-eyed looking forward to experiencing a legendary story for the first time without being hindered with prior knowledge of the narrative, the characters, the pace and the plot twists.So the story goes something like this. An alcoholic ex-pirate Captain spends his days in a local bar drinking himself to death whilst singing jolly pirate songs. ""Yo-ho-ho and a bottle of rum"" etc... He, unfortunately, passes away and leaves a chest which contains a secret map amongst other treasures. The map is highly sought after by all the wrong people. Our 1st person perspective young superstar Jim Hawkin's finds the map and speaks to his friends Dr. Livesey and a squire, Mr. Trelawney and they decide to venture to this mystical treasure island to hunt for said treasure. Leaving from Bristol, they gather a ships worth of pirates and hands. Experienced in their own ways but none more so than pleasant, pub-owning ship's cook Long John Silver. So off they go on this adventure. They get the treasure and go home and live happily ever after. But, that obviously didn't happen because that would not make a legendary story. The main protagonist, Jim is a great character. This is typically seen as a children's book (although some of the sea and pirate terminology is quite specific and complex) and having the first person perspective shown from the view of a young kid adds to the remarkableness of the story. The fact Jim is a young man who performs extraordinary deeds, often going against the odds on the Hispaniola (the trusty vessel that takes them to treasure island) or the island itself amongst hardened sea-faring men means we really have his back and support his deeds throughout the tale. We feel close to him because of how well Stevenson writes this character. Every time the plot progresses, it is because of an amazing deed that Jim has done, often on his own back without the consultation of the most senior members of the group. We route for him every second of the way because he is us. Things don't work out smoothly when they get to the Island. A divide occurs. Mutiny some might say. A split is presented so Jim, Dr, Squire and a few trusted men are on one side. Old pirates who were part of Captain Flint's crew rally under who we thought was a nice dude. Long John Silver.He is the most complex character in this short book. Peg legged, parrot on his shoulder ""pieces of eight"" are some of his characterisations that you will probably see some 12-year-old child imitating this Halloween. You never quite know where you stand with Silver. He starts off seeming good. Jim overhears his plot of mutiny whilst hiding in a barrel. At that point, he is portrayed as purely evil but towards the end, he seems more human and complex. Sticking up for Jim Hawkins when the rest of his sea mates want to kill the poor lad. Other notable characters are Ben Gunn, the Robinson Crusoe-esque marooned island dweller and Dr. Livesey. It is ingeniously written that in such a short book we can care about so many of the players and their complexity is unrivaled. There are lots of cool scenes. Shootouts on the Island between the two factions. Jim vs. Israel Hands. Meeting Ben Gunn and when Jim goes back to the safe haven of the wooden castle expecting to regroup with his friends but alas... it is not to be. I will end this review with a few pirate clichés that frequent Treasure Island. ""Shiver my timbers"" ""Shipshape"" ""Jolly Roger"" & ""Pieces of Eight"" come to mind. I really enjoyed this. So different to Dr. Jekyll & Mr. Hyde that I have previously read by Stevenson. Yet, that makes a good author, being able to flaunt his linguistic skills in various genres making tales such as these which will last forever. Cap'n Tivendale at your service.www.youandibooks.wordpress.com ",159,0.9975,0.037,0.823,0.14,0.5021399176954732,POSITIVE,0.9999
7,3402936944,06/21/2020,3.0,"""Dooty is dooty, to be sure.""When I first picked up this book, I immediately liked it, for it offered a mix of mystery, adventure and combat, but unfortunately for me, that feeling got lost somewhere in the middle. To be specific, it was during Jim's ship maneuvering part that I found the story to drift away from the pace it maintained up to that. For me, the story hardly made up for it in the latter half of the book. By no means this is a poor story, for it offers quite a long story in a considerably shorter narrative, but I found the certain sections were over-described, resulting in a break in the flow of story.",135,-0.8294,0.121,0.814,0.065,0.4197845804988662,NEGATIVE,1.0
8,89644127,02/14/2010,4.0,"Remember when pirates briefly became ironically cool, and all of your annoying friends were joining facebook groups for International Talk Like A Pirate Day? And the first Pirates of the Carribbean movie came out and was surprisingly awesome? And then the second Pirates of the Carribbean movie came out and was decidedly less awesome, but you didn't really realize it until the third one came out and you discovered you couldn't remember and didn't care about number two's cliffhanger ending (it was like The Matrix in that way actually)? And then you finally saw the third one on DVD when you were home from the hospital after almost dying of mono,who knew that could happen, but apparently it really messes with your liver, and the movie was so bad you couldn't even stay awake through the literally 45-minute long action sequence that caps it all off, and besides, it makes no sense at all, with everyone betraying everyone else so many times you need a flow chart to follow the plot?I suppose we have RLS and Treasure Island to blame for all that. Because this is the book that established what we think of when we think of pirates, from skull & crossbones banners to peg legs to squawking shoulder-mounted parrots to maps with big red Xs and yo-ho-ho and a bottle of rum. It's kind of weird to think about: those concepts are so ingrained in our culture (see: International Talk Like a Pirate Day), and yet they all stem from this rather innocuous adventure story for children.But it is a really great adventure, which is probably why it became so iconic. This book is 130 years old but exhibits none of the mustiness of late Victorian-era fiction (turgid description being the chief offender, which you know if you've tried to slog through Jules Verne, and how in the world do you make submarines and sea monsters boring? Ask Jules). The adventure clips along quite nicely, moving from murder and mayhem on dry land to mutiny and more murder on the sea, and then to a creepy island filled with treasure and other dangers. Long John Silver is a crafty and compelling villain, switching sides more often than Benjamin Linus (hey, speaking of islands). Even though I knew basically where the story was going, it was a fast and engaging read, with a lot of creative sequences of suspense. The only sections that bogged down a bit were the brief but somewhat technical descriptions of the ship, the sails, how the waves turned it this way and that, etc. I don't know starboard from port, and I don't care to, RLS. So get back to the parts with the talking parrot.",102,-0.9205,0.114,0.784,0.102,0.4874421296296296,NEGATIVE,0.6045
9,2962665260,09/07/2019,3.0,"Original rating: 3 starsUpdated rating: 3 stars (yup, no change)I originally read this book when I was 12 or 13. I wrote a book report on it for a middle school English class. I also remember that I read it while on Spring Break in Florida - so it was kind of cool to read this while in a somewhat tropical climate. I remember that I liked it okay, but when you are reading it for school, you sometimes cannot trust a lukewarm memory of a book.In this case, my memory was spot on!I can describe this book two ways:- An okay seafaring/pirate tale that will probably be loved by hardcore pirate fans and people who like nautical tales- TediousWhen I mentioned it was tedious to my wife, she asked if it was repetitive. But, repetitive is not quite right. More like each scene/part of the book is drawn out to the point I was relieved when it moved on. Kind of surprising as it is not all that long of a book. If you are anything like me you will spend a lot of your time thinking ""Get on with it!""One interesting ""Ah-ha"" moment I had: As you may know, this book features Long John Silver. In my mind, and probably most peoples' minds, he is a famous pirate from a famous pirate book and there is a seafood chain named after him. The ah-ha, and maybe this was not intentional, is that his cover in the book is that he is a cook on the boat. So, naming a restaurant after him makes perfect sense!",96,0.9807,0.037,0.823,0.14,0.6302197802197802,NEGATIVE,0.8953
