,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,2247628928,02/20/2018,3.0,"This book was a collection of around 3 years worth of articles by Jeremy Clarkson for a Newspaper in UK. And many of the articles are from continuous weeks. Clarkson is a funny guy and it shows in his observations but seeing how the articles were originally written between 2001 and 2003 and I read the book in 2018, it was already quite dated but still fun enough to read and finish.I liked it but since it's not a book in the traditional sense I could only finish couple of chapters at a time. If you wanna read some funny thought pieces go for this. Or go for some other book but keep on reading.People who don't read generally ask me my reasons for reading. Simply put I just love reading and so to that end I have made it my motto to just Keep on Reading. I love to read everything except for Self Help books but even those once in a while. I read almost all the genre but YA, Fantasy, Biographies are the most. My favorite series is, of course, Harry Potter but then there are many more books that I just adore. I have bookcases filled with books which are waiting to be read so can't stay and spend more time in this review, so remember I loved reading this and love reading more, you should also read what you love and then just Keep on Reading.",11,0.9962,0.0,0.787,0.213,0.6172857142857143,POSITIVE,0.9615
1,207277031,09/11/2011,5.0,"This was not intended as a book, it is a collection of articles written by Jeremy Clarkson for the Sunday Times. I often violently disagree with his viewpoint but he is tremendously entertaining and very funny. We need more commentators like him to stimulate public debate which is all too often stifled by the PC brigade afraid to offend anyone. Jeremy Clarkson doesn't care a hoot what you think, which is refreshing. ",6,0.6656,0.142,0.688,0.17,0.7380952380952381,POSITIVE,0.9989
2,1357639137,08/07/2015,1.0,"Things Jeremy Clarkson hates: women, lesbians, foreigners and effeminate footballers.Things Jeremy Clarkson likes: 70s prog rock, travel and Jeremy Clarkson.The most disjointed and dis-satisfying collection of short essays I've ever read. And I do mean short: at one point Clarkson mentions he's being paid to hit a set word limit, which explains why all the articles end abruptly and in most cases with non-sequiturs. ",6,-0.4005,0.082,0.877,0.042,0.5479166666666667,NEGATIVE,1.0
3,333966186,05/21/2012,2.0,"One thing should be made clear: Jeremy Clarkson is basically an internet troll in real life, i. e. he's to automotive journalism what the late Seth Putnam was to music. The only difference's a matter of subtlety.Since it hence follows that finding anything Clarkson says publically to be insightful is more or less the same thing as deriving your political views from the lyrics Seth Putnam wrote for his band Anal Cunt, how does a book entirely consisting of Mr. Clarkson's alleged opinions read?Not how I expected it to, that's for certain. Most of it basically comes across as the written-down rants of some drunken bar patron on various topics, but there's also assorted humourous anecdotes from working at the BBC and his usual ""make sarcastic comments about ugly sports cars by referring to national stereotypes about the countries they're made in"" shtick. Then, occasionally he'll suddenly write something that even I find to have some seriously worthwhile insight in it, and even stylish writing. The piece on his stay in Basque Country, for example, develops a ""Hunter Thompson for dummies"" feel. I don't know how he does it.The funniest thing about the book, though is something that I'm not even sure is intentional: At least a third, possibly even a half, of the articles concerned things nobody outside of Britain has likely ever heard of or will even ever want to care about... which makes the title decidedly ironic. How stereotypically British is that?",5,0.7292,0.066,0.848,0.086,0.4905856595511768,NEGATIVE,0.9992
4,1402866080,09/28/2015,2.0,"Lent to me by someone who said it was hilarious. Well, I did crack a smile a couple of times. Clarkson is that “Top Gear” guy on BBC TV; I watched for a few minutes once then switched him off. Here he is writing a column for the Sunday Times from 2001 to 2003, and these are mild diatribes about, oh, everything you would expect a slightly-right-of-centre guy to rant about if you stood him a pint in the pub. They are all exactly 3 ½ pages long, so he must have been held to a pretty tight word count, which might explain why so many lack any real punch-line. ",4,0.6728,0.046,0.857,0.097,0.4487012987012987,NEGATIVE,1.0
5,698117997,08/18/2013,5.0,"I would never thought that I will give this book a 5-star rating. But his humour is so brilliant, that I have to do this absurdity and put him on a shelf with 1984 or Pride and Prejudice. I think he would also laugh at this.",3,0.8718,0.064,0.68,0.256,0.55,POSITIVE,0.8606
6,989220463,07/07/2014,3.0,"From Top Gear's most entertaining presenter, this book collects a bunch of short pieces Jeremy Clarkson wrote for the paper.As an Ugly American, or at least an Average-Looking American, I'll say that there are definitely a lot of references I didn't really understand. I don't blame the book for that. I mean, we're talking about London cultural references from 2001. Even the U.S. equivalents probably wouldn't make a ton of sense to people around here. If I compared a politician from 2001 to Limp Bizkit, well, let's just not even take it any further.I wonder if Americans really are so bad about learning other cultures. Or, to put it differently, is this one of the few cases where it's not so much our fault?Consider:A Forbes article from 2013 pointed out that the U.S. is the only ""Advanced"" economy in the world that does not have any mandated paid vacation. Additionally, U.S. law does not enforce any holiday vacation while other ""advanced"" economies mandate between 5 and 13, these in addition to the required paid holidays.Apparently there are also 5 countries that pay HIGHER wages for vacation days to help offset expenses incurred while traveling. Consider Also:When it comes to sheer size, it's no small feat just to get across the U.S. In fact, if you lay Texas over Europe, you'll cover parts of France, Belgium, The Netherlands, Germany, Switzerland, the Czech Republic, Austria, Italy, and just a bit of Poland for good measure.Texas is a big-ass state, but it's only 8-10% of the entire U.S. landmass, depending on whether you count Alaska and Hawaii. I'm not trying to use the old argument that other countries are too far away. I don't know why they built Spain way the hell over there, but what's a fella to do?What I am trying to say is that, culturally, your traveling miles go a lot further in Europe than they do in the U.S. You can make your way to a lot of very different spots with their own, much older cultures while actually putting far fewer miles under your belt.Consider Finally: The Dollar is about .75 Euros. It's been this way or worse since I've been old enough to travel on my own.I'm not suggesting that any one of these factors should prevent Americans from exploring the world. When you consider, as is done in some of the book's last essays, how much easier travel has become with the rise of the jet engine, there's not much excuse....except when one considers that the average American is dealing with all three of these factors, at best. I feel pretty strongly that most of the people I know, most of whom are Americans AT LEAST as ugly as I am, would be happy to visit places outside the U.S. for extended periods. Given the opportunity, many, many would go. But I have to say, it limits the desire to learn about a culture when you'll only read about it in books and see brief glimpses on TV. It's tough to learn French when you figure you'll maybe get to Paris for four days sometime in your life. Or, [shudder] Canada.I feel The System, The Man, The Whatever It Is in America really lends itself to jumping on a plane for a few hours, spending two days a couple states away, somewhere that has beaches if you don't have those, or somewhere that has nice beaches if you have suck beaches, and then coming back after a long weekend. Anyway, for better or worse, Top Gear is my primary exposure to European culture at this point in my life. God help us all.",2,0.9588,0.058,0.851,0.091,0.4792351598173515,NEGATIVE,0.9976
7,2390302675,05/23/2018,4.0,"3.5 stars for The World According to Clarkson. I must say, reading this book took me what felt like a very long time to finish! I was shocked (and slightly disheartened) to find that it was only around 320 pages long (reading it on a Kindle meant I was totally oblivious to the page count). This book is, in a nutshell, a series of entries written by Clarkson which discuss his views on certain aspects of life! The reason I read this is because I watched the 20th anniversary of Millionaire hosted by Clarkson, and after absolutely LOVING it (and him!), it provoked me to buy one of his books. It is not a book I would typically read with my tastes but I thought I would give it a go nonetheless. Personally, I think my reactions to this book fall into three different stages!Stage 1I STARTED it and I began to really, really enjoy it. Jeremy Clarkson, whilst controversial, is an absolutely hilarious man and his honesty is incredibly contagious. A lot of his opinions I would completely NOT agree with but one can still read them knowing that they are in jest! Some other things he says, however, are (admittedly) 100% true and would do the world some good to be said. If nothing else, Clarkson encourages the reader go through life with open honesty.Additionally, the comedy levels in this are off the scale. Some chapters had me laughing less often than others...but those that WERE really funny had me guffawing. If you are in need of some light relief, this will be the book for you!Stage 2I was getting on for halfway through and I started to get a little bit bored. Even despite my disappointment at realising my ten days of reading were in fact only for a 320 page book, I still think this was too long. For me, it ended up getting a bit repetitive: NOT to the extent that I wasn’t enjoying the book anymore; just to the point where there would be some chapters I would only glance at. This doesn’t mean the book was any harder work! I was just chuckling and loving the chapters I did really enjoy, and skimming through the ones I didn’t.Stage 3Then RIGHT at the end (I had about another 25% to go), I decided to just go ahead and finish it so I skimmed through to the end. For this book, do not be afraid to skim through some parts! A lot of this book is full of wit and very worth it; however, whenever Jeremy Clarkson started talking about politics (for example), I completely zoned out. This isn’t particularly the fault of the book because, in general, there are few things which interest me less than politics; but it is undeniable that certain parts of this book were a lot LESS interesting than other parts. I will admit that getting to the end did require some pushing through as I felt that it had been going on for long enough. If this book had been shorter, I would have appreciated the GOOD chapters even more and been able to look on the book as a whole with a fresher, more positive light. There was a SMALL element of it getting all too much the same by the end.Yet I shall not be ending this review on a negative because I DID enjoy this book and I do think it has a lot of merit! Here are a few of my favourite quotes:(This is about people giving directions.)“...some launch immediately into a bunch of militaristic directions, involving clear, concise hand signals and bushy-topped trees at nine o’ clock. But that’s no help because you won’t be listening. It is a known medical fact, and it has been so since the dawn of time, that a man will hear the first word and then shut down.”“Why do I need to have a man poke about in my mouth with a sharpened screwdriver when I know that my teeth will last about 50,000 years longer than the rest of me?Nobody dies of tooth decay. It’s always some other part of the body that gives up, but despite this we don’t go to the doctor twice a year demanding a full service. Come on, doc, there’s nothing obviously wrong but I want you to examine every single bit of me minutely. I want X-rays and then I want to see your hygienist, who will spray jets of ice-cold grit up my backside.No, we go to the doctor only when something is wrong and that’s how it should be at the dentist.”“...there’s no such thing as an accident these days. If you trip over a paving stone or eat a dodgy piece of meat, there will be an enquiry, someone will be culpable, and steps will be taken to ensure it doesn’t happen again....Nobody is allowed to die either. George Carman QC, for instance, pegged out at the age of 71, which is not a bad innings. But oh no. His death has been chalked up to cancer as though it might have been avoided if he’d not eaten cheese and broccoli.” That above one, in particular, is very true! I have seen examples of this in my life before and I am sure many others have too.“The human being is programmed to take risks. Had our ancestors spent their days sitting around in caves, not daring to go outside, we’d still be there now....Telling us that speed kills and asking us to slow down is a bit like asking us to ignore gravity.”In other words, half of these precautions people set are pointless. Live life without worrying! Life’s too short to worry about the health defects of cheese and broccoli (quoting back the other point).“I have just finished a book by Philip Roth...it’s almost as though Roth rang the publishers and asked: ‘How long would you like my next novel to be?’ And when they said 250 pages, he said ‘Oh good, I’ve finished.’”In short, this is a brilliantly funny book which can teach you a lot of stuff to apply in life (and a lot of stuff NOT to apply in life!). My advice upon reading this book would be a) separate his jokes from what he ACTUALLY means, and b) don’t be afraid to skim through the marginally more uninteresting parts. Overall, however, thumbs up to this! Absolutely fantastic.",0,0.9983,0.075,0.775,0.15,0.471144657523162,NEGATIVE,0.9996
8,3542770375,09/17/2020,4.0,"After reading a bunch of dull books, this is just what the doctor ordered. I like Clarkson anyways which helps, he's funny enough to make a show about cars seem interesting and that's good enough for me!This is a collection of articles he wrote for the Sunday Times back in the early noughties. Made me chuckle a fair few times. Some articles were written as speculation, like what if Ebola got on a plane....switch Ebola for Coronavirus and were living it today. Makes me feel a bit funny when I read stuff like that!Don't read if you don't like Clarkson or are a bit of a snowflake, as you won't like this, you'll get triggered and upset yourself.If you have a sense of humor though, crack on!",2,0.978,0.038,0.717,0.245,0.5363636363636363,POSITIVE,0.9981
9,2183223160,11/19/2017,3.0,"This is collection of Jeremy Clarkson's Sunday Times columns from January 2001 to December 2003. Each one only amounts to about 4 pages in print, so it's very easy (and preferable) to read in small snippets.Most people seem to enjoy Clarkson on Top Gear, but his writing you either love or hate. It follows that same wise cracking style as on TV, but I found it can get a tad annoying if you read to much at one sitting. In these collected columns I think he manages to insult just about every nationality and ethnic group. He pokes fun at himself just as much, so the overall feeling on finishing this book was ""why are we all so stupid at times"" :)One for fans only I think. ",0,0.045,0.125,0.728,0.146,0.6132352941176471,NEGATIVE,0.9515
