,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,683655826,08/01/2013,5.0,"(A) 85% | ExtraordinaryNotes: It's a logical, captivating mystery where everything clicks into place. It gives backwoods Sweden a Transylvania feel.",817,0.0,0.0,1.0,0.0,0.625,POSITIVE,0.9997
1,2348402166,02/28/2021,5.0,I'm very late to this party but... best mystery I've read in a while!,644,0.8233,0.0,0.591,0.409,0.54,POSITIVE,0.9973
2,63222455,07/12/2009,1.0,"I really don't understand the critical orgasms over this book. Amazon pushed it on me for weeks, and the minute I stepped into Borders an employee ran over and recommended it. Thinking, this really better be the best book I've ever read, I took it up to the checkstand, where the register guy asked: ""Did one of our employees recommend this?"" Um, yeah. And Amazon, too. So of course I asked him why. ""Oh,"" he replied, ""we've been told to recommend it this week."" That should have tipped me off right there: recommendations handed down by management. Pfft. I hesitate to suggest a conspiracy, but - did someone end up with too many of these in a warehouse in Duluth? Did Oprah make a bet with someone that she could pull strings and make the most boring book in the world a best seller?But I am suckered in by numerous good reviews and a fairly interesting book jacket description, so I buy it and take it with me on a trip camping with my family. Of course it totally sucks. I'm kicking myself because I feel like I really should have known. But the reviews - ALL the reviews - are absolutely positive from generally reliable sources, so I just DO. NOT. UNDERSTAND.Here's why I don't like it: I am about a third of the way into it, and literally hundreds of characters have been introduced. NOT ONE of them has done anything interesting, so I am finding it nearly impossible to keep them straight. I am the type that will be more or less satisfied reading the back of a cereal box, but this is BAD. I mean bad. The mystery is dull. The who done it is more like a who cares. The two primary characters are so far not very likable at all - in fact, the review descriptions are more interesting than the book descriptions of them. I'm betting part of the problem is the translation, presumably - but god, there is just some boring writing in here, too. ""He went to the store. He bought milk. He was cold. He went home."" - BOR-RING! I am not really exaggerating, either. Actual content:""He put on a pot of coffee and made himself two sandwiches. He had not eaten a proper meal all day, but he was strangely uninterested in food. he offered the cat a piece of sausage and some liverwurst. After drinking the coffee, he took the cigarettes out of his jacket pocket and opened the pack.""Again, I'm willing to give the author the benefit of the doubt with the translating, but I wouldn't have gotten out of high school writing with that kind of boring and utterly pointless description. It sets the tone of ""lonely dude being lonely"" but really: two sandwiches? why two? sausage and liverwurst - fascinating.That's really just a page I opened to randomly - there is much worse. I am truly bitterly resentful of every minute I am stuck on the side of this mountain without a good book to read. I'm ready to browse the mini mart down the way and read the real estate magazines instead. Why have all the reviewers and Amazon steered me SO WRONG???I am not trying to insult anyone's taste - so please don't get mad about my opinion. But if you love this book, please - tell me WHY. What am I missing?",560,0.9869,0.106,0.732,0.163,0.5070176998926998,NEGATIVE,0.9998
3,2313414419,03/01/2018,4.0,"Buckle up. It's gonna be...a slow ride until about halfway through. Then it's hairpin turn after hairpin turn at breakneck speed. Whiplash.This book was a bit difficult to get into. Mikael Blomkvist (a journalist) is sentenced to jail for liable. He knows he's right. His team knows he's right. But they don't have enough evidence to overturn it. His magazine is about to go under and with this jail scandal....let's just say life isn't a bouquet of roses.Henrik Vanger - ex-head of the Vanger corporation - decides to hire Mikael for a special assignment: writing the family history. However, that is just a cover. His real job? Solve a decades-old murder of Henrik's favorite niece (Harriet). Mikael soon teams up with Lisbeth Salander. She's a hacker extraordinaire with her own, peculiar brand of justice. She's simply stunning and absolutely puts all other heroines to shame. An absolute motherfreaking badass.  Together, they discover far more than their wildest nightmares. NOTE: This was my third time through, and honestly...third time's the charm.Attempt 1: Eighth Grade. Read up until the financial scam and lost interest (DNF).Attempt 2: Learned that this was my grandfather's fave book. I wanted to have something in common with him so I reluctantly picked it up. I listened to the audiobook and became engrossed in the mystery but frequently lost track of who was who. I'm still glad I tried it because it gave me something to write to him about in the weekly letters.Attempt 3: It's been a bit over a year since my grandfather passed and I just felt like I needed to read it again.Reading this book for the third time just blew my mind. It's partly because I was constantly reminded of him and partially because I'm familiar enough with the plot/characters that I can pick up on all the things I missed earlier. It's been a bittersweet reread. The 2018 PopSugar Reading Challenge - Nordic NoirAudiobook CommentsRead by Simon Vance and he was just the absolute perfect voice for this book. Really, truly a great listen.YouTube | Blog | Instagram | Twitter | Facebook | Snapchat @miranda_reads",423,0.9689,0.059,0.826,0.115,0.5394300144300145,NEGATIVE,0.9786
4,2679310695,03/18/2019,4.0,"WARNING! This is going to be a long TED Talk because: 
I could talk about this book all day without breathing pauses and I’d still not finish everything I want to say about it.
4.45/5 ⭐ for this one because I couldn't convince myself to give it 5 stars, no idea why though.Full review on my Blog: The Dacian She-Wolf 🐺



“I’d reckon you’d bite off my hand if I laid a finger on you”.

As Dragan Armansky felt in that particular moment about Lisbeth Salander, I felt that about her the whole book. And I must say that I liked feeling that way about her. That means that she has some sort of wilderness in her personality that makes her so interesting, not only as a character but also as a possible real-life person.The Girl with the Dragon Tattoo made me ascend through different stages while reading it. I rarely find a book like this one, to make me feel all sorts of feelings towards it, from all the levels of human sensitivity in thinking. If I’d have to layer the stages of my process of reading this book, probably it would go like this:1)	Level 1: Confusion 	I was extremely confused with the beginning. I think I had to read it at least five times to actually get a grip of the story in the beginning. Maybe it is because I was briefly introduced in the middle of a scene with unknown characters and undiscovered plot. I don’t know, but I had a hard time with it anyway.2)	Level 2: Boredom 	I’ve had a hard time convincing myself that this book deserves to be read because of the epic state of boredom that I encountered. I spent two hours reading without stopping only to find out I’ve made only 4% progress (yes, I read it on my tablet because I don’t have enough finances to buy all the books I want and also survive as a student who is away from home and also likes to eat). I kept asking myself what was this bug of boredom that I had and then…it hit me. TOO MUCH ECONOMIC TALK. As a student at the Academy of Economic Studies, my interest should’ve been aroused. Even more – as I study Business Administration, all the business talk should be some delicious dessert for me. But NA-AH. I am bored enough by the countless hours of business terminology, ideology and any other –ology that shit implies, I don’t need to read about it in my spare time too. But hey, why not creeping some of that ish in my casual reading to keep the brain on its right track of self-destruction, ceteris paribus?3)	Level 3: Spark of interest 	After about 100 pages (I reckon even more) something started working for me. The mystery started to crawl at the surface so I could see and touch it and also expect more and more. Then, the author added some interesting family dirt (that I absolutely love, don’t judge me, I have a weird family too, amazingly weird, if I may add, but still weird) and also some World War 2 references (all these besides the actual mystery of Harriet Vagner’s disappearance and also possible murder). I don’t know what happened from that moment on, but it started being good. Like really good. It’s just…you can feel the mystery, especially because the book gives you almost 0.1 details about the possible murder. Your inner Miss Marple must be intrigued. Mine was for sure. 4)	Level 4: Outrage and disgust  	Since now, I haven’t talked much about the eponym of the book, right? Well, let me talk then. 
Lisbeth Salander
. And the surely nauseous manner in which she was treated. How do you expect anyone with at least a bit of empathy and humanity not to be OUTRAGED and DISGUSTED by the rape scenes which Lisbeth has been put through? It is absolutely indisputable, morally wrong and socially disgraceful. I am going to be very mean and very direct and I am going to ask a question: What level of psychical constipation do you need to have to pursue such an abominable act? Yeah, those passages made me very sick. And very sad. Truly. I felt nauseous after all. But then…5)	Level 5: ‘She’s a f-ing genius-arse boss and I’m here for it’ 	Lisbeth Salander is a bloody queen and you can’t make me change my mind even with an AK-47 glued on my temple. She’s ice cold, but she’s breathing fire. She’s the fool of the village, but she’s the hero of the nation. She’s invisible, but she’s not transparent. The way she seems not to care about anything that may interfere with her principles and also the way she cares about things but never speak them up is just so her, so part of the true individual she is, even though she might look unrealistic constructed. You do you, girl. You do you.The fact that, until the middle of the book, Salander and Blomkvist didn’t meet and also ‘the girl with the dragon tattoo’ was reduced only to a few scenes made me question my reading choice. I was on board only for Salander, because she captured my interest from the first time she appeared in scene. But then, Pippi Longstocking and Kalle Blomkvist merged together and gave life to this fabulous Swedish detective dream team and I was down for it. Talking about the characters of the book, the female characters were such badass women it felt so good reading about them (super businesswomen taking over multinational companies? Yeah, okay, sign me up). I couldn’t feel any real connection towards the male characters however, except for Mikael Blomkvist. Even though he is a lousy father and husband and he has some shaky ethics in life, he is definitely a good man by his nature. Yes, he has his own issues, but who doesn’t? Yes, he was having a not so secret love affair with his best friend and business partner, Erika Berger, but as long as they didn’t make a secret out of it and people in their lives accepted it, I can’t say that it is that punishable. And, also, because we are still on the topic: Erika Berger. I absolutely loved her. She is a witty businesswoman, with a lot of gut and a lot of cold blood to make decisions and to run her own world. She’s a strong woman who makes her own living out of her own life and enjoys it as it is, never letting anyone getting to her with some second-hand crap.But. The most important character of all, the one that I absolutely loved beyond any other character is…ladies and gentlemen…*drum rolls*…yes, you're right, Lisbeth Salander! I can’t tell you why I feel this way about Salander, but she was my absolute favourite since the very first moment I met her. The passive way that she adopted, the cold feelings that she spread, the taciturn nature and her absolutely killer mind just had me on board. Everyone saw Salander as a victim of society, but I felt that was wrong. I have never had that feeling about her. She always inspired me survival. She was a fighter by nature and fighters always survive. And this is how Salander made her way through life. Also, let’s be honest now, she has a killer T-Shirt taste, like seriously badass (see ‘Armageddon was yesterday, today we have a serious problem’ and ‘I can be a regular bitch. Just try me’).In conclusion, this book gave me such a hard time I cannot explain, but it was also a really good book that I might consider as one of my own personal favourites. Also, as a side note: has anyone notice how much coffee do those people drink?? Or is just me?All in all people, good reading! (Book-styled)",401,0.9918,0.107,0.763,0.13,0.62498224336639,NEGATIVE,0.9996
5,72364343,09/24/2009,4.0,"Women are raised to routinely fear rape.“If you go at night, take a friend.” “Check under the car and in your backseat before you get in.” “I’m just saying it’s a good idea to know where the exits are.” “I got you this whistle for your keychain, you know, just so you have it.” “You were an hour later than I thought you’d be! We called the police!” “Oh, that’s pepper spray; I keep it with me just in case.” “I just make sure I get my keys out and check for other weapons if I’m getting off work late.” “Is this weird? I live alone and I’m going running, so if I don’t call you by 11:15, call the police, okay?”A woman who fights back – no, a woman who argues at all – does so knowing it will probably make her a social pariah. “She’s just one of those women who makes life hell . . . like a Hillary Clinton type.” “You’re different; you’re not a ball buster like some girls.” “You know that rape accusations can destroy a man’s life, right? And when she said it, did you see how she looked? I mean . . .” “All girls do is complain and nag. Not you, of course – most girls.” “But it is really women who are the privileged ones to be covered and cared for by the man; all of the responsibility for decisions are on him.” “He didn’t mean it the way it sounded, so you'll just regret it if you tell him he's wrong.” “She never understood me, and now she’s making all of these claims and trying to take practically half of my paycheck. I think she was just in it for the money in the first place.” “All I said was she has a nice rack; what a bitch.” “That’s just life; make the best of it.” And there is good reason we are raised to fear rape, and raised not to fight back: survival. Women know that if we walk alone in the dark, statistically there is a good chance we will get raped. If we go to the wrong party, we’ll be raped. If we misread that boy next door and his swellness is a con, rape. And when a person is in a position of being systematically controlled, it often does cause more physical or emotional damage to fight back. It’s not right, but it is realistic. It seems to me like it is the equivalent of every man being raised that if he leaves the house at the wrong time, he might encounter a woman who will strip him naked, hold him down, and knee him in the balls while she masturbates. And then in this alternate universe, these boys find out, as they grow up, that most of the men they know have had that happen to them. And I’m not trying to minimize sexual assault experiences that involve little or no physical injury, nor am I trying to minimize sexual assaults against men: no one has the right to touch another person’s body without permission. I’m talking about the way women are raised to think of daily life. Women are not raised to be afraid we’re going to get a super hot BJ that we didn’t realize we wanted, which is sometimes how I feel people talk about rape accusations. We are raised to encounter our daily lives knowing that, even if violence wasn't in our past, violence probably is in our future. And every time someone says, “Don’t go alone,” it is a little reminder that a lot of men hate us.I have to say, though, that while I think it is realistic to say that women are raised to fear rape and to incorporate that fear of rape into our daily routine, and that sometimes fighting back makes things more dangerous, I do not believe it is effective to live in fear or to encourage women to live in fear or not defend ourselves. I think that perpetuates an idea that women are powerless, which then encourages women to freeze up when encountered with violence or even conflict. I think trusting our instincts and learning martial arts is probably more productive. And teaching men not to rape.That seems like the approach this book takes, though it more directly simply reflects, with appropriate outrage, on the levels of male contempt for women. And I think in that way, in the way it is directed to men, it is about how gross contempt for women is, whether it takes the form of self-absorption or sadism.This book is smart. It is symmetrical in its execution in many ways: in starting and ending with Blomkvist’s corporate corruption story, and in the way it shows men and women accused of race whoring, men and women subjected to violence. The juxtaposition of (view spoiler)[Salander’s rape with Blomkvist’s consensual sexual encounter with Cicilia (hide spoiler)] is really well played. It is viscerally grotesque in the contrast, and it highlights the theme of consent. It was physically difficult for me to read, especially in the contrast, and I thought that made it very effective.Salander’s character, too, is smart. She is both the outcast that women are when we fight back, and she is something of the misunderstood-bad-boy hero turned girl. I liked that. When she (view spoiler)[saves Blomkvist, it is all really vivid and heroic, but still corporeal and disgusting. I liked that Blomkvist couldn’t take charge because he was in too much shock, and that she truly saved his life (hide spoiler)]. It bothers me when a storyteller starts to let a girl save a guy, but really she only tosses him the gun to save himself. Salander gets some real action and some real credit, and it is satisfying. Ultimately, it is pretty clear, but not laughing in your face, just resigned, Larsson knows (view spoiler)[Blomkvist is a self-serving ass, too. It was so smart at the end when Blomkvist runs into his nemesis with a girl Salander’s age on his arm, and Blomkvist so despises him for it. I like how in the end our hero really isn’t our hero. He really has only used Salander, and how far is that from hating women? It is certainly not respectful (hide spoiler)]. The hatred we condemn in this book, though, manifests as violence, and I can get behind featuring that and then fading out to Cicilia’s father condemning her as a whore and Blomkvist’s blissful self-absorption. It is a meaningful gradation. But, it is important that (view spoiler)[Blomkvist isn’t the ideal model of men being friends with women because he would be too specific – because there probably isn’t an ideal model. Larsson doesn’t justify Blomkvist’s assholery, but he is not so in love with his hero that he can’t acknowledge it (hide spoiler)]. And, aren’t we all assholes to each other a lot of the time? But not all of us get off on kneeing each other in the balls.This struck me as a very masculine translation of male hatred of women and the way women navigate a world that tells us every time we turn a corner that it hates us. It seems like men either have considered what life would be like if they had been trained to fear leaving the house after dark, or they haven’t. And in my experience, it is difficult for men to understand a woman’s words if she tries to describe it, so I think it is important to have a man tell a story this way. I do see how the graphic descriptions of sadistic violence against women might allow a sadistic audience to read only for that, but the fact that Larsson balances this with graphic violence against men neutralizes the gender-hatred aspect of that to me. And if you are reading these books for the violence, see a psychiatrist, but I don’t think it is productive to censor descriptions of violence just because someone fucked up might get off on them. And if you think these descriptions are fantastical exaggerations, go spend some time at your local women’s shelter. Unfortunately, I think you will find you are wrong. And I don't think it does anybody any good to be afraid to tell these stories.I hated the writing in this book a lot. Like, I hated it a lot. It both hit a lot of pet peeves of mine and it was just objectively bad in a lot of places. I don’t have a problem with books being badly written if the writing doesn’t get in the way of a good story, but here the writing was waiving its hands in my face the whole time trying to get me to lose the story. The sandwiches! OH TEH SANDWICHES! I wonder how much tourism for Sweden Larsson drummed up by the sandwich descriptions. I hope none because gag. I can see how he created the effect of an investigatory report through the writing, so, I think it is intentionally the way it is, but it was a choice I did not enjoy at all. So, overall this was a very unpleasant book to read, but it was smart, and its smartness outweighed its unpleasantness in my evaluation.It is always kind of a funny experience to read your own words as someone else would write them. In every Willa Cather novel I have read, there has been a moment where I’ve read something and thought, “I just said that last week!!!” It was funny in Girl with the Dragon Tattoo: I wanted to high five Salander all the time because I would think her dialogue right before I read it. I imagine everyone in the world has told me to read this book because of the times I say, “Oh, another man who hates women.” Or that it is bullshit to say someone had a violent childhood, so of course he had to be violent against women as an adult. So, it was funny to read somebody else say those words. At the same time, Salander felt like a man recording the facts of what he saw a woman do and say once, not like a living, breathing human character. That doesn’t take away from the smartness of the book, but it is another reason my actual enjoyment factor was low.Also, I had to go buy pickles yesterday because reading about so many of them gave me a craving. I hope Larsson’s estate got some sponsorship money from the sandwich and pickle lobbies. ",384,-0.9993,0.174,0.71,0.115,0.5278216931216932,NEGATIVE,0.9997
6,34202200,09/30/2008,1.0,"Hey, kids, if you like books in which the only major descriptive moments happen during sexual torture scenes, where major characters lack motive, and where the red herrings...stink ... this book's for you!I may feel less strongly after a few days, but I am having a hard time believing this book has hit the best-seller lists in multiple countries.**Rant containing Mild Spoilers**Here are my complaints: 1. The entire book sets you up to think that the alleged killing/s were perpetrated by one or more people for complicated reasons. Spoiler: They're not. A murderer, at the climax, reveals, ""I like killing [people]."" That's the motive. That's it. 2. The title character has her macabre past detailed at length. The salient facts to the case - how did she come into possession of her detective-ing skills? - is left out entirely. Her emotional life is ignored until it's needed for a little plot development and then ignored again for a gazillion pages. She makes Kinsey Milhoney look like a guru of emotional awareness and self-knowledge.3. When a MAJOR DEVELOPMENT happens in the case, like, THE MAJOR DEVELOPMENT, we the readers hear about its resolution third hand. A reunion occurs and we are not privvy to it, even though it's REALLY IMPORTANT. That is LAME.4. Stop with the Mac commericials aleady. Is it possible that the well-financed campaign for this book had to do with the fact that the dead author couldn't object to selling Apple and Kawasaki shout-outs?5.The two plot lines are almost entirely unrelated. They don't even intersect, really; one segues into a second, and then, when the second is wrapped up entirely, the first plot returns to end with a whimper. 6. There is a Lot of torture-porn in this book. Did I mention that? Detailed description of sexual abuse, incest, and general nastiness that does nothing to advance the plot. Really. It just takes up space making you think there are reasons for the murders, but ...no, see #1. We listened to this on cd and I kept trying to forward and ending up on the absolute worst moments. Blech.7. Several passages written as an email conversation. It's like the author realized at a certain point that he was so bad at dialogue that he'd better just give it a rest for a while and instead use stilted telegraph talking. 8. This book was not fun or smart. I kept thinking it was about to be, but I was wrong.**End of Rant**",355,-0.9751,0.135,0.772,0.094,0.4863612836438923,NEGATIVE,1.0
7,82081764,12/26/2009,3.0,"After having leaped onto the bandwagon with the rest of everyone, I feel a certain amount of pretentious indie pride saying that I wasn't as awed by this book as everyone else apparently was. Which is not to say that the book wasn't enjoyable and exciting; it just didn't knock my socks off whilst simultaneously blowing my mind and rocking my world. (that sounds like either some great song lyrics or a very complicated sexual maneuver. Let's go with the first option.)So, the good stuff: the main story - a disgraced journalist is hired by a rich old man to write a book about said man's crazy rich family, while secretly working to discover truth behind the disappearance and supposed murder of the man's granddaughter. Also in play is Lisbeth Salander, a freelance investigator who also happens to be one of the best hackers in Sweden. She also happens to be made of awesome, but I'll get to that later. The journalist is investigating a supposed murder (a body was never found, so no one even knows what happened to the girl), so violence is expected. I just wasn't quite prepared for just how intensely graphic the violence is. There's a lot of stuff dealing with assault, rape, and murder of various women. There is also a lot of sex in the book, and the stuff that gets described in the most detail is definitely not consensual and will probably make you very uncomfortable. You've been warned. The investigation itself is pretty fascinating, implausible as it is that some random guy investigating a disappearance that took place 40 years ago was able to find out completely new leads that weren't found by the police or the girl's grandfather (who's been obsessing about the case since forever), but I digress. The family itself is equal parts interesting, creepy, and frustrating. It's not until the journalist (Blomkvist) teams up with Lisbeth that things get really interesting, and they made such a fun team I wanted them to get their own detective show. The book deals mainly with crimes against women and those who commit them. Larsson obviously feels very passionately about this subject, as well as what should be done with the men who assault women. Without giving anything away, rest assured that every bad guy rapist/murderer/whatever gets a large helping of tasty justice. And now for the bad stuff: -There's a lot of nattering on about business and computers and journalism and more business stuff that either bored me or went over my head completely. -Larsson cannot seem to decide whether he wants to refer to people by their last name or their first name, so he switches back and forth and it is confusing. -A family tree is provided at the beginning of the book, since the family the journalist is investigating (the Vangers) is pretty big, but I never had much trouble keeping everyone straight. A map of the island the family compound is located on would have been much more helpful, since I never really figured out the geography of the place. -Pointless details. I don't need to know what the characters ate for every single meal, I don't need to know exactly what model of computer/motorcycle/car a character uses, and I definitely don't need to know what each character is wearing at every moment of the day. Larsson is especially guilty of this when Lisbeth is concerned - I guess he decided we wouldn't understand what a unique counterculture tough chick she is unless we know that she's always wearing leather jackets, boots, torn jeans, and black t-shirts with angry slogans. (yes, Larsson actually tells us what each of Lisbeth's t-shirts says.) Listen, Stieg: Lisbeth is awesome. She is wonderfully defined simply through her own actions and thoughts - we don't even need the other characters constantly reminding us how antisocial and tough and uncommunicative and badass she is. Believe me, we can see that. Show don't tell etc. To sum up, I'm going to give the last word to the book itself, and quote a sentence that's actually a character talking about a book featured towards the end of the story - but it could easily describe Larsson's book:""It was uneven stylistically, and in places the writing was actually rather poor - there had been no time for any fine polishing - but the book was animated by a fury that no reader could help but notice."" That, in a nutshell, was how I felt about The Girl With the Dragon Tattoo.UPDATE: I just watched the film version of this book (the original Swedish one, thank you verra much), and am adding this to my ""the movie is better"" shelf. Not that the book isn't good; it's just that the movie streamlines the story and gets rid of everything I complained about earlier in this review. In the movie, all the minor characters and business-drama babble has been eliminated, Erika and Mikael's weird three-way relationship is thankfully unmentioned, Mikael never boffs Cecilia Vanger, and Noomi Rapace is so fucking cool as Lisbeth I can't even handle it. I'm also pretty sure they took some stuff from The Girl Who Played With Fire and put it in the movie, because there's some stuff about Lisbeth's past that I don't remember from the book. UPDATE UPDATE: Having now seen the American remake, and re-watched the Swedish version, I have come to a following decision. While the American version is, in a technical sense, a better movie (Fincher is a much better director - for just one example, the scene where Henrik Vanger explains the circumstances of Harriet's disappearance is a masterful example of show-don't-tell), I dislike the changes they made to the ending, and I simply cannot accept Rooney Mara as Lisbeth. Although I'm proud of Fincher & Co. for making her look and act as weird as the character should, something about her portrayal still wasn't right. If you're interested, this article explains pretty much every complaint I have about American Lisbeth.",317,0.9389,0.12,0.742,0.138,0.5286818884164018,NEGATIVE,0.9895
8,535179502,02/13/2013,5.0,"I re-read this book by audio and even though the narrator was good, he didn't do a good job on Lisbeth's voice. I wish that Noomi Rapace would have done her own voice. That would have been awesome. So, I have been a fan of this series for quite some time. I have the movie trilogy box set of the books that are fan freaking tastic! Although, now I have to switch from dvd to blu-ray! I also have a couple of different copies of the books! Lisbeth Salander is just freaking awesome. She's so bloody smart, I wish I was as smart as her and could be an awesome hacker like her too. Lol. I freaking loved when she got back at the b@stard who raped her as well. Wheewwwww, if only everyone could get that kind of revenge on their rapist. Oh, happy day! There are other things going on in the book but the main story line is about an uncle wanting to find out what happened to his niece, Harriet. He ends up hiring Mikael Blomkvist to find out what happened. Then Mikael gets lucky to have Lisbeth help him. Do these two find out some secrets! Mikael almost gets killed a time or two. Makes you wonder what all they are hiding! And of course, it's a big ole nasty secret. Why am I not surprised. It was just as hard to read about the second time around. Of course, there were other scenes that I had to skim through again, but I digress. If you haven't wandered into the world that is Lisbeth Salander, what are you waiting for? And try and watch the movie trilogy. They used to have it on Netflix, that is where I originally watched them and then went straight to Amazon to buy them. Yes, they are that good as well as the books. Happy Reading!Mel ❤️",293,0.9674,0.093,0.74,0.168,0.6546466973886329,POSITIVE,0.9983
9,54461951,04/30/2009,4.0,"The original Swedish title of this book is ""Men Who Hate Women."" If you ask me, it suits this story much better than catchier but less relevant ""The Girl with the Dragon Tattoo,"" because it is in fact about men doing all kinds of horrid things to women. So here is the first warning to you, if you don't handle violence against women and children well, skip this novel. It's hard to give a short synopsis of the book. ""The Girl with the Dragon Tattoo"" starts off as an investigation of a 40-year old disappearance of a teenage heiress, but gradually morphs into a tale of serial murder and corporate trickery spanning several continents and later takes in complicated international financial fraud and the buried evil past of a wealthy Swedish industrial family.I found this book extremely engaging and full of action and came to regret many times that I had an audio version instead of a regular paper book. I also enjoyed immensely the amount details about everything - the publishing business, twisted Swedish family, corporate crime, history and political order of Sweden, etc. I am guessing if you don't care to read about any of this subjects, this book is not for you, because it is packed with this information.My only qualm about this book, a small one, was the characterization. The character of Mikael Blomkvist smelled of a male wish fulfillment fantasy, the one where a man is adored by all women, gets laid all the time and always gets lauded for his stellar bedroom skills. Lisbeth Salander also felt a little shaky and I thought Asberger's decease didn't quite account for her strange personality. I thought her antisocial behavior was inconsistent. This however didn't spoil my reading experience. I am eager to move on to ""The Girl Who Played with Fire"" and see what Mikael and Lisbeth are up to next. ",266,-0.9425,0.142,0.752,0.106,0.4153672903672903,POSITIVE,0.998
