,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,38701159,11/26/2008,1.0,"The story piqued my interest and the book came recommended from my sister. What a disappointment. First of all, Marlo Morgan's claims are way off kilter. Secondly, her writing is as good as mine was in the third grade. I do give her points for trying to convey peaceful, happy, self-centering messages, but overall the book is a flop.After reading the book I researched Marlo Morgan and found out that she merely worked for four months in a pharmacy in Queensland, came back to the United States and started selling Melaleuca, a tea tree oil based product. She began supplementing and boosting her sales by handing out manuscripts of her ""experiences"" with Aboriginals and the healing powers of tea tree oil. I think she merely found a way to make big bucks on a hugely fabricated story.",32,0.91,0.015,0.857,0.127,0.3602564102564102,NEGATIVE,1.0
1,8665028,11/04/2007,,"This book is one of the most offensive pieces of tripe I have ever read. Apart from being appallingly written, her white cultural superiority is difficult to ignore and her misappropriation and lies about the culture and heritage of Australian Indigenous people is horrifying. Her romanticism of a proud culture is nauseating and if anything, only serves to perpetuate the orientalist myth of 'other'.Ignore this book and any other books she may have written giving 'insight' into Australian Indigenous ways of life. What a fraud....",32,-0.7713,0.176,0.714,0.11,0.5208333333333334,NEGATIVE,1.0
2,32931083,09/15/2008,5.0,"I have read this book three times in my life. The first time I had no expectations. With the second and third (this time) reading I had the thought that the book would be stupid and hokey. But oh man, I love it. It totally makes me want to clean out my house and get rid of all my stuff so that I can just enjoy life and the moment. The author gets semi-kidnapped by some Australian Aborigines. They go on walk-about across the Outback. I feel my skin getting pink and sunburny just thinking about it!The people in the book ate giant spiders at one point. They were very thankful to the universe for that gift of nourishment. The same morning that I read that chapter, I saw a giant spider in my bathroom. I have some spider traps. They are cardboard with SUPER sticky goo on one side. The package said that it could catch not just spiders, but also snakes. I don’t have a snake problem in my house, but now I know for sure that I never will. So the spiders (or snakes) run (slither) onto the goo and get stuck. So this morning, I found the spider and I got all freaked out and herded the spider into the trap. He was obviously trying to run away from me, the big evil giant, and rightly so because I was indeed trying to kill him (her?). Thinking about the aborigines made me feel super ungrateful, so I ate the spider to make up for it. Ok, no, I didn’t eat the spider. But I feel real bad about it. I can’t get him off the sticky stuff without breaking his legs or touching him. Breaking his legs=bad for him. Touching him=bad for me. So, I have to let him die. That way at least one of us (me) comes out ahead. Maybe I should catch some fruit flies and feed him so that he doesn’t starve to death. Maybe I could feed him until he just died of spider-old-age. How long do you think that would be? ",29,-0.9902,0.152,0.781,0.068,0.5452239229024943,POSITIVE,0.7962
3,327080325,05/09/2012,,"I just got an unpleasant education. After seeing reviews here stating this book is full of untruths and misrepresentations of the Aboriginal people, I cruised the web in search of more information. I discovered that this book is anything but a harmless fantasy story. Though published as a novel, the wording of the author's note is designed to lead the reader to think the content of the book is representative of Aboriginals and their lives and culture. The half-truths and outright lies in this book have greatly angered and offended the peoples of the Dumbartung Aboriginal Corporation and other communities throughout Australia. Marlo Morgan condescends, lies about, and violates the sacred laws of the Aboriginal people in the name of making money on her book.I am ashamed to admit I liked this book a lot when I first read it about ten years ago. I'm quite annoyed now and though I will give the book a re-read if only for the purpose of judging its merit as a work of fiction and to pick out the condescensions, stereotypes, misinformation and factual inaccuracies within.More information can be found here: http://www.stelling.nl/simpos/marlo.htm",20,-0.9616,0.154,0.775,0.071,0.6158333333333333,NEGATIVE,0.9997
4,68287261,08/20/2009,1.0,"I was uneasy about this book. I've spent a lot of time researching Australian Aboriginal cultures, and there were a lot of things described in this book that seemed fabricated. It really reminded me of Kabul Beauty School. The things that I learned from the book I was surprised about so I looked them up and found them to be inaccurate.The book has been rejected by the Australian Aborigines as an offensive and misleading book and Marlo Morgan has admitted that the story is fictional. Yet, the book is still being published and there is nothing within that proclaims it to be fictional. Instead it is labeled as a memoir of her experiences. Please don't read the book...it is just misleading. I'd recommend Bruce Chatwin's Songlines or Rabbit Proof Fence (2002 film) for entertaining and enlightening information on Australian Aborigines. Otherwise there are several excellent texts that provide much more accurate information. ",18,0.7579,0.085,0.785,0.13,0.3788888888888889,NEGATIVE,1.0
5,31113317,08/24/2008,1.0,"This is a piece of complete bilge, a gross and grotesquely offensive attempt to misrepresent Australian Aboriginal culture. To call it a load of bollocks would be excessively polite. Please refer to http://dumbartung.org.au/ and follow the links, to find out what real Australian Aborigines think of this rubbish.",18,-0.5859,0.121,0.833,0.046,0.3999999999999999,NEGATIVE,1.0
6,6794336,09/25/2007,1.0,"this might be the worst book ever written. I know that it was somewhat controversial due to its content, but to be completely honest I couldn't even be bothered with the content. I've seen essays written by 5th graders with more of a grasp on English grammar. The poor writing quality was too much to get past so the content didn't even matter. I hardly even put a book down before it's finished... I made an exception for this one though! yuck.",17,0.1431,0.108,0.807,0.085,0.5095959595959596,NEGATIVE,1.0
7,227259089,10/25/2011,1.0,"For this review I will disregard the fact that the journey with the Aborigines described by Marlo Morgan has been questioned a lot and may not have happened at all. (Although, if you want to read this, which I strongly suggest you don't do, please take note of the controversy surrounding this book!)In fact, I might even have just given four stars and pointed that fact out to you, if the book had been good. The trouble is, Mutant Message Down Under isn't good. It is far, far from good. One thing that really annoyed me was the protagonist herself. If you plan to work in Australia for at least a few months, if not years, you've never thought of picking up a book about Australian history and the Aborigines before? Really?If you think about helping young people to get off the streets, you then offer to teach them about businesses? As a doctor who is struggling to sell her own theories? Really?If you have worked with young Aborigines before, and you then get invited to another Aboriginal tribe, you think it would impress them if you wore a brand new peach coloured costume with matching high-heels? Seriously???If you can overlook these things (and really, it is quite hard to do), you are then confronted with a storytelling structure that doesn't exist, and a style of writing that is in parts unreadable. However, it gets worse. That is, unless you love to read every selfhelp book there is, even the really bad ones. And don't mind reading every random and general advice over and over again. One would have thought that, having travelled with people of such eye-opening wisdom and naming herself a travelling tongue, Marlo Morgan should have been able to describe which wonderful experiences and thoughts led her to beliefs such as ""You shouldn't hide yourself from the world"" or ""It is important to look for the harmony within"" or even ""Don't put so much importance on things, look toward people and emotions instead"". But no. Every short chapter has at least five of these (rather obvious) advices, and no explanation how her understanding, if she did indeed get it, came about. Then again, perhaps I shouldn't have expected that much after ""The coastal cities are very modern, with Hilton, Holiday Inn and Ramada Hotels"" ... ",14,0.9275,0.068,0.833,0.098,0.5200028860028858,NEGATIVE,1.0
8,457245225,11/16/2012,1.0,"i wish i could give zero stars, but i think i have to give 1 star to pull down the average rating of this book.my assessment of the book on it's own: it will make you think about the impact of materialism on modern life and hapiness if you can get past the author's simple voice and (i think unintentional) racisim. (fyi, people whose parents come from different ethnicities do not like to be called half-breeds or half-caste, and that is just the tip of the iceberg.)my assessment of the book in the context that it is published as a novel but states repeatedly that the ""fiction"" claim is only for legal protection, and it was originally self-published as non-fiction: if this is the context, then i think validity is important. can it hold up as a non-ficiton account of an aboriginal tribe living in australia during the 1990s? absolutely not. please see:- the reports of the dumbartung group specifically concerning this book (http://dumbartung.org.au/)- the dumbartung aboriginal corporation's main website (http://www.dumbartungaboriginalcorpor...)- articles written by jon carroll for the san francisco chronicle about the book and unravelling of the hoax (http://www.sfgate.com/entertainment/c...)final note: if you do read the book to think about big ideas, ponder the amount of money that the author has made from selling the publishing rights, the movie rights, and from writing follow up books. see if you can find a record of the amount of money she has given to aboriginal groups. (sf chronicle mentions a $100 check in 1996.)",13,-0.1092,0.032,0.933,0.035,0.5342403628117914,NEGATIVE,1.0
9,10101876,12/07/2007,5.0,"This book changed my life. When I read this book, I couldn't put it down. I wanted to become an aboriginal person and learn how to live peacefully within the world. It blew my mind to think of a world without disease. This book opened up the possibility of what life could be, one where life did not constantly revolve around the next fear to conquer. Relaxing into the flow of the universe, I learned that all is truly well. ",12,0.8126,0.038,0.825,0.137,0.3244444444444444,POSITIVE,0.998
