,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,217861118,10/01/2011,4.0,"4.25This was the first Sophie Kinsella book I ever read and it will remain my favourite. My mum actually picked this up for me, because she liked the blurb on the back. She would never read this sort of book; she is into China Meavile, Dan Simmons and Stephen King. Not the sort of stuff I read... At first, I was hesitant, but I started reading this in the car on the way home and it was addictive. I just could not stop; this book is romantic, moving with just the right amount of funny (it had a few of those major laugh out loud, cover mouth with fist moments). Overall, it was a really good read.Characters: 9/10All just hilarious, even the ones I hated had some really funny lines. And the way Samantha talks about them. Priceless.Writing: 7/10It’s chick-lit for goodness sake. It was easy to read and took no brain cells whatsoever.  Plot: 9/10Interesting, quite original, moves at the perfect pace with the perfect twists along the way. It has an ending that you would expect but not expect at the same time.Does that make sense? Oh well. Moving on...Enjoy-ability: 9/10A very fun read.",109,0.9939,0.043,0.717,0.241,0.5529464285714285,POSITIVE,0.9999
1,4308459804,10/26/2021,4.0,"The Undomestic Goddess, Sophie Kinsella The story of a stressed-out lawyer Samantha Sweeting has just done the unthinkable. She’s made a mistake so huge, it’ll wreck any chance of a partnership.Going into utter meltdown, she walks out of her London office, gets on a train, and ends up in the middle of nowhere. Asking for directions at a big, beautiful house, she’s mistaken for an interviewee and finds herself being offered a job as housekeeper.تاریخ نخستین خوانش روز بیست و هفتم ماه اکتبر سال2020میلادیعنوان: ناکدبانو؛ نویسنده: سوفی کینسلا؛ مترجم روناک احمدی‌آهنگر؛ ویراستار الناز فرحناکیان؛ تهران، نشر نون، سال1398؛ در376ص؛ شابک9786007141212؛ موضوع داستانهای نویسندگان بریتانیا - سده 21معنوان: ناکدبانو؛ نویسنده: سوفی کینسلا؛ مترجم روناک احمدی‌آهنگر؛ ویراستار محمد قبا؛ تهران، نشر نون؛ سال1400؛ در384ص؛ شابک9786007141212؛در «ناکدبانو» با یک رمان دل انگیز همسو هستیم؛ «سامانتا سوییتینگ» وکیلی باهوش، جسور و پراستعداد است، که نمی‌داند چگونه تخم‌مرغ را آب‌پز کند یا ماشین لباسشویی را راه ‌بیندازد؛ تنها چیزی که برای او اهمیت دارد کارش است ...؛نقل از متن: (- از نظر خودتان، شما دچار استرسید؟ نه، من اصلاً استرس ندارم؛ من...، سرم شلوغه؛ خیلی‌ها هستن که سرشون شلوغه؛ من یه شغل خیلی پر اهمیت دارم، کسب و کارم برام خیلی مهمه، و ازش لذت می‌برم؛ باشه، خب بعضی وقت‌ها یه‌کمی احساس تنش می‌کنم؛ من یه وکیلم، اونم توی لندن؛ چه انتظاری می‌شه داشت؟ اون‌قدر با فشار دارم می‌نویسم که کاغذ پاره شده؛ لعنت بهش؛ بی‌خیال؛ بریم سراغ سئوال بعدی؛ - به‌طور متوسط، چند ساعت از شبانه‌روز را در دفتر کار خود سپری می‌کنید؟)؛ پایانتاریخ بهنگام رسانی 05/08/1400هجری خورشیدی؛ ا. شربیانی",72,0.209,0.032,0.933,0.035,0.6857142857142858,NEGATIVE,0.9447
2,1794000507,10/25/2016,4.0,"At first, the concept was so ridiculous, I wasn't sure I would even like the book. But Sophie Kinsella skillfully made it seem plausible. The story of a stressed-out lawyer, stripped of her job and accidentally ending up in the unlikely position of a housekeeper for a nouveau riche couple at a country estate, was very entertaining. In “The Undomestic Goddess”, Kinsella obviously spent some quality time studying not only international finance, but corporate law and commercial cooking as well . I also bet that she looked into some really excellent scams, and spent a bit of time with some professional housekeepers. Few professors could have made the subject understandable much less as engrossing and enjoyable as Ms. Kinsella has. Samantha, a whiz kid corporate lawyer -- when faced with making coffee, toast and eggs Benedict -- is totally flummoxed. Poor girl! I giggled at her sallies into the laundry room, baking catastrophes, bed making disasters.... the situation is glorious! I just love it when the know-it-all gets her comeuppance. It can only make for a hilarious tale as she embarks on her new journey that leads to love, self-discovery, and peace.The first half was fairly obnoxious. I don't really know why I kept reading, but I'm glad I did. The second half, once Samantha began to get a little bit of control in her life, became quite enjoyable. Of course, when your weekends and evenings are suddenly free, romance can’t be far behind. In ""Northanger Abbey"", Jane Austen quoted Samuel Richardson’s straight forward romancing rule: ""It must be very improper that a young lady should dream of a gentleman before the gentleman is first known to have dreamt of her."" Samantha, of course in true Catherine Morland fashion, fails to follows Austen's very sensible advice much to the benefit of the story. Kinsella seems to imply that just being a woman is a pretty good deal, and being a woman who has attracted the love of a decent man is really a great deal! The story could be a bit extreme, and there is little reality to how this could happen. But I don’t really care! The characters are rich and warm, and I want to meet them in real life. I did enjoy this book very much. I found myself chuckling and saying ""Oh no!"" at all the right places. It’s a light read which we all need from time to time. I was a bit disappointed with the ending, but it wasn't anything major. I just had a different vision of what she might have done. But otherwise I thought it was a good read, and brings you back to recognize what is important in life.",65,0.9987,0.052,0.705,0.243,0.5132227739580681,POSITIVE,0.6714
3,4486778506,01/22/2022,2.0,"Over achieving high powered lawyer Sam has a spectacular fall from grace and in the calamitous tines that ensues, ends up being sort of accidently hired as a housekeeper… there's just the slight problem that she has no idea how to cook, clean, iron etc. A typical 'chic-lit' Noughties read with the added bonus of Kinsella's superior plotting and good instinct for comedy.This is my third Kinsella read in as many months and I feel her formula of taking romantic comedy tropes and adding solid story lines, modern professional women and some great humour works for me; although the downside for me is all the banal romance and will they-won't they stuff that took so many pages of this book. 5 out of 12.2022 read",65,0.9779,0.047,0.727,0.226,0.4722916666666666,POSITIVE,0.6146
4,272053234,02/03/2012,3.0,"After reading several books by Kinsella, the only major complaint I have is that the endings are extremely unsatisfying. She builds up the character development and story so, so well, only to have it all end just shy of the perfect HEA. The first thought I usually have after finishing her books is, ""Wait, what? That's it?"" More than in Kinsella's other novels, this factor is impossible to ignore in The Undomestic Goddess. Samantha comes a long way from being a lawyer-zombie to a content housekeeper, but that change isn't really explored as much as I would have expected. It's like as soon as SK decided she'd placed her characters exactly where she wanted, she lost all interest in finishing their story properly.In addition, Nathaniel should have played a bigger role in the book. Honestly, I felt a little cheated by the ""romance"". All the hints are there, but most of the scenes between the two MCs are simply skimmed over and told in retrospect. Overall, I liked reading The Undomestic Goddess, but I would have enjoyed it a lot more if there had been more story and less narration. This book doesn't leave any lasting impression, but it's still a fun read as long as you keep your hopes low.2.75/5 starsFor more reviews, visit my blog.",59,0.9821,0.05,0.786,0.164,0.4706709956709956,NEGATIVE,1.0
5,1292877993,05/29/2015,2.0,"1.5 stars - SpoilersThe worst Kinsella book I've read so far, it wasn't totally awful but it was pretty bad. The story was even more far-fetched and the main character even more daft than the other Kinsella heroines combined. The heroine (Samantha) was meant to be an Oxbridge educated lawyer with years of experience in the best law firm in the country, yet somehow she read more like a grade A idiot. I don't know why authors bother giving their main characters high IQ's and super smart careers when they can only portray them as complete thickos who can barely string a sentence together. -Really liked Trish and Eddie Geiger, they were such fun characters. I loved the way they bossed Samantha about and how they interacted with each other, they were pretty hilarious. I also quite liked Nathaniel, he was a normal, down to earth sort of guy instead of the usual rich, brooding, millionaire love interest.-How on earth do you accidentally become a housekeeper? Samantha lost her job at her law firm and took a random train to the middle of nowhere, she then knocked on a random house and acted weird and somehow that magically landed her a housekeeper job in a fancy mansion with a millionaire couple. Yea, right. She also got to stay in said mansion overnight after a two minute interview in which she acted like a nutter. Yea, because that seems likely.-Why would Samantha run away from her job? Sure, she thought she made a huge mistake costing her firm fifty million quid, but she was supposed to be a highly trained professional with years of education and training, and who worked well under high pressure and was ultra responsible and had a brilliant mind and work ethic. Yet she ran away like some sort of scared naive wet behind the ears idiot. Why would someone so hard working and responsible just ditch everything at the first sign of trouble? Why wouldn't she question everything? Why wouldn't she stay to investigate and defend herself? She worked all her life to be a top tier lawyer so why wouldn't she stay and fight for her career and reputation? It was all so nonsensical.-For a high flying lawyer Samantha sure was an idiot and a half. She couldn't follow basic recipes and cooking instructions without turning the kitchen into a bloody war zone. She even struggled with slicing bread and was unable to make a jam sandwich and hard boiled eggs (the silly cow put them in the microwave?!). She didn't even know how to iron without burning everything or wipe surfaces without making things worse. It was beyond ridiculous. Yes, not everyone knows how to cook well or do certain chores, but who the hell can't boil an egg or make a jam sandwich or wipe a surface?! I'm guessing Samantha's incompetence was meant to be funny or cute or something, but it was none of those things, it was plain stupid.-How was it Samantha was so unable to hold simple conversations? A top shot lawyer should at the very least be able to hold moderately intelligent conversations. Yet half the time Samantha just stuttered and mumbled and muttered her way through things. Also, when she found out she'd been set up at work and came across suspicious evidence that pointed to another colleague (Arnold) committing fraud, the silly cow couldn't confront him or make a convincing argument against him without looking like a demented psycho dumbo loser. She was meant to be a genius lawyer who regularly talked her way through all sorts of tricky situations and dealings yet when she confronted Arnold all she was capable of doing was stomping her feet and pouting, she did nothing to defend her reputation, she just talked rubbish. It didn't even occur to her to bring up the fact that Arnold had strong family connections to the company that took that 50 million. Ugh, she was the most unconvincing lawyer character in the fictional world ever. -Why was Samantha always yelling or mumbling or pouting? Would an experienced, professional lawyer really talk like that? I swear Samantha came across more like a belligerent child than anything else.-According to The Undomestic Goddess women can't have a glittering career and a fulfilling personal life at the same time. It's either one or the other. -So Samantha gave up her career and a chance of a lifetime to be a partner in a top law firm all so she could run off to Cornwall with a guy she'd known for a few months? I mean, she only worked her whole bloody life to achieve that level of success, it was her one ambition and dream but all that got thrown out the window because she was in lurve, and working as a lawyer was just too gosh darn difficult for her tiny woman brain. Ugh.If it hadn't been for the secondary characters, I don't think I would have been able to finish this. Even for a chick lit book, it was beyond ridiculous. ",58,0.9946,0.121,0.706,0.173,0.5691392789309453,NEGATIVE,1.0
6,223052262,10/13/2011,4.0,"This story is about a 20-something, workaholic lawyer named Samantha. Sam leaves her job after making a huge mistake that costs her firm millions of dollars. She has put her whole life into this job, trying to become partner, and now it's over. She has a major meltdown, and ends up miles from home in the middle of nowhere working as a maid to a family that doesn't know anything about her true identity. She also doesn't know anything at all about being a maid as you can probably guess by the title. This makes for an interesting hilarious ride. At one point she has no idea how to use an iron and tells her boss that she can't figure it out because she's ""far more used to working with a Nimbus 2000"" These little comments pop up everywhere making the book fly by and making you really root for this poor girl who hasn't got a clue. A bit predictable, but I don't read her books thinking I'm going to be digging into a literary masterpiece. The romance was cute, but there really wasn't much of it. Nothing but fun and laughter all the way through. Sam was an extremely fun character to read about. She's funny, smart, and can really think quick on her feet. She shows genuine signs of maturity and growth throughout this quick read.I really liked how the ultimate message was delivered, though. In the end Sam has to take a look at her life and really figure out what is important, and what isn't. Perhaps you are putting too much effort into something that gives nothing back. This was my first book from Sophie Kinsella, but I will definitely read more of her books. Her humor is fresh, and if you go into this book solely expecting a light-hearted, fun read I think you will enjoy it.Recommended to all of Sohpie Kinsella's fans, and all chick-lit lovers. She is the queen of comedy!3.5/5 Stars",53,0.9933,0.044,0.789,0.167,0.5131547619047617,POSITIVE,0.9971
7,1105940655,11/14/2014,4.0,"I look along the endless line, squinting in the sunshine. I’m twenty-nine years old. I can go anywhere. Do anything. Be anyone I like. “There’s no rush,” I say at last, and reach up to kiss him again. Excellent, funny, cute, sweet, romantic, fun...another great Kinsella book!",42,0.9778,0.035,0.504,0.461,0.6574074074074074,POSITIVE,0.9998
8,2662631916,01/10/2019,3.0,"This was my second book from Sophie Kinsella, and I enjoyed it. It was a fun book, but I didn't laugh loud, just smiled.The plot was unbelievable. Samantha is a very talented lawyer, but she makes a mistake, and run away.She knocks on a stranger's door for a glass of water, and next morning she wakes up like a housekeeper, because she accepted a job. Really? No way.She can't cook, can't clean... She can't even boil an egg. But she learns everything immediately. It's very far-fetched. The ending was very disappointing. (view spoiler)[A workaholic, well known lawyer stays in a rich family as a housekeeper.  (hide spoiler)] No. NO. NO.All characters were very cliché. Okay, I see. It's just a romantic, fluffy, chic lit novel.It was a really average book, I wasn't into the story but it was still fine. I recommend to anyone, who want a light, silly book, and that's it.AudiobookThe performance was super entertaining. I really enjoyed the narrator voice, she speaks very clearly. I suggest you listen to the audiobook instead of reading the book.",41,0.9876,0.102,0.623,0.275,0.5359999999999999,NEGATIVE,1.0
9,2543469750,09/27/2018,5.0,"The Undomestic Goddess by Sophie Kinsella is a standalone contemporary romance that is typical of the author's style, quite humorous and a bit over the top. Samantha Sweeting is a lawyer who knows nothing other than her job. Working every day of the week for seven years trying to make partner Samantha strives for perfection.One day though just as she is about to be named a partner in the firm Samantha comes across a paper on her desk that did not get filed in time costing a client 50 million. Samantha doesn't make mistakes but this time she did and she doesn't know how to face the consequences.Needing time to think Samantha jumps on the nearest train and heads away from the fallout that is sure to come from her costly error. Not knowing where she's ended up Samantha knocks on the nearest door and finds herself mistaken for someone applying for the job as housekeeper. Instead of correcting the mistake Samantha stays on until she hears word from her job.I have to admit the believability factor on this one is pretty low with a high powered attorney ending up cooking and cleaning but that's also what makes it so much fun. Very much a comedy of errors from the one mistake it snowballs into so much more that you can't help but chuckle and laugh along. The story then becomes a romance and looks at just what could/should or would make someone happy. A fun read from start to finish.For more reviews please visit https://carriesbookreviews.com/",40,0.9714,0.088,0.753,0.159,0.4959150326797386,POSITIVE,0.9576
