,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,158264165,04/01/2011,3.0,"So...I really wanted to dislike this book. I was determined not to allow myself to be one of ""those girls."" You know...the ones who plan ladies night out to watch Sex and the City. I've never had a desire to read Bridget Jones' Diary or The Devil Wears Prada (although I do hate to admit that I actually liked Devil as a movie) I mean, it's Chick Lit. Fluff without the smut. What fun is that?Turns out, it's more fun than I was expecting. The book started out in such a way that I was expecting to give up before making it past a few chapters. I practically sighed with exasperation over the flighty, bumbling, office girl who embarrasses herself in front of her boss without knowing who he is. The thoughts in my head were practically burning a hole in the Nook. No, I don't care about what crappy fashion you're wearing to the office. No, I don't care that you're really a size 12 but tell people you're an 8. No, I don't care that you have a lame ass boyfriend who listens to jazz and likes bad movies.Just as I was about to hit ""delete"" and ditch the book from my ereader, something happened. I started laughing. A LOT. Not the polite little giggly ""oh that's cute"" type of laughter. The snorting, choking, oh-my-god I'm dying laughter. My husband even looked up from his zombie like trance mid-video-game to give me a wtf? look.It took several chapters for me to warm up to the book and truth be told, if I hadn't promised myself that I wanted to finish at least one chick lit book just to say that I had given the genre a shot, I would have quit out before getting to the part where it started to get good. Once I got past the mediocre parts revolving around the main character's office and family life, and got into the part where she was spending most of her time trying to figure out how to make a relationship with her boss work, I was along for the ride. It was quite the fun ride, too. I was pleasantly surprised.Will I continue to read chick lit after this? Hmmm...I don't know. This book was fun and I'm completely glad that I read it, but I still am not fond of the office girl/modern day girl formula that seems to be pretty big in this genre. Even with as funny as this book was, I've browsed some reviews for the author's books and it looks like she tends to stick with a similar subject matter for most of her books.",252,0.9638,0.117,0.734,0.149,0.5182142857142856,NEGATIVE,0.9256
1,2885149646,07/06/2019,5.0,"How hard is it to keep your deepest, darkest secrets, especially if you think you are about to die? Well for poor Emma, it seems to be quite hard. Emma is in an airplane which is being tossed about in heavy turbulence, and when pure panic seizes her, she bursts out to the stranger sitting beside her ... 
”...We’re not going to make it. I know we’re not. This is it. I’m twenty-five years old. I’m not ready. I haven’t achieved anything. I’ve never had children, I’ve never saved a life ... I haven’t gotten a tattoo. I don’t even know if I have a G spot ... ”I’m sorry?” says the man, sounding taken aback. ”My career’s a complete joke. I’m not a top businesswoman at all. I haven’t got a team. I’m just a crappy assistant and I just had my first ever big meeting and it was a complete disaster. Half the time I haven’t a clue what people are talking about, I don’t know what logistical means, I’m never going to get promoted, and I owe my dad four thousand quid, and I’ve never really been in love...”
The above quotes are only a sampling of the litany of hilarious confessions and secrets she spills, but unbeknownst to Emma, she had a meltdown in front of Jack Harper, who happens to be the co-founder of the marketing company she works for in London. Jack had just flown in from America to visit with his employees. Three days later when they meet face to face once again, this time in her office, Emma is mortified and hopes upon hope he doesn’t remember her from the plane flight, but no such luck. He not only remembers her but also every intimate thought and personal secret she uttered.Let the embarrassment begin ;))This is my second Sophie Kinsella audiobook, and I am having the best time. The British narrator’s snappy and crisp voice made this rom-com even more FUN-tastic!!",121,0.6158,0.083,0.845,0.072,0.484375,NEGATIVE,0.9952
2,1267303589,04/29/2015,4.0,"This was such a fun and entertaining book! I laughed out loud multiple times and I also cringed several times because of how embarrassed I was for Emma.My only problem with this book is that I felt like it could have been longer! It felt rushed at times and I wished there was more of an ending. I wanted to know how it all came together and like, for example, how Kerry was doing (terribly, I hope).Nevertheless, I really enjoyed reading this book and I can't wait to read more of her novels in the future!",114,0.9256,0.051,0.766,0.183,0.4788461538461538,POSITIVE,0.9993
3,3050673200,11/15/2019,4.0,"Can You Keep a Secret?, Sophie KinsellaEmma Corrigan is a young woman in London, England. She is in a stable, but dull, relationship with the ""perfect"" man, and is currently attempting to climb the corporate ladder at Panther Cola, a multi-national cola company headquartered in London. Satisfied with life, she is thrown off-kilter when she mistakenly blurts out all of her inner secrets to a complete stranger on a plane when it hits turbulence and she believes she is going to die. Emma believes that she is in the clear when she leaves the plane, as she is confident that she will never see that stranger again. However, when he shows up at work, and turns out to be the company's founder, she is forced to come face-to-face with the man, her secrets, and the desire for her life to change. ...تاریخ نخستین خوانش: روز شانزدهم ماه نوامبر سال 2007میلادی؛عنوان: رازم‌ را ن‍گ‍ه‌ دار؛ نویسنده: سوف‍ی‌ ک‍ی‍ن‍زلا (کینسلا)؛ م‍ت‍رج‍م‌: ن‍ف‍ی‍س‍ه‌ م‍ع‍ت‍ک‍ف‌؛ ت‍ه‍ران‌ ل‍ی‍وس‍ا‏‫، 1385؛ در 454ص؛ شابک ایکس-964563461؛ چاپ دوم 1388؛ چاپ سوم 1390؛ چاپ چهارم 1392؛ چاپ پنجم 1394؛ چاپ ششم 1397؛ شابک 9789645634610؛ موضوع: داستانهای نویسندگان بریتانیایی - سده 21منقل از متن کتاب از کتاب «رازم را نگه دار»: (یک: البته من هم رازهایی دارم؛ همه ی آدمها رازهایی دارند؛ کاملاً طبیعی است؛ منظورم رازهای مهم و خانمان برانداز نیست؛ مثلاً اینکه رئیس جمهور خیال دارد ژاپن را بمباران کند، یا فقط ویل اسمیت میتواند دنیا را نجات دهد، بلکه رازهای عادی و پیش پا افتاده ی روزمره است؛ به عنوان مثال، چند نمونه از رازهای جورواجوری که به ذهنم رسیده، از این قرار است: 1 ـ مارک کیت اسپید کیف من قلابی است؛ 2 ـ من عاشق شراب اسپانیایی هستم، گندترین مشروب عالم؛ 3 ـ روحم ابدا خبر ندارد که ناتو به چه درد میخورد و اصولاً چه معنایی دارد؛ 4 ـ من 58کیلو هستم و البته نامزدم کانر تصور میکند من 53کیلو ام؛ بعد از این دروغی که به او گفتم، خیال داشتم رژیم بگیرم و وزن کم کنم؛ 5 ـ همیشه نظرم این بود که کانر شبیه کن است؛ 6 ـ گاهی من و کانر در بحبوبه ی عشقی آتشین هستیم که یکدفعه من از خنده ریسه میروم؛ 7 ـ پنهان از پدرم، شرابی را که گفته بود باید مدت بیست سال نگهداری شود، سر کشیدم؛ 8 ـ سامی، ماهی قرمز، همانی نیست که پدر و مادرم موقع سفر مصر به من دادند تا ازش مراقبت کنم؛ 9 ـ هر وقت همکارم آرتمس حسابی اعصابم را خرد میکند، من آب پرتقال پای گلدانش میریزم، که تقریبا کار هر روزم است؛ 10 ـ لباس زیرم از شدت تنگی کلافه ام میکند؛ 11 ـ همیشه به نوعی یقین داشتم که من با بقیه ی مردم فرق میکنم و زندگی تازه ی پر هیجان و شگفت آوری در انتظارم است؛ 12 ـ اصلاً یک کلمه هم از حرفهای آن آقایی که کت و شلوار خاکستری پوشیده بود، سر در نمیآوردم؛ 13 ـ تازه، اسمش هم یادم رفته بود؛ تازه ده دقیقه بود که با آن آقا آشنا شده بودم؛ او با صدای تو دماغی گفت: «ما به ائتلاف تکوینی مدیریتی چند جانبه ای اعتقاد داریم، که در راس اموره.»؛ من هم فوری جواب دادم: «البته، فرمایش شما صحیحه.» ائتلاف تکوینی مدیریتی چند جانبه؟ یعنی چه؟ من که نفهمیدم چه گفت؛ وای خدا جون، اگه از من سئوال کنه چی؟ «اِما»، احمق نباش؛ اونا یهو معنی ائتلاف تکوینی مدیریتی چند جانبه رو ازت نمیپرسن؛ من فقط دنباله رو حرفه ی بازاریابی هستم، مگه نه؟ معلومه که راجع به بازاریابی چیزهایی میدونم؛ به هرحال، اگه اونا در این مورد حرفی بزنن، من فوری بحث رو عوض میکنم؛ اصل مطلب این بود که بایستی خودم را با اعتماد به نفس و تاجرمآب نشان میدادم؛ میتوانستم این کار را بکنم؛ فرصتی عالی برایم پیش آمده بود و دلم نمیخواست آن را از دست بدهم؛ من در دفتر اداره ی مرکزی گلن اویل در گلاسکو نشسته بودم؛ با دیدن تصویر خودم در شیشه ی اتاق، متوجه شدم عین تاجرهای درست و حسابی هستم؛ پس از نیم ساعت ور رفتن با سشوار و استفاده از ژلهای جورواجور، موهایم را که بلندی آن تا سر شانه میرسید، صاف و خوش حالت کردم؛ گوشواره ی حلقه ی طلایم را انداختم و کت و دامن چهارخانه ی شیک جدیدی هم به تن کردم؛ «البته بگویم آن قدرها هم نو نبود، چون آن را از فروشگاه کنسر ریسرچ خریده بودم، یک دکمه اش هم افتاده بود که خودم آن را دوختم. البته اصلاً معلوم نبود.»؛ من به نمایندگی از شرکت پنتر، در آنجا حضور داشتم؛ هدف از برگزاری جلسه، تکمیل امور تبلیغاتی مربوط به نوشابه ی انرژی زای جدید پنتر پریم با طعم تمشک بین شرکتهای گلن اویل و پنتر بود؛ صبح همان روز، من مخصوصا برای همین کار از لندن پرواز کرده و به آنجا رفته بودم؛ وقتی رسیدم، دو بازاریاب شرکت گلن اویل راجع به اینکه چه کسی بیشتر به واشنگتن سفر کرده و کارت طول پرواز او امتیاز بیشتری دارد، با هم حرف میزدند و پز میدادند، البته من هم به آنها بلوف زدم و گفتم زیاد به سفر میروم، اما حقیقت این بود که این اولین ماموریت من بود؛ خوب، راستش این اولین جلسه ی تجاری من بود که بتنهایی در آن حضور پیدا میکردم؛ مدت یازده ماه بود که به عنوان دستیار بازاریاب که پایینترین رده ی شغلی در بخش ما بود، در شرکت پنتر کار میکردم؛ کار من در اوایل تایپ نامه، خرید ساندویچ و گرفتن لباسهای رئیسم، پل، از خشکشویی بود؛ بعد از چند ماه، به من اجازه ی تطبیق رونوشتها هم داده شد؛ از چند ماه پیش به بعد هم مسئولیت نوشتن آگهی تبلیغاتی برای پودر ماشین لباسشویی به من محول شد؛ خدایا، چقدر ذوق زده بودم! اول، کتاب راهنمای تبلیغات خلاقانه را خریدم و با استفاده از آن دو روز آخر هفته را صرف نوشتن تبلیغات کردم؛ هر چند پل نظری اجمالی به آن انداخت و طوری گفت «خوبه» که انگار منظورش این بود که راجع به آنچه نوشته بودم با کسی حرفی نزنم، خودم حسابی از نتیجه ی کارم راضی بودم؛ از آنموقع به بعد، چند تا آگهی تبلیغاتی دیگر نوشتم، و بابت آنها یکی دو جلسه ی مشورتی هم با پل داشتم. به هر حال خیال میکردم دارم از نردبان ترقی بالا میروم، و این احساس را داشتم، که از بسیاری جهات واقعا مدیرعامل بازاریابی هستم! با این تفاوت که مثل سابق، کلی کار تایپ انجام میدادم، ساندویچ میخریدم و از خشکشویی لباس میگرفتم؛ علاوه بر این کارها، یک سری کار دیگر هم انجام میدادم، مخصوصا از چند هفته پیش که منشی بخش ما، گلوریا، رفته و هنوز کسی جای او نیامده بود؛ به هر حال مطمئن بودم روزی همه چیز تغییر خواهد کرد؛ آن جلسه میتوانست باعث دگرگونی عظیمی برای من باشد؛ حالا اولین فرصت برایم پیش آمده بود تا به پل نشان بدهم چقدر باعرضه هستم؛ آن قدر به پل التماس کرده بودم تا بالاخره اجازه ی رفتن به جلسه را به من داده بود؛ بگذریم، سابقا، شرکتهای گلن اویل و پنتر یک سری معاملات تجاری با هم انجام میدادند، پس همکاری آنها اصلاً تعجب آور نبود؛ البته خودم میدانستم من به نمایندگی از شرکت پنتر در آنجا هستم صرفا چون من در دفتر پل بودم که او متوجه شد همزمان با تشکیل این جلسه، یک قرار مهم ناهار توام با اعطای جوایز که بیشتر کارمندان بخش هم در آن حضور داشتند، دارد؛ و از آنجا که نمیتوانست آن را لغو کند، مرا به آن جلسه فرستاد. از صمیم قلب امیدوار بودم جلسه ی آن روز خوب از آب در بیاید و من ارتقای مقام بگیرم؛ در آگهی استخدامی نوشته شده بود: «احتمالاً پس از یک سال ترفیع مقام...» تقریبا یک سال شده بود و روز دوشنبه جلسه ی ارزیابی شغلی داشتم؛ در دفترچه ی استخدامی کارمندان در مورد عبارت «ارزیابی شغلی» توضیح داده شده بود: «فرصتی مناسب برای بحث در مورد امکانات ارتقای مقام.»؛ ترفیع مقام؛ چقدر دلم برای این کلمه غنج میزد؛ میتوانستم به پدرم بگویم که دیگر من بازنده ی تمام عیار نیستم، و همین طور به مادر و کری؛ چه میشد به خانه میرفتم و میگفتم: «راستی، من ارتقای مقام پیدا کردم و مدیر عامل بازاریابی شدم.» «اِما کریگن»، مدیرعامل بازاریابی؛ «اِما کریگن»، معاون ارشد بازاریابی؛ تا حالا همه چیز بخوبی پیش رفته و طبق گفته ی پل بخش مهم معامله انجام شده بود و تنها کاری که لازم بود من انجام بدهم، در حقیقت مطرح کردن زمان تبلیغات بود و بایستی از عهده ی این کار برمیآمدم؛ حدس میزدم همه چیز به خیر و خوشی تمام خواهد شد؛ آره، درست بود، من از چند اصطلاح رایج اصلاً سر درنمیآوردم؛ اما سابق بر این هم با اینکه یک سری اصطلاحات زبان فرانسوی را بلد نبودم، به هرحال نمره ی ب را میگرفتم. «اسم گذاری مجدد کالا، تجزیه و تحلیل...؛ سودآوری...»؛ آقایی که کت و شلوار خاکستری به تن داشت، هنوز هم وراجی میکرد و...؛ دستم را دراز کردم و کارت ویزیت او را کمی جلوتر آوردم تا بتوانم اسم روی آن را بخوانم؛ دگ همیلتن؛ بسیار خوب، یادم میماند؛ دوگ؛ دگ؛ آسان بود؛ در ذهنم یک بیل را تصور کردم با یک تکه گوشت خوک؛ ای بابا، ول کن؛ همین حالا اسمش رو یادداشت میکنم؛ توی دفترم یادداشت کردم «دگ همیلتن» و «اسم گذاری مجدد»؛ چی شده انقدر وول میخورم؛ خداوندا، زیر شلواریم کلافه ام کرده بود؛ هیچ وقت لباسهای زیرم تا این حد مرا اذیت نکرده بود؛ دلیلش هم این بود که دو سایز کوچکتر بود؛ وقتی کانر آنها را برایم میخرید، به فروشنده گفته بود من 53کیلو هستم: و فروشنده هم حدس زده بود حتما سایزم چهار است؛ سایز چهار! شب کریسمس بود؛ من و کانر هدایا را رد و بدل کردیم؛ او به من یک دست لباس زیر ابریشمی صورتی هدیه داد؛ سایز چهار! به طور کلی دو راه داشتم: الف ـ اعتراف به حقیقت: «میدونی چیه؟ این واسه ی من خیلی تنگه؛ آخه سایز من هشته؛ راستش وزنم 53کیلو نیست؛ ب: به هر بدبختی خودم را توی لباس زیر میچپاندم؛ به هرحال چه میشد کرد؛ کسی که متوجه خطوط قرمز روی پوستم نمیشد؛ بایستی سریع تمام برچسبهای لباسهایم را که روی آنها سایز هشت نوشته شده بود، میکندم تا کانر متوجه نشود؛ از آن موقع به بعد، کمتر از آن لباس زیر استفاده میکردم؛ گهگاهی در کشو چشمم به آن میافتاد که با وجود قشنگی و گرانقیمت بودنش در گوشه ای خاک میخورد؛ حتی تصمیم گرفتم که برای خاطر آن هم شده، رژیم بگیرم و وزن کم کنم. عجب آدم خنگی بودم؛ «متاسفانه، از موقع اسم گذاری مجدد کالا، و تجدیدنظر اساسی، لازمه راههای موجود اشتراک مساعی رو مد نظر...»؛ تا آن لحظه من فقط نشسته بودم و سرم را تکان میدادم و در این فکر بودم که آن جلسه ی تجاری چقدر بی دردسر است؛ اما یکدفعه صدای دگ همیلتن مانند چکشی به ذهنم ضربه زد، چه میگفت؟ ای بابا؛ «دگرگونی دو محصول تولیدی...؛ حالتهای متناقض...»؛ چه چیزی متناقض بود؟ منظورش از تجدید نظر اساسی چه بود؟ احساس کردم ضربه ای روحی به من وارد شده است؛ دگ همیلتن میگفت: «ما از اشتراک مساعی مفید شرکتهای پنتر و گلن اویل که در گذشته باعث رضایت خاطرمون بوده، قدردانی میکنیم؛ حالا شما باید متوجه این نکته ی مهم باشین که هر دو شرکت خط مشیهای مختلفی در پیش گرفته ن.»؛ خط مشی مختلف؟ احساس کردم دل آشوبه دارم؛ او نمیتوانست...؛ آیا او میخواست با این حرف معامله را فسخ کند؟ با لحنی بسیار آرام گفتم: «معذرت میخوام، دگ، تا اینجا متوجه تمام مطالبی که گفتین، شدم.»؛ لبخندی بسیار حرفه ای و دوستانه به او زدم؛ «اما اگه شما صرفا بتونین...؛ به اختصار وضعیت...» ولی حرفهای دلم را سر زبان نیاوردم؛ دگ همیلتن و آن مرد دیگر نگاههایی با هم رد و بدل کردند؛ دگ همیلتن گفت: «مرغوبیت جنس مارک دار شما کمی ناراحتمون کرده.»؛ من هاج و واج گفتم: «مرغوبیت جنس مارکدار من؟»، او نگاهی عجیب و غریب به من کرد و گفت: «منظورم مرغوبیت محصوله؛ همونطور که توضیح دادم، ما در شرکت گلن اویل سعی میکنیم روند اسم گذاری مجدد محصول رو دنبال کنیم و تصور ما از این اسم گذاری بیشتر به جنبه ی مواد نفتی مربوط میشه، که دقیقا علامت گل نرگس شرکتمون چنین چیزی رو اثبات میکنه؛ ما احساس میکنیم نوشابه ی پنتر پریم با تاکیدش بر روی ورزش و رقابت، صرفا حالت تحمیلی داره.»؛ ...)؛ پایان نقلتاریخ بهنگام رسانی 15/03/1400هجری خورشیدی؛ ا. شربیانی",110,-0.3222,0.008,0.983,0.009,0.5371794871794873,NEGATIVE,0.7803
4,1794001849,10/25/2016,4.0,"Have you ever been on a plane ride through hell and you got so scared, you thought it was better to say what you have been dying to say all your life before you crash? I feel that way every time, honestly! Although I wouldn’t go into so much detail as Emma did in “Can You Keep A Secret?”Once again Sophie Kinsella delivers a heroine that we want to cheer for and chastise at the same time! Emma is a lovable neurotic dreamer that I feel protective of. Spilling your deepest secrets, only to have them resurface at a very inopportune and public moment is a shame beyond measure. Yet she endures -- and triumphs. Kinsella builds these characters that we want to see succeed, although we hope they do learn a lesson or two along the way. The story is a big mouthful of pink cotton candy -- a light and fluffy romance. Fearing a plane crash, The heroine spills all her deepest secrets to a total stranger. Fortunately, their plane didn’t crash. Unfortunately, the total stranger turned out to be the CEO of her company. (view spoiler)[ Worse, he manages to spill all her secrets on national television. Of course he didn't use her name, but she gave it away by her behavior.  (hide spoiler)] This is a delicious book!There were some very hilarious moments in this story. Emma is absolutely engaging – she’s an adorable mess! It would be a delight to be around such a woman, although she has the morals of an alley cat. She's a ""self-made career girl"" and a future marketing executive. All in her head of course. So it's no wonder she gets herself into such tangles. She lives in her head! I think everyone knows people like this and can't help laughing at them when they get into trouble. I love the fact that she gets herself into constant binds, but good things invariably end up happening to her in the end. I think we all like a lovable loser, don't we?Not much I can say about the hero, just another closed-mouth guy, but he did come through in the end. He eventually learns that communicating with someone you are interested in is the key to trust and a lasting relationship. A couple of snarky characters, and an imbecile ex-boyfriend made for good story telling. Only wish the ending was longer. Lots of buildup and ends in a few pages, and epilogue was not informative enough. Nevertheless, I was completely hooked on this book, and was immensely entertained. This story was so funny and so far-fetched that I could actually imagine it happening to me. I will never ever spill my guts to a perfect stranger on an airplane no matter where I am going or under what circumstances. Was it Maurice Switzer who said “It is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it?” Wise man. Very wise....",108,0.9952,0.104,0.705,0.191,0.5658163265306123,POSITIVE,0.98
5,1549844379,02/15/2016,2.0," Two point five-ish stars ^^Quirky, hilarious read about a 25 year old clumsy, silly, awkward Emma who is always caught in the most embarrassing situations and thinking she’s probably not yet embarrassed enough, spewed out every single one of her deepest, darkest most embarrassing secrets to a stranger on a plane when she thought they were going to die during a violent turbulence. The horrific result: strange man isn’t a stranger after all. LMAO!While I wasn’t a fan of Emma (and of any other character in the story for that matter) and thought she was awful and ridiculous with every single decision she made (She says it’s good when it’s bad, okay when it’s not, yes when she means no, in short she lies all the time), the hilarity of her story and predictability of the more than slightly rubbish plot are entertaining. It’s my first Sophie Kinsella read and although it wasn’t completely successful, I have a feeling I’ll enjoy her YA novel, Finding Audrey more. Here’s my lovely friend’s, Alice’s review of said YA book.^^ Happy birthday, my Dear Alice. Despite the few stars, I enjoyed the read so it’s all good. I’ll certainly give Ms. Kinsella another chance. I hope you’re having the time of your life on your very special day. Love you, girl! <3",101,0.9597,0.149,0.626,0.226,0.6137709137709139,POSITIVE,0.9789
6,2517729248,10/04/2018,4.0,"I'm not really 100% into Chick-Lit, but this is one of those books that I've seen pop up over and over again on all the Best Of lists over the years, and I've grown quite curious.No, seriously. True story. Anyway. I've been on the hunt for really funny fluff this past month and finally decided to pull the trigger on my first Sophia Kinsella book. Supposedly, this was a HI-LARIOUS rom-com, and I was in the market for exactly that.However.Sometimes what makes me smile doesn't match up with everyone else in the room...So was it funny?Yes. No. Kinda?I mean, it wasn't the sort of humor that had me doubled over, gasping for breath, but there were cute moments. It was the kind of jokey stuff that would have done well with a laugh track or something. <--if that makes sense?BUT.Even though this wasn't exactly what I was initially looking for, I still had a reallyreallyreally good time reading it! It was just a super cute romance-y little story about a young woman in the middle of getting serious about her career path, finding a man she loves, and simultaneously growing a set of balls. I've noticed that I never really find the resolutions to the assy family and/or assy friend drama in Chick-lit to me sufficiently, um...resolved, I guess? And this one was no different. The ending felt sort of rushed as everything gets kinda built up to this crazy-dramatic showdown, then everyone whistle-farts away into a Happily Ever After. <--I've come to expect that, it's not even a deal breaker anymore.There was quite a bit of the ridiculous in this as far as nonsensical plot stuff goes, but I don't read this genre to get a glimpse of realism. So, a lot of the nuttier aspects of the story, (view spoiler)[like the way her co-workers figured out he was talking about her on television (hide spoiler)], get a pass from me.If you're looking for something fluffy to get you through the week, I would say Can You Keep a Secret? is a great choice.",100,0.9963,0.033,0.785,0.182,0.5420698924731182,NEGATIVE,0.9991
7,1567306964,03/02/2016,5.0,"OMG, this book is laugh out loud funny, like sitting in my cubicle at work just giggling to myself. In the days, I spent reading this one I told numerous people about it because I was just so excited and happy to find a book that made me actual loud out loud. Some of my best friends raved about this book during our girls weekend last year and I was repeatedly told, you have to read this!Emma Corrigan is a typical girl, just like us or me at least. She is awkward, inappropriate and just trying to prove herself. Emma is flying back from a business trip, that of course went horribly bad. During the flight, there is some extreme turbulence and she thinks she is going to die. During her freak out she precedes to unload all her secrets on everyone around her. Monday morning comes with a big surprise, one of the passengers is the owner of Emma’s company and he remember everything. All her secrets are out, some as small as hating g-strings and the coffee at work, to her insecurities with her family and lesbian dream she had about her best friend. This story is so freaking perfect. It’s so funny, it's freaking cute as shit and the love stories is so sweet. This is my first book by Sophie Kinsella, but it will not be my last. The audiobook is absolutely fantastic and made me believe the narrator was Emma. Teaser created by me with stock images purchased from depositphotos.



















",81,0.9547,0.083,0.759,0.158,0.5677777777777777,POSITIVE,0.9999
8,27331347,07/15/2008,1.0,"My first - and almost certainly last - foray into chick lit. Very shallow, contrived and implausible, albeit in a self-conscious (""ironic""?) way. Although the ""plot"" may excuse the improbable co-incidences, there is no justification for the ludicrously artificial dialogue. I find all the ""poor fluffy little me struggling to bluff it in the big bad grown up world"" nauseating. Not as funny as it thinks because the humour, such as it is, is entirely reliant on very cliched stereotypes. If it were written by a man, people would be outraged at how sexist it is. Even if Kinsella was once ahead of the game by writing in this way, its startling unoriginality is just another annoyance. I expected a juice bar/coffee shop rather than Heston Blumenthal's molecular gastronomy, but I ended up with soggy fluorescent candy floss.",78,-0.7239,0.104,0.844,0.053,0.5370833333333334,NEGATIVE,1.0
9,1581338333,01/14/2017,3.0,"Gosh, this books was so much fun!!!Often times when I’m told a book is  funny,  I usually find that it turns out being more painful to read than anything. But damn, is Sophie Kinsella hilarious!  Can You Keep a Secret  follows the charismatic tale of Emma Corrigan. This woman is a hoot, let me tell you. She’s hilariously paranoid and completely outrageous. She is the  “ordinary, nothing-special sort of girl”  but oh, does she have her secrets. Secrets that she probably shouldn’t have blurted out while clutching onto the arm of a strange during a rocky flight. But, oh well, can’t do anything about that now, can we?  “Oh God. I'm losing it. Everyone knows this is how criminals get caught. They add too many details and trip themselves up.”  ^^That’s basically Emma’s entire existence. So this book was adorable and sweet and really really charming in a lot of ways. It was such an easy read and really brought on that little bits of glee that usually accompany a great book. Oh, and I really love Jack!! What a little darling. But there were parts of the book that I found excessive. For example the fact that Emma seemed to face problem after problem after problem. It’s not a  HUGE  deal but I just found it tiring because here we are, smiling and happy for a single sentence and then BAM, another problem takes place.Kinda excessive if ya ask me. :p Anywho. . .I was never a huge fan of chick-lit but after reading this one, I’m definitely not done with this genre or this author!   “I've always had this deep-down conviction that I'm not like everybody else, and there's an amazingly exciting new life waiting for me just around the corner.”  3.5 stars!!~~~~~~~~~~~~~~~~~~~~~~~~Need cute and fluffy and I need to binge read Sophie Kinsella, so, here I gooooooooooo!!!",69,0.9913,0.115,0.683,0.202,0.6831666081666081,POSITIVE,0.5231
