,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,8605357,11/03/2007,5.0,The Colin Firth interview is hilarious! You just want to scream at Bridget to shut up and stop putting her foot in every time she opens her mouth! Just as wonderful as the first book!,67,0.5684,0.113,0.69,0.197,0.7777777777777778,POSITIVE,0.9996
1,25792080,06/28/2008,1.0,"This book should be retitled as Bridget Jones: The Unnecessary Sequel. Bridget returns as the hapless and can't-get-it-together heroine with plenty of love, work and weight troubles. The first book has a happy ending and I thought that was the end of it. Since it's so successful, of course the author cannot resist conjuring contrived plot lines for Bridget's second adventure. Bridget came across as charming and endearing in the first book but here she becomes annoying and irritating. I (or the readers) love her int he first book because Bridget is not flawless. This makes her a very accessible character. However, the contrived plot lines of this book has managed to create a gratingly stupid Bridget which I cannot empathise with anymore.This is what happens when authors go on beyond the 'happily ever after' last line.",41,0.5546,0.139,0.706,0.155,0.6811507936507937,NEGATIVE,0.9889
2,1769376849,09/27/2016,1.0,"I hate say this but I hate this book , can be much better if Helen fielding just wrote bridge Jones's diary and stop",35,-0.7469,0.329,0.548,0.124,0.7666666666666666,NEGATIVE,0.9999
3,1650059011,03/18/2018,1.0,"I don't really know why I still had this book on my TBR because I didn't really like the first book.. but oh well, I dove right into this one anyways.Okay, so in Bridget Jones: Edge of Reason Bridget starts to suspect that her boyfriend Mark is starting to develop feelings for one of his coworkers, Rebecca. Of course this was a huge misunderstanding on her part because he doesn’t have any feelings for her at all. However, it is Bridget and it wouldn’t be a book if she found out that she was wrong right away. Nope. In the end, she felt foolish for even thinking that and all is right in the world because Rebecca started dating someone else. Right? Wrong. I hated this book so much. LE SIGH!Like I said, I didn't like the first book.. so I definitely didn't like this book either. It wasn't funny at all to me. It's like I was fake laughing just to get out of this book faster. I just don't like Bridget at all. She was so annoying and frustrating throughout the whole book. I didn't care what she went through or said throughout the entire thing. I just wanted this book to be over as soon as I started it. Spoiler alert: wine helped me get through this book. A lot of wine.Overall, I hated this book. I will never ever reread this series. I will not continue this series - no matter what which makes me sad because I hate starting a series and not finishing it but I seriously can't stand Bridget as an MC. I'm done with this.",32,-0.996,0.241,0.701,0.058,0.6000457875457875,NEGATIVE,1.0
4,824306057,01/15/2014,4.0,"Sunday 26 January6 pm. My Bed. Writing critic on Goodreads Hurrah! Just finished quite a good book. Will call friends and discuss it. Now everyone can see how smart I am! Will write a fantastic critic, one that will make everyone follow me, adore me, etc. Will be invited to review more books and will write for a famous newspaper (Guardian or Times). Yes, will write not only funny review but insightful.Should have a little wine first to start creativity flowing. 6.01 Will go shopping and buy Silk Cut. In the manner of every famous writer, must smoke and drink while writing.6.20 pm Should possibly organize room first. Surely Woolf was v. organized and clean.6.25 pm Found lost pair of jeans under bed!7.00 pm Right, will start review now.7.02 pm Surely the internet will help.8.00 pm V. Tired and frustrated. Everyone seems to think it's a waste of time. Will prove them all wrong, as the ""Road Less Traveled"" says.9.05 pm Will start now. Oops Telephone. Must be friend!9.35 pm Going to 192. Surely pre-drinks and friends will help self. Will get new ideas discussing the book.9.36 pm Do not find a single pair of socks. Must buy more.3.00 am Greatz Night mith pals. Yad mure drinkz. Hair iz zpinning. Here's pen?",32,0.897,0.108,0.737,0.155,0.6324957651044607,POSITIVE,0.9041
5,1694204049,07/10/2016,2.0,"After loving the first book in the series, I was excited to read The Edge of Reason but I was met with disappointment fairly early on in the book. There was a lot of drama (not the enjoyable kind) and not much humour in it.Bridget starts to suspect that may be she is not enough for Mark and may be Mark is having an affair with his colleague. I really wanted to like this and wanted to laugh, in fact, I was desperate to laugh at anything but I just found myself getting frustrated and roll my eyes at Bridget. I loved her self-loathing in the first book and she got me into the chick-lit genre but I couldn't like her in this. I did like the writing though and of course Mark Darcy. 2.5 stars just for Mark Darcy.",25,0.9513,0.107,0.691,0.201,0.4791666666666666,NEGATIVE,0.9999
6,2488023783,08/10/2018,3.0,"Funnier and more accomplished than the original diary, and in fact takes recognition humor into a new dimension. Bridget Jones The Edge of Reason is a glorious read, and there is a laugh on every page.",25,0.9524,0.0,0.599,0.401,0.4609090909090909,POSITIVE,0.9995
7,1772222112,10/03/2016,1.0,What a fucking terrible book. My god. ,29,-0.3167,0.357,0.421,0.221,1.0,NEGATIVE,1.0
8,2221123338,02/10/2018,3.0,"I desperately love Bridget, I really do, but the story just wasn't as funny the second time around. I never thought I would tire of British humour, but - while The Edge of Reason is still VERY FUNNY - the plot line relies a lot on miscommunication stemming from the characters bumbling about and being unable to speak candidly about a situation or say what they really mean. Gets a bit old.I don't think I'll carry on with the series. The original Bridget Jones Diary is absolute comedic and chick-lit gold and I'd recommend just sticking with that one.",18,0.9642,0.045,0.746,0.209,0.5852272727272727,NEGATIVE,1.0
9,4711060,08/17/2007,3.0,"Not quite as good as the original, nonetheless, spending more time with Bridget and her friends as they count alcohol units and worry about what underpants to wear on a date is a pleasant diversion.",15,0.4919,0.131,0.663,0.206,0.7041666666666667,POSITIVE,0.7651
10,1354801042,08/04/2015,4.0,"Bridget continues to turn being painfully shallow into an artform. I've no idea why I only gave this one 3 stars the first time I read it as, if anything, I found it funnier than the first book. I have to say that Imogen Church does a fantastic job of reading the audiobook; at times I think she made the material funnier than it actually was through the strength of her performance.",15,0.765,0.073,0.768,0.159,0.5277777777777778,NEGATIVE,0.9997
11,82579758,12/30/2009,3.0,"Although Bridget Jones is still a fun and delightfully unpredictable character in this second instalment of Helen Fielding's series, there is simply too much presented, featured exaggeration and resulting disbelief for me to be able to totally and utterly (without reservations) enjoy The Edge of Reason. For while with the first book, with Bridget Jones's Diary, although Bridget often was indeed outrageous and even at times (and perhaps even rather regularly) inappropriate, she was still and usually engaged in antics that could easily and even normally happen (events, personal behaviours to which I could at least mildly and personally relate), whereas, at least for me, the majority of the scenarios presented, featured in The Edge of Reason, but especially the entire Thailand episode, simply feel a bit too strange, too over-the-top, interesting enough perhaps, but also somewhat alienating. And thus, while definitely still for the most part an enjoyable and entertainingly light romp, with The Edge of Reason, I sometimes and perhaps even more than sometimes do tend to feel more like a dispassionate and even analysing (coldly critical) observer and monitor of Bridget, while with the first book, with Bridget Jones's Diary, I very much and often felt like I was Bridget (or at least that I could be Bridget), actually experiencing her frustrations, her dietary faux pax, her searches for the perfect man (and I just cannot seem dispense with my personal sense of disbelief with much of the action featured and presented in The Edge of Reason, simply because much of it is so far beyond my own personal experiences that it feels strange, even at times rather majorly disconcerting and disconnecting). But all that being said and my issues with reality and exaggeration notwithstanding, The Edge of Reason does remain for me a generally enjoyable read and as such one which I do still heartily recommend for fans of Bridget Jones' Diary (but with the caveat that it is certainly nowhere near as good and as entertaining as the first book, and the additional personal warning to absolutely NOT bother with the second movie instalment, as it veers so far beyond the plot of the novel to be simply massively annoying and majorly frustrating).",12,0.99,0.049,0.809,0.142,0.5147276379534445,NEGATIVE,0.9794
12,46863395,02/19/2009,4.0,"After finishing Bridget Jones's Diary for the second time, I turned my attention to Bridge Jones: The Edge of Reason, by Helen Fielding, which I'd never read before. I have to say that with both books, there were definitely laugh-out-loud moments, although there were more with Edge of Reason than Diary.I'm embarrassed to admit it took me at least to the middle of the book to realize that this book was a take-off of Persuasion. And once again, I admire Ms. Fielding's facility in translating a classic to the modern age. Before I picked up this book, I wondered, idly, ""Pride and Prejudice ended with a marriage. What on earth is Helen Fielding going to do in her sequal?"" I assumed it would be one more of those books written by Jane Austen devotees who cannot stand not knowing what happens next, where Elizabeth and Darcy, happily married, turn detective, or where Elizabeth, happily married, works on getting Georgiana married off. Turning to Persuasion for inspiration was felicitous.In Persuasion, Anne Elliott and Captain Wentworth loved each other in their youth (fully ten years ago), but were driven apart by the machinations and bad advice of Anne's family. At the end of the book, happily, they have reconciled and their love is as strong as ever. In Edge of Reason, Bridget and Mark have been together for a full four weeks before they are driven apart by a series of misunderstandings, the machinations of vicious Rebecca (an exceedingly well-drawn character), and the bad advice (at least, in Mark's opinion) that Bridget has gleaned from the self-help books that comprise her library. Well done, Ms. Fielding -- I think that's a wonderful way to begin a sequal and also an inspired retelling of a classic.This book was great fun and brought me great joy reading it. I think Ms. Fielding's satirical pen has sharpened somewhat. ",11,0.9939,0.047,0.768,0.185,0.4574404761904761,POSITIVE,0.9998
13,3716409355,01/04/2021,1.0,"So just like the first book, the movie was actually better even though it was terrible.This book is just plainly problematic, from uses of degrading racial terms (the n-word, “oriental”) to the entire country of Thailand and its people being relegated to the backdrop of Bridget’s drama as she constantly harps on about the backwardness of its “Third-World” conditions and omg!! what weird culture!!! Let’s talk about Madonna because that’s feminism!!!She also continues to listen to everything her friends tell her (all of which is stupid) and has no thoughts of her own. Her relationship with Mark Darcy is toxic and non-communicative and during this entire reading experience I was bouncing between “WOW Mark and Bridget are terrible and deserve each other” and “I cannot think of two people who shouldn’t be in a relationship as much as these two.”",11,-0.7261,0.097,0.846,0.057,0.6422161172161172,NEGATIVE,0.9999
14,1429571868,10/31/2015,5.0,"This story turned into love novel, but it's still great chick lit, great comedy and great story. Bridget is struggling with her relationship with Mark, had serious problems and struggling with her job. The end was satisfying and I was laughing out load during the feast.",10,0.9731,0.159,0.422,0.419,0.7527777777777778,POSITIVE,0.9957
15,126974244,10/19/2010,4.0,"I enjoyed Edge of Reason a bit more than the original. I think it had a little more depth (and I use that term veeery loosely) than the first Bridget Jones book. She grows a tiny bit as a character, and finally seems to come to terms with what it means to be an adult in love. Again, she grows a tiny bit...we're not talking about any huge spiritual epiphany here. This is, after all, Bridget Jones we're talking about. As a big fan of the BBC version of Pride and Prejudice, I also found myself smiling quite a bit at the references to the movie...and the whole connection to Colin Firth in general. *sigh* I'm a little Bridget-ish about him, too. ",9,0.9409,0.026,0.814,0.16,0.4992165242165243,POSITIVE,0.9739
