,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,3739701,07/29/2007,3.0,"As many other reviewers have commented, I wanted to like this book more than I did. It approached greatness in many ways---the clever and often hilarious dialogue, the quirky characters, the creative family histories, the rich and convincing place descriptions, and so on. Despite the strengths of each of these parts, as a whole the book fell far short of greatness. It took me until the final pages to figure out what was missing for me: I did not genuinely care about most of the characters. I did not feel sympathy for them, or root for them, or have my own ideas of how I hoped things would turn out. This is likely due to the many, many story lines at play in the novel (story lines that span a hundred years in some cases). But it still felt unacceptable to me that the book begins with one of the most intimate moments a person can experience (though it is treated with humor) and closes with an equally major event in the life of that same character, yet we hardly KNOW this character. He is a central presence on page one and the final page, but he is lost in between. While I laughed at Joyce Chalfen, Alsana, Abdul-Mickey, Magid, Hortense, and a dozen more amusing and creative characters, I felt no emotional connection to them at all. The biggest disappointment perhaps was the disappearance of Clara's voice from the pages. They remained, though entertaining, very flat to me. The only character I sincerely rooted for and felt drawn to was Irie Jones. Her story alone, though it does not emerge until the second half of the book, made the novel worth reading to me.I was intrigued enough by Zadie Smith's writing to give her other works a try, but I closed the book last night with a definite sense of a letdown. ",328,0.9712,0.061,0.804,0.135,0.5536347517730498,NEGATIVE,0.9999
1,192705975,07/31/2011,5.0,"“...the wicked lie, that the past is always tense and the future, perfect.” ― Zadie Smith, White TeethI planned on writing my full review of this book a couple days after I read it in October of 2014. I was afraid, however, if I wrote it immediately it would be too sappy, too indulgent, too full of praise. I would probably just go on and on and you all might think I was in love or something. So, like I am want, I put the review off -- meaning to get to it -- and here I am finally writing about the book almost two years after I first read it. I don't know if the delay points more towards my sometimes best laid plans falling and failing, or my anal need to complete the circle and check things off lists.Seriously, the book was fantastic. I loved it. It was a big, hairy, kinky, ambitious first novel and Zadie Smith pulled it off. I'm not sure why I'm reading so many novels (McTeague) concerned with dentistry and teeth lately. A bit weird. Anyway, enough!I'm glad I waited, however, because Zadie Smith seems to posses for England that same fresh breath that Lin-Manuel Miranda exhibits with his musical Hamilton. Sometimes, a place is best described by immigrants to that place. Sometimes, the change that happens to a city or nation because of immigrants is hard to measure in the first couple years. Just look at London now. London has elected its first Muslim mayor. This has more to do with some of the huge demographic changes than with a super-multiculturalism in London, but it still isn't nothing. I remember reading a short article in the Guardian a while back that pointed out that in regards to Muslim, Hindu, and Sikh, “the three groups share many areas in common, but the Punjabi Sikhs in Southall and southeast London, the Gujarati Hindus in northwest London, and the Bengali Muslims in Tower Hamlets stand out most of all.” (The Guardian). I loved realizing the London of Pepys, Dickens and Shakespeare was now a completely different place. It was a place where the colonized were becoming the colonizers. It was a giant geography of Karma, and not in a bad way. We often never fully grasp the bad and the good and the unintended of our decisions and policies. I'm pretty damn sure Queen Victoria and those who advised her and followed her -- NEVER saw this coming as they began the British Raj. I love how 'White Teeth' swirls and dances and dervishes with ideas of race, identity, and religious antagonism. The book is a fiction, of course, but the competition between ethnicities, even while the white majority loses their shit is not fiction. Even though 'White Teeth' debuted as the 21st century was dawning, it painted a fictionalized but very real novel about the struggles America, England, and Europe are going through right now. Think of Europe and America's reaction to Muslim refugees, the hostility of the right to Barack Obama citizenship and race, the fear that drives the radical right agendas from Hungary to Norway as Western Europe and Western Civilization loses (gradually) their majority lock on political and demographic power. When the mayor of London and the President of the United States of America wouldn't have been allowed to eat in the same high-brow London and New York clubs as presidents and mayors did 60-years-ago, it is kinda amazing to see how far we've come. However, it is also humbling when you read blogs, comments, and hell, just watch Trump on Fox News. There is a certain shaded infinity of how far we still need to go.Anyway, back to 'White Teeth'. The brilliance of this book is Zadie Smith addresses all of this with humor, beauty and narrative magic. She avoids the twin traps of triviality and preachiness. She spins a fascinating yarn that entertains while pushing the reader to grapple with the realities that were faced by Archie Jones and Samad Iqbal in 1945, and the realities we faced when Obama was elected, and the problems we all currently face. Fundamentally, I believe, things become a lot simpler when we can view people as individuals. Viewing Zadie Smith as an individual it is easy to see her brilliance, her potential, and her ability from her first book to play with the big boys of English fiction. The future is already here and Zadie Smith is just waiting for history and the rest of us to catch up.",155,0.994,0.072,0.801,0.127,0.4762155983240322,POSITIVE,0.9979
2,509770609,01/18/2013,3.0,"There are parts of this book fully deserving of unadulterated love and veneration, worthy of 4 stars in the least. The fact that the real Indian, Jamaican and Bangladeshi diaspora are reproduced here and not the imagined Indian, Jamaican and Bangladeshi diaspora of white writers too reluctant to put in the requisite amount of research for getting the most inconsequential tidbits right has much to do with it. In addition, Zadie Smith succeeds in keenly evoking their history, language, cultural ethos, the stench of their festering old wounds inflicted by an undo-able past, and their bizarre hypocrisies making the leap across land and oceanic borders into alien territory, exempted from being dissected by the scalpel of 'western reason' in the name of minority rights. There's the undeniable truth of centuries of conditioned servility, hatred of the power which established the ground rules of the abusive relationship called colonialism, and the unfathomable responsibility of bearing the burden of yesterday. 
""[] they can't help but reenaact the dash they once made from one land to another, from one faith to another, from one brown mother country in to the pale, freckled arms of an imperial sovereign.""
There's the Bengaliness of the family to be religiously guarded against the sallies of Western liberalism; imminent dilution of the much treasured Bengali DNA in the gene pool staved off at all costs. And there's war to be waged on foreign territory - for another inch of land, another notch up on the dignity scale, for yet another step of the socioeconomic ladder. Whenever stung by the prick of casual racism, whenever thwarted, they will go back to their institutionalized tendencies of seeing things in black and white and studiously avoiding mentions of a gray area; they won't think twice before disregarding their favorite Gandhiji's famed 'An eye for an eye will make the whole world blind.' They will seek out the greener pastures of first world optimism but resist synthesis, tugging at the roots of old grudges again and again so that the present and the now can be drawn and quartered on the altar of history.""And then you begin to give up the very idea of belonging. Suddenly this thing, this belonging, it seems like some long, dirty lie...and I begin to believe that birthplaces are accidents, that everything is an accident.""But then there are the 'just-roll-with-it' parts which deserve no more than 2 stars - the cocksure and smug tone in which the narrator recounts this multi-generational saga of families caught in the chaos of modern day materialism vs heritage, the unrealistic, often two-dimensional characterization and the zany Britcom feel to the episodes which warrants a suspension of disbelief and gives rise to the nagging suspicion that this was written with the idea of a film or tv series adaptation in mind. As much as Smith's light-hearted, tongue-in-cheek, clever mockery of roots and righteous reliance on said roots for existential validation is absolutely legitimate and spot-on, it is awfully disingenuous to think roots can and should be so easily discarded. Assimilation requires time and the immigration conundrum will never be felt as acutely by second generation immigrants (like Smith herself) as by their progenitors. This is where I prefer Jhumpa Lahiri's narrative voice (her later works) over Smith's - no inflection of moral and intellectual superiority, no pronouncing of judgement on flawed choices but a restrained attempt at humanizing all characters. Since the 4-star and 2-star ratings are equally bona fide in my eyes, a 3-star it is. More so because I can't remember the last time a woman writer of contemporary literary fiction made me laugh so hard.",131,-0.7328,0.102,0.811,0.087,0.4065927750410509,POSITIVE,0.6356
3,9091290,11/14/2007,1.0,"This book started bad for me and just got worse. I found the characters to be boring and two-dimensional. Actually, even worse, the author tried to build up the characters in most cases (though doing a poor job, I'd say), but then later reduced their roles to caricatures. So even those I was inclined to like wound up irritating me every time they opened their mouths.Further, Smith's style is all over the place. At times I found it indulgent and pretentious, others fawningly resembling other authors, and the style would sometimes change abruptly from one paragraph to the next.I find what what often at least partially redeems books like this is an interesting plot. Not so in White Teeth! There's no real story arc to hold the book together. The plot kind of twisted along for a while and I couldn't really tell where it was going. Then it ends in this bizarre attempt to draw all of the characters and threads together which totally fails as a climax. I would have been more irritated about this particular point but I was so happy I was done with the book, I was inclined to forgive it more than was deserved.I truly don't understand what all the hype was over this book. There is lots I can forgive especially in a first novel, but there wasn't nearly enough here to convince me that Smith is a great writer who just needs some time to come into her own. There were a few interesting ideas and notions, but they were isolated and swamped by a thousand other boring ones, not to mention cliches, unclever witticisms, and tired plot devices.I could go on, but I rather forget I ever read this! Gah!",121,0.6972,0.127,0.748,0.124,0.5407407407407407,NEGATIVE,1.0
4,217833845,10/01/2011,3.0,"Just because everyone says it's good doesn't make it readable. Just because it has an 'ethnic' plot doesn't make it realistic. Just because it's about ordinary people doesn't make it believeable. And just because I read it only a couple of months ago doesn't make it memorable. Three stars because it might have been that good, I've forgotten all but the general gist of the book.",118,0.3506,0.022,0.919,0.059,0.6476190476190476,NEGATIVE,1.0
5,2602144888,11/22/2018,3.0,"The last time I read a book with this much narrative confidence, power and authority was back in January when I tackled Midnight’s Children. It's rare that a book comes with a voice this strong. Like Rushdie’s novel, Smith creates a present that is pervaded by the past. Her characters are very aware of their ancestry, and they really struggle to reconcile with it in the modern world. Are they Indians? Are they British? Are they black or white? Or are they a little bit of everything? Because of their duality, they struggle to find themselves in the modern metropolis. They don’t quite know who they should be, so they cling to and project ideas they are far removed from. And it’s all a little tragic, to see such confusion. 
“...They cannot escape their history any more than you yourself can lose your shadow.” 
Every character Smith has conjured up here could be someone you’d encounter in real life; they are all very real people and they are faced with some very real problems. However, the issue I had with the novel is that we simply do not stay with them for long enough for them to develop. We glimpse them, nothing more. I’d even hesitate to actually call this a novel; it’s more like four loosely related novellas slapped together with a very small amount of glue to bind them. It’s close on collapsing. As such, this doesn’t have a plot per say. It’s more like four separate character studies. And it does work to an extent; it captures a large part of the contemporary space, but as a novel it feels fragmented with little to no cohesion. Some sections were better than others, with characters who were more flawed and interesting to read about. To make this a little clearer, I feel like I need to write four seperate reviews in order to talk about his book properly and rate each section differently. I’m not going to do that, but I hope you get my point; it’s quite a difficult book to talk about because it doesn’t feel like a normal book. Smith followed a similar model in NW but that came together as it captured the city is what trying so hard to evoke whereas this feels very much apart. I can see why many other users on here have chosen not to rate it. 
It's a very powerful debut, but I did not enjoy all of it. A mixed bag for me. 
Blog | Twitter | Facebook | Insta | Academia",108,0.9618,0.062,0.835,0.102,0.4261769991015274,NEGATIVE,0.9997
6,681258539,07/30/2013,4.0,"Oh Zadie Smith be still my beating heart! I devoured this fabulous novel. Smith is truly a master of plot and her ability to capture the voices of each individual character is inspirational. Never before have I read a novel which such a rich and diverse dramatis personae. I fear that this review is going to become a list of superlatives so I'll quell it here by saying, I loved this and I need to read more Smith now.",92,0.9565,0.068,0.659,0.273,0.7071428571428572,POSITIVE,0.9988
7,185791212,07/17/2011,4.0,"I'm about a decade late to Zadie Smith's White Teeth, one of those books friends recommended or I picked up at the library then put back and moved on to a different title. My reticence to read the novel revolved around the plethora of book-clubby texts that could best be classified as “somewhat patronizing novels about other cultures featuring triumph in the face of great poverty and hardship.” I hate these books. But White Teeth turns out be an example of where those novels fail and a sun-surface hot writer can embrace the complexity inherent in both the smaller and larger narratives of multiple generations. Zadie Smith's talent and enthusiasm are tangible; she writes like she's bouncing up and down in her seat. White Teeth is as much about inertia as free will. Samad and Archie, brought together by their bad luck and questionable soldiering circumstances, spend much of their time in a decrepit English pub. Archie marries a Jamaican woman he meets on a stairway at a stranger's New Year's Day party. Samad's wife, Alsana, and Archie's wife, Clara, form a careful friendship. The friends' children are first-generation English carrying histories and expectations; Samad and Alsana's twin boys and Archie and Clara's daughter inhabit the no man's land between tradition and the present that, really, is everyone's land. Questions of loyalty, tradition, and identity emerge in the flash of conflict and creaking, inevitable societal evolution. As Alsana notes, circumstances emerge in which people are involved, to use her word, without intention but without question. When the two families encounter the white, affluent Chalfens, the cheeriest, most cluelessly evil parents I may have ever encountered in literature, twin brothers reunite (or at least occupy the same country), and the book's last hundred pages race to a thriller-esque ending that, while not tying every loose end, left me feeling as if I had read a singular, satisfying novel. Smith doesn't rely on easy, obvious immigration issues to drive White Teeth; she goes much deeper into characters' minds and families without preaching.I hope I'm not making White Teeth sound pious. In fact, I would argue Smith wrote the novel in part as a reaction to the piety that obscures truthful narrative. She builds each character from the ground up and knows when to move from one to the next. I'm also not sure if I understood every metaphorical nuance; I'm not English, Bengali, Muslim, or a Jehovah's Witness, all elements intrinsic to the storyline, so I most likely missed symbolic elements. While I don't want to minimize the immigrant experience, white readers, I believe, feel some of the same vertigo as the characters when navigating a landscape with different cultural touchstones, e.g. signs in Polish and Korean up and down Chicago's Milwaukee Avenue. Zadie Smith doesn't praise or criticize these landscapes. She focuses on the fear and hope inherent in characters' reactions to the stimuli. The players can't control the landscape as much as accept and respond to it. This is a sprawling, well-structured novel. White Teeth is a near-masterwork, the best book I've ever read about different cultures' slow, tectonic plate-like creep past, toward, and into each other.",79,0.9253,0.084,0.796,0.12,0.3805798368298368,NEGATIVE,0.9838
8,2711450794,03/23/2019,4.0,"Zadie Smith's prose style here is notably different from her later books. It's like she read all Martin Amis' early novels and to a large extent replicated his distinctive rhythms into her prose. So too is the emphasis on comedy much heavier here than in later books. She's making more effort to charm - which, I suppose, is only natural for a young unpublished author. White Teeth is full of fabulous insight into the immigrant's experience of England. Zadie Smith has her finger on cultural pulses like few other writers. You always want to hear what she has to say about everyday cultural life. And especially she provides insights into the germs of terrorism. I loved her rendition of Jamaican speech patterns. She's fantastic at evoking the inventive vitality of improvisations of the English language. At times it can be a novel that revels in its own silliness. As if Zadie gets carried away with her own youthful zest. And the ending is a bit of a damp squid. She orchestrates all her characters to gather in the same room at the end of the novel, all bursting with their conflicting imperatives and somehow manages to create a denouement that is both a bit daft and highly unsatisfactory. Nevertheless, lots to love here. ",80,0.9808,0.039,0.788,0.173,0.4863775510204081,POSITIVE,0.9995
9,676669040,07/24/2013,5.0,"There need to be more books like this in the world. Little bit cocky, little bit sharp, written within my lifetime by someone with little to no representation in the halls of esteemed literature by means of race and gender and what have you and does not give a flying fuck about it. The setting may be the well worn island of merry old 20th century England for the most part, but the reality is that of the 21st. Smorgasbord where white men get as proper a representation in the wider plain of reality as demonstrated by their worldy demographic percentages, rather than the plague of pretense sludging its way out of the past and into modern day entertainment maintaining against all odds that women are objects and people of color haven't been invented yet? Yes please.I've noticed a common tone of grimaces and smirks at the college days of dorm room philosophizing, BYOB's galore in the booze and bong and Bourdieu, and I have to say, why? Shell out thousands for tuition, break your back and brain on everything so that you may make a living and never live it for the rest of your days, so that we may scoff at and scorn the few moments youthful selves stretched out their mind out of their own true volition? For if that's your habitus, you're not going to like this book at all. There's no college here, mind you, nor the slightest hint of academic satire beyond the teachers and the parents and the volcanic smoldering that is the thousands of fags smoked in every courtyard of a colonial workhouse turned school. Rather, there's that periodic expounding on the smaller things in view of the bigger and vice versa, the sociopolitical/cultural/religious -isms galore in tidbits between plot and character and the standard rest, enough that I've just gone back to shove that four star up to a dazzling five because fuck it, I'd have to read ten of the classics to get the amount of true and glorious angry pointing out the lies and filth and prejudice of our world, our times. You say Middlemarch, I say been there, loved that, but these days of mine are played to the tune of ""It's a Small Cosmopolitan World After All"", and ivory towers just aren't going to cut it any more, no matter how well intentioned or lucky in hotfooting it out of hell. Heard of the Bechdel Test? Try the variant for people of color, or perhaps the Mako Mori Test. True, the book didn't pass the Russo Test, but there's a reason why I'm on the lookout for more Zadie titles to grace my shelves.Now, since one side of my family has been in area of the later named United States since the 1600's, while the other is claimed to have been wandering around since the 1500's by an especially fervent Great Aunt, my sense of being an immigrant is nigh nonexistent. Thus, I'm not going to do anything inane like compare this work to the likes of Lahiri and Kogawa and other variations in the theme and said that the way the subject was handled felt more or less real to me. However, if you couldn't tell by my rant above, Zadie seized on the true and utter consequences of the people perceived as other migrating to and living in the country of the ""self"" perceivers and got angry about it. The result is an admittedly hilarious and corkscrew escapade across a multivarious cast of at least four generations, but the righteous fury is there, enough that I'm amazed I haven't come across one of those reviews decrying it for being ""too political"" or whatever the term is for authors mixing their Entertainment with Truth. Regarding said reviews, I have seen ones dismissing the characters as unsympathetic caricatures, bemoaning the conclusion, wielding hedge clippers at the plot, what have you. To that I say...ehh. It's been a while since my baseline lay along those particular lines, and seeing how this reading turned out niggling doubts and annoyance free, I'd say I'm the better for it.",70,0.9961,0.068,0.788,0.144,0.4467549923195084,NEGATIVE,0.59
