,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,1862351383,01/02/2017,4.0,"English (The Tales of Beedle the Bard) / Italiano«There was once a kindly old wizard who used his magic generously and wisely for the benefit of his neighbours»Directly from the Hogwarts Library, with commentaries by Albus Silente, here we have a collection of stories for young witch or wizard, the equivalent of muggle fables for muggle kids (namely un-magic children). And muggle Arianna, my daughter, cannot but appreciate the umpteenth bedtime reading on the Rowling's universe. In fact, she listens carefully, wide-eyed, then she giggles, then she gets serious, again she laughs heartily, and so on. In short: the perfect goodnight.""The Wizard and the Hopping Pot"" tale deserves a special mention. It is a quite criticised story by the magical community, due to its bottom line in favour of the muggles. A father teach a lesson to his son, preaching love and tolerance for un-magic people, the muggles, that is to say... ourselves, the readers.And I, muggle for many generations, am so jaelous of all the un-muggles. Damn!Vote: 7,5«C'era una volta un vecchio mago gentile che adoperava la magia con generosità e saggezza a beneficio dei suoi vicini»Direttamente dalla Biblioteca di Hogwarts, commentate nientemeno che dal Professor Silente, arriva una raccolta di storie per giovani maghi e streghe, l'equivalente delle fiabe babbane per bimbi babbani (ossia per bambini non magici). E la babbana Arianna, mia figlia, non può non apprezzare questa ennesima lettura serale sull'universo narrativo della Rowling. E difatti ascolta con attenzione, occhi sgranati, poi sghignazza, poi si fa seria, poi di nuovo ride di cuore, e così via. La buonanotte perfetta.Menzione speciale merita la fiaba ""Il mago e il pentolone salterino"", racconto piuttosto criticato dalla comunità magica per via della morale pro-babbana in esso contenuta. In questa fiaba infatti si predica, attraverso una lezione che impartisce un padre al proprio figlio, amore e tolleranza verso il popolo non magico, i babbani, vale a dire... noi, i lettori.Ed io, babbano da svariate generazioni, provo invidia per tutti i non-babbani. Mannaggia!Voto: 7,5",165,0.977,0.038,0.853,0.109,0.6080782312925169,POSITIVE,0.9834
1,1815930575,12/16/2016,5.0,"2020 - I listened to the new audiobook that's narrated by a lot of the actors from the movies and it was INCREDIBLE. There were even sound effects and everything and it was a lovely listening experience. I still love these stories so much and my only complaint is that I wish there were more of them!2016 - If you know me, then you may know that I've tried to read fairytales from the Grimm Brothers, Hans Christian Anderson, and from the collection of Arabian Nights and have been unable to finish any of them because I honestly didn't like the stories and thought they were overly preachy and odd.This, however, will be the book of fairytales that I read to my future children. I fucking loved it. The stories were a mix of wonder and darkness, of hope and love, and the extra notes from both Dumbledore and Jo were the perfect addition to this wonderful little book. I only wish there were more stories! What a gem!",138,0.9865,0.034,0.769,0.197,0.5604338842975207,POSITIVE,0.9999
2,2557839856,10/10/2018,5.0,"Gah! The Tales are awesome and the illustrations are spectacular =) Well, what did you expect with those two! Just gonna leave some pics down below ↓The one below is a big pull out pic in the book! OMG! There are tons more but don't y'all think I added enough pics? I do, I'm tired now! Enjoy! Happy Reading! Mel ♥",137,0.9147,0.069,0.698,0.233,0.6808080808080809,POSITIVE,0.9998
3,2868744993,07/21/2019,4.0,"Written and published to support Lumos, J.K. Rowling's charity that works to transform the lives of disadvantaged children - this book is much more than an afterthought, but a lovely little bit of expansion of the Harry Potter universe.Five classic 'magical' tales, that akin to fairy tales have a dark-ish lilt, have a lesson and feature memorable characters. In addition Dumbledore's additional notes are a a deep well of information for context about how these stories were interpreted over the years. A little gem of a book. 8 out of 12.2019 read",127,0.8674,0.02,0.853,0.127,0.6020833333333334,POSITIVE,0.9999
4,33252463,09/19/2008,5.0,"Apparently I'm getting this for Christmas. ROCK ON....Having not read this yet, my favorite part was that on the day it showed up on Amazon it immediately placed above Breaking Dawn for most preorders ever received (currently in system, obvy). It was like, okay, everyone who says Smeyer is the new JKR. Smackdown.Finally read, years later: Loved it.",112,0.9001,0.0,0.803,0.197,0.456060606060606,POSITIVE,0.9845
5,40400172,12/18/2008,3.0,"I felt very warm and fuzzy reading new JKR. How can I not love an alleged children's writer who mentions murder, mutilation, cannibalism, adultery, and bestiality all within the span of 110 (ultra-short) pages? The stories are on the meh side, but Dumbledore's commentaries showed a smart, literary eye that reminded me briefly of Pale Fire. I'm all, ""Hey, JK, you did your thang."" Be that as it may, I'm a bit offended by the Dumbledore's anti-anti-Muggle bias. I see nothing wrong with witches and wizards not wanting to associate with Muggles. I hate Muggles, they are the worst! And I have Muggle heritage myself (but don't tell anyone I said that, EEW EEW EEW!) so you know I can't be magicist. Sometimes I look in the mirror and I think, ""Go back to where you came from, Mudblood!"" So I did -- but the staff at New York Presbyterian wouldn't take me back.",99,-0.9191,0.15,0.779,0.071,0.4701498501498501,NEGATIVE,0.9968
6,971021581,06/18/2014,1.0,"This didn’t work at all for me. It felt too gimmicky. It felt like it was trying too hard to be part of wizarding universe rather than actually being part of it. Dumbledore’s notes were here in an attempt to guide the reader though in actual fact they just made the experience much worse. They felt more patronising than anything really. That being said, it’s a fun attempt to create a foundation for Rowling’s already vast and complex fantasy world. But I don’t think it needs it. If you look at Tolkien and  The Silmarillion,  that book actually added something to middle earth. It builds upon the groundwork and explores the full history of the writing. It gives you so much more detail. Granted, this is an altogether different creature, but I don’t think it adds much to the wizarding world. There are glimpses of this book through the full Harry Potter series, and we hear about its nature, but I don’t think seeing it here changes much.If anything, my perceptions of the book are lessoned because it just didn’t live up to expectations. It’s supposed to be this legendary book containing dark stories perhaps a bit similar to Grimm’s fairy tales in the real world. Generations and generations of wizards have read it and it is always raved about by the characters. It’s supposed to be something fantastic, and it’s not. It’s a book of very, very, basic stories that do not have the ability to stand on their own feet. It cannot be read in isolation from the main work and it is terribly short lacking any sense of substance or literary merit. All in all, it’s a book written for the strongest of Harry Potter fans. I love the series too, but because of this it doesn’t mean this book is automatically going to receive my admiration. It’s a good idea, though it is very poorly executed.",97,0.9674,0.041,0.86,0.099,0.45953125,NEGATIVE,1.0
7,3916242236,03/30/2021,5.0,"

(Throwback Review) I am one among the lucky generation who were able to queue up in front of the bookshops on the releasing day of the new Harry Potter book to purchase it and finish reading it on the first day itself. If you ask me which are the most valuable books I have, the answer will definitely have the first edition of all the Harry Potter books.This book deals with five fairy tales related to the magical world. The additional notes given by Professor Albus Dumbledore will provide you with a unique reading experience. My favorite, like many other readers, is the tale of three brothers, which was mentioned in Deathly hallows

 “The quest for the elder wand nearly supports an observation I have had occasion to make many times in the course of my life that humans have the knack of choosing precisely those things that are worst for them.”

",96,0.8955,0.025,0.87,0.104,0.6208556149732621,POSITIVE,0.9993
8,1476553670,12/22/2015,5.0,"I actually started this a few nights ago and would read one story each night but completely forgot to add it to my currently reading shelf! I absolutely loved these stories, as well as Dumbledore's commentary. I learned some new things, and connected a few others. They were such a phenomenal addition to the books, especially Deathly Hallows. I will forever love The Tale of the Three Brothers, and it will always be a classic tale for me. I can't believe how much effort J.K. Rowling put into every single aspect of her series, just to make it that much more wonderful. I love how she wove magic into five completely different stories of her own making. This takes so much time, effort, and devotion and I will forever be grateful for all the love that she puts into her books. I will continue to reread these lovely tales whenever I need a little magic in my life. Hopefully in the future I will also read these to my children along with the Harry Potter series. Every addition to this amazing series brings me so much joy and I can't say enough good things. I highly recommend giving these a read! You won't be disappointed! She gave it her all and I could never give this less than 5 stars! ",88,0.9975,0.012,0.711,0.277,0.5141565000655909,POSITIVE,0.9985
9,1237022551,03/25/2015,1.0,"once upon a time, when i was a child and therefore still a harry potter fan, i received two harry potter branded items for christmas (in spite of the satanic implications).one was a box of fudge flies from the apex of human civilization and the greatest place on earth, FAO Schwarz, and the other was this book.the fudge flies were amazing. they had, like, softer chocolate on the inside, and it was actually fairly quality chocolate to my 11 year old sensibilities, and i hate the whole box for breakfast and felt sick the whole day. it ruled.this book sucked.even in 2008, jk rowling was money-grubbing, getting as much cash as humanly (wizardly?) possible out of this series before we all started realizing the books are racist and dumb and she's a transphobic turd. and this was boring, and i didn't like it even when i still worshiped at the wizard altar.that's all there is to it.part of my review-books-a-long-time-ago project, which i do on here from time to time, and my hating-jk-rowling project, which i do constantly, everywhere, always.",78,-0.1027,0.102,0.792,0.105,0.572842261904762,NEGATIVE,1.0
