,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,61919904,07/02/2009,5.0,"Schott's Miscellany is a fascinating book of interesting, random, bizarre, hilarious, and informative facts and oddities. From Cockney Rhyming Slang to ways of saying ""I love you"" in numerous obscure languages (including Braile and Morse code), to sign language and Shakespearian insults, shoelace lengths and airport marshalling signals, the Miscellany is just as fun to pick up and read as it is a great reference source for all manner of things.",4,0.9468,0.059,0.704,0.237,0.6111111111111112,POSITIVE,0.9987
1,14405156,02/02/2008,5.0,"A less cultured man might refer to this as excellent bathroom reading... and, oh hell, well that it is: But that and so, so much more. From a collection of Euclidian Axioms and Postulates to a list of Academy Award Winners (up until 2002, when it was published); From a listing of the rules and weight classes in Sumo Wrestling to a run down of all the famous people on the cover of The Beatles Sgt. Pepper album, this pocket sized hardback with it's own elegant little red silk bookmark attached to the spine makes a great gift for the terminally nerdy on your list or simply the perfect thing to put on the coffee table when the bong comes out. A book you will read and re-read - most likely, every time you use the bathroom.",3,0.9657,0.038,0.788,0.174,0.6308465608465608,POSITIVE,0.7336
2,1495501316,01/04/2016,4.0,"This is really a book for dipping into rather than reading but I did enjoy my journey through it. The miscellany included often provoked a laugh such as the entry listing some of Anatole's meals (Anatole is the chef of Bertie Wooster's Aunt Dahlia, in case you are not a Wodehouse aficionado). If you have any taste for trivia, this is worth browsing!",3,0.8805,0.038,0.791,0.17,0.2799999999999999,POSITIVE,0.7702
3,1193578650,02/07/2015,5.0,"If you love random tidbits of information, you will adore this book. I’ve taken to keeping a commonplace book, and I copied so damn much from this book it’s ridiculous. Almost all of the information is useful in some way. Heck, I copied out the common alchemy metals — because why not? — which turned out to be handy when I read the All Souls Trilogy by Deborah Harkness. I have found myself referring to these quotes and snippets of information in my daily life, which is incredibly surprising. A great topic of conversation and the perfect bathroom companion, I can’t recommend Schott’s Original Miscellany enough.",2,0.9637,0.05,0.731,0.218,0.5538461538461538,POSITIVE,0.6587
4,483872558,12/23/2012,5.0,Fabulously wonderful reference book.How to wrap a sari is in the same book as Degrees of Freemasonry,2,0.6478,0.0,0.726,0.274,0.5625,POSITIVE,0.9948
5,3035987612,11/04/2019,5.0,Such a charming book. I learnt some random facts that i will never use but it was a good read,0,0.7391,0.0,0.691,0.309,0.65,POSITIVE,0.9928
6,30229773,08/15/2008,5.0,"Omigosh...just started reading this last night as I'm in the midst of the odd quest to read something from each side of each aisle of Cascades Library.I'm pretty sure you're not supposed to read this straight thru, but it was either this book--or beginning Word Perfect...which would you choose.so loving it. It's like my nonsequitar brain has found it's god...and yes...it does want a space ship.Update:I finished it and i loved it. I may actually have to buy it...not cuz it's cover to cover...but because it's just fun to open to a random page and learn something odd.-j",0,0.9736,0.015,0.76,0.225,0.5141414141414141,POSITIVE,0.9999
7,858895128,02/18/2014,4.0,"I came across this indispensable volume of worthless information in a box of giveaway books. It is perhaps altogether appropriate that also in this box were Portuguese-language books on Feng Shui, Spanish-language Bible study materials from the '70s, books on gardening, and an anthology of Chinese poetry. Sad though I was to remove this little book from its motley home, I was glad to let its contents fill my head, and to have some stuff actually stick. For the most part, a fun little read with plenty of inconsequential details and some gems strewn throughout.",0,0.1477,0.061,0.872,0.067,0.5833333333333334,NEGATIVE,0.8936
8,1038405811,08/27/2014,5.0,"I finished this book on a Friday evening with a glass of wine, dictionary, Wikipedia, and some jazz, and I'm obsessed. Why aren't there more well-designed, well-written, and humorous miscellanies like this verbal divertissement? Having been raised in three countries, I always feel like I am lacking in general knowledge and common sense, as most of my formative years were spent mastering a new language and social circle instead of pursuing trivia. Mr. Schott's treatment of miscellany is familiar yet distant -- the perfect way to draw in a reader like me.",0,0.9022,0.018,0.836,0.146,0.5392676767676766,POSITIVE,0.9989
9,1175432674,01/20/2015,5.0,"This book of random facts suits me perfectly! I frequently pick it up, read a couple of pages, put it down, and do it all over again. I've read it cover to cover at least 3 full times and I'm still entertained by it.",0,0.8016,0.0,0.844,0.156,0.4077777777777777,POSITIVE,0.9992
10,136657507,12/26/2010,4.0,interesting collection of random trivia,0,0.4019,0.0,0.597,0.403,0.5,POSITIVE,0.9871
11,203311521,08/29/2011,3.0,A good sort of book to have by your bed to read between things. I learned (and quickly forgot) all sorts of interesting facts.,0,0.6808,0.0,0.781,0.219,0.5333333333333333,POSITIVE,0.9996
12,215816797,09/27/2011,5.0,great book if you love lists,0,0.8519,0.0,0.325,0.675,0.675,POSITIVE,0.9216
13,968013576,06/15/2014,5.0,I love trivia so I loved this book :),0,0.908,0.0,0.26,0.74,0.7999999999999999,POSITIVE,0.9893
14,1055269508,09/14/2014,5.0,Fascinating! Answered many questions I didn't even know I had!,0,0.6229,0.0,0.632,0.368,0.675,POSITIVE,0.9985
15,148264404,02/14/2011,5.0,"fascinating, funny, and well presented minutiae",0,0.8176,0.0,0.261,0.739,0.925,POSITIVE,0.9997
16,2054176909,07/09/2017,3.0,"A small book of sometimes useful trivia. Unfortunately a proportion sufficient to irritate has been made out of date by events relatively quickly. The Miscellany was produced in 2002/2003 so that misses us a few Bond films, British Prime Ministers and Christmas Number 1 Singles.Any future edition should contain only material that is purely historical or which does not rely on new data to be complete. Otherwise, its value will be much diminished. Nicely produced but not short of the rare literal despite its pretensions.",0,0.1433,0.06,0.861,0.079,0.4253030303030303,NEGATIVE,0.9998
17,2344280853,03/31/2018,4.0,"Absolutely adore this book and everything in it. I would reccomend it to everyone, as there is information and trivia within for the layman and sophisticate alike. Within this collection of miscellany, Ben Schott has embodied the art of skimming over reading. Many may pan this work based solely on its premise, but those people are missing the point in my eyes. No matter who you are, get this book. Put it in your bathroom, on your shelf, on a nightstand or open on a coffee table.You will not be disappointed.",0,0.0843,0.059,0.869,0.073,0.54,POSITIVE,0.9995
