,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,1110169977,11/19/2014,3.0,"When I read this the first time I completely overlooked a main component of the book. I approached it as if was the second book in the series, a massive mistake. I wrote a review criticising the fact that the novel felt awkward; it had no beginning or end: it just felt like the typical content you’d find in the middle of the story. The ironic point of this is that most critics take the trilogy as one whole book, rather than three separate works. And this really is the best way to approach the story.  The Golden Compass  is the beginning of it all, the setting of the stage. This, then, is the middling part of the work. The second protagonist of the series, the Adam to Pullman’s Eve, takes the lead here. Initially, I was very resistant to this idea. I had grown to respect Lyra; she’s a really strong heroine, but after a while it started to make sense. Pullman has expanded his story considerably. Lyra has three chapters told from her perspective. The same amount, roughly speaking, is told from the perspective of Will. The rest of the chapters are from side characters of the previous book. So there’s a strong move away from a Lyra centred story.  I have mixed feeling about this. It felt like an odd authorial decision. At times this felt like an entirely different series altogether, again, something I eventually got over. There is no sense of closure at the end of this. The first book had a strong ending, but this has very little. This book seemed to be a mere set-up for the next instalment, which makes it rather difficult to review; it’s like picking out the middle bit of a story and trying to criticise it as a separate entity from the rest of it: it’s not easy to do. Any criticism you make are negated by the fact that this is not a separate book: it’s a chunk of a greater work. So I’m going to read the third book before I speak any more about this- I need to see where these elements Pullman added go to. Perhaps a review of all three works together would be the best option. At this moment though, I find the witches one of the most interesting aspects of the work. I’m not entirely sure what to make of them as of yet. Hopefully, the third book will give me all the answers I need. ""All through that day the witches came, like flakes of black snow on the wings of a storm, filling the skies with the darting flutter of their silk and the swish of air through the needles of their cloud-pine branches. Men who hunted in the dripping forests or fished among melting ice-floes heard the sky-wide whisper through the fog, and if the sky was clear they would look up to see the witches flying, like scraps of darkness drifting on a secret tide.""  ",154,0.984,0.067,0.818,0.115,0.4251234567901235,NEGATIVE,0.8786
1,4460795933,01/09/2022,4.0,"“I found folly everywhere, but there were grains of wisdom in every stream of it.”I’m a bit torn about the second instalment in His Dark Materials, The Subtle Knife. The whole story feels a bit rushed and short, on which I feel Pullman put a lot of weight on, wanting to introduce new characters, giving the old and the new characters psychological depth and development, having a lot of action, engaging in scientific thought experiments, commenting on politics and anthropology and giving a critique of religion and Christian God. It is a lot of expectations for ya/children's fantasy book with 250 pages. But one thing is certain, Pullman knows how to write a gripping story, as the pace is perfect and prose simply flows which makes the reading process undemanding and pleasurable.I like the newly introduced character of Will Perry, the male protagonist that accompanies Lyra on her adventures. Will is a child of a mentally ill mother that he needs to take care of, and an absent father explorer he is endlessly longing for. The rawness of emotion that this longing is described with made me think Will is in a way mirroring Pullman himself, and interestingly, later on, I found out that Pullman sadly lost his father when he was 7 when his father was killed as a pilot in a plane crash. “He wiped the sweat out of his eyes with his right hand. What he couldn’t say was that he longed for his father as a lost child yearns for home. That comparison wouldn’t have occurred to him, because home was the place he kept safe for his mother, not the place others kept safe for him. But it had been five years now since that Saturday morning in the supermarket when the pretend game of hiding from the enemies became desperately real, such a long time in his life, and his heart craved to hear the words “Well done, well done, my child; no one on earth could have done better; I’m proud of you. Come and rest now.…”We again have a strong theme of parent/authority figure absence in the life of a child, that is present throughout the trilogy. Lyra grew up with no parents by her side, and Will has no memory of a father and has a mother that is not well, for who he has to take care of as she is his child. Here we see the reverse of the role of parent and a child, so often seen in real life, where a child is in a way robbed from his own childhood due to the fact it has to take adult responsibility prematurely due to the parent inadequacy. Which can be caused by the mental or physical illness of a parent, substance or alcohol abuse or even just emotional immaturity, when the parent expects their child to solve his own problems and carry his burden. That can eventually create all kinds of psychological disturbances in a child identifying with a role of savior, creating overly expressed altruism, neglecting his own needs in relationships and having immense guilt about having own thoughts and emotions, depression, as well as a feeling of discomfort living for self, not exclusively for others in constant effort and overwork. “...and partly his longing for his mother. He was afraid for her, of course, and he knew she’d be safer if he was there to look after her; but he wanted her to look after him, too, as she’d done when he was very small. He wanted her to bandage him and tuck him into bed and sing to him and take away all the trouble and surround him with all the warmth and softness and mother-kindness he needed so badly; and it was never going to happen. Part of him was only a little boy still. So he cried, but he lay very still as he did, not wanting to wake Lyra.”A lot of stories also revolves around the theme of the chosen child, in both Lyra and Will, exploring the pressure children carry on themselves in being a new beginning for the generation, somewhat the savior that can lift the sins of predecessors and finish all the good deeds in which they failed and even do much more, having the pressure of righting all the wrongs in the universe, and in a way birthing a new way of life for the world. ""You witches know something about the child Lyra.... Tell me the truth.... Name her!"" ""Eve! Mother of all!... Mother Eve!""“One day, you’ll follow in your father’s footsteps. You’re going to be a great man too. You’ll take up his mantle.”Continuing on the theme of multiple universes we are introduced to the world of Cittigazze, the children’s world where only children prevail as the adults are haunted by Specters, creatures that feed of consciousness and induce a state of disintegration, the madness of the mind. Pullman toyed around with the idea of consciousness connecting it to physics of the dark matter in scientific ideas, and to Angels, spirits, in a religious manner which as an end result seemed somewhat confusing, but acceptable in the vain that different disciplines may explore and try to understand the same thing under a different name. As Katia N brilliantly pointed in the comment of my review of the first instalment, Pullman’s theory of dust is akin to panpsychism, the concept of consciousness in which ""the mind is a fundamental feature of the world which exists throughout the universe"". Panpsychism has a long history in philosophical traditions of both East and West, and is also revived in analytic philosophy. Contrary to dualism, for Pullman, mind and matter are not fundamentally different kinds of things.  “Angels are creatures of Shadow matter? Of Dust? STRUCTURES. COMPLEXIFICATIONS. YES.And Shadow matter is what we have called spirit? FROM WHAT WE ARE, SPIRIT; FROM WHAT WE DO, MATTER. MATTER AND SPIRIT ARE ONE.”Pullman certainly becomes more prominent in the theme of moral inversion, as he is bluntly opposed to the Church while depending heavily on Christian symbolism, basically creating a multiverse of different worlds, all Christian, in striving to re-write Paradise Lost and Genesis, making the original sin the act of liberty in creating a new dawn for mankind and fallen Angels rightful rebels against the tyrant God. Pullman gives not an only critique of the Church, he declares a war on Christian God he wants to overthrow. “The God who dies is the God of the burners of heretics, the hangers of witches... [T]hat God deserves to die. The Authority, then, is an ancient Idea of God, kept alive artificially by those who benefit from his continued existence.”He perceives a Church as the morally corrupt, the wrong side of good, the machinery of lies, propaganda, cruelty and deceit for thousands of years of human history. “That is what the Church does, and every church is the same: control, destroy, obliterate every good feeling.”Again, I already talked about how I think Pullman is influenced by  Nietzsche's philosophy which also becomes even more evident in this instalment. Pullman has a similar standpoint to Nitzsche's notion of Christian morals presented in The Birth of Tragedy; that unconditional will of Christianity to recognize only moral values is dangerous “will to disown life” in its core, and it surfeits life in the hatred of the world and fear of beauty and sensuality. “It is the Magisterium, the Church. For all its history—and that’s not long by our lives, but it’s many, many of theirs—it’s tried to suppress and control every natural impulse. And when it can’t control them, it cuts them out. ”This also confirms the opinion I expressed in the review for Northern Lights, that I believe that Pullman's main philosophy is Gnosticism, believing that evil creator God and his angels caused ignorance and imprisonment. And fallen angels are consciousness and they lead others to consciousness, freedom and the greater state of being. “There are two great powers,” the man said, “and they’ve been fighting since time began. Every advance in human life, every scrap of knowledge and wisdom and decency we have has been torn by one side from the teeth of the other. Every little increase in human freedom has been fought over ferociously between those who want us to know more and be wiser and stronger, and those who want us to obey and be humble and submit.”He puts the emphasis on personal spiritual knowledge (gnosis), found in alethiometer, shaman experiences, devotion to science experiments or magic of witches, above the teachings, traditions, and authority of religious institutions. And to reach that kind of spiritual knowledge, Pullman gives instructions with quoting Keats; you have to be “Capable of being in uncertainties, mysteries, doubts, without any irritable reaching after fact and reason."" You have to get into that state of mind.”Here is where I get confused about the genre of the book. The problem is, the book is written in style children or ya fantasy would be written, as I would expect for the adult fantasy to have a more solidly constructed world and characters and to be much more elaborate in ideas. But the thing is, for understanding the concepts Pullman unveils in the trilogy, you have to be fairly well-read and acquainted in both theology and philosophy, favorably even physics. I don't think that a child or even a young adult could grasp the essence of Pullman's ideas, which left me quite confused when I was reading His Dark Materials as a child, not even being able to pinpoint what I don't like (spoiler; I did not like that I could not understand the concepts I vaguely understand now, many years of education and books after). I'm struggling to determine who is the perfect audience for the novels, as they are not (at least the first two) in ideas enough developed to satisfy you as a philosophical debate and are maybe too philosophical for younger reads who just want to read fantasy. (As someone wittily put in their review; I just want to read fantasy, and Pullman wants to have philosophical debate). But, no matter if one agrees or does not agree to core beliefs presented in the novels or with all the choices the author made, it is undeniable that Pullman is a brilliant craftsman of fantasy that created a legendary trilogy worth reading.",110,0.9582,0.125,0.736,0.139,0.4675860913280267,POSITIVE,0.8411
2,2555410225,10/15/2018,5.0,"

“Every little increase in human freedom has been fought over ferociously between those who want us to know more and be wiser and stronger, and those who want us to obey and be humble and submit.” 

",156,0.8162,0.095,0.605,0.3,0.375,POSITIVE,0.5432
3,444030962,10/29/2012,4.0,"The Subtle Knife (His Dark Materials, #2), Philip Pullman The Subtle Knife, the second book in the His Dark Materials series, is a young-adult fantasy novel written by Philip Pullman and published in 1997. The novel continues the adventures of Lyra Belacqua as she investigates the mysterious Dust phenomenon and searches for her father. Will Parry is introduced as a companion to Lyra, and together they explore the new realms to which they have both been introduced.عنوانهای چاپ شده در ایران: «خنجر ظریف»؛ «ل‍ی‍را و خ‍ن‍ج‍ر اس‍رارآم‍ی‍ز»؛ نویسنده: فلیپ پولمن؛ تاریخ نخستین خوانش: روز دهم ماه آگوست سال 2008میلادیعنوان: نیروی اهریمنی اش کتاب دوم - خنجر ظریف؛ نویسنده: فلیپ پولمن؛ مترجم: فرزاد فربد؛ تهران، کتاب پنجره، 1384، 1385؛ موضوع داستانهای نویسندگان - سده 20معنوان: ل‍ی‍را و خ‍ن‍ج‍ر اس‍رارآم‍ی‍ز؛ اث‍ر ف‍ی‍ل‍ی‍پ‌ پ‍ول‍م‍ن‌؛ ت‍رج‍م‍ه‌ ف‍رخ‌ ب‍اف‍ن‍ده‌؛ وی‍رای‍ش‌ ک‍ورش‌ طارم‍ی‌؛ تهران، راشین، 1384؛ در 391ص؛ شابک 9647851332؛سری سه گانه «نیروی اهریمنی اش» در ایران در پنج مجلد چاپ شده: ک‍ت‍اب‌ اول‌ شامل دو مجلد ب‍خ‍ش‌ اول‌ و دوم، عنوان: س‍پ‍ی‍ده‌ ی‌ ش‍م‍ال‍ی‌؛ جلد سوم همین ک‍ت‍اب‌ دوم‌، عنوان: خ‍ن‍ج‍ر ظری‍ف‌؛ و جلد چهارم و پنجم، عنوان: دورب‍ی‍ن‌ ک‍ه‍رب‍ای‍ی‌ یک و دو؛در کتاب نخست خواندیم که «لرد عزرائیل» پس از کشتن «راجر»، سوراخی به دنیاهای دیگر باز می‌کند، «لایرا» از راه همان سوراخ، وارد شهری به نام «چیگاتزه» می‌شود، که مورد هجوم اشباح قرار گرفته، و در آن شهر، تنها افرادی که به سن بلوغ نرسیده‌ اند، از هجوم ارواح در امان هستند؛ در آن شهر «لایرا»، با پسری به نام «ویل پری» آشنا می‌شود؛ «ویل» و «لایرا» خنجری را بدست می‌آورند، که می‌تواند لایه ی میان جهان‌های موازی را بریده، و پنجره‌ ای رو به سوی دنیاهای دیگر باز کند اما…؛ نقل از متن: (دو تا افسر پلیس داشتند به طرف آنها می‌آمدند؛ یک زن و مرد بودند که داشتند گشت می‌زدند؛ آنها پیراهن‌های سفید تابستانی به تن داشتند و بی‌سیم و باتوم‌هایشان هم همراهشان بود؛ نگاه‌های مشکوکی هم داشتند؛ هنوز به نیمکت نرسیده بودند که «لیرا» بلند شد و گفت: ـ‌ ببخشید، می‌شود بگویید موزه کدام طرف است؛ پدر و مادرمان آنجا منتظر من و برادرم هستند؛ ولی ما گم شده‌ایم؛ مرد نگاهی به «ویل» انداخت؛ «ویل» در حالی که سعی می‌کرد خشمش را کنترل کند،‌ شانه‌ هایش را بالا انداخت؛ انگار که می‌خواست بگوید او راست می‌گوید، ما گم شده‌ ایم، شوخی نیست؛ مرد لبخندی زد؛ زن گفت: «کدام موزه؟ اشمولین؟» «لیرا» گفت: «آره، همان.» و بعد وانمود کرد که دارد با دقت تمام به راهنمایی‌های زن گوش می‌دهد؛ «ویل» بلند شد و گفت: «خیلی ممنون.» و بعد به همراه «لیرا» از آنجا دور شد؛ آنها یکبار هم به پشت سرشان نگاه نکردند، ولی پلیس‌ها دیگر توجهی به آنها نداشتند؛ «لیرا» گفت: «دیدی، اگر آنها دنبالت بگردند، من دست به سرشان می‌کنم، چون آنها دنبال کسی که خواهر دارد نیستند؛ بهتر است از حالا به بعد همراهت باشم.»؛ و به ‌محض پیچیدن از گوشه دیوار با لحن سرزنش‌آمیزی ادامه داد: «تو تنهایی در امان نیستی.»؛ «ویل» هیچی نگفت؛ از شدت عصبانیت قلبش تندتند می‌زد؛ آنها به سمت ساختمانی که گنبد سربی داشت رفتند، و در وسط میدانی نشستند؛ دور تا دورشان ساختمان‌های سنگی سفید رنگِ دانشکده‌ها و درختان پرپشتی بود، که بر فراز دیوارهای باغ سر کشیده بودند؛ کلیسایی هم در آن حوالی دیده می‌شد؛ خورشید گرم‌ترین اشعه‌ هایش را که مثل شراب طلایی رنگ بود می‌تاباند، و هوا را گرم می‌کرد؛ برگ‌ها تکان نمی‌خوردند؛ در این میدان کوچک، حتی صدای رفت و آمد ماشین‌ها هم خفه شده بود؛ «لیرا» متوجه حال «ویل» شد و پرسید: «چی شده؟» «ویل» با صدای لرزانی گفت: «اگر با مردم حرف بزنی، توجه‌شان را جلب می‌کنی؛ تو فقط باید آرام و ساکت بنشینی؛ آنها هم از کنارت رد می‌شوند و می‌روند؛ من تمام عمر اینکار را کرده‌ ام؛ می‌دانم چطوری می‌شود اینکار را کرد؛ تو با این کارت خودت را نشان می‌دهی، و دیگران متوجهت می‌شوند؛ دیگر نباید این کار را بکنی؛ این مسئله شوخی‌بردار نیست،‌ فهمیدی؟» خون «لیرا» به جوش آمد: «تو همچین فکری می‌کنی؟ فکر می‌کنی من هیچ ‌چیز درباره دروغ گفتن و اینجور چیزها نمی‌دانم؟ من خودم بهترین دروغگوی عالمم؛ ولی به تو دروغ نگفته‌ ام، و قسم می‌خورم که هیچ‌وقت هم نگویم؛ تو در خطر بودی، و اگر من این کار را نکرده بودم، حتماً گیر می‌افتادی؛ نفهمیدی آنها داشتند بهت نگاه می‌کردند؟ نه، نفهمیدی، چون درست و حسابی مواظب نبودی؛ می‌دانی، به ‌نظر من، تو خودت این قضیه را شوخی گرفته‌ ای.» ـ‌ اگر من این قضیه را شوخی گرفته بودم، پس برای چی اینقدر این دور و برها پرسه ‌زدم تا تو بیایی؛ می‌توانستم کیلومترها از اینجا دور بشوم، یا خودم را توی آن شهر قایم کنم؛ با وجودی که خودم کلی کار دارم، همین‌طور این اطراف گشت زدم، تا بتوانم بهت کمک کنم؛ پس بهم نگو که قضیه را شوخی گرفته‌ ام؛ «لیرا» با عصبانیت گفت: «تو باید می‌آمدی.» هیچکس حق نداشت با او اینطور حرف بزند؛ او یک اشرافزاده بود...؛ او «لیرا» بود؛ ـ‌ تو باید می‌آمدی، وگرنه هیچی از پدرت نمی‌فهمیدی...؛ تو اینکار را برای خودت کردی نه من)؛ پایان نقلتاریخ بهنگام رسانی 25/02/1400هجری خورشیدی؛ ا. شربیانی",104,0.7184,0.0,0.991,0.009,0.5318181818181817,POSITIVE,0.9985
4,2750552158,03/17/2019,5.0,"4.5****”What is he? A friend, or an enemy?”...“He is a murderer.”This book has the introduction of Will; a young man/boy who is compassionate, caring, brave and a warrior. After a frightening account, Will has to go on the run where he escapes to a different world to the deserted city of Cittagaze, and meets an interesting girl called Lyra Belacqua, her Daemon; Pantalaimon and her ability to read a strange instrument called the alethiometer. This strange world runs parallel to his own. They learn to begin to trust each other and their fates become intertwined, each relying on their developing friendship, courage and bravery. They discover strange mishaps in this strange city and learn of a powerful weapon- the subtle knife that is so powerful it can cut through worlds. A knife that will only respond to the hand intended to wield it.Like the first book, this was a wonderful literary adventure. This book takes off where the first book ended and Lyra has travelled to another world, staying in the deserted city alone for a few days before the surprise meeting with Will. I loved the developing dynamics of Will and Lyra’s friendship.This hold more multiple points of view than in the first book, with storylines from Lee Scoresby and Serafina Pekkala especially. This, again contained heartbreak, deaths and dark creatures/story lines. However, there is the brightness of a developing friendship, strong bravery, and many connections between the plot lines are made and fit into place. ",103,0.9937,0.07,0.69,0.24,0.5169444444444445,POSITIVE,0.9986
5,3746043952,02/09/2021,5.0,"First reaction: SHOCK! Becös...(Sorry, if you're not Italian you won't get the joke, just google ""Matteo Renzi"" and you'll understand)La mia recensione qui: https://youtu.be/qZcbV125t4A",88,-0.7726,0.269,0.731,0.0,0.1666666666666666,NEGATIVE,0.992
6,1353861265,08/03/2015,4.0,"Weird like The Wizard of Oz, magical like Harry Potter, and interesting, totally unlike ""Chronicles of Narnia."" The symbolism is so agog, so strange... Obviously, it makes for a great young adult novel!",62,0.9471,0.038,0.558,0.404,0.5944444444444446,POSITIVE,0.8791
7,9948430,12/04/2007,1.0,"I am not a fan of forwarded emails. They frustrate me, because they usually come from the same group of people, people I like a great deal but who never send me a normal ""hey, how's it going?"" message. Just ""Support our Troops"" or ""Tell every woman you know she's special"" or ""Microsoft is running a test and if you send this you could get a check for $1,000!"" When I see the letters FWD in the subject line, I usually simply delete it.I lost track of the number of emails I received telling me about the Anti-God movie The Golden Compass and the need to boycott the movies and the books. It was well over ten. Ten people wanted me to send that email on to everyone I know, telling them the same thing. Don't see this movie! Don't read these books! Alert! Alert! Alert!Nothing like calling attention to something like a planned boycott. I haven't seen the movie, because I'm cheap and it's not something I'd take my kids to or something I'd be prone to see anyway, but as I had already read the first book in the series, enjoyed it and hadn't found it to be Anti-God, I was curious to read the next to see what the fuss was all about.I don't know if the emails worked and I read with a bias, but I did not enjoy this second book. Not because it is Anti-God...which it really isn't, but more anti organized religion and organized religion's version of god, but because the writing is bad.Dialogue - choppy.Descriptions - cliched. (how do I get that little accent marking over the e?)Storyline - totally falters.I felt enormously disappointed in the direction of this book. Lyra, the young female protagonist in search of dust and her father, all but disappears in this second story. She still plays a part, but now as the sidekick to Will, a new character who is a giant ""young adult fiction"" stereotype (in search of the father he never knew while protecting his mother from bad guys and seems to be gifted in the combat department). I don't remember the writing being bad in the first book. I thought it descriptive and unique and thoughtful. Not so, in The Subtle Knife. Pullman changes gears and loses focus. There is a lot more going on and none of it is developed well. I stopped caring about the characters and their goals.I think these books had great potential. There could be a lot to discuss with adolescents (not young children...at all). The nature of the soul, the natural man, the costs and benefits of religions. All appropriate things to discuss with youth ready to question and discover on their own.Pullman takes that conversation away with his lack of metaphor. It becomes impossible to argue, ""I think the dust means this."" or ""what do you think The Authority is for Pullman?"" when he throws his opinion at you with real life Christian beliefs. It's inappropriate and unfair. Write a fantasy or a satire or a parable if you want to. Other authors have done it...and done it well.Pullman didn't.I won't be reading the third book.",59,0.9461,0.096,0.778,0.126,0.4636176323676324,NEGATIVE,1.0
8,409232252,09/07/2012,5.0,"I share this review again in the fall of 2017 as a fourth volume (though Pullman later wrote two companion pieces to the trilogy, entitled Lyra's Oxford, and Once Upon a Time in the North), The Book of Dust, has been released, to encourage all ages to read. As with most great ""children's"" books, there are a range of levels on which Pullman is working. He's taking on the Roman Catholic view of reality, C.S. Lewis (in The Chronicles of Narnia), and is in conversation with John Milton, whose Paradise Lost he both loves and contends with in places. But you don't need to know any of that to love this series.This is the middle book in the trilogy, and I like the first and third volumes more, big surprise. More exposition, less action, more trudging to final destinations, but you know, the writing is still exquisite, and it has surprises. One key surprise is that after focusing on Lyra in the first series, this second book opens with a focus on yet another central character, Will. When I first read this I was confused, and more than a little disappointed, as I saw a wonderful strong girl character shoved aside as usually happens in all books for a BOY main character. That isn't quite how things work, really, though, as they share the stage, and they open up new vistas and back stories and new worlds together. This is seen as a sixth grade children's series, but in truth, the older you are, the more you will get out of it, as in all of the greatest ""children's stories"" of all time, including The Wrinkle in Time, and so on. Pullman is taking on our limited view of ""reality""-- he's engaging in physics, theology, anthropology--with a laser beam on the Holy Roman Church in particular. It's not so much an attack on The Church as an exploration of the nature of true religion, and a wider, more generous, less sin-obsessed view of the world. It's a wonderful series, which I listened to while traveling around the country with the family, a wonderfully produced cd series. It's the second volume of a trilogy, so you obviously don't begin here, but you won't regret the time you spend on the adventure. It's awesome. And whether you have read it or not, I recommend this audio version, with Philip Pullman Himself narrating, joined by a wonderful cast of characters. ",56,0.9968,0.04,0.772,0.189,0.4562473474238179,POSITIVE,0.9987
9,2587245303,11/07/2018,,"Mmmmk. So I rated this 2.5 stars when I read it a few months ago, and I was unsure if I would finish the series... I've since decided I won't be reading book three. I'm honestly pretty disappointed with a tweet the author posted and his subsequent responses to those who replied, especially his trans readers. In this case, I've decided not to separate the author from the work.",46,0.2732,0.074,0.837,0.089,0.5800000000000001,NEGATIVE,1.0
