,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,109954554,07/04/2010,4.0,"Truth. That's what I kept thinking as I was reading this book. It's true and it's raw. It's sad and it's happy. Tony Parsons has a certain way of making the characters so real. I felt I knew Harry Silver. Really knew him, as a friend.I guess stories like this don't really need to be complicated to really draw readers in. In the first few chapters I was devastated when Gina and Harry break up. I actually felt pain for Harry during his tiny mid-life crisis when he sleeps with another woman. The book puts across the reality that is life. That relationships can't be all romance all the time. The fact that people do fall in and out of love. The pressure that people have in today's society to be happy and romantic all the time. I don't know why people kid themselves into thinking being with someone is an easy task. It's really not, espeically when you're with eachother for life and have a family.It made me empathise with little Pat, a child of divorce. The majority of my friends and exfriends have had divorced parents but they never really talk about it. What it was like when they intially split up. I'm so very lucky to have parents that have stayed together. The book brings to light the horrendous damage that divorce can bring upon a child and a parent. The quote that really got me;""You need a license to drive a car. You need a license to own a dog, but anyone can bring a child into the world."" It's true. Of course I'm not at liberty to really give my oppinion on parenting and in some cases- love itself. I'm only seventeen.I've kinda veered off the point of this review. In a nutshell, I totally loved it. The truth of life that nothing is really a happy ending. It's sad, but true and that's what I really like in a book :)",14,0.9847,0.082,0.748,0.169,0.5842752485609627,POSITIVE,0.997
1,25732474,06/28/2008,2.0,"This is an engaging, smooth read and I would have rated it higher had I never read/seen ""Kramer v. Kramer."" I really felt this was borderline plagarism and was very surprised the author could get away with recreating so much of that story, right down to details like carrying the child when he is injured on the playground. I am also surprised that 25 years later this story plays well. When Kramer came out, most men didn't have a clue about real hands-on parenting and a man with custody was unheard of...the ""Mr. Mom"" stories made great fodder. Today, I'd be hard-pressed to think of a young father who does not fully participate in every aspect of parenting (not housework mind you...we haven't come THAT far!). The protaganist does have some self-discoveries that were not covered in Kramer, but mostly it is the same book.",12,0.7707,0.013,0.9,0.087,0.494094304388422,POSITIVE,0.9919
2,45165237,02/02/2009,2.0,"I definately preferred ""About a Boy""- Nick Hornby has no competition whatsoever from Tony Parsons. Parsons tries to be funny. Fails, of course, but then it's made more pathetic by the fact that he totally pulls the heart strings to their fullest extent at the end. And that doesn't quite work. It was almost boring. Almost as bad as Jack Sheffield! [That's saying something:]. ",10,-0.9346,0.218,0.756,0.026,0.7351851851851853,NEGATIVE,1.0
3,2148849524,10/15/2017,1.0,How on earth did this sell a million copies?? Do not read!!,8,0.0,0.0,1.0,0.0,0.0,NEGATIVE,0.9993
4,48588129,03/08/2009,2.0,"reading ""Man and Boy"" is like listening to an easy-listening pop song. it is sweet, easy to guess, nothing in particular. it goes well, as usual, and everybody likes it. it is just; i am not really into pop music.though is beatifully written, i dont find any sense to fill up my soul after reading this book. it is just a too-easy-to-guess and happy ending story, good for the young couples. i think it will be better if the story of the father and the son (read: man and boy) is brought up more deeply and emotionally.",7,0.9674,0.0,0.788,0.212,0.5263888888888889,NEGATIVE,0.9998
5,3154644317,01/26/2020,4.0,"Overall I thoroughly enjoyed the book and found it very interesting to see a familiar enough story from an almost exclusively male view point. I did, I think because I'm a woman, feel irritated by the main man's somewhat blasé (in my opinion) attitude towards his and other male characters' misdemeanors. Is this, maybe, a true insight in to how worryingly differently men and women see certain things? I think the grandfather, son, grandson relationships were the highlight of the book and I think the way the illness and death were written about was among the best and truest I've ever read.",7,0.8856,0.084,0.733,0.183,0.4138278388278388,POSITIVE,0.9983
6,2169736863,10/31/2017,4.0,"The book kept me going as it was an easy read. Thoughts and feelings of the main character were described in details which made Harry Silver closer to the readers. And, although I would never spend my time with someone as unrealistic and whiny as him, the thing is that there are people who really cannot see the faults in their actions and somehow manage to make themselves victims. This is probably why someone would not like this book, you got to be very understanding with Harry. It was not easy getting close to the last 50 pages to see that he really does not see past his own problems and identity crisis. Furthermore, the biggest dissapointment was the portrayal of Gina's character after she went to Japan. Somehow, her lifelong dreams were presented as selfish and whimsy acts while her love for Pat was diminished to a level of mere custody fight. To conclude, I gave this book 4 stars because I read it through Harry's eyes and feelings. Not the feelings I would have after cheating on my partner but the feelings this hopeless romantic had. Not the feelings I would have everytime I see my father but the feelings this insecure young man had. And I would recommend everyone to do the same, just try to understand him.",6,-0.7143,0.097,0.831,0.072,0.5342592592592593,NEGATIVE,0.9992
7,2684430925,01/27/2019,2.0,Every character was awful and I have no idea what this book was meant to be about.,6,-0.6369,0.271,0.729,0.0,1.0,NEGATIVE,1.0
8,1160195690,02/26/2017,3.0,"I really wanted to read this book and finally got round to it. I felt it started with a bit of promise but kind of didn't get better. Meet Harry, happily married with a little boy and a good job. He cheats on his wife and she leaves him and also his contract isn't renewed at work. His wife is very upset as she gave up her dream to go to Tokyo to be with Harry and decides that she's going to go as a result. She leaves their son behind and Harry now has to be a parent to his son, a job that took him 10 minutes a day previously. He does step up to the plate and makes a go of it but still feels like the injured party in the whole situation. This was annoying. I mean, Harry seems like a nice enough guy but apologise to your wife and accept you did wrong. And no, you don't get a medal for being a single father for a short time. Gina annoyed me to an extent too, she just left her son and went to Tokyo, Seriously? Harry's parents were likable though and added a nice tough. I'm glad Harry accepted the challenges in raising his son, but he had little choice anyway. And the book ended the way I thought it would so there is an element of predictability.One this I didn't like was - they are in England but mum is 'mom' in the book. And they talk about soccer. It would have been good to use the English terms and spellings. My book is a US version but everyone knows that mum and Football are the same as mom and Soccer.",4,0.9462,0.107,0.735,0.157,0.5481150793650794,NEGATIVE,0.9999
9,1465315240,12/10/2015,,"[To be read in paperback, urgent as part of #InfiniteVariety2016.]",4,0.2023,0.0,0.833,0.167,0.0,POSITIVE,0.9868
10,336868149,05/26/2012,4.0,"Man and Boy by Tony Parsons is the story of how a man becomes a father to his son, and a son to a father. The affection Harry feels for his family, all of it, is obvious from the first page. As evident is Harry’s sense of self. He comes to realise that what he feels isn’t always enough, though. Approaching his thirtieth birthday, Harry is lost in between. He is no longer a child, but does not feel properly mature. He is married, but is unsure what that means. He loves his family, but isn’t quite sure why. But, Harry knows himself, even if ‘himself’ baffles him, and that thread is what makes this story so brilliant: Harry’s utter honesty. He makes mistakes and owns up to them. He feels and is ready to share that fact. He loves unconditionally, which is both uplifting and heartbreaking all at once. A month before his birthday, full of BIG questions and doubts, Harry makes a mistake. Then, within the course of thirty days, he loses everything he considered important. Over the next six months, he gains it all back, but not necessarily in the same form. Harry learns to be a father, not just a man with a young boy. He begins to understand his own father. He figures out what is important, and who, and he learns what love is. I thoroughly enjoyed this book. Harry’s voice was so real. At times, his observations were funny, at others, wrenching. I forgave him his mistake. I hated his wife. I cheered Harry’s successes and secretly plotted Gina’s failure. I loved that none of the characters were heroes (except for the possible exception of Harry’s dad). They were all ordinary people and could be wholly uncompromising. Not a one of them changed their mind for the sake of the plot or story; they were all themselves to the end. Even Harry—though he grew. At the end of the book, he was still Harry, still ‘himself’, but a much more content version. There is a sequel, Man and Wife. I am not sure if I want to continue the story, however, as I was satisfied with who Harry was at the end of this chapter. ",3,0.9941,0.09,0.721,0.189,0.5596031746031747,POSITIVE,0.9764
11,253413443,12/30/2011,3.0,"Harry Silver has everything that most people would envy to have: a beautiful spouse,great job in the media and a wonderful son. On the other hand, while most will love to have that kind of life, they do not realize the sacrifice that comes with it. Harry threw it all away after a one night stand, now he struggles to being a single parent and his ex often wonders if he is capable of taking on such a big responsibility. Raising his son alone is really hard, he asks common questions such as: Should you eat green spaghetti for breakfast? Is his son really the most beautiful son in the world or is that just a trend that goes around? Is he fit to be a parent? Gina regrets that she left her child with Harry, so she wants him back in her life, although she is in Tokyo trying to have a fresh start. It does not get any better that Harry's father health is dying and he is falling in love at the wrong time. He soon has to make a decision that is best not only for himself but for his dear son that he adores. This is a witty, insightful and inspirational about making the right choices in the end.",3,0.9672,0.057,0.799,0.143,0.5208333333333333,POSITIVE,0.9994
12,3639366936,11/11/2020,1.0,"I think something that deeply pesters me as a person is parents (generally fathers, which I’m sorry, just seems to be the way of things when you’re not the one popping a kid out of a birth canal) who simply do not want to be a parent nor understand how to be one. It is rudimentary to do the absolute bare minimum for your children- this man seems to avoid that enough that washing his son’s hair is a novel concept. This book is from the perspective of a man who is egotistical and juvenile, and the worst of it is that this is nonfiction. Nonfiction! To a point where the author could not recall his actual real life son’s real life fall from a bed because of his mildly fictionalised recollections. This kind of book is just a self indulgent sideshow of egoism- and it has such little value. The lawyer at the end also felt like a vitriolic demonstration of what the author *really* felt, and it was a very weird thing to be reading. I can only hope in the future that this specific brand of ‘man only grows up a little bit because he has to do bare minimum for child’ dies out entirely.",3,-0.5994,0.077,0.87,0.054,0.5112857142857142,NEGATIVE,1.0
