,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,880250642,03/13/2014,5.0,"When I was writing my book ""I Need an Exorcism"" I read Paul O'Gradys books, At My Mothers Knee, The Devil Rides Out and Still Standing. Now I re-read his books if I need to cheer myself up. I have read them a few times now. Struggling with my book I even pretended I was telling Paul a story to get me to write better. Much of my humour in my book I've managed as a result of reading Paul's books. I am the same age as Paul so it was very interesting to compare where I was at in my life when he was describing his life. His life was a lot more interesting than mine. And the Elephant and Castle, pub, I heard the Peter Skellern song about it years ago but I couldn't make out the words so I didn't know exactly how rough the pub was until I read Pauls books. And the opening to Still Standing, his description of a Leeds pub, well, it's beyond belief the brewery allows that pub to be open. Makes my local look very tame in comparison. For those of a somewhat nervous disposition, like myself, I can safely say that reading these books will be an education in themselves and make anyones problems look smaller in comparison. I will always re-read these books. Love 'em.",4,0.9523,0.038,0.848,0.114,0.3737777777777777,POSITIVE,0.5262
1,3212127980,03/14/2020,5.0,"I would love to give this 10 stars if possible. In parts laugh-out-loud funny but also at times very poignant, this is a marvellous evocation of a Catholic working class upbringing in the 1950s through to the mid-70s. Highly recommended.",4,0.7343,0.0,0.825,0.175,0.6483333333333333,POSITIVE,1.0
2,260402190,01/11/2012,5.0,"This is one of my favourite autobiographies. I have been a fan of Paul O'Grady for a long time, I think he's fantastic and funny without even trying to be. I loved his teatime show on Channel 4. This book chronicles his life up until (I think) he is 18 and is very funny. I am from Liverpool so recognised the places he was talking about from my side of the water, but not the places he wrote about from his side. But that didn't matter. It was fantastic reading about Paul's life growing up and what he got up to as a child and then a teenager, he certainly had an eventful life up until he was 18. And even after that his life became even more eventful.Definitely not a book to miss for O'Grady fans. ",3,0.9578,0.008,0.836,0.156,0.7589285714285714,POSITIVE,0.9977
3,194061659,08/03/2011,1.0,"Now I like Paul O'Grady, I really do but... This was so boring! He tells it as it was, rather than in his TV voice - and I like the TV voice so it just didn't make me want to carry on. Got about half way through.",3,0.2683,0.087,0.804,0.109,0.4555555555555555,NEGATIVE,1.0
4,292346286,03/11/2012,5.0,"Totally hilarious, couldn't put it down..""It was Brother Kearney who gave my mother her favourite quote about me. He was the one who said 'born to trouble as sparks fly upwards'. 'Job, chapter five, verse seven,' my mother had replied, completely knocking the wind out of his sails.""",3,0.0754,0.052,0.89,0.058,0.5577777777777777,POSITIVE,0.9998
5,840057157,01/31/2014,5.0,"I'm a mega huge O'Grady fan, I love this man, his devotion to animals is just amazing, He can do no wrong in my eyes, this is a funny, sad and comical book, telling the story of Paul's early life in Birkenhead.",3,0.8779,0.148,0.527,0.325,0.825,POSITIVE,0.9982
6,1090848313,10/27/2014,5.0,"I loved this book. It was heartwarming, funny, sometimes sad but above all, brutally honest.I laughed out loud at Paul's shenanigans and I cried at the end. This is hands down the best autobiography I have read to date.",3,0.6486,0.198,0.507,0.294,0.6098765432098765,POSITIVE,0.9988
7,651036397,06/25/2013,5.0,"Who would have thought such a man could make me cry reading this!! Emotional, funny , raw and full of life!",3,0.3129,0.127,0.654,0.22,0.6323076923076923,POSITIVE,0.9997
8,3795649487,01/31/2021,5.0,"What a read, I absolutely loved it and to see how hard it was growing up back in the 60's and 70's and being gay was so hard and it wasn't acceptable like nowadays ",2,0.2549,0.177,0.671,0.152,0.4933333333333333,POSITIVE,0.9841
9,347231168,06/12/2012,4.0,"Read this on bit of a Whim and found it utterly engrossing, I was never a particular fan of Lilly Savage or Paul O'Grady, but he is a fantastic writer. Other autobiography writers should take note, his stories are interesting but despite being written by the protagonist himself, I never felt anything was played down or over dramatized, and that he simply wrote about his experiences growing up without any prejudice or spin on his part.Looking forward to reading the next installment of his life.",2,0.94,0.037,0.78,0.183,0.4317956349206349,POSITIVE,0.9996
10,42330078,01/08/2009,5.0,"I found this to be an entertaining read, I knew he had a colourful background he is frank and honest and you can see where Lily came from, his family is interesting,the women are strong, powerful and compassionate stubborn creatures who are every bit as colourful as our Paul, the men hold a prehapes quieter place, but are none the less as inportant, it was interesting reading about his feelings and confusion about his sexuality,a recommend but possibly for fans only - cant wait for the sequel!",2,0.8932,0.049,0.768,0.183,0.7375,POSITIVE,0.9997
11,220119513,10/07/2011,3.0,"I enjoyed quite a bit of this book. I found it interesting to find out about life in Birkenhead for Paul O'Grady, as it's an area I know. There were some funny stories, which were entertaining. There was also some sad moments. There were some good observations from his own memories which were good. The book showed the ups and downs of life. There were some bits that were a bit slow at times. Reading about someone's early life makes you look at them differently. ",2,0.926,0.033,0.779,0.188,0.6727272727272727,POSITIVE,0.9588
12,1630578674,05/06/2016,1.0,Likeable and occasionally entertaining though Mr O'Grady might be - this book is certainly not 'hilarious' and ultimately just...pointless. (I only read it whilst a member of a reading group - the premise of the group being that members were encouraged to read books they might ordinarily never consider reading - thanks reading group!).,2,0.8122,0.042,0.769,0.189,0.7333333333333334,NEGATIVE,1.0
13,1073322743,10/06/2014,5.0,Wow.I mean no disrespect to Paul O'grady but this is what I imagine Jeffrey Archer aims for in his works of fictions and keeps failing at it.Maybe Paul's secret ingredient is that the people in this are all real.,2,-0.7876,0.185,0.815,0.0,0.5625,NEGATIVE,0.9987
14,1190571283,02/04/2015,5.0,"I absolutely loved it! I can't believe that by the end of the book he's only just reached the age of 18 and not yet got into show business. It's completely absorbing, hilarious and vividly written. I can't wait for the next installment of his life!",2,0.8464,0.0,0.814,0.186,0.75,POSITIVE,0.9997
15,1502125879,01/08/2016,5.0,"I've always liked Paul O'Grady, he's very funny and also seems to be a genuinely nice guy. I enjoyed this first instalment of his life story, it's written in an almost conversational, rambling style with the author going off at lots of interesting tangents. ",2,0.9299,0.0,0.714,0.286,0.7222222222222223,POSITIVE,0.9927
16,134292078,12/09/2010,3.0,"[Short review from memory until I re-read and re-review at a later date:No memory really, but I assume quite amusing if not enlightening. Just your average autobiography, I think.]",2,0.0738,0.117,0.757,0.126,0.3833333333333333,NEGATIVE,0.7449
17,850664781,02/10/2014,5.0,Eat you heart out Peter Kay.,2,0.0,0.0,1.0,0.0,0.0,POSITIVE,0.9997
18,924498605,04/30/2014,5.0,"A very enjoyable read, looking forward to reading the others.",2,0.4927,0.0,0.715,0.285,0.78,POSITIVE,0.9836
19,968006158,06/15/2014,5.0,"A great fun read, well written and personal. A lovely account of Paul's early life.",2,0.9231,0.0,0.404,0.596,0.4599999999999999,POSITIVE,0.9142
20,2109887811,12/06/2017,3.0,3.5 I enjoyed learning about Paul's past and life in Liverpool and the many characters in his family. Got this book at a charity shop second hand. ,2,0.8519,0.0,0.703,0.297,0.3625,POSITIVE,0.9937
21,766278778,05/03/2020,4.0,Exploring his family background and his early years in Liverpool. Amusing and slightly shocking in places but you can hear him narrating all the way through. You can see where he got his inspiration for Lilly Savage from.,0,0.177,0.124,0.737,0.139,0.7666666666666666,POSITIVE,0.9983
22,3461148561,08/05/2020,5.0,"What a warm lovey funny book. Absolutely love Paul O’Grady and this just sealed the deal. Such an evocative postcard from the past. It’s a relief to hear it wast just us who used to have to pop some money in the meter to keep it going, I can’t imagine living in a house with no inside loo. You read this book thinking how can that be a thing that happened in living memory.I love him, love his family especially al the outspoken no nonsense women. So many of them to base Lilly Savage on.And it’s also a really important book about being gay in the 70s and 80s. The olden days (I can’t believe I just said that) I can’t wait to read all his other books now because that was really fun",0,0.9582,0.067,0.754,0.179,0.6291666666666667,POSITIVE,0.9982
23,2663966838,01/13/2019,5.0,"Laugh out loud, but such a sad ending. Tissues at the ready. Can’t wait for the next instalment now.",0,0.1027,0.168,0.607,0.225,0.4833333333333333,POSITIVE,0.9965
24,1210011795,02/24/2015,2.0,"The title caught my eye because it was something my mum always used to say: ""I learned it at my mother's knee--or some other low joint."" I really enjoyed Paul's chat show, and admire what he has done to encourage pet adoptions. Having read Paul O'grady: The Biography (typical British-written ""authorised biography"" stuff, style and all) I was interested to see what he had to say for himself.The tone is certainly different, as is the emphasis. I had expected a bit more elaboration of family dynamics etc, but what we get is mostly his explorations of his own sexuality, and from a very young age (confirming what me aged mum always told me, that ""it's all boys think about"" *sarcasm*). I had expected a bit more of a humourous tone than there is, or maybe it's me? Maybe the humour is scripted into the shows, and not natural to the man.I am no prude, and certainly no stranger to books like Hiding My Candy, but...this book disappointed me rather. Not that I was looking for scabrous tales of abuse and neglect, indeed--for that we have Chablis' book. But I don't know...I expected something different. Aside from his sexcapades, a lot of it is pretty surface. We are told he has a couple of siblings, but that's all; not much interaction.Will I read the other two volumes of this memoir? Remains to be seen. I've had a dip into Still Standing: The Savage Years and it seems to be more of same.",0,-0.3941,0.109,0.774,0.117,0.5246571428571428,NEGATIVE,1.0
25,448209103,11/04/2012,4.0,"As a scouser myself, I really enjoyed this book being familiar with all the places he writes about is obviously helpful, but even so Paul paints the pictures with his words very well.This cover's his early years ending when his is in his 18th year, he does not hide or candy coats his experiences which I believe says a lot about his character, it could have been all to easy to show himself in a better light, but this shows him for the ""scally"" (scouse term for trouble maker) he really was.People who do not understand the ""Scouse"" sense of humour might find what he writes a little harsh and uncaring, but in actual fact this is just honest understatment of what were very harsh and unyeilding times and the comments are in my opinion his way on making light of very hard times and situations.Not an easy book to read, but nontherless enjoyable in its own way and show's a light on a period of the early 1960's when everyone thinks was such a good time, when in fact like now, there are hard and painfull issues we all have to face.",0,0.9739,0.066,0.765,0.169,0.5729,POSITIVE,0.9957
26,444664794,10/30/2012,3.0,"It was a good book, a bit long and uninteresting sometimes, but generally a decent read. I can't say that I'd recommend it to everyone though, his sense of humor definitely demands a certain type of person (If your not British and used to the British sense of humor, no offense guys but it is different from the American sense of humor)I did have a few favorite stories, dont worry I wont go into details, just suffice to say, some Americans can get the humor yay! lol.All in all, though back to the review, a good overall read. No one part to really pick at, just some bits took me awhile to get interested in, but that is the way with someones life. I don't care who you are, if you are telling someone your life story at some part that you think is vital, someone is going to yawn!",0,0.9839,0.065,0.699,0.236,0.3610644257703082,POSITIVE,0.6994
27,889051100,03/22/2014,4.0,"With an acid-tongue and a heart of gold, Paul O'Grady's tale of his childhood in Birkenhead outside Liverpool is both hilarious and heartbreaking with a bit of Dickensian squalor and pathos thrown in for good measure. Even though Paul and I are the same age, his childhood couldn't have been any different than mine if he'd grown up on a different planet! Still, the practice of looking at tragedy and struggle with a quip and a smile or a laugh is one I grew up with too so in some ways, I understand his family. Surprisingly straight-laced at times, Paul still manages to end up in some ""low joints"" and with some real characters. It makes fascinating reading and is told with such honesty and truth you know he's holding nothing back. Very enjoyable but boy, am I glad I grew up in the US! ",0,0.8527,0.065,0.801,0.134,0.4628125,POSITIVE,0.9997
28,634592353,06/06/2013,4.0,"Loved this book!! Love Lily Savage!! Didn't know much about the man behind her but I now love Paul O'Grady too!! Honest and candid, it felt like I grew up beside him. As if he was part of my family. Some of his antics had me giggling to myself and others had me rolling around the floor in stitches. He even made me cry!! A highly recommendable book for anyone who's a fan. Only set back was I was hungry for more...and that's when I learned there was a second book...and after that one, a third! Very clever on your part, Mr O'Grady!",0,0.9781,0.051,0.7,0.25,0.5492307692307692,POSITIVE,0.9999
29,2142621240,10/15/2017,5.0,brilliant and a sad all at the same time.,0,0.1779,0.24,0.465,0.295,0.7083333333333334,POSITIVE,0.9992
30,142017803,01/19/2011,4.0,"Paul tells the story of his early upbringing in working class Liverpool with superb detail, emotion and good humour. He recalls the colourful characters of his family and friends with great affection. He tells how, during his teen years he was curious abuut both men and women, and not being afraid to experiment. The book ends in his eighteenth year when his life is changed forever, and leaves you eager to read his next installment. ",0,0.9764,0.0,0.724,0.276,0.5687500000000001,POSITIVE,0.9995
31,164129137,04/28/2011,4.0,"Loved the first half of this book, it was so witty and had me laughing out loud on many occassions. I especially loved how he described his Mum and the things she used to do. Towards the end I found it lost it's humour and began to be more about his going out onto the gay scene. I thought he should have stopped writing around chapter 15. Still, I reccomend this as a great read, something easy, perfect for holiday. ",0,0.9766,0.043,0.67,0.287,0.6888888888888888,NEGATIVE,0.7713
32,193387160,08/02/2011,2.0,"I've rewritten this, because when I wrote it originally, I had only read half the book, and upto that point it was really shit, but when he stopped writing about his mother, after half way through, it finally got interesting, and started talking about him, and his life growing up etc. hope we see another book, after his later life etc, that would be more interesting. i've changed my score from a 1 star to 3 stars.",0,0.8483,0.057,0.788,0.155,0.5383333333333333,NEGATIVE,0.9995
33,195960733,08/08/2011,3.0,"I found it lying around at my parents' place and didn't expect much, but Mr O'Grady is an engagingly sympathetic character, so I kept with him as he stumbled through his pious Catholic upbringing, between boyfriends and girlfriends, consistently disappointing and disgusting his parents and their relatives. It's a good read, particularly if you like the word ""peripatetic"" or have no desire of a Polari glossary for when he lands in London.",0,0.7932,0.14,0.652,0.207,0.5291666666666667,POSITIVE,0.9745
34,980504475,06/28/2014,3.0,"Not a particular fan of PG but remembered a reviewer saying he hadn't expected to enjoy it but had loved it. I have a deep suspicion of celebrities turned writers (Ben Elton, Stephen Fry) but Alexei Sayle wrote some very funny and impressive books. Fortunately I enjoyed this. It made me laugh and cry and took me back to my childhood when I lived in Birkenhead for a couple years. Great way to end the book too! ",0,0.9694,0.122,0.587,0.291,0.543939393939394,POSITIVE,0.9997
35,1357526918,08/07/2015,3.0,"The man on TV with all the dogs from Battersea dogs home. Who would have thought! after leaving a ship in Liverpool dock after another orgy would ""walk the length of the dock to a chorus of catcalls and wolf whistles from the Dockers. Fuck 'em. Instead of running, head down, for the hole in the fence I was sashaying, head and two fingers up, out of the front gate"".A look at the early life and sexual life up to aged 18 (and no sign yet of Lily Savage)of Paul O'Grady ",0,-0.7177,0.065,0.935,0.0,0.4844444444444444,POSITIVE,0.8663
36,35620036,10/18/2008,4.0,"Really enjoyed this book as he captured Britain in the sixties and seventies so well. He has great ear for dialogue, and you can hear the conversations in your head.Many funny lines, and all in all makes you realise that he's a whole lot sharper than the entertainer that you see on telly. Fab light read and I can't wait for the the follow up!",0,0.9597,0.0,0.748,0.252,0.71,POSITIVE,0.9996
37,61294091,06/27/2009,4.0,"Paul O'Grady first came to national attention as the foul-mouthed tart with a heart of gold, Lily Savage. In these very well-written memoirs we never actually see the birth of Lily and her rise to fame, but instead the focus is on Paul's first 20-odd years and his very modest background.I look forward to a second volume to cover his adult life.",0,-0.0129,0.032,0.936,0.031,0.338095238095238,POSITIVE,0.9844
38,136443456,12/25/2010,5.0,"Paul O'Grady (aka Lily Savage) gives us an honest, down-to-earth account of his early (up to age18) life in working class Birkenhead. You don't have to be one of his fans ton enjoy this book, which is so engaging, perceptive, sad and funny all in one volume that I have downloaded volume 2 (The Devil Rides Out) and cannot wait to read it. ",0,0.5793,0.103,0.731,0.166,0.7333333333333334,POSITIVE,0.9999
39,137497548,12/31/2010,4.0,"I do really like this book, and it was a good read, I did find that in some parts you had to put a bit of effort into reading it but it was worth it. It was funny in parts but also serious in others. Also, the part where he was giving his mother dope: Hilarious!!I think he describes his mother well, his second auto-biography has just come out, hopefully buying that soon",0,0.9551,0.018,0.74,0.242,0.4277777777777777,POSITIVE,0.9953
40,176554578,06/14/2011,4.0,"I'm no great fan of the latter day incarnation of Paul O'Grady but there is much to like about this book. What is most rivetting is Paul's unflinching honesty about his own flaws or less than honourable episodes of his life and it infuses the whole book with a openness and warmth. If you like (auto)biographies, put this one on your ""to-read"" list.",0,0.9757,0.02,0.659,0.321,0.4166666666666667,POSITIVE,0.9992
41,609485807,05/07/2013,5.0,"Completely and unexpected enjoyed this book. Through out you have Mr O'Grady's voice retelling his formative years in an honest, forthright and sometime hillarious manner. There are definately some laugh out louds moments as well as some that cause a large lump to form in the throat. Well written, entertaining and throughly readable",0,0.9482,0.0,0.724,0.276,0.6040816326530611,POSITIVE,0.9975
42,650125360,06/24/2013,5.0,"Loved this book, honest, humorous, great tales of Birkenhead. I am not generally an autobiography reader but there are some people that I believe are interesting enough to divulge a few hours too! Paul writes honestly and not about stardom but about growing up in general. Hilarious tales of cabaret clubs and queens. Well worth reading.",0,0.9761,0.0,0.611,0.389,0.6291666666666667,POSITIVE,0.995
43,1164309330,01/11/2015,4.0,"I loved this book - it provided a fascinating insight into Paul O'Gradys early life and family history. There were times when I laughed out loud, times when I felt sad and not a moment when I was ever bored.I can't wait to read his next book to continue the journey - it has definitely increased my liking for this man!",0,0.9336,0.046,0.684,0.27,0.55625,POSITIVE,0.996
44,2069093293,07/23/2017,4.0,"An hilarious story of this comedians life and one that I related to so well. Living in a street full of 'aunties' who helped to bring you usually with a clip round the back of the head with the advice ""that was for what you haven't done yet"". I took this book on holiday with me and finished it poolside within 2 days. Brilliant,",0,0.9252,0.0,0.789,0.211,0.5142857142857143,POSITIVE,0.9999
45,34280138,10/01/2008,5.0,"I absolutely adored this book, it had everything a good autobiography should have. It made me laugh, it made me cry and it made me think about how hard it must have been for Paul growing up. Loved it.",0,0.8932,0.091,0.604,0.306,0.5883333333333333,POSITIVE,0.9968
46,48801044,03/10/2009,3.0,"I love Paul O'grady as an entertainer and off course, his portrayal of Lily Savage. I found his autobiography to be very endearing, honest, and Paul to be witty and full of warmth especially towards his long suffering family, mainly his parents. An essential read if you like this man!",0,0.877,0.096,0.648,0.256,0.6370370370370371,POSITIVE,0.9938
47,244692887,12/08/2011,2.0,"An ok book, however did seem to go into a bit to much at places, no one needs to know so much about his life, every little detail is recorded and that get's a little annoying.If you want to know more about Paul, read, however if you want a quick fame book, don't.",0,0.4538,0.04,0.828,0.132,0.4142857142857142,NEGATIVE,0.9994
48,441235798,10/24/2012,5.0,"I love Paul O'Grady. And speaking as a fellow Birkonian of his, I can highly recommend this book as one of the most enjoyable and entertaining showbiz biographies I have ever read. If you are a fan of Paul O'Grady, then I guarantee you will enjoy every page of this book.",0,0.9631,0.0,0.646,0.354,0.5733333333333333,POSITIVE,0.9957
49,584538412,04/08/2013,5.0,"A 'must' read if you're a catholic who grew up around Birkenhead during the '50s, '60s or 70s ( like myself). However, as biographies go it wasn't my favourite. ( Graham Norton is). But an enjoyable read all in all.",0,0.6597,0.0,0.863,0.137,0.35,POSITIVE,0.9913
50,614527970,05/13/2013,5.0,I love Paul O'Grady and his story wasn't disappointing. A natural storyteller. I actually laughed out loud in places which is very rare. He has such a natural style you come to see him as a friend. The end is a real cliff-hanger for the next installment ,0,0.8692,0.081,0.67,0.249,0.4899999999999999,POSITIVE,0.9988
51,655798468,07/01/2013,2.0,"I'm not a fan but liked the look of this as I do enjoy memoirs. I loved the stories about his Mum, Dad and Aunties, but stopped enjoying it when it got onto his school days. I might have enjoyed more if it had been an audiobook though.",0,0.942,0.109,0.592,0.299,0.65,NEGATIVE,0.6424
52,714956637,09/08/2013,5.0,"I loved it. It was very readable, and I had a hard time putting it down. I've only seen the author as a guest on Graham Norton's show, so I'm totally unfamiliar with his work. That didn't lessen my pleasure with the book in the least. I would gladly read more by Paul O'Grady.",0,0.4408,0.079,0.808,0.113,0.6200617283950618,POSITIVE,0.9892
53,783456130,12/07/2013,5.0,"Who'd have thought that Paul was such a scally in his youth.Very interesting book, so much so my wife bought me the second part of his autibiography ""The Devil Rides Out"" to follow up as a Christmas present.",0,-0.4019,0.107,0.827,0.066,0.24,POSITIVE,0.999
54,1014906640,08/02/2014,5.0,"I haven't watched any of his TV stuff but as a writer, Paul O'Grady is immensely readable and can bring the characters from his childhood to life in a way that allows you to be there next to him as he recalls the anecdotes of family life in Birkenhead as he was growing up. I enjoyed the book a lot.",0,0.7579,0.0,0.891,0.109,0.5666666666666667,POSITIVE,0.9987
55,1263366514,04/24/2015,2.0,"Not really the kind of thing I usually read. A few amusing moments, but a struggle to stay with it to the end, and then disappointed that it did not go far enough to tell how Paul got into show business. ",0,-0.743,0.162,0.797,0.041,0.5875,NEGATIVE,0.9999
56,1721460746,08/07/2016,4.0,"I loved this book,he`s such a likeable character,and all the old stories of Liverpool really made me laugh.He only mentions Lily Savage once though,very fleetingly,i soon found out by the abrupt ending that you have to buy his other books to read about Lily,which really annoyed me.",0,0.2516,0.11,0.762,0.128,0.609375,POSITIVE,0.9522
57,1741763539,08/28/2016,3.0,"Paul O'Grady. At my Mothers Knee and other low joints I like Paul. enjoyed his first book, but this one, does not ring true. tells a different story, cannot believe all between 16 to 17",0,-0.165,0.121,0.774,0.104,0.4930555555555556,NEGATIVE,0.9991
