,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,127326167,10/21/2010,1.0,This should suffice.,532,0.0,0.0,1.0,0.0,0.0,POSITIVE,0.9287
1,219008627,10/04/2011,2.0,I don't even know how to review this. It's really bad? But very fun to read? And I am not able to be objective of it at all because it holds so much nostalgia. ,407,-0.1431,0.11,0.795,0.095,0.3703333333333333,NEGATIVE,0.9969
2,3721818872,12/28/2020,1.0,"I am in pain.Make it stop. 🚨🚨🚨SPOILERS🚨🚨🚨TW: attempted suicide, depressionThis book begins with Bella Swan being grumpy because of her eighteenth birthday. Why, you might ask? Well, that's because she's now one year older than Edward looks, and we all know her entire life revolves around her relationship with Edward. She is devastated. She pressures him to bite her and turn her into a vampire, but he refuses, because ~reasons.~ He doesn't want her to ""lose her soul."" A few days later, Bella notices that there's something wrong with Edward. He's extremely moody all of a sudden (even more than he was before), and he's not talking to her. She decides to wait for him to approach her, instead of confronting him about why he's being a jerk, because her life is based on this guy she met half a year ago. Well, Edward breaks up with her. The Cullens move away, and Bella wallows in depression for four entire months. She decides to hang out with Jacob Black instead. He never seems to be wearing a shirt *war flashbacks* and he's oddly into Bella, but at least he's better than all the girls at school. Bella is not like other girls. She hangs out with boys and boys only. Jacob was fine, I guess, until he became all moody for no reason. Bella thinks he joined a cult, but no, he's just a werewolf. *disappointment* Anyway, Bella discovers that she can hear Edward's voice whenever she risks her life. So she decides to do just that, and embarks on a bunch of suicidal ventures that she somehow survives, and she decides it's all worth it because of Edward's ""perfect voice."" *chokes* I can't believe I actually wrote that sentence. Where's the bleach? For example, she buys a motorcycle and purposefully crashes it to hallucinate and hear him speak to her. I'm just... not going to say anything. 
My velvet-voiced delusion had yelled at me for almost five minutes before I'd hit the brake too abruptly and launched myself into the tree.
 Then one day, she jumps off a cliff. This is not a drill. Edward thinks she committed suicide, so he also decides to commit suicide and runs away to Italy to be killed by this super elite coven of vampires. Fortunately, he has a flair for drama, so Bella and Alice are able to catch him in time. His grand plan of suicide? Stepping out into the sun. Because, you know, he sparkles in the sunlight? And that... will totally get him killed...
Bella Swan:
Bella needs some serious therapy. Her worst problem is that she feels the need to change herself just to make Edward happy. 
Maybe, when I was beautiful and strong, he wouldn't want distractions.
She had pretty much no life before Edward, but still, her life isn't over just because she's not dating him. However, she seems to think it is. She described the feeling continuously (by this, I mean every single page) as a hole in her chest. ""The hole ached."" ""The hole was tearing apart."" WHAT IS THIS HOLE? Maybe if she had a hobby besides Edward, she wouldn't be this empty. I can't believe she's such a famous protagonist. She's a terrible role model and no one should ever strive to be like her. 
His harsh rejection had punched a painful new hole in what was left of my chest.
As a person with trypophobia, I do not appreciate this.Here are all the hole-y quotes I highlighted. There were probably more I forgot to take note of. 
It was a crippling thing, this sensation that a huge hole had been punched through my chest, excising my most vital organs and leaving ragged, unhealed gashes around the edges that continued to throb and bleed despite the passage of time.But what if this hole never got any better? If the raw edges never healed? If the damage was permanent and irreversible? The worry was eating a hole in my stomach. Soon I would have matching punctures.
So, I thought the hole was in her chest. If you're going to have a giant opening in your organs, at least be consistent. 
The pain twisted in familiar patterns through my body, the jagged hole ripping me open from the inside out. I'd thought Jake had been healing the hole in me--or at least plugging it up, keeping it from hurting me so much. I'd been wrong. He'd just been carving out his own hole, so that I was now riddled through like Swiss cheese.
Bella has no life. She has no hobbies, no aspirations, no dreams, nothing that makes her happy besides Edward. I ship her with this plastic fork:They're both white, they both have no purpose in life, they both break with hardly any force used. What a perfect couple. 🥰Edward Cullen:Edward was gone for most of this book, hooray! First of all, you can buy glitter from Walmart for a dollar. Nobody's going to think you're a bloodsucking vampire just because you're sparkly. Can I have a break from the descriptions of his skin? Marble, stone, granite. Honestly, is this guy a statue or something? 
...what with his chest being hard and cold--and perfect--as an ice sculpture...
I am choking on my water. 
I took his marble face between my hands and held it very tightly. A deep frown carved creases into his marble forehead.""Hi."" I snuggled into his stone chest.
Concerned for you❤️
It was like curling into a cool stone, but a stone that was contoured comfortably to the shape of my body.
And his voice, too. Why is it velvet? Is it furry? 
It was only when he was disapproving like this that I could hear the true memory of his voice--the velvet texture and the musical intonation that made up the most perfect of all voices.
Excuse me, I'll be in the bathroom, throwing up. Consider this. Edward is immortal. He has time to do anything he wants. So naturally he chooses to relive high school over and over again and to start a relationship with a teenage girl. Maybe he's living vicariously through Carlisle or something, I don't know. He could cure cancer or Alzheimer's, but no, high school. Ew. Jacob Black:Put a shirt on, my smol friend. So why do werewolves hate vampires? There's no clear reason. Apparently there's some really old feud, but where did that start and why? This had a lot of potential to be really intriguing. Unfortunately, it was not, and was just there to create an agonizingly stupid love triangle. At least make the werewolves interesting instead of just being like ""Jacob exploded."" ""he exploded."" Blah blah blah, bombs are going off, whatever. Who even cares anymore. 
WORD COUNT:
Note: Libby doesn't process when the number exceeds 100. Hole: 79Marble: 9Stone: 32Shoulder: 84Hard: Over 100Full: 98Lip/lips: Over 100Beautiful: 46Perfect: 51White: 42Ice: Over 100Vampire: 78Skin: Over 100Cold: 93Velvet: 13Voice: Over 100Scent: 17Eyes: Over 100Stop with the suspicious forehead kisses. This isn't Lord of the Rings. 0.5 stars, I can't believe I just read thatMy review of Twilight___I can't wait to hate this book ❤️",372,-0.9972,0.156,0.741,0.103,0.5687278086496833,NEGATIVE,0.9934
3,19939471,04/11/2008,3.0,"Keep in mind that though this review is about to wheel off into an angry rant, this book is good. The series is addictive. And as I said previously about Stephanie Meyer, if you want to cease brain function for a few hours, she's your girl.The beginning is slow, the middle is gold, the end is lacking. The blank pages to represent months passed in zombie-depression, great idea.Now, my problem. My problem is not so much with the story as it is perhaps with the idea behind the story and thus, the author herself. It all starts with Romeo and Juliet. Stupid kids. Yes, yes, the great tragedy of love. Please note the word tragedy came before the word love. Because without the tragedy there would be no story. What would the story be otherwise? I'm not going to presume to rewrite Shakespeare (at least not for the hypothetical purposes of illustrating a point in this review). I will say, that I find it sad and unfortunate that Meyers insists on her characters not only admiring Romeo and Juliet (not the play, but the hormone-addled teenagers who committed suicide rather than take a minute to think it through), but specifically referencing the star-crossed lovers in near direct comparison to her protagonist and the lover-vamp. (Her main character also can be caught reading Jane Austen, but more on that later). My point? Impossible love is a great story. No doubt. And Meyer's characters, the human girl and the vampire (um, Buffy and Angel anyone?) are certainly in an impossible situation. Great, perfect, wonderful. The difficulty? No where to go. That's what makes Romeo and Juliet a tragedy. That's why Buffy and Angel never got back together. What choices has she left us? Either the human becomes a vampire or the vampire (in what would be a HUGE cheat) becomes human again. So? Make the human a vamp, right? Problem solved. Well, despite the flippancy with which so many of Meyer's characters approach this option, to do so would be a tragedy of sorts. Because in effect, it would be suicide, a life ended to be with the man she loves so senselessly that it makes you wonder how she could admire Jane Austen at all. Yes, Jane Austen writes about love, but take a look at ""Sense and Sensibility"". Jane Austen recognizes that love is more complex than the simple lust of it (while Romeo and Juliet barely get a chance to blink before they marry, screw and die-much like the carrion flies Romeo references. . .) Strength of character, not the sweaty passion, conquers all. Clear conscience and unerring moral fortitude conquers class-differences, social stigmas and familial disapproval. And so, they all get to live happily ever after.This is your dilemma Stephanie Meyers. You've laid the groundwork, not for a Jane Austen like happy-ending despite the odds, but a Shakespearian tragedy that will not only leave the audience sobbing, but foaming mad. Frankly, the readers of today don't want a tragedy (for the most part), they get that enough every day. They want the happy ending. I want the happy ending and what would that be in this situation? As far as I can see there is no way to have a true happy ending. Either you make a living girl a vampire. Or you pull out the deus ex machina and make the vampire a human. Neither option will be unsullied enough to be fully satisfactory. Personally, I would rather see the girl become a vampire, though I wish the character would take it a little more seriously than she has. Because my sense of fairness would be violated if the vamp miraculously becomes a human. But no matter how it ends, I fear I will be disappointed, as the endings of both books have been so thoroughly let-downs I cannot imagine the author has it in her mind to tack a new course at this point. How do I have the audacity to be so critical? Have I written a New York Times Bestseller? Two, three? Not yet. ",338,0.9871,0.137,0.686,0.176,0.5460368270227425,NEGATIVE,0.965
4,1257463774,05/14/2020,2.0,"Have you ever been reading Twilight and been like, wow, I wish I could read this book except with no romance, a ton of suffering, a protagonist who’s heartbroken to the point of nonfunction for most of the book, way more of the characters you don’t care about, and also a lot of extraneous Native American stereotyping?Because if so, Stephenie Meyer wrote this book for you.You have to hand it to Steph for a writing a smash hit book and then being like I wonder what would happen if I took all the good fun stuff out of this and then added a bunch of bad stuff. Kind of a baller move. Especially since it worked.Anyway. I have a soft spot for these books a mile wide due to a little something called “I was thirteen when Edward Cullen changed my life forever,” and even I had a hard time getting through this one. This series is not well-written and the characters are not likable and the romance is insta-lovey AT BEST. All they have going for them is being fun.Hopefully Stephenie Meyer got the memo in time for my reread of Eclipse.Bottom line: The best part of this whole book is when like 5 whole months are just blank pages.----------------turns out the only thing i needed to become team jacob was 9 years and the harsh hit of reality.review to come / 2 stars----------------even when i was 13 i knew this book was...not good.what better time to reread it than in the midst of a reading slump?",237,0.9831,0.063,0.77,0.167,0.5057971014492755,NEGATIVE,1.0
5,77689799,11/13/2009,,"When she was 12 me and my daughter Georgia went to see Twilight. After the movie I asked her what she thought.""THAT WAS THE BEST MOVIE EVER"" she said. And she went to see it three more times, with people other than me.So she bought the book and read it in about four hours. I asked her what she thought.""THAT WAS THE BEST BOOK EVER"" she said.Then we got the dvd of the movie and she watched it again.""THAT WAS THE WORST MOVIE EVER"" she said. I was surprised but she explained - ""Bella is stupid, Edward is stupid, nothing looks right, they miss out all the important stuff, it's so bad, it's so so so bad""Then she read all the other Twilight books in like four hours.""NEW MOON IS THE WORST BOOK EVER FOR 200 PAGES AND THEN IT'S THE BEST BOOK EVER"" she said. By now she was 13. A week ago she said""NEW MOON IS COMING OUT SOON, I'M SO EXCITED, I CAN'T WAIT TO SEE IT, CAN WE GO ON THE VERY FIRST DAY PLEASE PLEASE PLEASE""and I said ""But you think Twilight The Movie is stupid"".""Yes, it is stupid"" she said ""and I can't WAIT to see how bad New Moon is!""Critics.***ps : Now (aged 13) she's going to see the new Robert Pattinson movie Remember Me. I assume that's because he's so hideous and such a bad actor ",219,-0.9007,0.155,0.718,0.127,0.6353294853294854,NEGATIVE,1.0
6,1055606648,09/15/2014,2.0,This is the worst. Spoil alert: Literally nothing happens.,206,-0.4404,0.308,0.526,0.165,1.0,NEGATIVE,1.0
7,71965547,09/21/2009,4.0,"New Moon (Twilight, #2), Stephenie Meyer New Moon is a romantic fantasy novel by author Stephenie Meyer, and is the second novel in the Twilight series. The novel continues the story of Bella Swan and vampire Edward Cullen's relationship. When Edward leaves Bella after his brother attacks her, she is left heartbroken and depressed for months until Jacob Black becomes her best friend and helps her fight her pain. However, her life twists once more when Jacob's nature reveals itself and Edward's sister decides to visit. تاریخ نخستین خوانش: روز بیست و یکم ماه سپتامبر سال 2009میلادیعنوان: ماه نو: نویسنده: استفنی مه یر؛ مترجم: ایرج مثال آذر؛ نشر کرج، در دانش بهمن؛ سال1387، در583ص؛ چاپ دوم تا چهارم سال 1388؛ چاپ پنجم سال1389؛ شابک9789641740643؛ موضوع: داستانهای نویسندگان ایالات متحده آمریکا - سده 21معنوان: ماه نو: نویسنده: استفنی مه یر؛ مترجم: فرشید قهرمانی؛ قزوین، سایه گستر، سال1388، در438ص؛ شابک9789645023278؛عنوان: ماه نو: نویسنده: استفنی مه یر؛ مترجم: فاطمه علیپور؛ تهران، عقیل، سال1389، در507ص؛ بدون شابکعنوان: ماه نو: نویسنده: استفنی مه یر؛ مترجم: الهام دژکام؛ تهران، چکاوک، پگاه، 1393، در576ص؛ با جلد سخت، شابک9789648957198؛کتاب «ماه نو»؛ در ادامه ی کتاب «شفق»؛ یا همان «گرگ و میش»، بنوشته ی بانو «استفنی مه یر» است؛ عشق و هراس، در کنار یکدیگر؛ وجود هر یک، مستلزم وجود آن دیگری است؛ این داستان، با جشن زادروز هیجده سالگی «بلا سوان» آغاز می‌شود؛ «بلا»، انگشت خود را می‌برد؛ آن رویداد موجب برانگیخته شدن «جاسپر»، برادر «ادوارد» می‌گردد؛ «ادوارد» آشفته حال، «بلا» را ترک می‌گوید؛ «بلا» افسرده می‌شود؛ اما پس از آشنایی بیشتر با «جیکوب بلک»، حالش بهتر می‌شود؛ «بلا» درمی‌یابد «جیکوب»، یک گرگینه است؛ زمانی که «جیکوب» برای شکار «ویکتوریا» (جفت «جیمز» که برای انتقام برگشته) رفته، «بلا» از روی صخره، به درون آب می‌پرد؛ از سوی دیگر، «آلیس» خواهر «ادوارد»، کار «بلا» را می‌بیند، و آن را خودکشی می‌پندارد؛ خبر به گوش «ادوارد» می‌رسد، و او تصمیم می‌گیرد، برای خودکشی، نزد خانواده ی «ولتوری» (خانواده سلطنتی خون‌ آشام‌ها) برود؛ در آنجا «بلا»، او را پیش از آنکه دچار دردسر شود، نجات می‌دهد، ولی «بلا» باید در آینده‌ ای نزدیک، خون‌آشام شود؛ وگرنه با «ولتوری‌ها» روبرو خواهد شد...؛تاریخ بهنگام رسانی 28/09/1399هجری خورشیدی؛ 26/071400هجری خورشیدی؛ ا. شربیانی",198,0.296,0.044,0.903,0.053,0.3303030303030303,POSITIVE,0.9978
8,3786331954,01/20/2021,1.0,"You know its true love when its between a 100+ year old virgin pedophile and a 18yr old child with one brain cell😌She is so bad at everything, like she cant even put herself in danger properly",174,0.1553,0.167,0.633,0.2,0.4027777777777777,NEGATIVE,0.982
9,3462123375,07/25/2020,4.0,"I didn’t love this one as much or the movie either. Everyone was a dick, but I loved Jacob and it broke my heart at the unnecessary pain and using of people. I mostly skimmed it again. I mostly do the same for the movie. October... November..... December... January 
It was Jacob himself. Jacob was simply a perpetually happy person, and he carried that happiness with him like an aura, sharing it with whoever was near him. Like an earthbound sun, whenever someone was within his gravitational pull, Jacob warmed them. It was natural, a part of who he was. No wonder I was so eager to see him.
Mel 🖤🐶🐺🐾BLOG: https://melissa413readsalot.blogspot....",175,0.9804,0.093,0.636,0.271,0.5113636363636365,NEGATIVE,0.9969
