,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,3230228193,03/24/2020,2.0,"I'm a big fan of Billy Connolly, as a comedian, a storyteller and just generally as an all round interesting good bloke who is great to listen to. But this book did not do a lot for me, except make me reflect what a great performer he is. The book made me think of scientific reductionism - that tendency of some scientists to break a problem into tiny parts and see the solution in terms of those tiny parts instead of retaining some holistic vision. For Billy Connolly is more than the sum of his parts. If you read these stories without any idea who Billy Connolly was, I suspect you would find them neither terribly interesting nor amusing. In fact, I was surprised how comically thin many of these tall tales and wee stories were. And yet some of them I think I can actually remember him telling and laughing at.I think this comes down to the fact that he is overall a brilliant performer. And to understand this brilliance you need to hear his voice, see his face, sense his energy levels when he was performing, - and so on. The words written down on paper just don't do it for me on their own - but if you add him back into them, they will. There were a few bits which were either slightly amusing or interesting, but slim pickings from a 320 or so pages long book. My advice, give this a miss. He has written other stuff - I'd say go for that.",33,0.9533,0.038,0.836,0.127,0.5149176954732511,NEGATIVE,1.0
1,2975994730,11/17/2019,5.0,"Over the years I've seen Billy Connolly's numerous stand up routines on TV, but I've always regretted not seeing him live on stage. To make up for this in a small way I treated myself to a signed copy of this brilliantly entertaining book.Connolly has put together his best ""tall tales & wee stories"" from a lifetime of stand up comedy. There are a few stories here that are new to me, but even the routines I know well still made me laugh out loud. The stories all flow beautifully & so many of them are classics it's impossible to choose any favourites. A great collection of tales from a real legend.",19,0.9901,0.025,0.693,0.282,0.4926573426573426,POSITIVE,0.9997
2,3924816649,04/17/2021,4.0,"One of the reasons I love Billy Connelly’s stories is that he tells them just like I do myself - only funny. Unnecessary background, side tracks, lost threads, missed points, picked up threads, another side story, completely unrelated facts about characters in the story, oh and look - there’s the punchline! I was wondering a little if there could be something in what some reviewers said that these would work less well in written form, but that went out the window at the end of the second sentence and by the end of the second paragraph I was huffing snd puffing and laughing out loud. Can honestly not remember when a book made me do that last time. The missing star is mainly because I felt the book lost pace towards the end and the last few chapters would actually have been better to leave out. Billy (as I expected) also veers a tad close to slapstick and/or toilet humour at times. It’s a great read though and very strong four stars.",16,0.9817,0.054,0.756,0.19,0.4312121212121211,NEGATIVE,0.9999
3,3251090824,01/03/2022,4.0,"I have been a fan of Billy Connolly for as long as I can remember and sadly never took the opportunity to go and see him live before he retired in 2018. I have seen many of his recorded performances though and I think all of his travelogues as he has been around various parts of the world.This book is a collection of some of his best-known stories that he tells as part of his sets. He is a very human comedian, he is as happy to rip the piss out of himself as he is to call out the hypocrisy of others whilst giving you a stitch laughing about it so much.Some of the tall tales and wee stories in here I have heard before. That doesn’t make them any less funny though. One of my favourites was his description of swimming in the North Sea as a Child! Provided you don’t mind a bit (ok a lot) of profanity then there is almost certainly something in here that will make you laugh. Great stuff and thanks for all the laughs, Billy.",14,0.9762,0.04,0.792,0.168,0.5155782312925169,POSITIVE,0.9974
4,3528653621,09/27/2020,3.0,"I love Billy Connolly having seen him live two or three times and watched all his television programmes including the excellent 'World Tour' series in England, Scotland, Australia and New Zealand. I also have a few of the live DVDs.So I was looking forward to this book. It is a let down. If, like me, you have seen all the above then you will know the majority of the tall tales and wee stories he tells here. There are some I have not heard before though but that does not really make up for it. It is a dip in-and-out book for sure.He says that when you read the book you will hear him and that is so true. Who is this book aimed at? I am not really sure. For Connolly fans it is going over old ground. For someone that does not know him I would say get the 'World Tour' DVDs.",12,0.8341,0.018,0.907,0.075,0.4568602693602694,NEGATIVE,1.0
5,3049171806,11/14/2019,5.0,"Tall Tales and Wee Stories: The Best of Billy ConnollyBilly Connolly, is one of those comedians who everybody knows and loves, his innate honesty and sharp wit, have had audiences in stitches for five decades. I read this on the bus on the way to and from work and was giggling all the way there and back. The drivers must have thought I'd lost by mind. Highlights include a trip to Births Deaths and Marriages and a chapter on why multiple orgasms have put tremendous pressure on men and women have no idea. This book is typical Billy and I loved every word of it.",9,0.9325,0.057,0.777,0.166,0.4785714285714285,POSITIVE,0.9995
6,3253006102,03/29/2020,3.0,"Good fun running through transcripts of a lot of the better routines (and some that don't translate very well, falling flat on the page, the absence of the performer of a text never so keenly felt). The ultimate realisation is that Connolly was an even better stage presence than imagined to have elevated some of this way beyond its merit. Ultimately, great spending time with that voice again.",8,0.9608,0.047,0.685,0.268,0.4416666666666666,POSITIVE,0.9977
7,3098215901,01/03/2020,4.0,"What makes the inhabitants of Glasgow so eternally fascinating! Here, Billy Connolly gives insight through his tenement childhood through his life, told in short vignettes, some laugh-out-loud hilarious. In fact, his secret to enjoying life without fail is to be sure not to lose your ability to laugh. At times curmudgeonly, at times kind, often very raw and profane, but always honest, and with that wee twinkle. Full disclosure - I never had the pleasure of seeing Sir Connolly's standup in person. In fact, I first became aware of him through his portrayal in the film Mrs. Brown, and didn't realize acting was only one of his skills, and not the one he was best known for. ",6,0.9654,0.03,0.759,0.211,0.5630718954248366,POSITIVE,1.0
8,4119651817,07/17/2021,2.0,"Ach, sorry Billy. This book just isn't that funny. Perhaps my expectations were too high.Connelly starts this book by conceding that he is no longer well enough to stand in front of an audience for over two hours. He is very open about living with Parkinson's Disease but he is also now 78 years old.He was always a very physical comedian; his act was slapstick in many ways with a lot of the humour arising from his gestures and facial expressions. It doesn't translate on to the page especially well. It is indeed a book of 'wee stories' - an there's a gey lot o' them. This is something to dip into from time to time for a wee smile rather than to read in one go.",5,0.918,0.034,0.85,0.116,0.5484126984126984,NEGATIVE,1.0
9,3179823453,02/07/2020,2.0,"CYNICAL, HALF-HEARTED RECYCLED CASH IN!Imagine one of your favourite bands or singers who had been recording music for around half a century, decided to put those songs in book form without any hint of the music at all. You would rightly be confused by the move. Beyond the cash generating aspect, what would be the point?...Well that is basically what Connolly has done here.The main problem with this book is that almost all of it has appeared in at least one, sometimes two previous books and a lot of his stand up. It really feels a bit cheeky and lazy when we are getting the exact same stories dragged out for two books in a row?...Surely the readership deserves some quality control?...instead of recycling the same old stories again and again.Of course this has its funny moments now and then, but the truth is that too many of these stories do not translate well onto the page at all. I’ve heard many of them on his stand up stuff and it is delivered a lot better, so much of it is lost when committed to the page, all the drama, nuance and volume stripped away it can feel incredibly dull and disappointing. On the positive side, this is a quick read and it’s an easy read, but overall there is a good reason why Connolly has not published too many books in his half century involved in the creative and performing arts. Some of these are really awful and not only fall flat but fail miserably and really don’t do the great man justice at all. ",5,0.8031,0.115,0.76,0.125,0.5025623885918004,NEGATIVE,1.0
10,3016186325,10/19/2019,5.0,All my favourite stories in written form. Billy Connolly has such a special place in my heart and I always get really emotional talking about him but this one made me laugh rather than cry. I had tears running down my face reading my favourite skits I was laughing that much. It took me five minutes to read one bloody paragraph about the knitted balaclava because I was hysterically laughing. They are just as funny in written form as they are on stage. Love you big yin!,4,0.9544,0.095,0.66,0.245,0.5373015873015873,POSITIVE,0.9994
11,3168138498,02/01/2020,4.0,"I saw Billy on stage a few years ago and I laughed until it hurt. I think seeing him live definitely helped while reading the book, as I could imagine him strutting round the stage telling his tall tales and wee stories. He's written the book exactly the way he talks, swear words and all.",4,0.2732,0.082,0.817,0.101,0.3357142857142857,POSITIVE,0.9996
12,3189392959,04/05/2020,5.0,I t had me laughing out loud! Thank you Billy.,3,0.7177,0.0,0.5,0.5,0.8,POSITIVE,0.8136
13,3847035699,02/19/2021,4.0,"I’ve been a massive Billy Connolly fan for many years. I’ve got lots of DVDs featuring his standup and travelogues, and I was lucky enough to see him live twice. He never fails to make me laugh, even just on a chat show. So it was with great sadness I heard about his retirement, although entirely understandable in his circumstances.I was looking forward to reading this book in which he has gathered many of his most famous stories for posterity. Billy never really told ‘jokes,’ they were always funny anecdotes and tales, often poking fun at himself or other absurdities he saw in every day life. He often talked about sex and bodily functions, and was very sweary and he makes no apology for that, so the book would not be for anyone who did not like this in his live shows because Billy is exactly the same in the book as when performing. If you did love his humour though, you will find many of your favourite stories within these pages.The book is split in to chapters on different, loosely connected topics, but otherwise it is fairly randomly organised with just little anecdotes and longer ones interspersed with comments, thoughts and musings on his life and career. Some people won’t like it because it isn’t a particular linear format, but then Billy’s comedy was never like that. He would start on a topic and then wander off at a tangent when other things occurred to him before looping back round to the original story (or sometimes not!), so the book is a good reflection of his style and really brought him to life for me.I could hear his voice telling these familiar, and some unfamiliar, stories very clearly. Parts of it made me laugh out loud and I had to keep stopping to read bits aloud to The Irishman who kept asking me what I was laughing at. It was a book that really cheered me up during this lockdown. However, it is not the same as watching Billy perform, and you realise how much his expressions and gestures and movements added to the comedy of his story-telling. The ‘Wildebeest’ example illustrates this best. It is many people’s favourite story of Billy’s, but it just isn’t as funny when you can’t see him doing the vacant expression of the wildebeest and the actions of the lions as they plan their attack.Overall, I really enjoyed reading this but it can’t replace Billy’s performances, and I for one will miss him terribly. I wish I could have met him in real life just once before Parkinson’s started to take effect. I’m sure it would have been great craic.",3,0.9961,0.037,0.805,0.157,0.4826146869004012,NEGATIVE,0.9598
14,3203139745,03/03/2020,1.0,"The whole opening of the book leads you to believe that these are the stories that Billy really wanted to share and how important writing this book was.Its actually just a transcript of a bunch the Billy's comedy, which i feel takes away a lot of the fun of these humorous tales when you have to read misspelled words instead of hearing Billy's strong Scottish accent, or reading the gestures he did instead of seeing them. And not being surrounded by a laughing audience means that when one of these tales doesn't elicit a chuckle, you just sit there in the awkward silence this book invoked into the atmosphere and question where it's worth trying for another. A few chuckles did arise, but they were few and far between, to the point where i decided to just cut my losses and accept that as a young straight sober not Scottish guy, I'm probably not the target audience for this comedy or this book.",3,0.8991,0.053,0.801,0.146,0.4622222222222222,NEGATIVE,0.9975
15,3136439355,02/11/2020,5.0,"Ah Billy Connolly is just such an icon. His comedy is timeless and classic. I have loved watching his stand up over the years on TV and once had tickets to see him live - which I so regret not being able to use. This book is a collection of small stories from his life, some we've heard before, some new. I found myself reading it in my head using his voice and I think this made it so much funnier. Please read this if you are a fan. Even if you aren't, you will probably enjoy it nonetheless.https://thebeautifulbookbreak.com",3,0.9157,0.034,0.801,0.164,0.4606902356902357,POSITIVE,0.995
16,3106813299,01/18/2020,4.0,"Now that Billy has retired from stand up comedy, he’s finally been persuaded to write down some of his more well known stories. I was reading this and I had his voice in my head, and I was having to stifle laughter when reading this not to wake anyone up. Very funny stories and a great read.",2,0.937,0.0,0.757,0.243,0.7077777777777777,POSITIVE,0.9993
17,4143681214,07/30/2021,5.0,Found myself peeing myself laughing at this one. I love Billy Connolly and this was just the ticket for a lockdown read to dip in and out of. I could visualise him delivering the lines and could hear his voice. I defy you not to grin like an idiot when reading this. LOVED IT!,2,0.8058,0.122,0.675,0.203,0.7333333333333334,POSITIVE,0.7752
18,3741193531,02/18/2021,3.0,"So, if you're likely to be offended by the swearing, you may as well fuck off now.This is pure Billy. But it's one-dimensional.If watching Billy is like eating a delicious 3-course meal, then reading this book is like looking at the menu. ",2,0.5106,0.143,0.65,0.207,0.775,NEGATIVE,0.8845
19,3783374184,02/13/2022,5.0,“…and laugh. Always look to laugh. Nothing else will ever keep you going like laughter.”No surprise but I laughed out loud the whole way through. ,2,0.872,0.0,0.615,0.385,0.32,POSITIVE,0.9991
20,3026796663,10/30/2019,4.0,"I love Billy Connolly! Always have, always will. First came to know of him whilst growing up outside Glasgow and my mum not allowing me to watch him on TV or listen to him on radio. And of course, being forbidden made me secretly seek him out. My first time seeing him on stage was in Bournemouth in the early 80s and some of the audience walking out!! He actually addressed me a couple of times cos he told some jokes that Glaswegians (or near enough) would REALLY get, so I was in hysterics and pretty obvious.Last time was in 2016 on his High Horse tour where the effects of Parkinson's was obvious, mostly because he pointed them out and made jokes about them! So having this book is great if you're a fan of the man and his legendary comedy. I've also watched him on TV interviews, his Audience With shows, listened to radio interviews, watched his movies (he's also a terrific actor) so many of the stories/anecdotes, I've heard before. Some remembered more than others and some I'd forgotten, but the way he writes them, you can visualise him performing it and hear his voice saying it, and they were just as funny as the first time I'd heard them .... and some even moreso. He really is a fabulous raconteur and, as he says himself, he's not really a joke teller as such, just shares his brilliant observations of and opinions on life, love, sex, rules, ""beige"", acting, his childhood and much, much more. It's been a while since any book made me laugh out loud (even whilst in bed reading at stupid o'clock in the morning when I didn't want to put it down)!A really easy, hilarious read. I'd give it a 4.5 out of 5.",2,0.9912,0.042,0.797,0.161,0.5658585858585858,POSITIVE,0.9993
21,3027099946,10/27/2019,5.0,"I grew up listening to Billy, I remember hearing the jobby weecher and the Crucifixion on records my elder brother would play while I was still in short trousers. He's been a part of my life for that long, and now he's retiring from the stage. But it's not all bad news, for he leaves us this, a collection of all his best stories, but written down. Given how much I've heard from him, anything I read, I hear in his voice, which when you include the sex noises is a little weird. He's the finest comedian Scotland has ever produced, this shows why.",2,0.6613,0.016,0.904,0.08,0.4569444444444445,POSITIVE,0.8011
