,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,345247765,06/09/2012,5.0,“Don't let the muggles get you down.” Yup yup yup I love this book.,2411,0.6369,0.0,0.741,0.259,0.4444444444444444,POSITIVE,0.9975
1,986954965,07/05/2014,4.0,I'm beginning to wonder if there will ever be a Defence Against The Dark Arts teacher who is just a teacher.,896,0.1027,0.0,0.928,0.072,0.4,NEGATIVE,0.9438
2,1246194998,02/03/2018,,This one is definitely my favourite of the 3 i've read so far.. :)(Watch my review here): https://youtu.be/gFZ99uPXiIU,1009,0.4019,0.0,0.856,0.144,0.8333333333333334,POSITIVE,0.9988
3,463025464,11/25/2012,5.0,"I last read this book when I was 14 years old, given that I'm almost 32 now, I have a whole new perspective on it. Despite the fact that I gave this book 5 stars previously, I have to admit that it didn't grow on me until this, my second read. Confession time: I didn't like Remus or Sirius.*Khanh ducks as rotten fruit and eggs are thrown her way*OK, OK, I'M SORRY! I've since changed my mind! Notice that I used the past tense.Obviously, there will be spoilers for the book below, for the 1.5 of you who haven't read this yet.I can't even recall why this book wasn't memorable to me. All I remembered was that Sirius - and what happened to him - was terrible, but he's like meh to me; I just never connected with him as a character. Remus was a werewolf and I've never liked werewolves. The Marauders in general were just a bunch of rowdy teenaged boys, and having been the target for teasing from rowdy, rude teenaged boys in my youth, I just didn't care for the way they were portrayed. And I was right, somewhat, James, et al weren't perfect. They bullied Snape, they were little shitheads. Yes, eventually they became productive, admirable members of society, but I just didn't like them at first.I guess this is one of those books that just takes time to grow on you.This is the last Harry Potter book in which Harry is a child. Before his life - and this series - was visited by the spectre of death. I'm not talking about the long-ago deaths of James and Lily, of course Harry has experienced deaths before, but it was distant. I'm talking about the future deaths where Harry lost people he actually remembered, and respected, and loved. That's what I mean when I say that this is the last book in which Harry is a child, because as hard as his life was until now, he still had his innocence.Children believe that their heroes are unerring. One of the rites of passage to adulthood is the realization that heroes fall, like everyone else.
Harry stared up into the grave face and felt as though the ground beneath him was falling sharply away. He had grown used to the idea that Dumbledore could solve anything. He had expected Dumbledore to pull some amazing solution out of the air. But no … their last hope was gone.
I know that everyone loves Sirius, but for some reason, he didn't click for me when I was 14. This time around, I could understand his character more. I could relate to his desperation, his frustration, and the hope that kept him alive all those excruciating years in Azkaban.
‘I don’t know how I did it,’ he said slowly. ‘I think the only reason I never lost my mind is that I knew I was innocent. That wasn’t a happy thought, so the Dementors couldn’t suck it out of me … but it kept me sane.
I think for me, it took maturity and the experience of loss and frustration, well, life itself, in order to appreciate the hardship that Harry and Sirius and Remus went through. Previously, this was a magical Cinderella-like tale about a boy in a room under the stairs. With this book, the story became twisted, and it became something more.Read this review and more @ The Book Eaters",564,-0.6713,0.134,0.75,0.116,0.5348606601731601,NEGATIVE,0.9991
4,683662315,08/01/2013,4.0,"(A) 85% | ExtraordinaryNotes: Separating itself from its forebears, it's a story of greater complexity, darker tones, and a vastly expanded mythology.",548,0.3612,0.0,0.878,0.122,0.75,POSITIVE,0.9993
5,3001354248,02/14/2020,4.0,"(A) 85% | ExtraordinaryNotes: A flavorful foreboding, it plies expanded bandwidth, like ripened fruit, and more acute: a sweet and spicy sandwich.",501,0.6983,0.0,0.746,0.254,0.6833333333333332,POSITIVE,0.9814
6,1138875244,12/22/2014,5.0,I have so much more love for this one re-reading it as an adult. Five stars of course. ,487,0.6962,0.0,0.771,0.229,0.4666666666666667,POSITIVE,0.9994
7,1243658826,04/02/2015,,"“If you want to know what a man’s like, take a good look at how he treats his inferiors, not his equals.”See the irony there?Trans lives matter. Donate now:Mermaids UKThe Trevor ProjectBlack Visions Collective",437,0.7184,0.072,0.668,0.259,0.6000000000000001,POSITIVE,0.9989
8,149600779,02/21/2011,5.0,"It's a rainy Sunday. It's colder than it should be this time of the year, so I'm drinking a delicious cup of coffee and I'm browsing my Goodreads shelves only to realise that I haven't written a Harry Potter review. Not a single one. So, I decided to start with the first Harry Potter book I ever read, the one that took me to Hogwarts School of Witchcraft and Wizardry, and made me believe that magic is something tangible.

“I solemnly swear that I am up to no good.” 

I was 16 years old, and I had just started my english classes in order to pass my Proficiency examinations. My teacher told me that the best way to delve into a foreign language and familiarize with it is to read books written in it, so she gave me the third instalment of Harry Potter. (Little did she know that she unleashed a beast who now reads almost exclusively in english). Before I tell you about my experience, I need to make a confession. It was my choice to stay away from J.K. Rowling's books until that moment. I wanted to swim against the current, and I thought that Harry Potter was too ""mainstream"" for my taste. And the foolish little me was proud of this decision. But when my teacher gave me this old, used copy, something inside me cracked. I knew the basics about the story, about the orphan kid who goes to a school for wizards and fights the ugly, evil dude who doesn't have a nose. But page by page, I came to understand with awe that the wizard who finds trouble even when he doesn't want to offers more than that; he opened a portal to a world where I longed to be fervently. I stayed up late at night, with a faint light just enough to make out the sentences, and I cheered for Gryffindor's Quidditch team, I flied with Firebolt and I kept wondering what my patronus would be (according to Pottermore it's a brown mastiff, which is oddly fitting). I casted spells (but never Avada Kedavra, you shouldn't play with this shit) and tasted butterbeer in Hogsmeade, and just like that, my life had changed irrevocably. I was a Potterhead. And I was proud of that. (my mum wasn't though, especially when I asked for a wand).

“Happiness can be found, even in the darkest of times, if one only remembers to turn on the light.”

There is a reason why J.K. Rowling is the fairy god-mother to millions of children (and adults) worldwide. Friendship, love, hope, they're present in her books even in the most desperate times, when Evil seems undefeatable, when no escape is visible. She encourages and empowers, shows that everything is possible, that strength and courage can be found within, when you have someone to hold your hand. Harry was a kid who was deprived of love yet he was capable of loving, it took him years but he finally found a place to belong, to feel safe and cared. Ron, with his witty lines and his constant presence, Hermione, my personal favorite, with her intelligence and compassion, they managed to enchant my prejudiced heart, and even now, years later, I'm still under their spell. I think I will always be.

“Don't let the muggles get you down.”

I'm still waiting for my Hogwarts letter, and secretly hope that Dobby is the one to blame. I still caress with affection the spines of my Harry Potter books (meanwhile I bought them all and finished the entire series in a week and a half) and laugh at Harry Potter jokes. And I know, and it's imprinted in my soul, that I'll never be a muggle again.",407,0.9912,0.053,0.832,0.115,0.5580834803057025,NEGATIVE,0.9912
9,2048866442,07/04/2017,5.0,"“Happiness can be found, even in the darkest of times, if one only remembers to turn on the light.”As it seems my Harry Potter reviews don’t always start with a Dumbledore quote but always end up being “My thoughts about this book” reviews as well. For a series like HP that’s been read by so many people this might be the best solution though. And because the books get longer and longer and because I don’t share my friend Jayson’s amazing and remarkable ability to describe a book in one significant sentence, I’m afraid you’ll have to bear with quite a lot of my thoughts. *lol*1.) ”It’s one of the basic rules of breeding,” she said. “You see it all the time with dogs. If there’s something wrong with the bitch, there’ll be something wrong with the pup-“Aunt Marge is such a horrible person!!! If you ask me she’s really lucky that Harry is such a precious cinnamon roll and only made her a big bubble gum. *lol* The audacity to talk about his dead parents like that! No wonder Harry got so angry!! Aunt Marge can float to hell! 2.) ”I’ve already had some,” said Harry. “Professor Lupin gave me some. He gave it to all of us.”“Did he, now?” said Madam Pomfrey approvingly. “So we’ve finally got a Defence Against the Dark Arts teacher who knows his remedies.”Lupin is the best DADA teacher they ever had and I love him so much! <333 His character is just great and I wish we would have seen even more of him. Unfortunately we weren’t blessed with all too many Lupin scenes. >_<3.) ”How extraordinarily like your father you are, Potter,” Snape said suddenly, his eyes glinting. “He, too, was exceedingly arrogant. A small amount of talent on the Quidditch pitch made him think he was a cut above the rest of us, too. Strutting around the place with his friends and admirers… the resemblance between you is uncanny.”And speaking of the best teacher we come directly to the worst! Snape is such a horrible teacher I can’t even! I said it once and I’ll say it again: He's cruel, he's a bully, he takes delight in instilling fear in his students. And he verbally and emotionally abuses them. His personal vendetta against Harry who never ever did anything to him except of looking like his dead father is just crazy! Movie Snape is way nicer than the one in the books and I'm sorry but if you ask me #SnapeCan'tBeRedeemed""!!4.) ”They’ve got a new captain and Seeker, Cedric Diggory-“Angelina, Alicia and Katie suddenly giggled.“What?” said Wood, frowning at this light-hearted behaviour.“He’s that tall, good-looking one, isn’t he?” said Angelina.It’s the third book and Cedric Diggory and Cho Chang are already mentioned! Also did anyone notice that they are both introduced as Seekers as well? ;-) So we have all the main players for book 4! Harry, Draco, Cho and Cedric! XD (On a side note: Considering the giggling girls Robert Pattinson truly is a good cast! *lol*) 5.) ”You asked us a question and she knows the answer! Why ask if you don’t want to be told?”Ron never ceases to amaze me! He’s such a shy guy but boy does he become a lion when he defends the people he cares about! <3 6.) ”Dementors are among the foulest creatures that walk this earth. They infest the darkest, filthiest places, they glory in decay and despair, they drain peace, hope and happiness out of the air around them. Even Muggles feel their presence, though they can’t see them. Get too near a Dementor and every good feeling, every happy memory, will be sucked out of you.”The Dementor’s Kiss reminded me of one of my rp characters that died through one. Ahh the good old roleplay times. *lol* Anyway, moving on! I was always intrigued by the idea of Dementors and even after so many years their existence and mystery still didn’t lose its appeal! They are really fascinating creatures and even though I never want to meet one I still can’t help but take an interest in them. =) Certainly one of the best things about this book! 7.) ”Mr Moony presents his compliments to Professor Snape, and begs him to keep his abnormally large nose out of other people’s business.”The first mention of the Marauder’s Map! “The Prisoner of Azkaban” is certainly one of those main books that build the foundation for everything that’s yet to come. And it’s already way darker than its predecessors. Bless Fred and George for handing Harry the map! Heaven knows he’ll have good use for it in the years to come. ;-P8.) ”They’re dead,” he told himself sternly. “They’re dead, and listening to echoes of them won’t bring them back.”It always kills me to read about how Harry struggles with the knowledge - or rather the lack of knowledge - about his parents. My heart bleeds for him whenever they are mentioned. I mean jeez, he’d endure a Dementor just to hear their voices. T_T9.) “She’s got her heart in the right place, Hermione has, an’ you two not talkin’ to her –“ Is it just me or is this actually a reoccurring theme? Since book one there always seem to be sections in which they don’t talk to each other because something gets in their way. And if my memory serves me right things are going to continue in this vein. XD 10.) ”She had slapped Malfoy around the face with all the strength she could muster. Malfoy staggered.”Once again I want to point out that I’m a pacifist! The way Hermione dished out that slap was pretty spectacular though! *lol* Guess she took Mr. Weasley as an example. Haha! Sound advice for parents: You better don’t slap mean people in front of your kids! ;-P Also is it just me or did anyone else notice the irony of the situation? A person like Hermione, a person that values words, resorted to actions because she realized words won’t get her far with a Malfoy. *lol* 11.) ”THIRTY-ZERO! TAKE THAT, YOU DIRTY, CHEATING-““Jordan, if you can’t commentate in an unbiased way-!”“I’m telling it like it is, Professor!”Jordan’s Quidditch commentary is legit one of the best things about the series! Well and the matches themselves of course. XD Plus McGonagall swearing like a trooper because the Slytherin team was playing so foul is one of the best things ever! Haha! Especially because she obviously tried to keep everything objective and neutral at first. *lol*11.) (view spoiler)[”I’m not doing this for you, I’m doing it because I don’t reckon my dad would’ve wanted his best friends to become killers – just for you.”Harry is a far better person than many others would have been! Even after everything Wormtail did he still didn’t allow Sirius and Lupin to kill him. He would have had every reason to let them finish him off yet he thought of the consequences for his father’s best friends first. Aside from that I still believe that Harry would have never allowed them to kill him because he knows it’s not right. If he proved anything to us by now, then it’s that he’s a very righteous and compassionate person. (hide spoiler)]12.) (view spoiler)[”I don’t want a bond with Pettigrew!” said Harry. “He betrayed my parents!”“This is magic at its deepest, its most impenetrable, Harry. But trust me… the time may come when you will be very glad you saved Pettigrew’s life.”Once again the foreshadowing!!! Rowling is a master at this discipline! XD (hide spoiler)]I can’t wait to read “The Goblet of Fire”! Not just because it’s one of my favourite HP books but also because I want to find out which other details I missed the first time around! It will get dark now and I’m so ready for it!!! <3_________________I’m on a Harry Potter roll this year!So now that Christmas is coming closer with every passing day it’s about time to dive into one of my favourites! =)I always liked “The Prisoner of Azkaban”! Not only because the kids have grown so much but also because it marks the beginning of the series getting all “Sirius”. *lol* (Sorry, I couldn’t help it. XD)But honestly, there are so many awesome things that happen in this book and there are so many new characters that are introduced, it’s just amazing! <3Happy reading! I’m sure I’ll have a good time!",345,0.9996,0.105,0.683,0.213,0.5993120958769813,NEGATIVE,0.987
