,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,994470450,07/12/2014,5.0,"This book comes with high quality photos of Jamie's cooking and Jaime and his family. As a photographer-hobbyist, I like the way the photos were blended because it brings the message that cooking as central to a warm family life. There is a centerfold of ""the missus"", a photo of Jamie and his wife sharing a beer and a shot of Jamie's hands cooking, one finger with ring on it. That broke my heart completely. Hahaha! I love the idea too that it comes with a narrative of how best to do things and why instead of blunt directions. . It's a wonderful addition to my small library at home!",2,0.9693,0.024,0.772,0.204,0.51125,POSITIVE,0.9997
1,20278331,04/16/2008,5.0,"I was this given this cook book as a birthday present on my 18th birthday by friends from sixth form. The general idea was that when I was at uni I would be able to cook for myself - I went to uni and lived in catered halls. Jamie Oliver uses simple language and the food he is describing look yummy. Now I am living at home, my uses the cook book and the food doesn't just look good anymore, it taste fantastic.",2,0.8269,0.028,0.852,0.12,0.4970238095238095,POSITIVE,0.9995
2,616083091,05/15/2013,3.0,"He is a little too vague at times with his cheeky Brit terms, baking containers (sizes), and measurements. I never follow recipes word for word, so I kind of like the vagueness , that is until I used a totally wrong ""pie dish."" All in all, great ideas, beautiful cooking and I'd still like another one of his cookbooks. :)",2,0.9086,0.067,0.697,0.236,0.7928571428571428,POSITIVE,0.9997
3,47116621,02/21/2009,3.0,"Some hits, some misses, but what a cute boy.",2,0.5499,0.127,0.524,0.349,1.0,POSITIVE,0.9973
4,102707873,05/13/2010,3.0,"I haven't looked at the other Jamie's books yet, but I'm definitely going to now. This one has quite a few ideas that I liked in it - baking stuff in foil ""bags"", several easy salad dressings, different variations of bread based on the same basic recipe... What's even more, there is an air of lightness and happiness that this cookbook has about it: nice photographs, laid-back tone of the recipes - it's more like reading a good blog in a paper format than a ""proper"" cookbook. I think it would make a great present for a Jamie's fan, or for someone who is just beginning to cook (like me) and needs some ideas and techniques for inspiration.Why only three stars then, you ask? Well, it might be just my expectations conflicting with reality, but Jamie has A LOT of meat in this book. Basically all the main dishes are based on either meat or fish and virtually every side/veggie dish calls for bacon or panchetta - to spice things up, I guess. And those that don't have bacon have butter or creme fraiche as ingredients. Come to think of it, many have both butter and bacon... Now, I'm not a vegetarian, but I don't think that every.single.meal has to have meat in it. Seriously. And how 'bout trying to reduce fat intake, Jaimie? A more balanced collection of recipes would be nice, but then again, I haven't seen any other of his cookbooks, maybe this is an exception.",0,0.9908,0.021,0.818,0.161,0.4784722222222222,POSITIVE,0.9997
5,1318878,05/19/2007,4.0,"I really enjoyed this cookbook, and use several of the recipies in it as staples inmy family, most notably the chicken in milk and the sweet and sour pot-roated chicken. There are a few recipies that are not worth the effort, such as the rock hen in dough, but overall I' d say it's a lively book which really appeals to my desire for easy, ""fancy"" dishes. I'd say this isn't for some beginners becasue not every ingredient is measured exactly but I don't really think it would be much of a problem. The pot-roasted pork with fennell is AMAZING. The pictures are great, too, as I've always preferred cookbooks with pictures of every dish.",0,0.9767,0.037,0.755,0.208,0.4441666666666666,POSITIVE,0.9995
6,209244233,09/16/2011,5.0,"Jamie and Nigella were two of THE celebrity chefs of the new millennium so if you love making delicious food at home that has an extra edge, then you probably already have one or more of their cookery books.This is one of my favourite Jamie Oliver books although Jamie's Dinners is also excellent, and of course his original Naked Chef is great.10 years on and Jamie and Nigella now irritate as many people as they delight, but their recipes remain fantastic. They work, they are not long and overly-complicated and they pass the taste-test. Don't knock them till you've tried them! ",0,0.9303,0.017,0.835,0.148,0.6004132231404959,POSITIVE,0.9958
7,15330443,02/13/2008,3.0,"I read this on the Bookmobile waiting for non-existent patrons. I didn't make anything directly from it, because I am a dork about not using recipes, but I found out about new spice combinations and I wasn't annoyed by Jamie Oliver's persona yet. Now is a little different story. His recipes are looking awesome though. ",0,0.8283,0.031,0.816,0.153,0.6257575757575757,NEGATIVE,0.9913
8,38276549,11/20/2008,3.0,"I love the way Jamie wants to make everything excessible and flexbile. I think those are fantastic traits in a chef. i also love how he writes his recipes, he does it in paragraph form... That said, there were only a few recipes I was actually able to apply to cook at home. And there is A LOT of BUTTER in EVERYTHING.",0,0.9186,0.0,0.812,0.188,0.5607142857142857,POSITIVE,0.9999
9,244964254,12/09/2011,5.0,"This may be my favorite of all of Oliver's books so far. The things I loved about his earlier books (gorgeous photography, personable narrations of the dishes) are still here, but the recipes are focused on simple meals to make at home with family, all very doable and tempting. I would tag this one as the ""must have"" Jamie Oliver cookbook out of them all.",0,0.7814,0.0,0.884,0.116,0.6938775510204082,POSITIVE,0.9998
