,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,19041938,03/30/2008,4.0,"I'm surprised to see how many readers were disappointed with this book since I thoroughly enjoyed it. Maybe the plot was a bit thin and predictable, but Grisham's writing style is so smooth and easy to read that I was able to consume this book in two sittings. It was like I was able to sit down and visit with an old friend. Perhaps some other readers confused this familiarity with boredom. It all starts when law professor Ray Atlee and his prodigal brother, Forrest, are summoned home by their ailing father to settle his estate. But, by the time Ray arrives, his father is already dead. The will is simple enough: the estate is to be divided equally between the two sons. However, Ray discovers something he hadn't planned on-- $3 million in cash stashed in the father's house. It turns out that Ray isn't the only one who knows about this fortune; someone else is after the money and won't hesitate to remove Ray from the picture. The remainder of the book is devoted to investigating the source of the cash and trying to discover who the other party is that wants it. Some better proofreading would have made this an easier book to read since there are some glaring errors that should have been caught. But, all in all, an enjoyable, suspensful book. I will continue reading Grisham. ",39,0.9599,0.065,0.798,0.138,0.540407177363699,NEGATIVE,0.9903
1,1335147538,07/14/2015,2.0,"I found this book on CD at my local library. They were having a sale, so I grabbed this CD set.This turned out to be a mystery about a son finding 3 million dollars in cash, stashed in boxes, in his deceased father's home. Deceased father was a well respected judge.Someone knows that Ray has found this money, and is intimidating him to return it with acts of violence. The mystery is solved in the final 2 chapters. It was so Anti-climactic that I felt like part of the book was missing. But NO!! All pages were accounted for.What a total waste of time!! ",36,-0.8075,0.145,0.766,0.088,0.36,NEGATIVE,1.0
2,1855830738,10/08/2018,3.0,"The plot was a bit thin, but well written nonetheless. Also a pretty surprising ending.",30,0.8625,0.0,0.51,0.49,0.7833333333333333,POSITIVE,0.9962
3,49019384,03/12/2009,1.0,"And Grisham continues his downhill slide, unarrested.Oh for the days of his earlier books, when the plots were intricately woven and I couldn't put the books down! You know what I thought when I read this book (and King of Torts, and The Broker)? I thought, OK, JG, we get it that you're a rich boy now, and now you want to explore your rich-boy interests in your fiction. Single malt whiskey, high-stakes gambling, yachts, piloting small aircraft... whatever. The reader can almost see the author's latest hobby unfold in these three books mentioned. The awfulness culminates here though, in The Broker. How about some plot instead? Half of this book is devoted to the question of ""did dad make his money gambling? I don't know, let's investigate the gambling industry in tedious detail, and see!"" The fact that the answer turns out to be ""no"" left me cross-eyed. When you devote this many pages to the subject, sir, the reader expects it to have some bearing on the plot.Dear Reader, I'd save my time if I were you.",26,0.9535,0.0,0.895,0.105,0.4627645502645502,NEGATIVE,1.0
4,2725663921,02/22/2019,5.0,This one had been sitting on my shelf for exactly 3 years and 20 days. It was about time I read it.I now see why everyone loves John Grisham. Man's a genius. Such a great book!,26,0.8439,0.0,0.788,0.212,0.5,POSITIVE,0.9997
5,14134487,01/30/2008,2.0,"Grisham has thrilled in the past, but those days are over, it appears. While I appreciated the theme of two brothers conflict over a large inheritance, and the drug addiction part was interesting, I thought I would go mad if Ray Atlee went to one more casino or hotel or restaurant or old friend or law office or rich lawyer's yacht or storage unit or private detective.... ad nauseum... Grisham is not his old self. I recommend The Firm, A Time to Kill, The Pelican Brief, The Client, The Runaway Jury, possibly The Rainmaker, and that's about it. ",25,0.8225,0.116,0.696,0.188,0.4812074829931973,NEGATIVE,0.6909
6,3111998893,01/11/2020,4.0,"Awesome read with a twist ending. Judge Ruben Vincent Atlee has died. He was the chancellor of Ford and the surrounding counties for Clanton, Mississippi for forty years. He was well received, respected, admired, feared, loved, and hated. His two sons Ray and Forrest expected to arrive in their home town to discuss their father's will with him, only to find him dead and a bookshelf of over three million dollars. This is where the adventure begins. Where did the money come from? How did his father acquire such a large sum of money? Is the money illegal? Who knows about this money? Should Ray/Forrest include this money in their father's estate or just keep it? Continue to read to find out how often Ray moves the money between Charlottesville and Clanton. This is a witty novel. Enjoy the journey. Quote:Vicki's departure from his life was so well planned and her execution of it was so cold-blooded that Ray's lawyer's first comment was, ""Give it up,pal."" ""Don't Be. There's not much to discuss, nothing to fight over, so it'll probably be ugly."" ""I don't lie. I cheat and bribe, but I don't lie. "" ",24,0.685,0.065,0.828,0.107,0.6258503401360545,POSITIVE,0.9968
7,30319854,08/16/2008,1.0,Boring. Predictable. Stupid. Read it only if you really hate yourself.,17,-0.8655,0.548,0.452,0.0,0.8800000000000001,NEGATIVE,1.0
8,186513057,07/19/2011,4.0,"Everything about it is good, but the ending did not work well for me. It is Grisham all the way, with a little twist, as this time there was no case in court, no big time law office...The summons is a document of such, though called so with a sarcastic tone. There was the usual thrill and suspense and it wasn't quite late in the book when I figured out the culprit. I read somewhere that The King of Torts is a thematic sequel to The Summons, so I'm reading that next. Never mind that it's only ""thematic"", I was really hoping there were more pages, at least an epilogue in The Summons......I wrote the above early in the morning, and then I hit the shower, during which time I thought twice about my review. I was being selfish In a way, asking for more, I failed to dwell on the most important part of the book: the life lesson; after all, I believe lessons are what all stories are all about. Two brothers; one, educated albeit a lawyer; the other, a dope addict for life. All their lives, it's the lawyer who's always been the smart one, even the dope-addict brother thought so. But in the face of temptation, it wasn't a surprise who turned out to be the smarter one, but who's the moral one.....And for that, an extra star.",14,-0.0835,0.09,0.822,0.088,0.4207142857142856,NEGATIVE,0.9998
9,3278508461,04/16/2020,5.0,"Judge Atlee, a retired Judge in Clanton, Mississippi requested his sons Forrest, the black sheep and Ray the law professor by letter to visit him on Sunday afternoon at 5 pm to discuss the details of his estate.Ray is right on time. Upon entering the home. Ray finds his father lying on the couch, dead. Looking around the room Ray finds something shocking. Money, all in one hundred dollar denominations in old stationery boxes.When Forrest arrives an hour later. The money has already been put in black trash bags and shoved into a broom closet. Ray and Forrest look at the Will. All of their fathers assets are to be divided equally.After the funeral the brother went their separate ways.Ray did a lot of investigating as to where all the money came from. Dirty money he called it.Ray was beaning watched and his apartment was broken into twice. Nothing was taken. He was feeling the heat of his knowledge. A series of bad things happened. An airplane he co-owned with others was set on fire. His father's old home was burned down. His brother disappeared to a rehab center in Montana.Where did the three million go to?I loved all the suspense.",13,-0.9618,0.123,0.844,0.033,0.4469954648526077,NEGATIVE,0.993
10,1358574633,08/08/2015,4.0,The plot has a fun premise. The paranoia is overplayed.,12,0.3182,0.163,0.569,0.268,0.2,POSITIVE,0.9394
11,590664903,04/14/2013,1.0,"Writing For the Money (2012)Grisham, John (2002). The Summons. New York: Random House.A lawyer in Mississippi finds three million dollars in cash in his father’s house after the old man dies. The money is not mentioned in the will, and indeed there is no obvious way the judge could have amassed that much cash. Should the lawyer declare it to the IRS and lose half in taxes, as the law requires, or quietly split it with his no-good, loser, drug-addict brother who would probably use it to overdose, or should he just stuff it into the trunk of his car and keep quiet? Choice number three, obviously. But threatening notes appear, followed by break-ins and fires. Somebody knows about the money and wants it.That is a pretty good set up, because it’s a nice fantasy everyone has had, finding a hoard of cash, and a good question, what would you do with it, with respect to the law, with respect to family, and especially, what would you do if your life was threatened by having the loot? But the choices for a novel are more restricted than that. We can’t have the protagonist just buy houses, cars, and airplanes, because that’s not interesting. We can’t have him give half to the IRS, because that just rubs greed the wrong way. We could have him split it with his brother, but, again, that goes against the greed motive, and also, maybe he really does care about his irresponsible brother. But, he has to do something with it. He cannot just drive around the south with the money in the back of his Audi for two hundred pages. What fun is that? But that’s what happens. The promise of the premise is not fulfilled. If the writing were lyrical and insightful, we might not care that the plot has the dynamism of a slug crossing a garden. But the writing is only pedestrian, and also pretty clearly written by a committee. The plot wanders here and there, as if nobody were in charge of directing it, and the ending is incomplete and arbitrary. There obviously was no overall outline of the plot. It was the old, make it up as you go method.I got the book on a remainder table and I thought I’d see exactly how he works his magic. Unfortunately, there is no magic, other than the fact of the author’s name. I did make a couple of useful observations. One is that the writing is spare, competent, and kinetic, with few digressions into scenery, costumes, or characters’ interiors. That is the formula that sells, apparently.Also there were a couple of well-wrought moments of chilling suspense, when the protagonist receives threatening notes that reveal the pursuer’s intimate knowledge of his movements and motives. The idea that someone is watching you that closely is frightening. It might have worked even better if the narrative had been first-person and the main character a little more reflective. This narrator is third-person, close in to the main character, but overall, an inert narrator.I would have enjoyed a paranoid, fear-soaked cat-and-mouse chase, or maybe some clever turn-the-tables plotting, or even, since it’s Grisham, some tricky legal maneuvers. But there is just nothing going on here. It’s a Grisham novel for the sake of a Grisham novel, and there is no literary or artistic reason for it to exist. ",11,0.9788,0.08,0.807,0.113,0.5005793226381461,NEGATIVE,1.0
