,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,1954137359,03/27/2017,1.0,"No, no, definitely not. I picked up quite a judgy, self-righteous tone off the bat, but I finally realized this was not the book for me when she referred to one of her former clients as a ""pub-crawling greaser."" Sorry Gillian, you can keep your sense of superiority and I'll go hang out with the much more kind and relatable Gina Homolka. ",14,0.8095,0.07,0.78,0.15,0.65,NEGATIVE,1.0
1,17183873,03/06/2008,1.0,"First, who told Gillian it was ok to print in light pink letters on saturated hot pink pages? I get that color is fantastic, and eye catching, but this is retina-burning. Makes it an unpleasant read. I heard of Gillian from her BBC show ""you are what you eat."" I decided to pick up this book from the library, mainly to see if a few foods featured on her show had recipes in here. A lot of what is in this book is kind of obvious. Fruit, veggies, and organic are good for you, yes, we all know this. Some is interesting to consider, and then there's the rest. I appreciate her use of conventional chinese medicine (ie - the tongue diagnosis) and her pro-organic healthy style, but I think she's taken good ideas and gone over board. A few things in her book are in contradiction to what I've been told by my dietitian. Fine, different ideas are out there. Gillian has a very all-or-nothing attitude that I find a bit hard to work with. Hold on to your pants, I'm going to eat chocolate. I don't need to eat *all* the chocolate. But there's no little bit with her. There will be no chocolate, no alcohol, no caffeine, no red meat, no fat, no refined sugars, no flour, no, no no and NO. That's not so realistic in my world. I'm going to have dinner at friends house, and no I will not be asking to use their blender to juice my celery and cucumber stick. I'm going to work events and restaurants, and they may not be organic and raw foods. I'll deal. And you know what? I'll live. Again, I know first hand that when I eat well I feel good. (again, obvious) but life happens. And Gillian? I know PLENTY of people that eat your anti-christ diet and have strong interest in sex! So calm down on the sex drive already! ",8,0.9345,0.121,0.731,0.148,0.4904543868829583,NEGATIVE,1.0
2,86382015,01/23/2010,1.0,"This book was pretty useless. The information was mostly either really basic (""Eat the good fats and throw out the bad. Good fats can be found in avocados, pumpkin seeds. . . Bad fats are saturated fats, as found in red meats and butter. They are very hard to digest, clog your arteries and led to illness and weight problems.""), or it was very specific (""If you have small pimply bumps on the arm, take the following supplements daily: beta-carotene 15mg, B complex 50 g, and EFA 500 mcg.""). She also advises food combining (not eating certain foods in the same meal as others, or taking care to have meals include foods from certain categories together), which, I gather from other sources, there is no scientific support for.Many of the pictures in the book are lovely close-ups of food, but there are also many pictures of the author in various food-related settings. I suppose that's necessary to feed the ego of someone who wrote a book like this after having her own TV show. (She does not address healthy ways to feed the ego.)",5,0.5598,0.072,0.832,0.096,0.4807142857142857,NEGATIVE,1.0
3,90289091,02/18/2010,4.0,"More of a 3.5, but it gets the nudge upward because I can think of a handful of people I'm going to recommend it to immediately.It was informative, light reading, and I am happy to have read it, but I had a few problems:1) There is very little to back up the claims made. Would have been a much more boring book with that info, but when making claims as large as some of those that are included, I like sources to be more clearly cited.2) Whoever came up with the design of the actual book ought to be shot. There are a handful of pages that are nearly unreadable due to the lack of contract between page and font color.I've already: - ordered a number of supplements- been drinking superfood fairly regularly - been drinking more herbal teas- ordered a skin brush- ordered a sprout kit.",3,0.9103,0.042,0.832,0.126,0.4508642399267399,NEGATIVE,1.0
4,56307253,05/16/2009,5.0,i read the intro to this book-it scares me-i love to eat-and well i'm sure she's going to tell me a majority of what I love to eat is sooo bad for me!!!! i want to be healthier i really do but i dont want to give up food or exercise 1/2 my life away.....ha.finished this book and feeling really inspired to make parts of it into my daily life.tried the sweet potato shephards pie-a little bland will try w/ some more seasoning and maybe no pepers. :),3,0.9578,0.066,0.674,0.26,0.5532407407407407,NEGATIVE,0.6123
5,920700186,04/25/2014,5.0,"This is one of the best books on nutrition I have read in a long time. I found it on a road trip in a truck stop store. Gillian's expertise about foods chemistry, digestion and what to eat together is very helpful. Her knowledge of vitamins, minerals and herbs to help various conditions is also very good. This was not only an interesting read, but it will serve as a good reference book. ",3,0.8642,0.042,0.788,0.169,0.5475000000000001,POSITIVE,0.9983
6,52516511,04/13/2009,3.0,"I skimmed this book, I did not read the whole thing. I requested it from the library because I liked the title and am generally interested in improving and varying my diet. It's quite a bit about macrobiotics--surprise! There is some interesting symptom/remedy information. It seems a bit drastic for most people to do everything recommended here. One interesting and easy-to-implement tip was chewing all your food well. ""Your stomach doesn't have teeth."" Well . . . yes! I like being reminded about all the healthy and natural things I could eat. Also interesting were the real life examples of people's diets that show how you can eat relatively few things yet be overweight. The author says eat more healthy things. I like being told to eat more! Pass the apples!",2,0.983,0.03,0.713,0.257,0.4642857142857143,NEGATIVE,0.9916
7,156116362,03/22/2011,5.0,nice simple nutrition,2,0.4215,0.0,0.417,0.583,0.6785714285714286,POSITIVE,0.9902
8,3633238509,01/28/2021,4.0,"I give this 4.5The author really sets out the case of why 'You are what you eat' . A very interesting read, she looks at the entire body and how when even the smallest part of the body eg nail is unhealth it is an indication of sum deficiancy in ones diet. I really gained alot from the book regarding food combination and its effect on digestion, when to drink water so as not to flood digestion. It was also good to be reminded why we need to take suppliments as our diets are insuffienct to supply all the vitamins, minierals that the body needs.My only gripe with the book is she advocates for eating almost on a constant basis, breakfast, snack, lunch, then snack, supper then snack. She did not delve much into the implication of what constant eating has on our hormones ie insulin and how we can end up being insulin resistance which can lead to weight gain. We need some periods of fast. Our bodies where not meant to be constantly focused only on the digestive process. What about autophagy? This aspect of health is not looked at.Otherwise this was a good read, will definatly be referring back to certain sections of the book.",0,0.9571,0.0,0.908,0.092,0.4830952380952381,POSITIVE,0.9908
9,472110210,12/07/2012,4.0,"Few people know or remember that Gillian McKeith had a television show, as I recall, also called ""You Are What You Eat"", which I sporadically watched while it lasted due to the entertainment factor. During the duration of the half an hour or so the episodes lasted, Gillian would visit the homes of families with awful eating habits, investigate their fridges, make angry comments about how offensive she finds all the Chinese take-out leftovers, Coca-Cola, and/or hot pockets their fridge holds, and then send them off to poop in a large, clear container before taking this container and waving it around and saying, ""See? SEE HOW UNHEALTHY YOUR STOOL IS?"" (Due to this habit, she is known internationally as--I'm not making this up--the Awful Poo Lady.)Those families were eating vegetable casserole for the rest of their lives. I guarantee it.Her book isn't nearly as menacing as her television show. In it, Ms. McKeith tells you simply what kind of food is bad and what is good, and tells you what kind of food can help you improve brainpower or muscles or various other things. (Apparently raw sauerkraut is good for your sex drive. I never knew that before. Did anyone?) She does it comprehensively and obviously knows what she's doing, and manages to hold the reader's interest, despite the fact that it is, you know, a cookbook. Four stars. ",0,-0.1712,0.08,0.831,0.089,0.5516216422466422,NEGATIVE,0.8402
