,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,67284483,08/13/2009,2.0,"This book was horrible. Period. A waste of my time. You see, what really pisses me off with this book is this: I have known kids that have come from horribly abusive situations that are more genuine than Pelzer is in his ""memoir."" The stories of his life in this book contradict one another, are extremely over-the-top and, dare I say, fabricated some. Now, before anyone wants to crucify me, look at the facts:His family members were interviewed and stated that this was pure fantasy. (I can concede that the family members may have lied.)He bought numerous copies of his own book to inflate sales records so that the book would have a better chance at getting on bestseller lists. (Again, I can concede that he was only helping his writing along by wanting his book to be seen by a greater audience.)However, and here is the kicker for me, if this story is true, then shouldn't just writing it and getting the story told redemption enough for Pelzer? A story of this magnitude should be told, there's no doubt about that. But it should be told with grace and humility. Pelzer should have approached this book as an avatar to the thousands of other kids out there that don't have a voice. Instead, Pelzer grandstands and makes the issue of child abuse seem like a sensationalistic piece of family trivia. Very disappointing.WASTE OF TIME",197,-0.902,0.109,0.822,0.069,0.5723684210526316,NEGATIVE,1.0
1,745109283,10/05/2016,4.0,"A Child Called ""It"" (Dave Pelzer #1), Dave PelzerDavid James ""Dave"" Pelzer (born December 29, 1960 in San Francisco, California) is an American author, of several autobiographical and self-help books. He is best known for his 1995 memoir of childhood abuse, A Child Called ""It"".It is the story of the early years of a boy's life, and a real and moving memory. It is Dave Pelzer's childhood, under torture and brutal starvation by his mother (who was unstable and constantly intoxicated). From the mother's point of view, her son was no longer her beloved child, he was a slave, nor a boy, but ""nothing"" and that was ""It"". The boy's bed, or old military blanket, was in the basement. His clothes were torn and frail. If the mother allowed him to eat, he would eat only the leftovers in the dog foods. ""David"" dreamed of finding a family, to love him and consider him their child. He endured years of struggle, deprivation and despair, to fulfill his dreams, and to leave something of himself in this world. ...عنوانهای چاپ شده در ایران: «کودکی به نام هیچ»؛ «بچه‌ ای که صداش می‌کردند «اوهوی!»»؛ «سرگذشت پسری که میخواست زنده بماند»؛ «داستان زندگی من»؛ نویسنده دیو پلزر؛ تاریخ نخستین خوانش: روز چهارم ماه اکتبر سال2004میلادیعنوان: کودکی به نام هیچ؛ نویسنده: دیو پلزر؛ مترجم: حمید خادمی؛ تهران، معانی، سال1381؛ در141ص، مصور؛ عنوانهای دیگر: سرگذشت پسری که میخواست زنده بماند؛ کودکی به نام «هیچ»؛ موضوع کودکان آزار دیده؛ داستان دیوید جی پلزر از نویسندگان ایالات متحده آمریکا - سده20معنوان: بچه‌ ای که صداش می‌کردند «اوهوی!»؛ نویسنده: دیو پلزر؛ مترجم: امیرابراهیم جلالیان؛ تهران، آفرینگان، سال1383؛ در141ص، مصور؛ عنوان: سرگذشت پسری که میخواست زنده بماند؛ کودکی به نام «هیچ»؛ چاپ دوم سال1393؛ شابک9789647694155؛ عنوان: داستان زندگی من؛ مترجم: مهشید احمد پناه؛ اصفهان، مهرافروز، سال1386؛ در540ص؛ شابک9789649125435؛داستان سالهای آغازین زندگی پسرکی، و یادمانی واقعی، و تاثرآور است؛ داستان اراده ای برای زنده ماندن؛ و کودکانگی «دیوید پلرز» است، در زیر شكنجه‌ ها، و گرسنگی دادن‌های وحشیانه مادرش (كه بی‌ ثبات و دائم‌ الخمر بود)؛ از نظر مادر، پسرش دیگر نه فرزند دلبند او، كه یک برده بود، و نه پسر بچه، بلكه «هیچ» بود، و بس؛ بستر پسرک، یا همان پتوی سربازی کهنه، در زیرزمین خانه، قرار داشت؛ لباس‌هایش پاره، و بویناک بودند؛ اگر مادر اجازه می‌داد، تا غذایی بخورد، تنها تكه‌ های باقیمانده در ظرف سگ‌ها را، می‌خورد؛ «دیوید»، رویای یافتن خانواده‌ ای را داشت، تا او را دوست بدارند، و فرزند خویش بشمارند؛ او سال‌ها كشمكش، محرومیت، و نومیدی را تاب آورد، تا رویاهایش را، برآورده سازد، و چیزی از خود در این جهان، به یادگار بگذارد؛ ...؛تاریخ بهنگام رسانی 22/11/1399هجری خورشیدی؛ 17/10/1400هجری خورشیدی؛ ا. شربیانی",141,-0.4559,0.056,0.904,0.04,0.3948717948717948,NEGATIVE,0.9056
2,3267435,07/19/2007,5.0,"Easily the most terrifying book I've ever read. I think I had literally repressed the memory of it, until I randomly happened across the title this week. I experienced this book in a fairly odd way, during a week-long cheerleading camp my sophomore year of high school. My coach was reading it and somehow ended up reading the entire book aloud to my squad during breaks and at night. Once she started, we were all addicted and spent every free moment listening with rapt and horrified attention. I remember with almost painful clarity the way in which we sat at her feet listening to this story of a boy who endured a long childhood of astonishing, sadistic abuse at the hands of his mother. Girls were crying for long stretches, and not being a crier myself, I listened in a sort of shell-shocked, wide-eyed paralysis. After every single part of the reading, I was convinced it couldn't get worse, that she couldn't possibly do anything worse to that little boy. And every single time I was wrong. I'm not sure I would actually recommend this book or not. It is good - very good - but reads with the sort of harrowing inhumanity of a Holocaust memoir. Not light reading, and not a feel-good ""I survived the odds"" story. It kind of just makes you want to go home and tell your parents that you love them, and then bawl your eyes out. ",138,-0.3453,0.101,0.813,0.087,0.6181931216931216,NEGATIVE,0.9951
3,18471482,03/23/2008,5.0,"A Child Called ""It"" HCI, 1995 $9.95By Dave Pelzer ISBN 1558743669	One very common issue that goes around in our world is child abuse, it happens everywhere and it is something that is horrible and cannot be stopped. Dave Pelzer, the author of the autobiographical book, A Child Called It, shows the very dark corners of child abuse by viewing to the readers his horrific life as a young boy living with his mother that constantly abused him.	Dave Pelzer, who lived with his unstable, disturbed, alcoholic mother in a town in California during the early 70's, explains his story about his torturous unforgettable years as a young boy. Throughout the story, he does his best to survive from his mother and tries to stay alive from the pain of hunger, bruises and cuts he receives. The only thing that keeps him alive are his dreams, wanting a happy and safe family, and also being someone. 	It’s terrifying to think after reading this that, this really had happened to someone, it isn’t fake. This made me say to myself, “wow, life can be so messed up, but you can survive even the most horrible things, as long as you follow your dream, and keep it with you as close as possible.” I believe this is the message, Dave Pelzer is trying to reach out, not only to the people who get abused consistently, but also to those who suffer a great deal of pain from something terrible everyday. Once you have read the last word of the story, and closed the book, you will definitely know that this book has just changed your life, and your perspective of issues like these around the world, trust me, that is a fact.",83,-0.9533,0.156,0.742,0.102,0.6020588235294119,POSITIVE,0.7582
4,2730819,07/05/2007,1.0,"I did not like this book. But that's okay. You're not supposed to like it. It's a horrible, horrible book. A trainwreck of a book. I wanted to look away, but just couldn't. I know it's the first part in a trilogy, but I doubt I'm going to read the other two books. It was too, too depressing.Actually, the person I got most angry with was the father. The mother was obviously sick and needed help. There's no other explanation for the awful things she subjected her son to. But what's the father's excuse? He just stood by and did nothing? No, that's not true - he stood by and did nothing... and THEN he abandoned the family. I don't get it. Nowhere in the book was it stated that he seemed afraid of his wife, so why did he allow her to treat their son so horribly? You don't just stand by and let your SO practically kill your son, you just don't!There were two things I would have liked to know: 1) What made David different from the rest of his brothers? Why was he the one who was treated so horribly? If his mother had had some kind of reason, just something that set him apart, it would at least be part of an explanation even if it's no excuse, but it seemed totally random. I guess it was... after all, sick people often don't need reasons for doing as they do. 2) What happened to his mother afterwards? Did she get some kind of help? Were her other boys taken away from her too? The book ended in a cliff-hanger fashion which annoyed me. Too many loose ends.I don't recommend it. Most of you would never treat a child like that anyway, and if you would, no amount of reading about it would change your opinion that you're in the 'right'. The only time I would encourage reading it is if you know somebody you fear may be subjected to child abuse, or if you want to be convinced that you should become a foster parent.",72,-0.9955,0.207,0.706,0.087,0.6509188034188036,NEGATIVE,1.0
5,18786424,03/27/2008,5.0,"Oh my god, what can I possibly say about this book? When I first started reading this book last year, I was just so hooked to it and I just wanted to know everything about this book. It was all about this author's childhood gone horrible with the extreme abuse, the torture and suffering. I really couldn't believe my eyes, the author described like, everything he went through, all the pain he had to go through, how he felt and everything. I could really understand how he felt but one thing about this book I don't get at all is how his own mother transformed from a loving mother to a nightmarish, abusive mother so quickly. I mean, the author was only, like a little boy when his mother started abusing him.This book is extremely emotional and can make you feel so bad for the author and even cry so. This book was all about the author's childhood and how he survived through such abuse, starvation, and neglect. This also showed how bad things happen to good people - the author's own father didn't even help out at all - he was once a fun, loving fireman, turned into an alcoholic, carless father. The only way for the author to get help was through school but the only thing that kept him from telling the school the truth was his fear of his mother going after him and make his life last through hell forever; even though the school sort of already knew, from all the bruises on him, him stealing the children's food because of hunger, from his mother starving the author and how he constantly uses identical/unreasonable lies about his bruises and wounds. He was pratically stabbed in the belly and had to go through such pain. His faith and hope kept him going & he never let his mother win this sick game. In the end, he told the school the truth and he was finally taken out of the horrible home, with the abusive mother, two brothers that weren't treated horribly at all and the careless, alcoholic father - and put into a much better home - foster home. I loved this first book so much that I even continued on to the next book!A lot of thanks goes to my teacher, for lending me the books - it's one of my most favorites!",66,-0.9908,0.21,0.65,0.141,0.613690476190476,POSITIVE,0.7692
6,3223208,07/18/2007,2.0,"I've sat with this book on my desk for a couple weeks, unable to decide what I would write for a review. I'm wholly torn between this being one of my most-asked-for and least-favorite-ever titles. I wish the amount of times I heard ""this was the first book I liked"" (and the amount of times it's been billed/stolen from the library) corresponded to its quality, but I truly found it very short on redeeming qualities. Eric's Goodreads review says pretty much what I would say. The writing was cliched and the ""plot"" moved along by way of ""one day,"" ""one Sunday,"" or ""later."" There was never any explanation attempted for the mother's instant transformation from idyllic homemaker to savage abuser (unless you are supposed to infer that it's alcohol's fault, in which case, talk a little about alcoholism). There is absolutely no process of recovery or explanation or psychological background, and the book leaves huge questions open, saying ""Please understand that many of your questions will be answered in the next two books in the trilogy series."" That made me want to throw it across the room. It's a great marketing gimmick for fiction, but not for a supposedly true story. That kind of self-exploitation leaves a bad taste in my mouth. As for ""truth,"" the NYTimes article ""Dysfunction for Dollars"" sheds some very interesting light on Dave's story:http://query.nytimes.com/gst/fullpage... All that being said, I am going to try to take this book for what it is: an excellent awareness-raiser about child abuse; a survival story that may help many think ""if he can get through that, I can get through anything""; and a simple, quick, can't-look-away-from-the-train-wreck read that kids and teens have given a cult following. May they then move on to something better. ",57,0.7097,0.104,0.772,0.125,0.5379931972789116,NEGATIVE,1.0
7,17888720,03/16/2008,5.0,"Okay, this is going to be a short and sweet review since it's a non-fictional autobiography and you can't really critique things like characters and story. But I'm going to say what I can...This book was a hard one to read yet I couldn't put it down. There's a different something in Dave's story that will keep different people reading. Mine was: Why? I wanted to know why his mother did this. I wanted to know what made her do it. I wanted to know how she could to it. And I wanted to know why it was Dave she picked out of him and his brothers. What made Dave the one she singled out for such monstrous torture. But that's something people involved in child abuse cases ask themselves every day.You really do feel for Dave. You don't feel with him because there are moments so bad that he has to disconnect himself. I couldn't do that while reading it though. I almost felt that if I could send my anger and frustration and sadness and hope out there it would stop. Of course it was foolish of me seeing as it happened many years ago and he's a grown man who escaped his mothers claws.I was only annoyed by the fact that the book was too short and that dividing his story into three seperate books seemed unnecessary. Especially because by the end the reader has become so invested in Dave and feels like they're such a part of his life, they want to go with him as he continues on to the next, hopefully happier chapter in his life. Perhaps it was a publishers marketing scheme to get more money or something. Goodness knows it wasn't Dave's. His goal was to tell his story, thank those who helped him, and open a door to shed light on an issue that is often hidden away. All of which he accomplished magnificently.What we learn in Dave's story is that child abuse is real. It comes in many forms, but it's out there and it's up to those of us in the lives of children to stand up and be the voice for the abused. Another thing we learn is to not back down in that fight, of course there will be road blocks, but if you champion for a child as those special people in Dave's life did, you can help. You can save a life, heart, and soul. You can give a child hope.This book is a must-read I'd say. I of course went out and got the follow-up (I hate to use the word sequel with something like this) and read it right away. That's a review to follow later. If you are debating about reading this book I will just say that it is a hard read. If you're a mother it will probably be especially hard. If you have a deep compassion and love for children it will probably be hard. If you yourself have experienced abuse it will probably be hard. If you just have a heart it will be hard. But don't give up. It would be even harder to just quit in the middle, trust me on that. It's that end, despite being a beginning, that will bring tears to your eyes and a much needed smile to your face.",54,0.8824,0.088,0.815,0.097,0.4720723104056438,NEGATIVE,0.9999
8,7958618,10/19/2007,5.0," A Child Called ""It"":One Child's Courage to SurviveDave PelzerHealth Communications, Inc., 1993, 153 pp., $9.95ISBN 1-55874-366-9 Have your parents ever abused you? In The Child Called ""It"", a true story that can bring tears to the eyes of anyone with a beating heart, Dave, the protagonist, is abused in the most horrifying ways possible. What kind of mother would want to hurt their own little child? David's mom's actions can prove that wrong. ""Once, I ate some leftover pork. Hours later I bent over in extreme pain ... While I was sick, Mother informed me she had purposefully left the meat in the refrigerator for two weeks, to spoil before she threw it away"" (Pelzer 63). The book tells of a little child, Dave, the protagonist, who goes through many troubles throughout the book. He lives with his crazy, obnoxious, abusive mother who would go out of her way to torture David. His father, who had once been his guardian angel, has left the family because of all the argument after arguments he had with David's mother. Dave's mother would do crazy things like, putting his hands over the oven, lock him in the bathroom with deadly chemicals, or she doesn't feed him for really long. This book can make me cry all over again every time ii read it. I can relate to the terror little David has to go through, because my mother wasn't much different from David's mom. Get your tissues ready. You'll need it. After reading this book, you'll then understand the what really goes on in the world. It's called reality. People on the news just say what happens, but have never told you the details that make you want to slap the abuser. You'll like this book. Actually, rephrase that -- you'll LOVE this book!",52,-0.9477,0.135,0.798,0.067,0.5762857142857143,POSITIVE,0.9786
9,1527038019,11/06/2019,,"It feels wrong quantifying this with a star rating, but this book was one of the oldest on my TBR and I'm glad I got to it. I do with that this trilogy was consolidated into one book with the author's current-day perspective sprinkled it, because as is, it's a short collection of what happened to him without any real perspective or understanding of it until a tacked-on epilogue. It was still heartbreaking and confusing--and I can't tell who I hate more, the abusive mom or the dad who stood by and watched. This is packed full of description and action, but lacked the hindsight and explanations I wanted as a reader who isn't necessarily interested in the entire trilogy, so I wish it would have unpacked more of it in this single volume.",51,-0.3444,0.105,0.808,0.088,0.5324404761904762,NEGATIVE,0.8343
