,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,683649161,08/01/2013,1.0,"(C-) 56% | Very UnsatisfactoryNotes: Its secret society has no intriguing back-story, the villain is inappropriate and asinine, and the end revelation is lame.",435,-0.8225,0.301,0.699,0.0,0.5375,NEGATIVE,1.0
1,71832547,09/19/2009,2.0,"I have such issues rating Dan Brown books... I want 1.5 stars, I think. Snark ahead.Here's the deal: the man can't write. He's a name-brand & url spewing, Wikipedia-like fountain of knowledge, who CAN'T HANDLE VERB TENSES. He also likes really short sentences. That aren't sentences at all. Really. Expect iPhone, Twitter, and Google shout-outs, too. I'm almost surprised he didn't mention the inevitable hash #thelostsymbol and tell us to use it when we tweet about what we just learned.On the flip side, who doesn't love a good romp around a famous city solving mysteries with art and science and religion? You know the drill, and the formula hasn't changed here in the slightest.As a former DC resident of 7 years, I have to admit, I was expecting slightly more from the location, but Langdon and his companion du jour keep getting trapped in random places, so it's a bit disappointing on that front. He does get 10 points for a hilarious caper including the Blue Line out to the King Street station though and the Red Line to Tenleytown (yeah, Tenleytown shout-out, what up!)This book's wacky science theme is Noetics, and the quasi-religious thing at hand is the Masons. Since the first thing that comes to mind re: Noetics is Fringe, I sort of expected a Pacey Witter guest appearance, but alas, it was not meant to be. I know absolutely zip about the Masons, but who wants to bet their membership applications go through the roof this month?So my final verdict: did I hate it as much as Catcher in the Rye? No. (Will I ever hate any book as much as I hate Catcher in the Rye? Unlikely. BUT THERE'S TIME.) Is it the best Robert Langdon book? Not by a long shot. Angels & Demons still is the best of the trilogy. Is it still vaguely enjoyable in the way only a Dan Brown book can be? Yes. Does Dan Brown's copy editor need to be publicly humiliated? YES AND HIS NAME IS APPARENTLY JASON KAUFMAN (according to the Acknowledgements, so I'm not like, stalking anyone here) AND GOOD LORD MAN, ONLY YOU CAN PREVENT FOREST FIRES CAUSED BY PEOPLE BURNING THIS BOOK EDIT THIS INTO SOMETHING ENJOYABLE. EVERY TIME DAN BROWN DOESN'T KNOW HOW A VERB WORKS, KITTENS DIE.Also, if I ever have to read the words ""neutered sex organ"" again, I will be forced to remove my eyeballs and then pour bleach directly onto my brain.One more P.S., since I tweeted this and then forgot to include this here: Most unbelievable part of the plot? The Redskins are in the playoffs AND score on their opening possession. PLEASE TRY AGAIN, YOU FAIL AT HAVING SPORTS KNOWLEDGE.",395,0.8816,0.098,0.773,0.128,0.5488636363636364,NEGATIVE,0.9683
2,74306646,10/12/2009,2.0,"I liked Angels and Demons and I really liked The DaVinci Code but this latest of Dan Browns thrillers was barely worth the time, and definitely not worth the money. The Lost Symbol follows the familiar Dan Brown formula - an ominous conspiracy, a threat to end the world as we know it, a relentless villain, and a search for hidden secrets which require the decoding of obscure clues. This formula has given us a couple of fine thrillers, and has taken advantage of the authors familiarity with arcane history, philology, symbolism, art and architecture. But even this intriguing texture would not be terribly interesting without the intrepid symbologist Robert Langdon to lead us through the perilous labyrinth at high speed. This time, Langdon must find the Freemason’s grand secret hidden in Washington, D.C. and evade both the CIA and a brilliant but scary villain, while rescuing a kidnapped friend and his sister. The DaVinci Code and Angels and Demons were both intriguing and thrilling enough to overcome Mr. Brown's weak writing. But because The Lost Symbol’s plot is so much weaker, Brown’s sophomoric writing becomes much more obvious and ever more bothersome as the work progresses. For example, the formulaic mini-cliffhangers at the end of nearly every chapter became trite and annoying manipulations. Brown also employed several set-pieces of lecture and discovery that annoyingly repeat themselves. This book is full of Brownian cliches. I think that the credibility of this work is further undermined by using characters who are simultaneously brilliant and clueless. For instance, the intrepid and brilliant professor Langdon, who by now should be rather wary of mysterious invitations, flies to Washington D.C. at a moment's notice supposedly at a friend's request but without actually speaking to his friend. And even less credible, is that without direct confirmation, he brings with him a top-secret package that he swore to keep hidden at all costs.Similarly, the brilliant scientist Katherine doesn’t think to back up her life’s work of scientific research, and she allows a man she's met only once into her ""top secret"" laboratory because she receives a TEXT message purportedly from her brother who she admits doesn’t even know how to text. And these are not the only naive, and clueless people who should know better. The police and security guards are all hapless,and even the CIA director fails to question whether a suspect is lying when he says ""I'll be there in 20 minutes."" More disappointing still is that the main character of Robert Langdon seems to have been dumbed down in this book. He repeatedly is adamant about thus and such only to be subsequently shocked when the true meaning is revealed. He always requires two attempts to decipher the true meaning of clues - the first one which is obvious and turns out to be wrong, followed by the shocking epiphany. One would think that a Harvard professor would eventually learn that things are not always what they seem. In this work Robert Langdon spends more time being lectured than he does solving mysteries or puzzles. My recollection is that he figured out absolutely nothing critical in the last third of the book. Even more troubling than Brown’s weak and cliched characterization is that as the thriller reaches its climax, it becomes clear that the pieces do not fit together well. For instance, for most of the story, both the villain, and the CIA insist the stakes couldn't be higher, but in the end we learn that the potential danger is merely some bad public relations for a few powerful Masons. Why then is the CIA involved in this extortion plot - especially since it is legally barred from domestic law enforcement? The author simply fails to provide justification for all the black opps of the CIA counter- conspiracy despite their central role in the story. There are lots of problems with this book, but perhaps the its greatest flaw is Dan Brown’s failure to ever explain the main premise for the book, something he calls the Ancient Mysteries. The primary force that propels the plot is the implicit promise that in the end, a tangible secret will be uncovered. While the protagonist keeps asking if this grand secret is merely metaphorical, he is assured by friends, enemies and even the CIA that the secret is literal and potentially dangerous. But, in the end we learn that the grand secret for which people are willing to sacrifice their lives and fortunes doesn’t really exist. What exactly is the point of the pyramid and the secret codes and symbols if the grand mystery is already found in every church, in nearly every home, and in even in all the hotel rooms in the country? Doesn't that make the entire plot pointless to begin with?OK, if it’s not clear yet, HERE IS THE BIG SPOILER: The great Masonic secret is the most widely published and read book in history - it is the Bible. Brown’s thesis is that the Bible is loaded with hidden wisdom, and once these biblical secrets are pointed out, people are going to be shocked that they didn't see them before. And then they are going to be transformed because they now know that they're one with God, or they're the same as God, or they are made of God, or some such new age mumbo-jumbo. So in the end the whole purpose of all the elaborate secrecy is that a few people think mankind may not be ready for a new age when human potential will be finally unleashed. So for centuries the inner circle of Masons have concocted elaborate means to hide this enlightenment from a world not ready for apotheosis. And so despite all the symbols and codes, the grand secret is really kept hidden in plain sight. So pay no attention to the coded mysteries behind the curtain. The ending of this story is an embarrassment. It may be the most anti-climactic, unsatisfying ending I have ever read. While the story kept claiming that earth shattering secrets were soon to be revealed, in the end all the paintings, pyramids, talismans, and other clues turned out to lead to nothing. They resolved nothing, they didn’t even leave us with a mystery yet unsolved. The mystery was solved, and it was an inconsequential whimper instead of a revelatory bang. It is my opinion that the author could not pull together the novel in the last chapters simply because there was nothing to pull together. There was no sweeping statement to be made and no grand secret to be revealed. This left me very unsatisfied at the story’s end. Theological addendum: Many Christians are offended by the idea of apotheosis which seems to be a core premise of Brown’s Masonic heroes. Though the idea of human deification has a long and ancient history in Christian thought, these critics have disowned the notion that Man can become like God, and consequently are offended when Brown places this mystery at the apex of his new-age amalgam of Masonry, religion and pseudo-science. As a Latter-day Saint (Mormon), I believe that having been literally created in God’s image, we each have the innate potential to become glorified and exalted through obedience to the Gospel of Jesus Christ. My belief that man can become like god, is akin to the belief of Christian writers through the ages from Irenaus to C.S. Lewis. So deification doesn’t offend me at all. Ironically, however, I find myself in strong agreement with Christian critics who accuse Brown of idolatry for claiming that this apotheosis can occur merely through our own mystical consciousness raising efforts. The central message of the Bible, and most especially the New Testament is that such a dramatic transformation can only occur on God’s terms and by means of his power and grace. In contrast, Brown attempts to “spiritualize” or metaphorize all particularity and literal meaning out of the biblical text. To Brown’s heroes, the real meaning of the text is whatever the true mystic wants to find hidden within. His new-age hodge podge of religion is very convenient,non-demanding, self-asserting and self-serving. It is the opposite of God’s revealed truth which requires self-less obedience and devotion to God and our fellow men. The Bible’s central message of obedience and faith is not found in Brown’s mystical amalgam, nor in any other brand of humanism. Brown ironically attempts to bolster his view of an impersonal God and a godless salvation by selectively quoting the Bible, a book which persistently and powerfully testifies of a personal God - a Father in Heaven who knows us individually, and cares about helping us overcome our sins more than developing our mental, or psycho-kinetic capacities. I agree with those critics who claim that the God described, or implied by Brown is an idolatrous invention of man as surely as that of Odin, Zeus, Baal, or the God of the Greek philosophers whose center is everywhere and whose circumference is nowhere. In my view, Brown’s mishmash of new age nonsense intending to avoid dogma and doctrine, has very little point except to highlight that humans have enormous untapped potential. I don’t see anything revealing or revolutionary about this truism. I cannot conceive of such a benign observation creating any paradigm shift, nor can I imagine it unleashing pent-up human capacity. On the contrary, I think it is mankind’s persistent attempts to ignore the substantive teachings of the Bible that have bound us to telestial mediocrity. Even so, I suspect this theological critique is probably a bit over-the-top when you consider that this book is just a work of adventure fantasy. The Lost Symbol ought not to be taken too seriously. I don’t imagine that it will shape many people’s views of God, the Bible, or even religion in general. I don’t see The Lost symbol as much of a threat to my sacred beliefs, even though I thought I might as well throw in my two bits on the matter.",248,0.9843,0.118,0.746,0.135,0.5295225814374751,NEGATIVE,1.0
3,55168403,05/06/2009,5.0,"I really enjoy Dan Brown's stories. I have read Angels and Demon and The Da Vinci Code, I am currently reading Deception Point and plan on reading Digitial Fortress. I absolutely love his story telling. I have read mixed reviews and I think the negative reviews are just really people who are too serious in life. For goodness sake it is a book for entertainment, not a non-fiction story. Though I have read some non-fiction stories that are more fiction then Dan Brown's book. Brown's books are entertaining and make you look at thing in different ways which is good. Everytime I pick up Brown's book, I am totally immersed in the story and at the edge of my seat wanting to know what happens next. I can't wait until the next book. It took me a bit longer to finish this book then I expected, but I am so glad that I read it. Again, Dan Brown delivers a thought provoking story in his unique style. I know others really dislike Brown's style of writing saying that it follows a formula of the ultra dramatic and the never ending cliff hanger chapters, but I just don't tire of that at all. A great thrilling read. I can't wait to read the next Dan Brown book!",228,0.9565,0.052,0.819,0.128,0.5053030303030303,POSITIVE,0.9999
4,133816820,12/06/2010,5.0,"The Lost Symbol (Robert Langdon, #3), Dan BrownThe Lost Symbol is a 2009 novel written by American writer Dan Brown. It is a thriller set in Washington, D.C., after the events of The Da Vinci Code, and relies on Freemasonry for both its recurring theme and its major characters. It is the third Brown novel to involve the character of Harvard University symbologist Robert Langdon, following 2000's Angels & Demons and 2003's The Da Vinci Code. Renowned Harvard symbologist Robert Langdon is invited to give a lecture at the United States Capitol, at the invitation apparently from his mentor, a 33rd degree Mason named Peter Solomon, who is the head of the Smithsonian Institution. Solomon has also asked him to bring a small, sealed package which he had entrusted to Langdon years earlier. When Langdon arrives at the Capitol, however, he learns that the invitation he received was not from Solomon, but from Solomon's kidnapper, Mal'akh posing as Solomon's assistant, who has left Solomon's severed right hand in the middle of the Capitol Rotunda in a recreation of the Hand of Mysteries. Mal'akh then contacts Langdon, charging him with finding both the Mason's Pyramid, which Masons believe is hidden somewhere in Washington, D.C., and the Lost Word, lest Solomon be murdered. Langdon meets Trent Anderson, head of the Capitol police, and Inoue Sato, the head of the CIA's Office of Security. Sato claims that Mal'akh poses a threat to the national security of the U.S. and that his capture is more important than Peter's rescue, although she refuses to elaborate. Examining Solomon's hand, they discover a clue leading them to Solomon's Masonic altar in a room in the Capitol's sub-basement, where they find a small pyramid lacking a capstone, with an inscription carved into it. ...عنوانهای چاپ شده در ایران: «نماد گمشده»؛ «طلسم گمشده»؛ «نشان گم شده»؛ «نشانه ی گمشده»؛ »هزارتوی اسرار»؛ «رمز گمشده»؛ نویسنده: دن براون؛ تاریخ نخستین خوانش: روز بیست و پنجم ماه دسامبر سال 2009میلادیعنوان: نماد گمشده؛ نویسنده: دن براون؛ مترجم: نوشین ریشهری؛تهران، نگارینه، 1388؛ در 672ص؛ شابک 9789642300068؛ موضوع داستانهای نویسندگان ایالات متحده آمریکا - سده 21معنوان: نماد گمشده؛ نویسنده: دن براون؛ مترجم: شبنم سعادت؛تهران، افراز، 1388؛ در 718ص؛ شابک 9789642431632؛ چاپ سوم 1389؛عنوان: نماد گمشده؛ نویسنده: دن براون؛ مترجم: کیان رضوی نعمت اللهی؛ تهران؛ نوح نبی (ع)؛ 1388؛ در 800ص؛ شابک 9786009143702؛ عنوان: نماد گمشده؛ نویسنده: دن براون؛ مترجم: مهراوه فیروز؛تهران، البرز، 1388؛ در 585ص؛ شابک 9789644426810؛ عنوان: نشانه ی گمشده؛ نویسنده: دن براون؛ مترجم: لیلا فراهانی؛ تهران، مضمون، 1388، در 512ص؛ شابک 9786009057399؛عنوان: نشان گمشده؛ نویسنده: دن براون؛ مترجم: بهمن رحیمیان؛ تهران، بهنام، 1388، در 775ص؛ شابک 9789645668592؛عنوان: نشان گمشده؛ نویسنده: دن براون؛ مترجم: یاسمن بهمن آبادی؛ آرمین عمادی؛ تهران، بازتاب اندیشه، 1388، در 571ص؛ شابک9789649980324؛عنوان: طلسم گمشده؛ نویسنده: دن براون؛ مترجم: مهرداد وثوقی؛ تهران، گل آذین، 1389، در 588ص؛ شابک 9789647703673؛عنوان: نماد گمشده؛ نویسنده: دن براون؛ مترجم: حسین شهرابی؛ تهران، افق، 1389؛ در 925ص؛ شابک 9789643696498؛عنوان: رمز گمشده؛ نویسنده: دن براون؛ مترجم: اسماعیل قهرمانی پور؛ تهران، روزگار، 1389، در 726ص؛ شابک 9789643742270؛عنوان: هزارتوی اسرار؛ نویسنده: دن براون؛ مترجم: امیرعباس حدادمنش؛ تهران، تمدن علمی، 1394؛ در 700ص؛ شابک 9786009517756؛زیستن بدون درک راستین هستی، همان گام زدن در کتابخانه ای بزرگ، بدون لمس گنجینه ی کتابهای آن؛ که آموزه های پنهان همگی دورانها هستند؛ زمان همچون رود؛ و کتابها همانند قایقها هستند؛ بسیاری از کتابهایی که در این مسیر روان میشوند؛ درهم میشکنند، در شنهای کف رود فرورفته، و به دست فراموشی سپرده میشوند؛ تنها اندکی، تعداد بسیار اندکی، در گذر زمان، ارزش خود را پایدار میکنند، و میمانند؛ تا نسلهای روزگاران آینده را نیز، از موهبت وجود خویش، بهره مند سازند؛ این داستان یکی از ماندگاران خواهد بود؛ داستان در یک بازه ی زمانی دوازده ساعته در «واشینگتن دی سی» رخ می‌دهد؛ داستان درباره ی «فراماسونری» است؛ «رابرت لانگدون»، ظاهراً به دعوت یکی از دوستان «فراماسون» خود، به نام «پیتر سولومون»، برای یک سخنرانی، در ساختمان «کنگره ایالات متحده (که به آن ساختمان کاپیتول نیز گفته می‌شود)» وارد «واشینگتن دی سی» می‌شود؛ «سولومون» همچنین از وی درخواست کرده، که بسته ی کوچکی را، که سال‌ها پیش به او امانت داده بود، با خود به همراه بیاورد؛ پس از ورود به ساختمان کنگره، «رابرت لانگدون» با دست راست قطع شده ی «پیتر سولومون» مواجه می‌شود، که در وسط سالن، به سویی اشاره می‌کند؛ دست «سولومون»، با خالکوبی‌های ویژه‌ ای تزئین شده است، که نمادی موسوم به «دست رازها» است؛ با توجه به شواهد، «رابرت لانگدون» درمی‌یابد، که «پیتر سولومون» ربوده شده، و رباینده، بدینوسیله از وی می‌خواهد، که برای او، هرم مخفی «فراماسونها» را، که گفته می‌شود، در جایی در شهر «واشینگتن دی سی»، پنهان است، و همچنین واژه ی گمشده، که گفته می‌شود کلید دستیابی به قدرت و دانش مخفی گذشتگان است را، پیدا کنددر ادامه ی داستان، مسئول نگهداری از ساختمان «کاپیتول»، و رئیس دفتر امنیت سازمان سیا «اینو ساتو» وارد داستان می‌شوند؛ با پیگیری مسیر اشاره شده، توسط دست «پیتر سولومون»، این سه نفر به محراب «ماسونی» «پیتر سولومون» واقع در اتاقی کوچک، در زیر زمین ساختمان «کاپیتول»، هدایت می‌شوند؛ «فراماسونها» معمولاً چنین محرابی را، به جهت یادآوری فلسفه ی زندگی، در خانه ی خود می‌سازند؛ یک جمجمه ی انسان، و برخی اشیاء نمادین دیگر، تزئین کننده ی محراب بودند؛ اعضای گروه، متوجه لرزش یکی از دیواره‌ های اتاق، در نور شمع میشوند؛ دیواره‌ ای که در حقیقت یک پرده بود، کنار میرود، و هرمی ناقص پدیدار میشود، که بر روی آن کلمه‌ ای حک شده، که «رابرت لانگدون» را، به سوی گام بعدی برای نجات دوست ربوده شده‌ اش، هدایت میکندهمزمان «ساتو»، که از مأمورین حراست ساختمان «کاپیتول» خواسته بود، تصویر اشعه ی ایکس گرفته شده از «رابرت لانگدون» را، در هنگام ورود به ساختمان «کاپیتول»، بازنگری کنند، متوجه وجود یک هرم کوچک، در کیف همراه «رابرت لنگدان» می‌شود...؛ او از «رابرت لانگدون» در رابطه با هرم پرسش می‌کند، و «رابرت لانگدون» که از محتویات بسته ی امانی، «پیتر سولومون» بی اطلاع بود، متوجه منظور «ساتو» نمی‌شود؛ «ساتو» تصمیم می‌گیرد، که «رابرت لانگدون» و هرم‌ها را برای پژوهش بیشتر، و بازجویی، به مقر سازمان «سیا» انتقال دهد؛ در همین زمان «وارن بلامی»، سرمعمار ساختمان «کاپیتول»، و یکی از دوستان «فراماسونِ» «پیتر سولومون»، وارد اتاق زیرزمینی می‌شود، و با مضروب کردن «ساتو»، و رئیس حراست ساختمان، «رابرت لانگدون» را آزاد کرده، و به همراه خود به طبقه همکف ساختمان «کاپیتول» می‌برد، و ادامه ی داستانتاریخ بهنگام رسانی 16/07/1399هجری خورشیدی؛ 04/06/1400هجری خورشیدی؛ ا. شربیانی",226,0.8988,0.019,0.947,0.034,0.3746031746031746,POSITIVE,0.9723
5,4049124339,01/22/2022,2.0,"
""Have you seen a bald man with a sling on his arm?""

"" 'Google' is not a synonym for 'research' ""
Once again, it's the same set of complements and criticisms here. Pace, suspense, mystery, humor and characters all good but everything feels just too repetitive. At this point, I'm starting to think that the problem partly lies with me since I'm reading the entire series in one go, as opposed to the average reader having at least a year between consecutive releases. So, I'm going to keep this one short without making the review a rant. If you're looking for sheer entertainment, this could work quite well for most, but that's pretty much all the good I could say. I'm convinced more and more that reading RL books back to back is a bad idea as this series unfolds.
""To live in the world without becoming aware of the meaning of the world is like wandering about in a great library without touching the books.""
",207,0.9284,0.097,0.739,0.164,0.4507246376811594,NEGATIVE,1.0
6,74236887,10/11/2009,3.0,"Dan Brown - image from AARP - photo by Drew GurionWhen one picks up a Dan Brown book there are certain expectations. First one can look forward to a fast-based adventure pitting the intellect of Robert Langdon against dark forces intent on creating mayhem of one sort or another. One expects that religion or religious institutions will play a central role in the story. One can expect that there will be puzzles to be solved and mysteries within mysteries. One can expect murderous sociopaths and police of questionable loyalty. One can expect that there will be a considerable quantity of payload in the form of interesting, arcane information. One can expect that once begun it will be a difficult book to put down. And Brown delivers on all of the above. If you are looking for great literature, look elsewhere. That is not Brown’s beat. Be prepared for some eye-rolling, as hyper-intelligent people make glaringly stupid decisions, all in the service of moving the plot along. And there are some notions at the end of the book that may be a bit much to swallow. But it is all in fun. It is what it is. Enjoy. The TV min-series based on the novel premiered on September 16, 2021 on PeacockSumalee Montano as Agent Sato, Ashley Zukerman as Robert Langdon, Rick Gonzalez as Nunez - image and text from The Hollywood Reporter - image from Peacock=============================EXTRA STUFFLinks to the author’s personal, Twitter, GR and FB pagesA few other DBs for your consideration-----Angels & Demons-----The Da Vinci Code-----Inferno",192,0.9628,0.045,0.829,0.127,0.4509816207184627,POSITIVE,0.9954
7,2320538983,03/08/2018,2.0,"I enjoyed reading Angels & Demons and The Da Vince Code, but Brown wasted a plot, wrote poorly and with less suspense, inner logic, and momentum. A reason might be that it´s hard to write series in the genre of epic, eyeopening, world shattering blockbuster epiphany hybrid thrillers, but at least the editors could truly have tried to make this better, it was disappointing to be left with such a facepalmy ending and a general meh feeling.The worst thing about such literary fails is that one is waiting for the action, the logic, the conclusion towards the end and then nothing, just lol rofl facepalm. Believe me, if you read (don´t do it) it, you will feel this immense disappointment when realizing that this is the explanation, the reason why you invested hours of time to be Brown pranked, browned, whatever. The reason might be that there is not just the stupid premise, but the missing good, well written and credible metaplot, the action, and the sheer freshness of the mentioned works and that it seems to me like a failed approach of producing the next mind penetrating revolution in the thriller market without using the working recipe for whatever reason. There would be so many conspiracy theories in different cultures that could be used to write series about, but this is a no go. I don´t understand why neither Brown nor the proofreaders saw this coming, so it remains the only interesting mystery surrounding this concoction.Tropes show how literature is conceptualized and created and which mixture of elements makes works and genres unique: https://tvtropes.org/pmwiki/pmwiki.ph...",174,-0.9079,0.15,0.73,0.12,0.4907142857142856,NEGATIVE,1.0
8,75328287,10/21/2009,5.0,"I liked this novel actually better than DV Code and A & D, which is ironic as it wasn't quite the page turner as those were, but the plot and ideas were more believeable. I was very interested in The Masons, as they were so much a part of the early patriotic/revolutionary era of the US. As usual there is a gruesome evil person, with superhuman like skills and power. The whole story covers just 24 hours...wow, what a day! Interesting insight from Brown on the Masons or Noetic Science?: ""a temple of God"" refers to the ""temple"" of the brain; how ""the created,...becomes the Creator""; when the eye is single, your body fills with light"". For me the last part of the book added to my personal confirmation of what faith is, and that ""our minds can generate energy capable of transforming physical matter."" I believe as Katherine stated, ""As soon as we humans begin to harness our true power, we will have enormous control over our world..and be able to design reality, rather than merely react to it.""  How about this idea: God created us in his image, but not just our physical bodies resemble him, but our minds! Now that's a a great idea, and correlates with my LDS belief that we were all intelligences first, even before our spirits were created. Because of this, we have God-like potential power, and indeed can become like him. We just haven't learned all that is necessary ...yet. Interestingly, he refers to the Hebrew meaning of God, Elohim, which is plural. Hmmm, gives lots to think about, especially if you don't believe in God, or if your belief in God is limited. Love this idea also on p. 563, There are those who create, and those who tear down. The dynamic has existed for all time. Another perspective of atonement....""gathering what is scattered...to bring order from chaos, to find ""at-one-ment"", from this vantage point, His characters discuss the inherent power of prayer groups, healing circles, singing in unison, worshipping en mass... unfortunately, no mention of Christ in that view, but there is still much truth there. ""We have barely scratched the surface of our mental and spiritual capabilities."" Can you believe a popular fiction novel promoting such eternal truths? I'd love to talk to others about this, but my husband disliked the book. I thought it was great.",130,0.9978,0.05,0.724,0.225,0.5210871170173497,POSITIVE,0.7228
9,258123253,01/07/2012,4.0,"Dan Brown is one of my favorite authors. I know there are several of my online and in-person (sounds so weird!) friends who disagree, but ultimately... you have to acknowledge the amount of time and dedication he puts into his story, the vast eccentric cast of characters, the intrigue and suspense, the unexpected connections and the fast-paced thrill of turning the pages more quickly than you can actually read each one. People love books for different reasons. It's not always the ""beautiful and lyrical prose"" or the ""emotional gut punch you feel from its reality."" These books are meant to keep your heart racing, your mind guessing and your eyes unable to blink for a few minutes at a time. At the time I'm writing this review, it's been about five years since I read the book, and I still haven't seen the movie... but I am excited to watch it, though I haven't heard great things from those who have.Of the four Robert Langdon books in the series, this was my least favorite. Angels & Demons and The Da Vinci Code had such complex and shocking story lines, I couldn't help but be amazed. Inferno was so intense and ripe with ""what if"" scenarios, my mind was non-stop going. With this book, it's still a huge and complex puzzle, but it felt a little weaker than the other ones. There was a different type of emotional connection given Langdon's friendship with the kidnapped mentor. I liked the puzzle, but were pictures necessary?It was a little too easy to solve this time.It felt a bit repetitive at times.But you still flip the pages faster than a normal read.I'd push you to read his other books. I'd be OK if you skipped this one. But I am still super excited about Origin, the fifth in the series, which will debut later this year.

About Me

For those new to me or my reviews... here's the scoop: I read A LOT. I write A LOT. And now I blog A LOT. First the book review goes on Goodreads, and then I send it on over to my WordPress blog at https://thisismytruthnow.com, where you'll also find TV & Film reviews, the revealing and introspective 365 Daily Challenge and lots of blogging about places I've visited all over the world. And you can find all my social media profiles to get the details on the who/what/when/where and my pictures. Leave a comment and let me know what you think. Vote in the poll and ratings. Thanks for stopping by.[polldaddy poll=9729544][polldaddy poll=9719251]",124,0.9909,0.056,0.8,0.144,0.57010101010101,POSITIVE,0.9909
