,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,5262878,08/28/2007,4.0,"That I can remember, I've never before disliked the start of a book so thoroughly, and by the end, gone on to think so much of it as a complete work.The last 2/3 of this novel are as good as contemporary fiction gets. The first 1/3 is like reading a Jane Austen plot trapped in amber.As the title indicates Atonement is about a future artist's massive effort to redeem herself for ruining the character of a young man when she is a younger girl. There are parts of this novel that are disjointed - or if they aren't they appear so because the opening act moves so slowly that one is barely conscious and later unable to recall that anything much happened at all.Halfway through this novel, when its greatness starts to happen, a reader almost laments his earlier opinions of it. But whose fault is that? The beginning is such an act of endurance that the later parts make a reader wish that McEwan had moved things more quickly in the beginning - and used those words for more character development in the middle - so the reader could declare this novel, unequivocally, one of the five best novels he's ever read.McEwan is at the top of the art form throughout, though, whatever a reader opines of the product. He knows what he's doing every step of the way, right down to an allusion to the disjointed narrative methods employed by Virginia Woolf.The ending is brilliant, unexpected and harsh. But unlike the case of the returning Baxter character in the third act of Saturday, this ending is consistent and at once surprising and inevitable.After a person has read a few hundred novels, he grasps the art form well enough to know when an author is writing - usually it's when the author's employing some top-heavy descriptive technique that makes the water droplets gathered on a rose petal somehow more important than the protagonist's motives for anything she's done to that point - and it fairly well cries out, ""Look at me, my creator is a writer!""Knowing when an author is writing means knowing that if there's a surprise coming, it's either going to be predicted about 50 pages out or done in such fantastically poor form that its inconsistency mars the rest of the work.McEwan is fine enough at his craft that the ending is both unanticipated and perfectly consistent. That alone makes this novel excellent.",385,0.978,0.059,0.818,0.123,0.4438319530710835,POSITIVE,0.7062
1,36216656,10/25/2008,4.0,"Ian McEwan - image from the Pittsburgh Post Gazette - photo credit: Joost van den BroekI was bored with this until half way through, but then it got interesting. It touches on imagination versus reality, fiction versus fact, in addition to the story content. A portrait of an upper middle class English family is interrupted by a supposed rape in which a young imaginative (vengeful) girl misidentifies the rapist. I found that it stayed with me and that I appreciated it more with time. The film, released in 2007. was a magnificent translation. Links to the author’s personal and FB pages",252,-0.5574,0.151,0.721,0.128,0.3888888888888889,POSITIVE,0.9999
2,586705846,04/10/2013,5.0,"Atonement is a story of moral issues and the story is sad…Here she was, offering a possibility of absolution. But it was not for him. He had done nothing wrong. It was for herself, for her own crime which her conscience could no longer bear. Was he supposed to feel grateful? And yes, of course, she was a child in 1935. He had told himself, he and Cecilia had told each other, over and again. Yes, she was just a child. But not every child sends a man to prison with a lie. Not every child is so purposeful and malign, so consistent over time, never wavering, never doubted. A child, but that had not stopped him daydreaming in his cell of her humiliation, of a dozen ways he might find revenge.Does time revenge mistakes of childhood? Or does God?Anyway if such errors lead to the ruination of lives revenge can’t be sweet…",236,-0.9794,0.193,0.745,0.062,0.5458333333333333,NEGATIVE,0.9989
3,461664145,11/22/2012,4.0,"Atonement, Ian McEwanAtonement is a 2001 British metafiction novel written by Ian McEwan concerning the understanding of and responding to the need for personal atonement. Set in three time periods, 1935 England, Second World War England and France, and present-day England, it covers an upper-class girl's half-innocent mistake that ruins lives, her adulthood in the shadow of that mistake, and a reflection on the nature of writing.Abstract: On a summer day in 1935, thirteen-year-old Briony Tallis witnesses a moment's flirtation between her older sister, Cecilia, and Robbie Turner, the son of a servant. But Briony's incomplete grasp of adult motives and her precocious imagination bring about a crime that will change all their lives, a crime whose repercussions ""Atonement"" follows through the chaos and carnage of World War II and into the close of the twentieth century.Characters: Briony Tallis, Emily Tallis, Cecilia Tallis, Leon Tallis, Lola Quincy, Jackson Quincy, Perriot Quincy, Paul Marshall, Robbie Turner.تاریخ نخستین خوانش: روز سی و یکم ماه مارس سال 2012میلادیعنوان: «تاوان»؛ اثر: ایان مک اوان؛ مترجم: م‍ص‍طف‍ی‌ م‍ف‍ی‍دی‌؛ نشر تهران، گام نو‫، 1389، در 480ص؛ شابک 9789646917446؛ ‏چاپ دیگر: تهران، نیلوفر؛ 1390، در 437ص؛ شابک 9789644485213؛ موضوع: داستان‌های نویسندگان بریتانیا - سده 20مرویدادهای «تاوان»، در سال‌های پس از جنگ جهانی دوم سپری، و در این میان به یادمانهای سال‌های جنگ نیز می‌پردازد؛ فيلمنامه «تاوان» را «کریستوفر همپتون»، از همین رمان به قلم «ايان مک اوان»، اقتباس کرده، رمانی که در سال 2001میلادی منتشر شد، و پس از قرار گرفتن در لیست پرفروشترینهای آن روز، به منزلت «مک اوان» افزود، و وی را در کنار «مارتین امیس» و «جولین بارنز»، به عنوان یکی از سه رمان نویس برتر، و زنده ی اهل «بریتانیا»، به خوانشگران شناساندداستان دارای سه بخش است؛ بخش نخست بلندترین بخش داستان است، این بخش خانواده ی اشرافی «تالیس» را، در سال 1935میلادی نشانه رفته؛ توسط «براینی»، دختر سیزده ساله ی خانواده، که عاشق نویسندگی است، بازگویی میشود؛ این خانواده در انتظار رسیدن پسر خانواده یعنی «لئون»، و دوست او «مارشال» هستند؛ «براینی» برای پیشواز از برادرش، میخواهد نمایشنامه ای که خود آن را نگاشته، به همراه پسرعموها و دخترعموها اجرا کنند؛ او برای علاقه به داستان همگی رویدادهای پیرامون خود را با توجه به خیال خویش بازگو میکندبخش دوم، در سال 1940میلادی، «رابی» با شهادت «براینی»، پس از سه سال، از زندان به شرط شرکت در جنگ، آزاد شده است؛ «سیسیلیا» دوره ی پرستاری را بگذرانده، و با خانواده خود رابطه ی خود را بریده است، این دو از راه نامه با یکدیگر در تماس هستند و «سیسیلیا» به «رابی» قول داده، در انتظار او بماند؛ در یایان این بخش «رابی» به همراه ارتش در «دانکرک» گرفتار شده، و دلمشغول عقب نشینی هستندبخش سوم داستان، «براینی» در حال گذراندن دوره پرستاری، در بیمارستانی در «لندن» است؛ او حالا دریافته که «رابی» به دخترعمویش تجاوز کرده، و برای شهادت اشتباه خود، دچار عذاب وجدان شده است؛ از این روی تحصیل در دانشگاه را رها، و به تاوان اشتباهش پرستار شده؛ او در انتهای این بخش «رابی» و «سیسیلیا» را میبیند، که کنار یکدیگر زندگی میکنند، و به آنها قول میدهد که به جبران اشتباهی که مرتکب شده، به نزد خانواده برود، و شهادت خود را پس بگیرد؛ اما در پایان، داستان به گونه دیگری پیش میرود، و خوانشگر را شگفت زده میکندتاریخ بهنگام رسانی 15/07/1399هجری خورشیدی؛ 04/06/1400هجری خورشیدی؛ ا. شربیانی",227,-0.969,0.049,0.942,0.009,0.1888888888888888,POSITIVE,0.9979
4,911157616,04/15/2014,5.0,"The subject matter of Atonement is literature itself, but it is much more. First, the writer is one of its characters; second, because Ian McEwan’s novel creates a world where subjectivity and objectivity interfere mutually. The characters are full of life and the language, even if elaborate and subtle, does not go around or makes inroads into itself.The narrator and protagonist, Briony Tallis, emerges in the beginner as a pre-adolescent that dreams to arrange the world in her texts, as in the play she is writing. Her love for order, for the careful design according to her spoiled desires, is translated into an impulse to write that hardly depend on the theme. 

“There did not have to be a moral. She need only show separate minds, as alive as her own, struggling with the idea that other minds were equally alive. It wasn't only wickedness and scheming that made people unhappy, it was confusion and misunderstanding, above all, it was the failure to grasp the simple truth that other people are as real as you. And only in a story could you enter these different minds and show how they had an equal value. That was the only moral a story need have.”

Her cousins, Lola, and the twins will be the actors, with which she plans to awe the assembled family, that include her parents, her older sister Cecily and the son of the housekeeper, Robbie. On that day of 1935, Briony sees Cecily and Robbie in a game that culminates in a fateful scene. Briony believes she sees something that profoundly perturbs her. The development of the story doesn’t let the reader stop. When, later, Lola is raped by a man that was not seen, Briony, without any grounds, makes a ‘deduction’ of who committed the crime.Here we are, therefore, in the territory of Jane Austen, cited in the epigraph, or Henry James, George Eliot, and many other English authors: social tension versus sexual stress, pride and prejudice conflicts, mere misunderstandings that adopt dramatic dimensions. McEwan considers the simple distortions that physical acts, such as vision, can suffer when clouded by moral bias. Briony is attracted to Robbie and envies in Cecily her independence and, and in her anxiety to wipe out her shortcomings recreates the world in her own way, succumbing to prejudice and threatening her already reduced capacity to accept reality.But, more than that, what McEwan shows is how a writer can worsen weaknesses such as vanity, cowardice and credulity, sentiments that derive from the solitary and fallible condition that is above all human. Briony, with an absent father, a sick mother, a distant brother and an adult sister, fills her solitude with words that want to arrange everything, as she organizes her room. 

“But hidden drawers, lockable diaries and cryptographic systems could not conceal from Briony the simple truth: she had no secrets. Her wish for a harmonious, organised world denied her the reckless possibilities of wrongdoing. Mayhem and destruction were too chaotic for her tastes, and she did not have it in her to be cruel. Her effective status as an only child, as well as the relative isolation of the Tallis house, kept her, at least during the long summer holidays, from girlish intrigues with friends. Nothing in her life was sufficiently interesting or shameful to merit hiding; no one knew about the squirrel's skull beneath her bed, but no one wanted to know.”

She is emotionally deprived as all of us, but a few degrees above the Richer scale: her need to be praised, her inability to deal with her environment, her surrendering to a fantasy of perfection – it is as if she were an immature child, seeking protection from life itself. However, the novel goes beyond an intimate recounting. In the second half, McEwan throws the reader into the Second World War, with memorable descriptions of the United Kingdom’s empire ultimate whisper at the battle of Dunkirk. McEwan uses this as background to show us Robbie’s feelings. Among dead and wounded, he drifts with his head down and wrapped in his own sentiments to protect himself and to dream he will be exonerated for having survived in a battle where so many had died.

 “Now he reduced his progress to the rhythm of his boots -- he walked across the land until he came to the sea. Everything that impeded him had to be outweighed, even if only by a fraction, by all that drove him on. ...He knew by heart certain passages from her letters, he had revisited their tussle with the vase by the fountain, he remembered the warmth from her arm at the dinner when the twins went missing. These memories sustained him, but not so easily.”

 But what rots and sustains him is his hate for Briony:

“In that shrinking moment he discovered that he had never hated anyone until now. It was a feeling as pure as love, but dispassionate and icily rational.”

Above everything:

“Let his name be cleared and everyone else adjust their thinking. He had put in time, now they must do the work. His business was simple. Find Cecilia and love her, marry her and live without shame.”

The ability of McEwan is very well known, but in Atonement he arrived were he had not reached before and where few living authors – maybe Coetzee, Philip Roth and a few others – were able to arrive. The force of his narrative comes from its plot and its magnitude as well as from its richness and structure. The story is strong, but who narrates is not subservient to its hierarchy and its rhythm: it’s a subject that lets it flow and, at the same time, chooses the moments and the way to reveal its parts. McEwan does not need to resort to fragmentation and mysticism to deal with the battle between affection and speech, tolerance and freedom, a clash so in evidence nowadays.____",163,0.926,0.135,0.715,0.15,0.4785543608124254,POSITIVE,0.8777
5,1946113311,03/19/2017,1.0,"Read as part of The Infinite Variety Reading Challenge, based on the BBC's Big Read Poll of 2003.
The cost of oblivious daydreaming was always this moment of return, the realignment with what had been before and now seemed a little worse.
In the heat of a 1930s Summer, a family reunites at their country home for what may be the last time. Cousins have come to stay, a sister has returned from University and a brother is returning from America with a new friend in tow. Briony, the only child left at home, is furiously writing a play to be performed, but what she witnesses-and is exposed to-will force her to make a decision that she will regret for the rest of her life.This book reminded me strongly of Evelyn Waugh, though I think that's purely based on the surroundings and era (and mostly the house). Whilst Evelyn had a whimsical style to his writing, Ian McEwan is positively overflowing with flowery prose that leads nowhere and brings up memories of terrible books they made me read for college.Atonement is a relatively easy read, if you can take so much description and little plot. None of the characters are anything except a piece of personality and don't go beyond their one trait and I felt nothing for all of them. They all had their one job and, whilst they did this one job well, that was that and there seemed nothing beyond their doing their one job.We begin in a wonderful countryside house, which is described to death and the plot simmers along nicely. There's a play being written, and the cousins coming down from the North are being forced to act it out. There is youthful petulance, coming-of-age rebellion and adults avoiding responsibility and, in truth, the scene is set nicely in the first few pages. But then this setting of the scene continues for around half the rest of the book and it soon becomes clear that the plot is far away and we're not entirely sure if it'll be seen at all.Setting the book during the war seemed like a pointless endeavour, if only to include some kind of treacherous battle scenes to add to the overall lack of drama up to this point. I suppose the book needed to be set somewhere and some time, but the overall affect was unimpressive. I found the whole thing lacking, in truth. The book, whilst it shifted to another city and even country, was just too small. Everything was cloying and felt like it was happening in one tiny bubble. I prefer big worlds and big plots, not just a single thread moving through a mire.The main thing that irritated me about this book, is that it was full of needless cliffhangers that were seemingly pointless to anything except to expunge the pathetic attempt at a plot beyond the story arc. Nearly every chapter ended with something along the lines of ""and oh my if this character hadn't done what he's about to do in the next chapter then his life would not have turned out the way it did"", as if McEwan is unsure of his plot and needs to plead with us to keep reading. ""What, what Ian, what's going to happen? I must must must read on if you say something interesting is coming along, because so far we haven't had much, have we, Sir?""I am grateful, however, at the vague pleasure I got from the book as I read it that kindled within me a notion of the kinds of books I do and do not like. I feel, having read this book, that I could spot a book I dislike from the first few pages now, whereas before I'd probably have to get through it all just to know. So, of course, I will now not be wasting more hours on books that seemingly go nowhere, even after the first half, than I need to.",160,0.8827,0.085,0.814,0.101,0.4800999412110523,NEGATIVE,0.9976
6,1582508101,03/17/2016,4.0,"A lesson to us all: never put anything in print that one day might come back to bite you in the ass.Having already seen the movie, I didn't particularly want to read the book (I've never read Mario Puzo's The Godfather, now have I?), but seeing as this book is a modern great, I felt it my duty to drag it from my book cave.Pleasingly, McEwan writes with aplomb about the human psyche: of lust, loathing, immaturity and guilt; his prose is word perfect.That said, the novel suffers from its own identity crisis, a mezze of Jane Austen, followed by a main course of Sebastian Faulks.The author's genius, though, is in causing us to forget that his book was actually written in the modern day. Very clever!One of our protagonists, Robbie, puts his lustful thoughts to paper in a way that would merely seem vulgarly juvenile in a modern-day text message: Been dreamin' bout kissing your c**t, yeah?But when inscribed in ink, onto 1930s vellum stationery, the ""C"" word is both shocking and ruinous. There is no doubt that McEwan is one of Britain's greatest literary gods, his beautiful prose had me purrrring with delight ... Ah, but here's the thing...The story. Nnnng, grmmmphh!Oh, it just didn't keep me enthralled. There, I've said it! In addition, I have my own crazy theory that Briony might just be the author's imagined avatar of his younger self. : )5 out of 5 for the writing.3 out of 5 for the story.",123,-0.8502,0.145,0.751,0.103,0.5017045454545455,POSITIVE,0.9877
7,11721739,01/05/2008,2.0,"I feel that perhaps I have sabotaged this book somewhat as I read it directly after finishing Love In the Time of Cholera, and perhaps in retrospect should have read a poetry book or some non-fiction in between. Clearly anything I would have read after finishing a Masterpiece would pale in comparison but I decided that the critical raves this book had received and high praise from people around me should be enough to encourage me to see it through to the end.Here is why I found this book lacking without giving too much actual plot away to those who would want to read it themselves.I found all of the characters completely devoid of any true personality or any reason I should care or feel connected to them. The details described in the book do a lot for physical surroundings but we know nothing of Cecila except she went to college and chain smokes, so I don't particularly care about anything that happens to her, besides the fact that much of her life is lived outside what information the book provides. Briony is a terrible child, a narcissistic teenager, and and at last a harmless grandmother who I don't especially care about at any of these three points in her life. The only character with the least bit of humanity seems to be Robbie who is still somewhat confined to his role as the ""victim"". All the lovely descriptions of ponds and hospital wards and French war-torn villages could not make up for the fact that none of these characters were the slightest bit interesting to me or seemed to connect to anything. They simply floated through long locational descriptions being powerless to the world around them and unfortunately for me I didn't need 350 pages to get that point. It could have easily been accomplished as a short story or novella. I just kept feeling that the book had all this great detail but didn't focus it on anything that it shoud have. I know this may sound exceedingly harsh and once again I do chalk some of this up to reading Atonement directly after a much better novel it had no hope in eclipsing or even paralleling in its structure but I also know how quickly and easily I fall in love with characters. How quickly I can get pulled into a good story and I sincerely feel that although I wouldn't call this book a complete waste, that my time would have been much better spent elsewhere.",115,0.9968,0.057,0.75,0.193,0.4760000000000001,NEGATIVE,1.0
8,11335656,12/31/2007,3.0,"This is where a 2.5 star rating would be ideal. I am extremely ambivalent about this novel--first the pluses: the writing is gorgeous; McEwan has some of the best prose out there. Every line has meat to it, nothing is throwaway, and every visual is so vivid that the reader is transported to a specific time and place. Secondly, (what everyone praises the novel for), the commentary McEwan is making about the novel itself--the fact that it is written, that characters and plots are manipulated by the author, and how a real character emerges (eventually) while at the same a written story exists too. This is very difficult to write about without revealing anything about the plot, but as one reads the novel, it becomes clear what McEwan is trying to do. Finally, the references to other literature (including some of the best novels--Clarissa, Lolita--and novelists--Elizabeth Bowen is directly mentioned, Henry Green and Virginia Woolf are obvious influences) is fluid, never forced, and is done to showcase a love of literature. At the same time, there are downsides to McEwan's endeavor--how to write a novel that is commenting on its obvious falsity (its construction as fiction), while at the same time trying to convey reality. This is perhaps an impossible task, and I'm left with the nagging feeling that the novel wants to have its cake and eat it too. The characters and situations are so obviously phony that it becomes distracting in the first part of the story. I was drawn in by the fantastic writing, but then found myself wanting to hurl the novel across the room at some of the ridiculous choices by both the characters and the novelist. Namely: 1) The main plot twist makes little realistic sense. Absolutely zero would fly in a mystery novel let alone real life; 2) The characters in the first part are boring aristocrats who we don't care about (check out a Henry Green novel; except in his novels, the reader continues to laugh at them, there is no attempt at emotional attachment); 3) The 'mystery's' solution is obvious to the reader before the crime even happens; 4) Briony (part 1) is an insufferable narrator (as kid narrators, To Kill a Mockingbird excluded, so often are); 5) The novelist's choice to name a sexually, precocious teenager 'Lola' (too obvious a reference). But these choices are meant to be ridiculous--reality is only supposed to set in in the epilogue. At the same time, I marveled at how real parts 2 (Robbie at war) and 3 (Briony as a nurse--some of the hospital scenes are the best I've ever read) seemed to be. Then the question became for me--if they seemed real because of the way the scenes were written (the gore again in the hospital), but could not have been real because the characters and overall plot of the Tallis family are so fake, isn't that cheating? I haven't reached a conclusion yet, but something is still bugging me about the conception of it. Ultimately I prefer novels that go the opposite route--Paul Auster's Oracle Night for example--that start out real and quickly become fake, or throw out the idea of a realistic, consistent plot entirely (only in the conclusion does David Mitchell's Cloud Atlas come together), rather than the never-ending 'is it real? is it fake?' push-and-pull of Atonement. ",111,0.9654,0.083,0.797,0.12,0.4908602150537634,POSITIVE,0.9912
9,11457144,01/02/2008,5.0,"What a lovely reread this was! I first read this novel almost a decade ago, and the story has stayed with me. The prose is gorgeous, and again I was completely absorbed in this novel. My favorite character is Briony, the young writer seeking atonement for a mistake she made as a child. And my heart aches for her sister, Cecilia, and her wronged lover, Robbie. I've only read a few of McEwan's books, but I like his writing style so much I want to read more. Highly recommended.Favorite Quotes""Was everyone else really as alive as she was?... If the answer was yes, then the world, the social world, was unbearably complicated, with two billion voices, and everyone’s thoughts striving in equal importance and everyone’s claim on life as intense, and everyone thinking they were unique, when no one was. One could drown in irrelevance.""""There did not have to be a moral. She need only show separate minds, as alive as her own, struggling with the idea that other minds were equally alive. It wasn't only wickedness and scheming that made people unhappy, it was confusion and misunderstanding, above all, it was the failure to grasp the simple truth that other people are as real as you. And only in a story could you enter these different minds and show how they had an equal value. That was the only moral a story need have.""""At that moment, the urge to be writing was stronger than any notion she had of what she might write.""""From this new and intimate perspective, she learned a simple, obvious thing she had always known, and everyone knew; that a person is, among all else, a material thing, easily torn, not easily mended."" ",108,0.9309,0.103,0.736,0.161,0.5798901911097034,POSITIVE,0.9999
