,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,2297912402,02/17/2018,4.0,"PsychoanalysisThe Interpretation of Murder is an intelligent and considered crime thriller, probably trying to create the first instance of 'serial killer profiling' before the science was developed. The murder of a young woman is followed by a similar attempt using the same modus operandi, however, this lady (Miss Acton) survives but it leaves her with amnesia. Detective Littlemore needs to find out what she knows before the killer strikes again or comes back to finish the job. Littlemore works with her doctor, Dr Younger, to assist in the case. Dr Younger is acquainted with Sigmund Freud and quite fortuitously involves him to help in the case. This creates an interesting and intriguing perspective and introduces a new dynamic to the typical murder mystery. I felt quite drawn to the idea that Freud could have assisted in a murder investigation. I can’t attest to the accuracy of the science of psychoanalysis but from a plot perspective, I felt it was weaved in quite well and wasn't heavily applied. I quite like the notion that Freud when visiting New York in 1909, assisted a murder investigation using his newly famed techniques.There is also a great attempt to recreate the atmosphere and landscape of New York City at the turn of the last century and perhaps this was overemphasised, almost to the point that the author had invested a lot of time researching that period, and wasn’t going to be short-changed.The narrative has a more sedate pace than most murder mysteries but I think that’s the pace of a deep-thinking and analysing Freud. Freud's contribution provides some benefit in solving the crime and finding the killer.This wasn’t the best murder mystery but still provided an entertaining read. I would recommend the book.",46,-0.9322,0.162,0.696,0.142,0.3903939393939393,POSITIVE,0.9997
1,253918087,12/31/2011,5.0,"I did not just like this book, I LOVED it. And on so many levels. I found it clever, informative, well written and even humorous at times. The characters were interesting and I was kept guessing even when I pretty much decided I knew what was going on. This was really a page turner, especially when they were down in the caisson. I could so visualize that. This is my new ""You gotta read this book"" recommendation. The Freud, Jung and Shakespeare inclusions was an added bonus. Loved the early 1900 terminology and if I were an underliner and highliter of books, the book would all be marked up. Brilliant.",24,0.9805,0.017,0.743,0.24,0.6317845117845117,POSITIVE,0.9985
2,4710492,08/17/2007,2.0,"When I sit down to what I hope will be a great meal, I look forward to the side dishes, but it's the main course that is central. Don't get me wrong, I love potatoes, but give me the steak! Interpretation of Murder is a side dish and not a potato side dish, more like peas or carrots or something.Reading the author's notes at the end of the book gave me a better appreciation of the novel. I respect that it was well-researched, but to borrow from the same analogy, I like a little history with my story, not the other way around. This book was sort of textbookish, though not quite as much as the ""Devil in the White City"", which was also not as good as I'd hoped.The author (or publisher or someone) goes out of his or her way to compare this book to ""The Alienist"". It compares, but palely. I didn't really care that much about the characters. Most of the characters were based on real historical people, but the character I liked the most was the detective, who was completely fictional.I'm torn on rating this one. It's either a two or a three star. It's interesting, but not too. It's well-researched and I like that, but I don't like it enough to make that criterion carry enough weight to help it sail to the top of my rating scale. It was an obvious copy of a great book. If it would have been a great copy then I would have given it a higher rating. I guess I'll have to go with a two star. It might have got a three and probably earned it except that I expected more out of this book. It disappointed me.I would recommend this to you if you go to a beach house with your friends and you either forgot to bring something to read or finished what you brought and the library of the house you rented consists only of old Highlights Magazines and decorative books about ships.",19,0.994,0.068,0.738,0.194,0.4668300653594772,NEGATIVE,1.0
3,16778920,03/01/2008,2.0,"Sigmund Freud, along with his protege Carl Jung, arrives in New York for a series of lectures at Clark University in Massachusetts. A young woman is murdered, apparently by a serial killer. Another young woman, Nora Acton, is suffering from amnesia after another attack by the same criminal. Dr. Stratham Younger, a high society Freud acolyte, undertakes a psychoanalysis of Nora, in the hopes of unraveling the mystery. I wanted to like The Interpretation of Murder. I really did. It had an intriguing premise: a murder mystery, set in 1909 New York City, with Freud, Jung, and Ferenczi as characters. (I realize this description is probably more or less congruent with some people's vision of Hell, but it's right up my alley.) But if there's anything worse than a mystery that isn't especially clever, it's a mystery that thinks it's clever when it isn't, and this mystery is nowhere near as clever as author Jed Rubenfeld thinks it is.Rubenfeld has ambition, but unfortunately, doesn't have the writing chops to keep up with it. The reader forges ahead, puzzled, as Rubenfeld throws out approximately one zillion plot lines, none of which seems to have much to do with the other. Freud, Jung, and Ferenczi arrive and talk a lot about various psychoanalytic theories and analysands. Younger psychoanalyzes Nora (Hey! Doesn't Nora rhyme with ""Dora""? My word, I think it does! What a coincidence) and talks a lot about his family life and his fascination with Hamlet, in more or less equal measure. We learn a lot about the history of turn of the century New York and the dynasties that ran it. Then a sinister series of anonymous letters threatens to ruin Freud's reputation. Harry Thaw, confined in an insane asylum in New Jersey after murdering architect Stanford White, receives mysterious visitors wearing signet rings. And so forth.Unfortunately, Rubenfeld isn't a skillful enough novelist to craft these plot lines into something coherent, so the reader is given, well, a series of plot lines that eventually lurch to an end. (In fact, I'm still at a bit of a loss as to what Freud and Jung were doing there at all.) Add to this sorry mess a host of clunky dialog, points of view that shift clumsily (sometimes in the span of two paragraphs), and a lot of pedestrian writing, and you're left with nothing more than a run-of-the-mill mystery doing its best to masquerade as something far more sophisticated than it actually is. I gave this novel two stars instead of one simply because the book's premise was enough to keep me turning the pages until the end (and also because Rubenfeld is obviously no fan of Jung, which makes him okay in my book). ",12,-0.9904,0.144,0.794,0.062,0.4815207792207792,NEGATIVE,0.9963
4,3341499961,08/06/2020,4.0,"3.5 stars despite the shape changing mystery and the evolutionary war of psychology.The author has a lot going on in the book. We have New York of 1909 - an exquisite setting with blue flame lights, caissons, Madams and balls. We have the who's who of Psychology debating the innermost working theories on Psychoanalysis - Freud and Jung being the forerunners. We have a murder mystery and an attempted murder - grounded in psychoanalysis and detective work keeps changing colors. On top of this we are trying to understand Hamlet's To be or not to be. Most of these are real events across time built into the narrative. The author trundles on admirably making sure the book is intellectually stimulating for almost 75% of the book. Frued's Oedeipal complex as the foundation of psychoanalysis was something I knew, but in application, it was a different interpretation. At around 80% I started feeling the book itself was a ink-blot test with changing forms but then it crash landed with a rather undoing explanation which was clever, but not logical. When I read the author's notes on the historical liberties taken - I felt admiration for the author's efforts. There are too many real people/incidents in this work of fiction and bending of timelines was a necessary piece of genius. It was an intellectual read slightly let down by the climax.",11,0.9398,0.049,0.834,0.118,0.4674906964380648,POSITIVE,0.9386
5,2695662947,12/16/2019,4.0,"More reviews on https://mohammedsreview.wordpress.comThe story is set on 1909 Manhattan, New York when Sigmund Freud and his companions was visiting USA to attend a conference at the Clark University. When a dèbutante is found dead on her own penthouse and the very next day another young beautiful heiress Nora Acton is found strangled to a chandelier and viciously wounded and top of this she can't talk and enable to recall the recent events that happened to her. Dr. Stratham Younger who will now perform the psychoanalysis on miss Nora acton to find the puzzles that will make a full picture and help to identify the criminal.Most of characters are from real world and most of the story is based on real facts. The story is mostly narrated from a first persons(Dr. Younger) point of view. Loved the way how the author have managed to link the neurological theories to solve a murder case from two perspectives. One from Dr. Statham Younger influenced by Sigmund Freud himself, and another from the detective Jimmy Littlemore's perspective.Sigmund Freud undoubtedly one of the most influential man from the last century, and probably and controversial theory he had give is about Oedipal Complex in his famous book that published back in 1899 The Interpretation of dreams. Oedipal complex is the core of this story. Sigmund Freud along with Carl Jung , Sándor Ferenczi and Abraham Brill did travel to attend a conference at the Clark University which ""The Triumvirate"" (Consists of Charles Dana, Bernard Sachs and M. Allen Starr ) did try to prevent Sigmund Freud to attend the conference cause they had oppose  idea about Oedipal Complex, though they failed in the process. Nora Acton who is one of the main characters of this novel is based on Sigmund Freud's Case book of Dora. Also George B. McClellan who served as New York city mayor at that time had a important role in this plot. There are other historical characters who had a significant role on the overall settings. It's evident that a lot had happened at 1909 at the New York city and everything and every signal people who were part of these event had some sort of their share on this whole plot. It's amazing how the author have managed to use all those historical characters and real events that happened to stage a fictional murder case. Incredibly complex plot, use of the real characters,use the neurological terms,liked the detailing of the story,sometimes it may seem to make the story becoming sluggish but the this book demands those detailing's. it's simply worth reading.Rating : 3.9/5",11,0.3426,0.043,0.899,0.058,0.4265312701482914,POSITIVE,0.9921
6,582164658,04/05/2013,1.0,"Such a disappointment. I really thought I'd like this because initially it looked like it might be a blend of history, psychology, literature, & criminal investigation. Those things did provide some satisfaction, but at times it read as if the author had simply copy/pasted his college papers on Freud or Hamlet into the text, resulting in a dry, disjointed lack of continuity.Mostly what ruined this story was the unnecessarily detailed descriptions of the sadistic sexual assaults, described in prolonged lip-smacking detail. Yuk. Also repellent is the therapist's subsequent eroticization of his patient, the very young female victim who'd been assaulted & traumatized. In addition to portraying the disturbing lack of ethics on the part of the therapist (our hero?) as if this is no problem, clearly the author has no clue about the state of a survivor after a traumatic attack. Directly after a sadistic sexual assault, suddenly the victim is hot for her rescuer? Absurd.This novel started with a great idea for an intricate historical/psychological mystery but was ruined by drying it out, dumbing it down, & injecting gratuitous torture porn.",9,-0.995,0.312,0.592,0.096,0.4860846560846562,NEGATIVE,1.0
7,113744083,07/27/2010,4.0,"SWEET GREEN HELLHer entire body glistened in the unbearable August heat. Her long legs were bare, as were her arms. Her elegant shoulders were nearly bare as well. The girl’s consciousness was fading. She tried to speak. There was a question she had to ask. It was there; it was gone. Then she had it again. ‘My name,’ she whispered. ‘What is my name?’""... So, is Nora still a victim when she is empowered by a sympathetic listener?""Feel like there's class conflict in the book: psychoanalysis versus interrogation, Jung versus Freud; Acton versus Banwell; Chong versus Leon; Malley and Betty, etc. Or interest and smart bout how has the author's mix of fact and fiction, remembering me with previous New York novels, such as The Alienist, Ragtime, Dreamland: A Novel, Paradise Alley, etc.So, let's open the door...Jed Rubenfeld takes his place in literary entertainment with grand eloquence in his first novel, The Interpretation of Murder, published by Henry Holt. This dandy psychological murder mystery is chockfull of history, biography, and geography. This would overwhelm a lesser writer, but Rubenfeld’s mastery of the subject matter, pacing, and sheer storytelling verve propels the reader into New York 1909, and puts the reader into the chase for a vicious, sadistic killer.The novel begins as Dr. Sigmund Freud arrives in New York to deliver a series of lectures on the – at that point – very controversial subject. Dr. Stratham Younger, an American psychoanalyst, is appointed by the university to act as liaison officer for Dr. Freud. Several key members of Freud’s group of therapists are with him, including Carl Jung, the father of psychoanalysis’s most ambitious student, who ultimately tries to overtake his mentor’s glory.Soon after Dr. Freud’s arrival, Dr. Younger is summoned to a case involving an attack on 17-year-old Nora Acton, daughter to two influential people in the city’s high society circles. The victim of a sadist, Nora was choked, whipped, and cut with a knife. The experience has left her with amnesia and bereft of voice. Dr. Freud offers the opinion that her case would be an excellent choice for Dr. Younger.As he pursues therapy with the young woman, Dr. Younger finds himself entranced with Nora’s beauty and vulnerability. However, Nora’s returning memory proves false when she accuses the mayor’s friend, George Banwell with attacking her. Banwell is a married man and a rejected suitor of Nora’s who – she says – won’t take no for an answer. However, the night Nora was attacked, Banwell has the perfect alibi: he was with the mayor.The mystery continues getting richer and deeper as Littlemore proceeds on a parallel course that turns up other clues. As it turns out, Nora wasn’t the only woman attacked, tied up, strangled, and whipped in such a manner. At least one other woman was, and she’s now dead. However, her body has gone missing from the morgue. Littlemore doesn’t know if the corpse was sold to the medical schools or if its disappearance is part of a cover-up.Rubenfeld sets each scene with deft assurance. While reading the novel, I easily could imagine the city. I stood on the docks and awaited Dr. Freud’s ship, and could even smell the man’s harsh cigar smoke. As the story progressed from the luxury hotels and high society events to the narrow, twisting alleys, and to houses of prostitution and police holding cells, those scenes filled without thousands of extras came alive.In the afterword, Rubenfeld acknowledges using the New York City geography as he needed to, but very few changes took place. The book is elegantly resourced and researched according to the time, place, and social mores. Rubenfeld’s depiction of Freud is based on a familiarity with the man through a thesis he wrote while at Princeton. Later, at Julliard, Rubenfeld studied Shakespeare, and Hamlet – which maintains a presence throughout the novel as well – becomes a topic that will interest many readers even if they’re not well-versed in the subject.Taking his marks from the current successful thriller-writers, Rubenfeld gracefully intertwines Dr. Stratham Younger’s first-person narrative with third-person viewpoints of other characters (including the marvelous Detective Littlemore). The book would have been interesting through the eyes of Dr. Younger alone, but by building in the larger cast of characters, each with their own parts to play, the story takes on added dimensions that really incite the reader to turn pages.An investment of time is required through the first quarter of the book. Rubenfeld sets a number of things into motion and takes time to make his New York expansive and deep, the characters rich and vibrant .(Detective Littlemore creeps in from nowhere, it seems, and very nearly succeeds in taking over the book at one point.) But after that initial investment, you need to block out the time to finish the novel because you’re in for a late night. Rubenfeld exercises a siren call, working dexterously with a small cast of suspects, pulling blind after double-blind, with enough twists and turns to satisfy a James Patterson or Jeffrey Deaver fan.The Interpretation of Murder is truly a magnificent book - sprawling, epic, and jaw-dropping all at the same time. Anyone who can put it down 150 pages from the end has more willpower than I. After Littlemore figured out how Seamus Malley met his death, the plot simply explodes into action, and I had to struggle to keep up with all the twists and turns, which ultimately made perfect sense.The mystery is satisfying, but so is the commentary on society at the time, the resistance of scientific thinking to psychoanalysis, and even the relationship between Freud and Jung. I can only hope Rubenfeld gets more opportunities to return to this exciting world and bring his readers more adventures of Dr. Younger and Lieutenant Littlemore.",8,0.9954,0.095,0.76,0.145,0.4597707466825113,POSITIVE,0.5134
8,2279810959,02/02/2018,2.0,"An ""ingenious, suspenseful historical thriller""? Ingenious, try confusing. Suspenseful, more like wading through sludge and wondering when you will reach the end. Thriller, any drama was short lived and shrouded in Freudianisms. I've also seen ""spectacular, fiendishly clever, heart in the mouth read, impossible to put down, intriguing mystery, accomplished thriller and dazzling novel."" If a book really was this awesomely, fantastically, amazing, I'd expect the average reader to enjoy it whether or not they usually read the genre. It just goes to show that you can never really trust reviews because people are not being realistic....There were interesting elements in this historical fiction mystery which is set at the time of Freud's visit to America in the early 1900's. I didn't think the author did enough to connect Freud and his ideas to the actual mystery though, it was all a big vague. Although I read the whole novel, it was a struggle and I didn't really care who was apparently murdering young women by the end. That said, it is well written and the scenes and characters are well developed. I guess I just didn't connect with the story itself.There is a fair bit of sexual content in this book including references to incest and thoughts of incest. There is obviously some violence although it isn't too graphic. There is some mild language and one or two uses of strong language.I wouldn't bother with the next in the series.",7,0.913,0.074,0.789,0.137,0.5143631436314363,NEGATIVE,0.9995
9,7787778,10/16/2007,2.0,"Is it possible to be totally gripped and bored rigid at the same time ? That’s how I was for most of this book, the writing style I found stilted at first but the murder plot kept me going. Ultimately this was a bit of a let down as the plot was so convoluted, all the loose ends were tied up ‘Columbo’ style at the end. The best character was detective Littlemore, he was the only one I had any feeling for, in fact Littlemore and Younger as a detective duo were great. This book is to Psychoanalysis and Freud ,what The Da Vinci Code is to Holy Grail devotees!",7,0.5873,0.101,0.774,0.124,0.5628040762656148,NEGATIVE,1.0
