,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,2961632753,09/02/2019,5.0,Jamie's ItalyGorgeous and delicious!Yummy pizza's and pasta's! Great cookbook for the Italian cuisine fan.,3,0.7896,0.0,0.632,0.368,0.375,POSITIVE,0.9977
1,104229512,05/25/2010,4.0,"My grandparents came from Sicily and most of the dishes in this book are the dishes I grew up cooking and eating. These are the dishes I just throw together from habit not from a recipe. But there were two recipes in this book that I decided to try and they were both OUTRAGEOUSLY delicious! They were so good that I could not believe that I cooked them. The first one I tried was the pasta with anchovies in tomato sauce. It took 3 different pans but it was simple to prepare and had me almost howling with pleasure. Then I tried the bruschette with eggplant and mint. OMG!!! So simple, so delicious. This will be a recipe that I prepare weekly this summer.I've only seen Jamie Oliver on television one time so I was not that familar with him or his cooking...but now I am sold, I am a fan. I really like the layout of this book, I like his philosophy on cooking, and I like the simplicity of his style.Funny story to go along with this review. One day my sister said she didn't understand why anyone would want to go out to eat Italian food, because she said, you eat it so often at home why would you want to eat it at a resturarnt?! She really didn't understand that not everyone eats this food on an almost daily basis. lolSome family favorites featured in this cookbook are 1. caponata....this is the bread and butter or chips and salsa of the Scilian diet. No family get together is complete without it; 2. pasta alla Norma...I didn't know this dish had a name. It's just always been pasta with eggplant at my house...but a rose is still rose; and 3. my favorite ribollita...again another dish I did not know the name of, I make this without the fennel and use (veggie for me) Italian sausage instead. It's a wonderful dish that really hits the spot on a cold rainy spring day.If you are looking for a cookbook full of authentic real life recipes, this is it! If you are looking for a cookbook with dishes full of the WOW factor, this is it too. I'm picking up another Jamie Oliver at the library tonight.",3,0.9937,0.016,0.852,0.132,0.5691391941391942,POSITIVE,0.9995
2,46319579,02/14/2009,5.0,"This is one of my favorite cookbooks, surprisingly written by a non-Italian. Jamie Oliver immerses himself in the Italian culture and brings out the best parts of their cooking...simply prepared foods made with the best and freshest ingredients. I'm a vegetarian, and though the book includes meat recipes (and one really gross picture of a lamb being slaughtered), there are ample meat-free recipes that are extremely tasty. The book's highlights: a fantastic pizza recipe, and Spaghetti Alla Trapanese. I still have many recipes to try!",2,0.9432,0.035,0.762,0.202,0.5,POSITIVE,0.9996
3,786874958,12/10/2013,5.0,"Who doesn't love Jamie? I used to love watching his first show, I think on BBC, and he was amazing! Never measuring anything, always fun, and totally stunning concoctions :-) This book is no different, he is exactly the same as he always is, and he is perfect! Get the book!",2,0.848,0.133,0.611,0.255,0.6007575757575757,POSITIVE,0.9998
4,4392012663,12/16/2021,5.0,Love the journey of this book. Hooked me on Oliver and the narrative driven cookbook. I love a good story! The pizza dough recipe is now a home standard.,0,0.9117,0.0,0.665,0.335,0.45,POSITIVE,0.969
5,80363728,12/08/2009,4.0,"I like Jamie. He, like Bittman and Pepin, is also focused on fast and healthy meals, but he's a bit sloppy when it comes to measurements. What constitutes a ""small bunch""? How much is ""some""? I mean, once you've got your bearings in the kitchen, you can probably sort it out, but if you're a new cook you might be intimidated by this ""cooking by feel"" method. However, I mainly checked this one out of the library for the amazing-looking Italian pizzas, and I'm looking forward to trying some of his unusual ingredient pairings. Plus baking your own pizza is cheap yet impressive. (Just gotta find me a damn marble slab... gah!)Oh: If you like Jamie, I would also highly recommend his iPhone/iPod Touch app. It's only $4.99, and totally worth it for the videos that'll teach you how to not be afraid of buying (and eating) fish, and how to work your knife skills, and that kind of thing, along with some of his fast, fresh recipes. He'll also convince you that you MUST HAVE a mortar and pestle. Really. (P.S. You can download it here: http://www.jamieoliver.com/20-minute-...)",0,0.9519,0.037,0.827,0.136,0.5888275613275613,POSITIVE,1.0
6,106780199,06/12/2010,3.0,"The usefulness of this book depends in large part on how many Italian cookbooks you already own. I previewed this via the library and fortunately so, because I already have most of these recipes, or close enough. But if this will be your first, second, or third Italian book, it could still be quite worthwhile and the instructions are straightforward with plenty of photos. It does seem to be about 50% Sicilian, which isn't what everyone expects from an Italian cookbook. A recipe for fresh tuna meatballs in tomato sauce inspired me to check this book out, but the dish is also on his website. The other new ideas were roasted squash with cinnamon and chile and a sort of spumoni rice pudding. A $35 cover price requires a little more, however. Some of the photos will be offputting to some. He shows recently-butchered animals, and not just fish. They also used unripe tomatoes in several shots (the recipes did call for ripe), which aren't at all appetizing.",0,0.6365,0.0,0.956,0.044,0.3698309626881055,NEGATIVE,0.9963
7,55359118,05/08/2009,4.0,"The photography and recipes in this cookbook really captures what I call ""everyday Italy."" Yes, the famous sites and dishes are great (and worth seeing and eating if you go), but Jamie focuses in on what it's like to live in the country on a day to day basis. It's simple and delicious food using the best ingredients you can get your hands on; it's focusing on getting off the beaten path and trying something new/something you never thought you could make successfully at home. I enjoyed this cookbook before I ever set foot on Italian soil, but love it even more after spending my honeymoon traveling around the country. ",0,0.9859,0.028,0.715,0.257,0.539795918367347,POSITIVE,0.9999
8,297474611,03/19/2012,5.0,"For anyone beginning to explore Italian, this book would be a perfect starting point. I say this as not only does Oliver provide wonderful recipes, the Italian-ness of them is explained. Each dish has a story, and Oliver is an expert in telling it. I'd also highly recommend it as this is from a chef who is not only trained in the Italian way of cooking by Italians, but wrote the book, and discovered many of the recipes, because he went to Italy and bothered to look beyond pizza and pasta (though both are included) and talk to people at markets, in their homes, and in small local places. Oliver's Italy is the real Italy, and their is no point learning about anything else!",0,-0.1143,0.045,0.901,0.054,0.4866666666666667,POSITIVE,0.9994
9,1055530527,09/15/2014,4.0,"4.5 for the non-Italian, almost perfect. The only reason I did not give it five is the same issue others have mentioned, the lack of specific measurements on certain things: ""glug of oil""... Is that a tablespoon? I normally wouldn't have a problem with this as I tend to cook by feel and mood, but some ingredients, like eggplant, are sensitive to the amount of moisture added so I can see this becoming a problem. Even if you have other Italian cookbooks do give this one a shot. Jamie's passion for the people, the landscape, and the food are so exciting, he really draws you in. Oh, and not to mention the photos are probably the best I have ever seen.",0,0.9784,0.013,0.782,0.205,0.5304945054945055,POSITIVE,1.0
10,1360545755,08/10/2015,2.0,"From the worlds richest chef his worst book as a follow up to his worst TV series.To me Oliver was totally out of his depth, perhaps he hadn't researched enough before his visit. Maybe his increasing wealth made him drop his standards.I found the TV show almost embarrassing and the book does little, if anything, to change my mind.To cook Italian, get a cookbook by someone who cooks the cuisine regularly and knows what they're talking about. This applies to any cuisine.Keith Floyd who made TV series and wrote cookbooks on many countries cuisines never purported to be an expert on any of them, but an amateur learning on his and our behalf and showing what he'd learnt.",0,-0.4595,0.068,0.897,0.035,0.5085470085470085,NEGATIVE,1.0
11,1370621853,08/22/2015,4.0,"For Oliver's 30th birthday a few years ago, he took a food excursion through Italy and then wrote a cookbook about the experience. This was a great read. The essays sprinkled throughout really do provide a glimpse at a different way of looking at food. The message came across loud and clear that Italians care deeply about food and that it is an activity worth putting your time into. I was inspired to try the potato, rosemary, and thyme pizza from scratch last night and it was delicious. Many of the recipes are way over the top and I would never attempt them, but quite a few really are simple and look wonderful. ",0,0.9413,0.0,0.836,0.164,0.4410714285714285,POSITIVE,0.9997
12,97161728,04/05/2010,4.0,"As a fan of cookbooks and italian food in particular I definately would recommend this book to friends and family. I use this all of the time, even just as inspiration. Jamies pizza dough recipe has become a staple in my household and paired with a pizza stone it creates a authemtic italian pizza experience! Our household is vegetarian and although there are many meat dishes in this book I find it gets more use than some of my veggie books. I love reading this and thinking of ways I can adapt a meal to make it vegetarian. If you like italian food buy this! ",0,0.9622,0.0,0.81,0.19,0.2761904761904761,POSITIVE,0.9979
13,102499080,05/12/2010,5.0,"I painstakingly hand copied a ton of excellent sounding recipes from this book. I wish I owned it, but the library copy will have to suffice for now. I especially loved all the little stories in there and definitely gravitated to wanting to try out recipes from my Sicilian heritage as not much has been passed down to me from my family. Also, kind of funny, but several pictures of the Sicilian men totally have some of my dad's facial characteristics including his nose. So now I know where that comes from. ",0,0.9587,0.0,0.808,0.192,0.5580808080808081,POSITIVE,0.9864
14,263148510,01/16/2012,1.0,"First of all, I have not read all of Jamie Oliver's cook books. I have read a few. This is by far his worst I would reckon if I was to hazard a guess. Brutal. The only areas of interest in this book are the fresh salads. I am not Italian, but I know I personally have better Italian recipes in my head than what I found in this book. To me, the whole book seemed like Jamie was camping in the hills of Italy, grabbing whatever was lying around and making feasts which were not even fit for a hobo. Too rustic and too much desperate foraging for me! Come on Jamie, you can do way better than this.",0,-0.2516,0.121,0.766,0.113,0.5355555555555557,NEGATIVE,1.0
15,409617512,09/07/2012,4.0,"I can't not like this book. While I wouldn't describe myself as a fan of ""the naked chef"", Jamie's beliefs about food do resonate with me. And the fact that he goes bumbling around Italy appropriating the recipes of grandmothers and fishermen makes his cooking even more endearing - it reassures me that my amateurish efforts may not be half as laughable as I think they are.Oh, I do love Italian food too - and the gorgeous pictures! So I went into the reading experience already naturally biased.",0,0.9257,0.023,0.796,0.181,0.5266666666666667,NEGATIVE,0.9973
16,34466412,10/03/2008,3.0,"Makes a mean minestrone soup. His little tips and summaries are better than the recipes themselves.The goal is simple, good food in lieu of any fancy, ornate stuff. I also cooked the risotto, eggplant parmesan and a butternut squash pasta dish. They were all good, but the minestrone worked the best for me.This is probably worth a spot on my cookbook shelf, but until then I'll just renew my return date from the library.",0,0.9186,0.0,0.823,0.177,0.4555803571428571,NEGATIVE,0.9885
17,41088527,12/28/2008,4.0,"How can you not love Jamie Oliver? From his pinchable cheeks to his amazing food to his food politics - he's got it all. I really admire what Jamie has done for the sustainable food movement: he focuses on local, sustainable food without hitting you over the head with his politics. The food and the photography in Jamie's Italy is something special. I just can't say enough good things about this guy. Jamie, are you listening? ",0,0.6683,0.069,0.809,0.122,0.4816326530612245,POSITIVE,0.9999
18,208895567,09/15/2011,4.0,I FINALLY got a library card ;-) and this was one of the first books I checked out as I am trying to trin myself that I don't need to own every cookbook out there. (Baby steps!) This book is full of delicious-sounding recipes and great photos as is typical of Jamie. I have only tried the Eggplant & Mint Bruschette so far but it was simple and tasted great. Here's the link to the recipe and photos: http://kahakaikitchen.blogspot.com/20...,0,0.8748,0.0,0.874,0.126,0.7491341991341991,POSITIVE,0.9991
19,1192664409,02/06/2015,5.0,"My not-so-secret passion is cooking, and I can while away countless hours leafing through a good cookbook, preferably one with lots of Pavlovish photos. My favourite? Jamie Oliver’s Italy. Filled with fabulous photographs of the man grilling rabbit, lamb, and quail over smoldering vine clippings and olive wood, the makings of a rustic kitchen stuffed in a beat-up vintage Coleman cooler…mmm. This book speaks to a simpler way of life that holds great appeal to me.",0,0.9246,0.0,0.833,0.167,0.75,POSITIVE,0.9994
20,735439,04/15/2007,4.0,"YUMMMM. Jamie Oliver presents more authentic Italian cuisine (a relieving departure from Americanized ethnic cookbooks) without pretension to being the authoritative ""last word"" in Italian food. The recipes are a mix of the simple and the complex, providing a range of meal possibilities that can actually be used in daily cooking.",0,0.3612,0.0,0.95,0.05,0.3073809523809524,POSITIVE,1.0
21,1511326169,01/15/2016,5.0,"Gorgeous book with wonderful photographs that accompany even lovelier recipes:Fried ricotta w/ a little tomato salad, Pizzas to die for, Ribollita (Tuscan bean, cabbage, bread soup), Fazzoletti w/ pesto, Roasted mushroom risotto, Pan fried squid w/ lemon & breadcrumbs, Leg of lamb stuffed w/ olives, bread, pinenuts & herbs, & Quick tiramisu!Ok, have to go eat again!",0,0.658,0.063,0.804,0.133,0.725,POSITIVE,0.9998
22,3541022,07/25/2007,4.0,"been loving watching jamie on tv for quite a while (even naming my unborn child 'olive' after his surname 'oliver') sooo looking forward to read his books. my copy of this jamie's italy is still in US, waiting to be handed to the rightful-antisipating-owner ;p herbayu, kapan pulang...?",0,0.5994,0.0,0.922,0.078,0.95,NEGATIVE,0.6466
23,4612614,08/15/2007,4.0,"I haven't made anything from this one yet, but it's very pretty - and in parts gruesome. Jamie Oliver believes that you should know where your food comes from, and makes no qualms about showing the animals that you're eating. Those parts can be difficult - but the cookbook is great.",0,0.7461,0.1,0.728,0.172,0.9375,POSITIVE,0.8057
24,27950395,07/22/2008,5.0,"My husband is the capo chef in this house, so my information is only second hand, but he cooked out of this book for about a month straight and had a blast. Plus, the baby loves the cover, pointing to it often saying, ""spaghetti and wine tonight, mama?""",0,0.8591,0.0,0.819,0.181,0.4666666666666666,POSITIVE,0.9999
25,31208557,08/25/2008,4.0,THis made me want to go to Italy. I loved reading what he had to say before the recipes and I did try a few of the recipes and now am in love with his version of minnestrone soup. I may have to check out some more of his stuff. ,0,0.8555,0.0,0.821,0.179,0.5,POSITIVE,0.9999
26,47830617,02/28/2009,2.0,Just two stars because the recipes won't really be of use to me. BUT it's a gorgeous book and I LOVE that he narrates the entire cookbook. I would definitely pick up his other books. And would recommend this if you plan on doing any rustic Italian cooking.,0,0.969,0.0,0.681,0.319,0.4571428571428572,NEGATIVE,0.9984
27,295222309,03/16/2012,4.0,"I like Jamie's Italian cooking. He has good recipes and quick to make. It is the sort of cooking I like and can eat every day. Watching him on telly gets a little scary though: I can't believe the amount of olive oil he uses when he is cooking, he clearly over uses it.",0,0.7713,0.05,0.769,0.181,0.4972222222222222,POSITIVE,0.9991
28,298091689,03/20/2012,2.0,I've read many of Jamie O's books but somehow found this quite uninteresting and his recipes are not as strong or authentic as his mentor Gennaro. Nevertheless its a good read if you are a Jamie fan..,0,0.0765,0.088,0.817,0.095,0.6458333333333334,NEGATIVE,0.999
29,1124901139,12/06/2014,4.0,cookbooks always excite me..n this is more than just a book with bunch of recipes...it's cooking expedtion of Jamie in Italy... cute book for italian cuisine giving insights into its people and their love for food..many images in the book made me hungry instantly....absolutely loved it!,0,0.9508,0.0,0.703,0.297,0.5800000000000001,POSITIVE,0.999
30,290063,03/16/2007,,"i love jamie oliver's books for the editorial that comes with them - somehow injects more personality into the dishes.also, they're always dead easy to do. :)",0,0.7003,0.121,0.593,0.285,0.6666666666666667,POSITIVE,0.9996
