,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,271057572,02/01/2012,2.0,"I was completely unaware of the Naked Chef until I picked up this gorgeous cookbook at the library. Apparently, he's been on tv for years...lol. The food is gorgeous, healthy, substantial.However, there's no way that these are ""quick, throw-together"" recipes. At least one ingredient in each recipe is difficult to obtain (suggesting websites for online ordering). I had to google ingredients to even understand what the American translations would be.Finally, I found one to try to duplicate, with less exotic ingredients I could find in grocery stores. Without going into great detail, I will say that it was a disaster. I made a wrong turn when I decided last-minute I did not want to put raw sausage in my blender (to add further spices to the meat-mixture). What was the point of all this? I almost forgot in the middle of the ordeal -- making a new pasta sauce from scratch (although sausage-based). Needless to say, my picture did not look like their picture. And I'm not a slouch in the kitchen, really.The book did inspire me to cook something, but he doesn't translate well to typical, suburban American life. Martha could take him with one hand behind her back, in delivering beautiful, quality new dishes to try, with just the right amount of challenge.His methods for reducing time are sort of interesting, though, and pretty much involve chopping all ingredients with one swipe of the knife or not chopping at all (boiling entire head of cauliflower) (let it fall apart after or as it cooks) and always keeping a kettle of water boiling to add to other pots, eliminating the wait for those to come to a boil.I have since become more aware of Jamie and his efforts to take on corporate McDonald's (I believe his statement accused them of feeding food not fit for dogs to humans on a worldwide scale) and to improve the horrid food served in public schools. He's a great guy -- I wish his cookbook was great, too.",4,0.5835,0.098,0.807,0.095,0.4920429997353073,NEGATIVE,0.9997
1,389798049,08/12/2012,4.0,"This cookbook has an interesting concept. It includes the recipes and shows you how to use your time to prepare the individual dishes so a complete, rather impressive meal is ready all at once. This is not a bad idea in theory. In practice, it is tricky, because you may want to have an individual dish without having the entire meal. Also, several people follow ""restrictive"" diets (e.g., vegan, gluten-free, etc.) and this cookbook is more geared towards those who are fairly open to all foods.That said, although there are some slightly advanced cooking skills required, I think this book may appeal to the beginning cook who is still developing the ""flow"" to creating an entire meal. It reminds me a Whole Foods or Central Market cooking class in which people build cooking competence and enthusiasm by cooking a wonderful full meal under the guidance of a pro. We all have to start somewhere in the kitchen and it's far more rewarding to end with a Jamie Oliver created meal than mac & cheese (not that there's anything wrong with mac & cheese, of course.)Jamie encourages cooks to use ethical, higher welfare food sources. Thanks, Jamie! You have earned a bonus star for this. There are also a variety of recipes that draw from several types of cuisine. I can't say that anyone would necessarily cook every meal in this book, but I think even the pickiest eaters could find ones to enjoy.Finally, I believe Jamie Oliver is genuine in his love for food and for his concern about others' health. Can't complain about that!",4,0.98,0.012,0.851,0.137,0.5613095238095238,POSITIVE,0.991
2,412061863,09/11/2012,5.0,"This book really helped me get some more interesting foods into my diet! When I was working 11 hour shifts, I didn't have much time for food prep. So I picked up this book.With practise, it is possible to do the recipes within 30 minutes, providing you have all the equipment. (Jamie makes a note of this at the start - I didn't have a mircowave, so some meals were going to take me longer.) Even so, any meals I've cooked I've done so in under an hour.I found the format fairly easy to follow, as each section of the meal is under a header, so I just skip out the dessert parts if I just want to do the main meal. (The school-days trick of read the whole thing before you start helps here, so you know what you are doing!) I found the range of meals to be good, and it is possible to swap out ingredients you don't like, providing you don't mind that it may take longer (or sometimes less time!) to cook. For example, the Green Thai Curry works as well with Quorn pieces as with Chicken. I also find it very helpful that there is a colour photograph of every meal, so I know what I am aiming for. (I hate cook books with no pictures!) Overall I'd thoroughly recommend it. :)",4,0.9423,0.039,0.854,0.107,0.534313725490196,POSITIVE,0.9994
3,198302638,08/14/2011,4.0,"When I purchased this book in Australia it was called ""30 Minute Meals"". I daresay the title is misleading which could well be the reason why it's appearing here under a different name.This is a book full of appetising recipes and I have cooked several of them with very good outcomes. I consider myself to be an experienced home cook and I have a very well equipped kitchen with all manner of appliances to assist me in the cooking process. Jamie says in the book that you need to have certain essential pieces of equipment in order to be able to make the recipes in 30 minutes. I have the equipment, I have the know how but there is absolutely no chance I'd ever be able to cook these recipes in 30 minutes. In fact I'm not sure I'd manage some of them in 60 minutes. Unless of course, I was highly excitable and hyperactive... like Jamie Oliver I guess.The recipes jump around all over the place so that the cook can theoretically get the entire meal (usually a main, side dish or entree and dessert) prepared in 30 minutes. It is a bit difficult to follow if you're only making one portion of the meal that appeals to you. In fact the format is a bit hard to follow in general and this is only compounded by the sense of urgency of having 'many pots on the boil'. However I'd challenge anyone to flick through this book and not find several recipes that appeal to them. The chicken pie, satay chicken skewers and piri piri chicken recipes are casual meals that are absolute standouts taste wise. If you can get past the recipe formats and accept that these meals do take a bit longer than the book would suggest then it's a pretty good book to cook from.",3,0.976,0.038,0.842,0.12,0.6420932539682539,POSITIVE,0.9144
4,199296031,08/16/2011,5.0,"I admit it, I love Jamie Oliver's philosophy of cooking and methods of presenting, as well as his efforts to make food preparation fun and easy for normal folk. His books just get better and better. Spectacular pics. Great recipes. Easy prep. If the recipe doesn't work for you, find one that does. He really wants you to cook for yourself and family. And I do too. Falling back on fast food options is hurtful in so many ways. Even if you were raised, like I was, on crap fast food. You can change that. You can make that difference in your life. This is Jamie's message. You can change the way you eat for the better. And it doesn't have to be a hard change. It can be fun and flavourful and most awesome. Real food tastes nothing like the fat/salt/sugar saturated menu you'll get when short cutting to fast food. Real food is...succulent, savoury, and oh so tradition causing. If you have a mom, dad, grandma, grandpa, who is holder of the food tradition. Learn as much as you can, while you can.If you don't have a holder of knowledge, learn from the cookbooks out there. You can reclaim your heritage by learning how your specific culture cooked traditionally. I've done this. It connects me to my ancestors. But I don't limit myself. I love to explore all cultures. The food in all is amazing. No more fast food for me. ",3,0.9906,0.046,0.77,0.184,0.5369791666666667,POSITIVE,0.9991
5,570471612,03/25/2013,5.0,"I have worked in the food industry for years, for a global company. I have worked alongside factory workers to some of the countries top chefs. This book has a fantastic combination of flavours. I have heard people moan that it has taken them 40minutes.... so what? He does say that if you can get everything ready, it will save your time. The main thing is that there are ready meals out there that take 20-30minutes. This book shows you that you can still make a quick meal, from fresh, with excellent flavours. I can't sing the praises of this book enough. This guy has made cooking easier for people. There are no exotic hard to get ingredients. Unlike some, where they ask you to get a rare spice from outer mongolia. This is all available in your local supermarket. So... if you like food, then this is a staple cookbook to have on your shelf. I heart Jamie. ",3,0.9511,0.047,0.805,0.147,0.5383333333333334,POSITIVE,0.9986
6,1998561067,05/12/2017,5.0,"Excellent book. Had it years and dipped in and out tried many, many more of the recipes during lockdown. Always work out well, family always really enjoy the end result. Good variety of meals and love the salad and dessert suggestions.This is a well thought out book that puts tasty good cooking into the average kitchen. (Just give yourself an extra 15min to take any stress out of the cooking.)",4,0.9558,0.033,0.716,0.251,0.53,POSITIVE,0.9786
7,263140901,01/16/2012,2.0,"Maybe I am being rash by giving this cook book 2 stars. It's not bad per se. In my mind, cook books should be rated based on 3 things. They are, ""Am I inspired to cook after reading this book?"",""How many of the recipes in this book interested me and how likely am I to cook them?"" and finally ""How did the recipes turn out(ease of instruction, ability to find ingredients, low fail recipes)?"". I haven't cooked a thing yet from this book. I will. I have made copious notes of that which interested me. That being said, Oliver's instructions are never hard to follow and the guy knows what he is doing. He gets props for that. I have no doubt that they will turn out. I do find some of his recipes though throughout his books are sometimes a bit out of the ordinary. He whips stuff together than I would never eat and I know my family wouldn't dream of consumming. Some of his ingredients are not easy to find at your local supermarket. Minus points to these two areas I am afraid.Was I inspired to cook after reading this book? No. Did some things look interesting? Yes. Do I think I can whip up any of the meals in this book in minutes? Hell no. How many recipes did I make a note of from this book? Only a small handful. I would not rush out and buy this book. Get it from the library like I did. ",2,0.5204,0.099,0.789,0.112,0.5377450980392158,NEGATIVE,0.9999
8,668754462,07/15/2013,4.0,"This is a great companion to Jamie Oliver's Meals In 30 Minutes series, which is available by DVD (in the UK). Pros: The beginning of the book features a list of essentials which will help you prepare the meals. Recipes are listed in metric and imperial measurements. The meals are laid out for you and he breaks everything down step-by-step. I have prepared many of the meals in the book, and only one was a miss. The rest of the meals were a hit! Cons: I wish that nutritional information was listed for the meals. These meals are NOT 30 minute meals. I consider myself an experienced home cook, but the majority of these meals took 45-60 minutes to prepare. (Perhaps repeats of the meals should go faster.)If you are trying to prepare healthy meals for your family, this is a great book to add to your shelf. There are a number of family meals that are bound to be a hit! ",2,0.9488,0.008,0.877,0.115,0.6361111111111111,POSITIVE,0.9986
9,1030214681,08/18/2014,3.0,"3.5 stars.I actually liked the layout. My copy has a blue ribbon, so I can easily mark the page if I want to mix & match.So far I've made three of the recipes & one of the sides - they were all keepers & I had lots of compliments.I have marked it down from 4 stars as I think cookbooks need to be value for money & you may find this book isn't great in this regard. Out of 274 pages approximately 172 were pictures - & a fair few were of Jamie himself. Um Jamie... you are famous, we know what you look like. Some of the pictures were helpful (I liked having a picture of how Jamie visualised the chicken pie) some quite unnecessary. (like a hand holding some fresh herbs) this filler makes the book both heavy & expensive - & with Jamie's goal of converting the masses to good food, shouldn't his cookbooks be as affordable as possible?",2,0.968,0.02,0.806,0.174,0.6801169590643275,NEGATIVE,0.9917
