,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,5969907,09/09/2007,3.0,"Like eating fancy dessert at a gourmet restaurant, Memoirs of a Geisha is beautiful, melts lightly off the tongue and will be forgotten shortly after it's done. The language is strikingly lovely, and Golden paints a remarkable picture of a time and place. If you're looking to learn something deep about the psychology of Japanese culture, or meet nuanced characters, then I'd steer you elsewhere. The story only skims the top of the more complicated aspects of a Japan in decline, focusing mostly on a genteel lifestyle that probably seems more appealing from the outside. There's a way in which the book, written by a man and a westerner, is slightly fetishistic, but less so than you might imagine.Another reader suggested that perhaps the superficiality of the story is intentional, and that the book, in a way, resembles a geisha. Beautiful and eager to please, yet too distant to really learn much from and ultimately little more than a beautiful, well-crafted object to be appreciated. If that's the case, Arthur Golden is remarkably clever, and I applaud him. If it's not the case, the book remains very pretty and an easy read.",482,0.9933,0.007,0.769,0.224,0.5399999999999999,POSITIVE,0.9861
1,775847113,11/28/2013,4.0,"”Whatever our struggles and triumphs, however we may suffer them, all too soon they bleed into a wash, just like watery ink on paper. “

Geisha Mineko Iwasaki basis for Chiyo/Sayori.Chiyo, with her sister Satsu, and her mother and father live in a shack by the sea on the coast of Japan. The shack leans, and has to be propped up to keep from total collapse. Her mother is sick and on the verge of death. Her father is a fisherman, uneducated, and generally befuddled by anything that doesn’t have to do with his fishing nets. When a businessman from the village comes to them with an offer to take their girls to the city it doesn’t take much to convince the father that nearly any opportunity is better than staying there in the tilted shack by the sea. He was wrong. Or was he? Without a crystal ball or access to a series of timelines showing the variations created by changing key decisions at critical junctures how can we know? Satsu, who is fifteen, is promptly placed with a brothel. Not exactly what her father had in mind. I’m sure he was told she would be trained for “domestic service”. Chiyo, who is nine, is deemed young enough to be trained to be a geisha. She is a lovely child with startling rare gray/blue eyes. 

Those Blue Eyes are what set her apart.The Mother of her geisha house is equally startling in appearance. ”Instead of being white and clear, the whites of her eyes had a hideous yellow cast, and made me think at once of a toilet into which someone had just urinated. They were rimmed with the raw lip of her lids, in which a cloudy moisture was pooled, and all around them the skin was sagging.”Obvious a bit of a failing liver issue going on here, but wait she is really much more mugly. ”I drew my eyes downward as far as her mouth, which still hung open. The colors of her face were all mixed up: the rims of her eyelids were red like meat, and her gums and tongue were gray. And to make things more horrible, each of her lower teeth seemed to be anchored in a little pool of blood at the gums.” Okay so Chiyo lets out a gasp. She starts out her new life in trouble. It doesn’t end there. She is quickly considered a threat to the lovely and vindictive Hatsumomo who is the only fully trained geisha working for the house. Chiyo is accused of stealing (not true). She is accused of ruining an expensive kimono with ink (true but under duress). She is caught trying to escape ( she broke her arm in the process so try and give the kid a break). Well, all of this ends up costing her two years working as a housemaid when she could have been training as a geisha. She receives an unexpected benefactress, a mortal enemy of Hatsumomo named Mameha decides to take Chiyo under her wing and insure that she has another opportunity to become a geisha. Chiyo, tired of scrubbing floors and being the do-this and do-that girl of the household realizes her best chance at some form of freedom is to elevate herself. 

The Movie based on this book was released in 2005 and directed by Rob Marshall.At age 15 her virginity or mizuage is put up for auction. It is hard not to think of this as a barbaric custom, but for a geisha, if a bidding war erupts, she can earn enough money to pay off all the debts that have accumulated for her training. Chiyo, now called Sayuri, is fortunate to have two prominent men wanting to harvest her flower. The winner is Dr. Crab who paid a record amount for the privilege.”Of course his name wasn’t really Dr. Crab, but if you’d seen him I’m sure the same name would have occurred to you, because he had his shoulders hunched up and his elbows sticking out so much, he couldn’t have done a better imitation of a crab if he’d made a study of it. He even led with one shoulder when he walked, just like a crab moving along sideways.”Not the vision that any girl would have for her first time, but ultimately it is a business transaction that frees Sayori from the bonds of debt. After the deed is done, the eel spit in the cave, Dr. Crab brought out a kit filled with bottles that would have made Dexter jealous. Each bottle has a blood sample, soaked in a cotton ball or a piece of towel of every geisha he has ever treated including the blood from his couplings for their virginity. He cuts a piece of blood soaked towel that was under Sayori and added it to the bottle with her name. Ewwehhh! with a head snapping *shiver*.The cultural obsession, every country seems to have one, with female virginity is simply pathological. Girls can’t help, but be fearful of the process. Not strapped to a table by a serial killer type fear, but still there has to be that underlying hum as the man prepares to enter her. I wonder if men, especially those who avidly pursue the deflowering of maidens, are getting off on that fear? I’ve made myself feel a little queasy now. Sayori is on her way to a successful career. She is in love with a man called The Chairman and wishes that he will become her danna, a patron, who can afford to keep a geisha as a mistress. There are people in the way, keeping them from being together, and so even though there were many geishas who wished for her level of success she still couldn’t help feeling sad. ”And then I became aware of all the magnificent silk wrapped about my body, and had the feeling I might drown in beauty. At that moment, beauty itself struck me as a kind of painful melancholy. “It was fascinating watching this young girl grow up in such a controlling environment; and yet, a system that can also be very deadly. One misstep, one bit of scandal, and many geishas found themselves ostracized by the community. They could very easily find themselves in a brothel. During WW2 the geisha community was disbanded, and the girls had to find work elsewhere. Sayori was fortunate. Despite all the hardships I know she was enduring, Arthur Golden chose not to dwell on them in great detail. I was surprised by this because authors usually want and need to press home those poignant moments, so that when the character emerges from the depths of despair the reader can have a heady emotional response to triumph over tragedy. I really did feel like I was sitting down for tea with Sayori, many years later, and she, as a way of entertaining me, was telling me her life story. Golden interviewed a retired geisha by the name of Mineko Iwasaki who later sued him for using too much of her life story to produce this book. She even had light brown eyes not as striking as Sayori's blue/gray eyes, but certainly light enough to be unusual. I wonder if Iwasaki was still the perfect geisha, keeping her story uplifting, and glossing over the aspects that could make her company uncomfortable. 

Mineko IwasakiThe book is listed in the 1,001 Books You Must Read Before You Die. It was also made into a film, which I’ve been avoiding, knowing that I wanted to read the book first. I notice some reviewers take issue with Sayori. They feel she did not assert herself, and take control of her life. She does in the end, but she is patient, and waits for a moment when she can predict the outcome. I feel that she did what she needed to do to survive. Most of the time she enjoyed being a geisha. It takes a long time to learn not only the ways to entertain, but also all the rigid traditions that must be understood to be a successful geisha. As she gets older, and can clearly define the pitfalls of her actions, we see her manipulating the system in her favor. If you wish to see more of my most recent book and movie reviews, visit http://www.jeffreykeeten.comI also have a Facebook blogger page at: https://www.facebook.com/JeffreyKeeten",390,0.9811,0.099,0.783,0.119,0.5576055815529503,NEGATIVE,1.0
2,124791392,10/04/2010,4.0,"(Book 93 From 1001 Books) -	Memoirs of A Geisha, Arthur GoldenMemoirs of a Geisha is a historical novel by American author Arthur Golden, published in 1997. The novel, told in first person perspective, tells the story of a fictional geisha working in Kyoto, Japan, before and after World War II.In 1929, nine year-old Chiyo Sakamoto and her 15 year-old sister, Satsu, are sold by their father to work within the entertainment districts of Kyoto. They are taken from their home, the coastal fishing village of Yoroido along the Sea of Japan, and travel to Kyoto by train; upon arrival, Chiyo is taken to the Nitta okiya (geisha boarding house) in Gion, whereas Satsu - deemed less attractive and therefore a poor investment - is instead taken to a brothel within Kyoto's pleasure district.Chiyo is taken inside, and is introduced to Auntie, Mother (Auntie's adoptive older sister and the matriarch of the house) and Granny, their elderly and poor-natured adoptive mother and the okiya's former ""mother"". Both Auntie and Mother are strict, though Auntie is kinder to Chiyo, whereas Mother is driven by money and business. Chiyo is also introduced to Hatsumomo - the premier geisha of the okiya, its primary earner, and one of the most famous, beautiful and ill-mannered geisha of Gion. Hatsumomo takes an instant disliking to Chiyo, and goes out of her way to torment her. Auntie warns Chiyo against both angering and trusting Hatsumomo, knowing the ill-mannered geisha's true nature very well. ...خاطرات یک گیشا - آرتور گلدن (سخن) ادبیات؛ تاریخ نخستین خوانش: در ماه مارس سال 2003میلادیعنوان: خاطرات یک گیشا؛ نوشته: آرتور گلدن؛ مترجم: مریم بیات؛ تهران، سخن، 1380، در 640ص؛ شابک 9646961703؛ موضوع: داستان - ژاپن - تاریخ از نویسندگان ایالات متحده آمریکا- سده 20منمیدانم، یادم نمانده، کدامیک از سالهای بگذشته بود، که برای نخستین بار، یک پی.دی.اف از همین کتاب، با ترجمه ی بانو «مریم بیات»، برایم رسید، برنامه ای نوشتم، تا متن پی.دی.اف را به فارسی آفیس نسخه 2003میلادی برگردانم، بسیار سخت گذشت، بارها و بارها برنامه را مجبور شدم هوشمندتر کنم، تا اینکه کتاب را پس از تلاش بسیار، در 174733کلمه، و در 409صفحه ی 31سطری، و هر سطر میانگین 22واژه، و هر واژه میانگین بیش از چهار حرف، برای خویش آراستم، البته باز هم مجبور شدم، بیشتر صفحات را ویراستاری کنمنقل نمونه متن: (یادداشت «آرتور گلدن»: چهارده ساله بودم، که در غروبی در بهار سال 1936میلادی، پدرم مرا به تماشای یک برنامه ی رقص، در «کیوتو» برد؛ از آن برنامه، تنها دو چیز را به یاد دارم؛ نخست اینکه من و پدرم، تنها تماشاچی غربی در میان تماشاگران بودیم، تنها دو سه هفته بود که از کشورمان «هلند»، به آنجا سفر کرده بودیم، بنابراین هنوز نتوانسته بودم، خود را با انزوای فرهنگی تطبیق دهم، و تاثیر آن بر من هنوز فوق العاده زیاد بود؛ دوم اینکه خوشحال بودم، که پس از ماهها فراگیری زبان «ژاپنی»، آنهم به صورت فشرده، میتوانستم از حرفهایی که میشنیدم، جسته گریخته، چیزی سر دربیاورم؛ از زنهای جوان «ژاپنی»، که روی صحنه میرقصیدند، به جز اشکالی مبهم، از «کیمونو»های الوان درخشانی که، بر تن داشتند، چیزی به یاد ندارم؛ مسلم است که به هیچ راه، به ذهنم هم خطور نمیکرد، که در زمان و مکانی بسیار دور، یعنی تقریباً پنجاه سال بعد، و در مکانی به دوری «نیویورک»، یکی از همان زنان، نزدیکترین دوستم خواهد شد، و خاطرات استثنایی اش را برایم تقریر خواهد کرد؛ در جایگاه یک تاریخ نگار، همیشه خاطرات را به چشم منبعی از مواد نگاه میکنم؛ خاطرات، سوابقی را فراهم میآورد، که بیشتر به دنیای خاطره نویس، تا خود او مربوط است؛ خاطرات با «بیوگرافی» فرق دارد، چون در «بیوگرافی»، خاطره نویس نمیتواند، جنبه هایی را ببیند، که برای «بیوگراف» نویس، امری عادی و منطقی است؛ «اتوبیوگرافی»، البته اگر واقعاً چنین چیزی وجود داشته باشد، به این میماند، که از خرگوش بخواهیم برایمان بگوید: وقتی توی علفزار، بالا و پایین میپرد، به چه شکل درمیآید؟ از کجا بداند؟ از طرفی، اگر بخواهیم چیزی در مورد علفزار بدانیم، هیچ کس بهتر از او، نمیتواند برای ما آنرا توصیف کند، مگر آنکه در نظرمان باشد، که در جستجوی چیزهایی هستیم، که خرگوش، قادر به مشاهده ی آنها نیست؛ ....)؛ پایان نقلتاریخ بهنگام رسانی 28/05/1399هجری خورشیدی؛ 09/05/1400هجری خورشیدی؛ ا. شربیانی",312,0.9334,0.02,0.938,0.042,0.4833333333333334,POSITIVE,0.6559
3,22188742,05/13/2008,3.0,"Damn if you aren't one of the most problematic things I've ever read, Memoirs of a Geisha.Like much of non-Asian America, I was swept up in the delight of reading this book in 2000. I was fifteen and precocious, and the narrative was arresting. I couldn't put the book down. I wrote this in 2000:""Golden has hit pay dirt with this masterpiece. An insightful, curious, and caring look into the mysterious world of geisha, Arthur Golden peels away the ignorance and labeling that westerners have covered the secretive Japanese profession. Although it sinks at times into a near melodramatic prose, the book's protagonist is interesting, insightful, and enjoyable. Her witty anecdotes and thoughtful mannerisms in speaking make Memoirs of a Geisha a delightful and unstoppable read.""Then I got older, went to college and graduate school, and developed a critical, thinking eye.And I'm mad at myself.insightful? Really? God, I was naive. This novel, while entertaining is so problematic I rarely have time to descend into my criticism. It continues the Orientalism that Edward Said loathed so very much; rather than ""skillfully entering"" the world of a Japanese woman, it apes her identity, and ultimately deprives her of a voice, creating a sort of Orientalist imagination for us to enjoy without ever really seeing her. The book is still engaging as a narrative, but the sappy ending, the frankly sexist portrayals at some points, and Sayuri's outright inability to identify outside of her Chairman is rather frightening. It serves to objectify fetishism at its worst. Yet I can only give you three stars, because I'm still partly under your spell, Golden. Damn.",253,-0.9504,0.148,0.758,0.094,0.5715359477124183,POSITIVE,0.9992
4,2319456076,03/07/2018,5.0,"A timeless genre picture of a strong woman making the best out of terrible circumstances. Not just the personal story of the main protagonist is very well written, it´s how Japans´culture and history are shown in a new perspective one wouldn´t have ever thought of because of the stigmas and prejudices the same men haunting the poor women are imposing on them with their conservative, misogynic policy.The Asian waySexist male dominance manifested in many different forms and how the Japanese culture arranged prostitution has hardly ever been described in such memorable words, metaphors, and pictures. The strange thing is that all that glitter and glamour around it, letting it seem cultivated and less primitive, creates the disturbing impression that it´s not as bad as it is, something so cognitive biasy that it´s hard to stomach, understand, and put in context to the cultural impact, especially when comparing the very different approaches towards it around the world.  Prostituion by regionhttps://en.wikipedia.org/wiki/Prostit...As so often, the Scandinavians set the best, new policieshttps://en.wikipedia.org/wiki/Prostit...https://en.wikipedia.org/wiki/Prostit..., with „Neo-abolitionism - illegal to buy sex and for 3rd party involvement, legal to sell sex“ (that´s once a word with Neo that is not evil)thereby making it illegal for the clients to buy sex and not criminalize the prostitutes. That´s an important approach away from victim blaming and slut shaming, the punishment of the female victims, and offender protection that is law in many other bigoted, conservative, sexist states, towards a more enlightened society. Critics like to claim that this would increase sexual violence and rape, but maybe just every sexual offender should be facing life imprisonment without any chance of probation, maybe including permanent chemical castration so that he can´t all the time happily masturbate to his snuff rape fantasies in his cell. Traditions and culture of exploitationAccording to the stereotypical calm, silent, mindful, and introverted Asian mentality, even the sex business is full of ceremonies, traditions, and elements that couldn´t have developed in other cultures with less focus on elegance and aesthetics. Of course, it´s still sick and disgusting, but at least it goes with the option for women to reach a certain status and adds art, culture, and class to the perverted mix. Talent and obsessionIt´s one of the greatest fiction without fantasy novels I´ve read, one of the rare cases when talent meets the lifelong interest of an author in a topic or culture and is distilled to something so amazing that it isn´t exaggerated to say that there might hardly be ever a similar novel written that has the same intensity in dealing with this theme.  Sociocultural impact of prostitutionWhat´s more bigoted, letting it all seem shiny, noble, and cultivated, hiding it or making it illegal or the open, direct, strangely still somewhat illegal, Western way? There is so much behind this, parts of it already mentioned in „Prostitution by region“, and it would take far too long to mention all the complexity, and especially misogyny, behind it. And who is causing and promoting it for millennia, and I don´t mean the male sex drive alone, but to what institutions, that make sex and love punished, abolished, or dominated by crazy, stupid rules full of sexism, hate, and misogyny, its degeneracy has mutated. The faithful creating hell on Earth for multi k years since the neolithic, first agricultural revolution to install bloody dictatorships, what a slogan.  DrugsI don´t know if there are hidden implications and innuendos about Western trade traditions, especially how to get bestselling products into the Chinese market,https://en.wikipedia.org/wiki/Opium_W...I don´t get, but it seems quite probable that there is something deep lurking in the big history meta background. However, even without that, and me overanalyzing and seeing things that aren´t there as if high as heck, it´s always a great trope to get someone insane in the membrane to get the plot started, show ones´ brain on whatever, and how people slowly fall to pieces. Subjective insecurityThis is absolutely not my genre, so my impression and subjective review might be more than incompetent regarding established rating standards, but I definitively like this different, character focused style of storytelling that teaches much about foreign cultures. Hopefully, the writer did his research and it´s accurate, because some reviewers seem to be critical regarding this fact. But, as said, I am an absolute amateur in reading protagonist´ focused stuff and just loved the show.Tropes show how literature is conceptualized and created and which mixture of elements makes works and genres unique: https://tvtropes.org/pmwiki/pmwiki.ph...",241,-0.4637,0.135,0.736,0.13,0.528479125041625,POSITIVE,0.9999
5,2580115251,11/03/2018,5.0,"This book was wonderful. I absolutely love the movie, which I now need to watch! In many ways, this was a sad story for me. I would really like to read a biography of a geisha and watch a documentary to really look into their world. 
We lead our lives like water flowing down a hill, going more or less in one direction until we splash into something that forces us to find a new course.
Happy Reading! Mel 🖤🐶🐺🐾",219,0.9429,0.036,0.754,0.21,0.4841750841750842,POSITIVE,0.9924
6,696542099,08/16/2013,5.0,"I became fascinated with Japanese culture when I was a teenage girl and since then I have read many Japanese-related books and articles and have watched many movies and animes that depict parts of Japanese culture but the fact remains that I am not Japanese, I have never been to Japan and I am a foreigner, captivated by this exotic and very different culture.As a foreigner, I see many beautiful and unique aspects to Japanese culture but I also know about certain painful historical facts such as treatment of women in certain eras of Japan. My point is, I don’t want to discuss accuracy of this book regarding Geisha life. I am not Japanese and I am not a historian and therefore, I am not qualified to judge. So I keep my opinion and impression Geisha to myself.It appears that this story is based on the life of a certain geisha, but the author clearly states that both the story and characters are fictional and I am going to stick with that.I admit that I was disappointed when I realized that this turned out to be fiction, only and only because I had been told otherwise by author himself while reading the preface. I mean, what’s with the contradiction? I couldn’t understand the pretense. Why pretend this is a real story when it’s a beautiful fiction? What’s wrong with fiction? I admit, as I reached the end of the book, I came to realize why the author tried to portray this story as a real life story when writing the introduction but I will write about that later.I liked the writing style. Some people may find it pretentious but I understood that this is an attempt to write as close as possible to Japanese style of writing and story-telling and to seem poetic. The writing also helped me to see the world through Chiyo’s eyes and better understand her mind. I should mention that Chiyo and Sayuri are the same person.Some people may say, parts of the story drag on and on and yet nothing important happens. I quickly get bored but I couldn’t put this book down once I had started reading and I had already seen the movie years ago. This is not a perfect book but it is an amazing one. Little Chiyo simply captivated me with her story.I wanted her to survive, to fight and to find happiness. There isn’t a single character in this story that I actually hate. They are all different human-beings with flaws of their own that struggle to survive and get by their hard lives. Some choose to do so by crushing others and some choose to do so by fighting their way through and lending a helping hand when they can.I might have had a few explosions regarding treatment of women and the way chiyo’s mind operates if I didn’t know Japanese culture at the time of this story well enough. I have Japanese friends, so I know what I am talking about it.Chiyo is quite young when she falls in love with a man much older than her, too young in my opinion to fall in love but I understood her feelings. The moment she meets the love of her life, Chairman, is a turning point in her story and happens to be my most favorite part.Yes, she focuses her entire life on reaching this man. As a woman, I would have liked her to have bigger goals and dreams of her own and for example, seek freedom or independence but when I think about her situation, her education and upbringing, I get her.Chiyo is a slave, being trained for the sole purpose of pleasuring men. Men that mean nothing to her and are like alien beings. Up to this point, not a single person has shown her any kindness without ill intentions and when she is about to lose her faith in humanity, a man appears out of nowhere and shows her true kindness. Finally, a man means something to her. One of these men that she is supposed to serve has a face and value to her. I am not surprised she made it her life-purpose to reach him. I would have liked her to interact more with him during the course of the story but it wasn’t really necessary. Chairman was the man SHE wanted and SHE desired for herself. Considering her life, that was a big goal. And I didn’t really need to know more about Chairman. He was the symbol of true kindness. Her dedication to reach him was moving and touched me very deeply.As I said before, during parts of this story, nothing important really happens, but I was eager to learn more about Geisha life. The author is obviously well-informed and has done his research. The story was interesting enough. All characters seemed real and relatable. I even liked Hatsumomo! And even though I wanted Chiyo to reach the love of her life and therefore happiness more than anything, I liked Nobu a lot too. He was a great man but it’s not like we can change our emotions or how we feel about different people and their behaviors whenever we want to. I could feel Sayuri’s misery and fear as she had to make decisions that would ultimately hurt people dear to her, from Pumpkin to Nobu. Sayuri is simply human. She too acts selfish and neglects her friends. I don’t blame her but I wish she had acted differently at certain times, at least regarding poor Pumpkin.I also clearly felt the touch of war and the darkness that spreads over hearts and souls at such a time. The fear, pain and misery as everything changes and there is no longer any certainty to the future.I was touched by the relationship between Chairman and Nobu, even though it was only behind the scene and between the lines. Once you think about it, it was a very deep and touching bond. Although poor Sayuri had to suffer because of this very bond, I understood why Chairman had to act the way he did.The only part of the book that made me laugh and shake my head at the author, the AMERICAN author, was the part regarding American soldiers throwing candy at children. It was mentioned abruptly and I found it very funny. Two nuclear bombs and this is what Sayuri comments about. Yes, I am sure American soldiers weren’t as scary as they were supposed to be but they were still invaders. It takes time for certain wounds to heal. It’s not about American soldiers. It’s about war, invasion and loss!At the end, this is not a fairy-tale. I am a fan of fairy tales and I firmly believe in happy endings. Ironic, since in real life, I am very realistic and even cynical. But when I open a book, I want happy endings. Somewhere along the way, I had started to dream of a fairy-tale style happy ending for little Chiyo and reading the last pages of the book left me a little sad. That’s why as I mentioned above, it was after finishing the book that I understood why the author has tried to sell this story as a real one. All throughout the book, the story tries to remain realistic(Which is why sometimes nothing really happens) and it's important to remember this, when reading the bittersweet ending, Otherwise, the ending might feel a little unsatisfactory and even rushed. But the truth is, the bittersweet ending was still a happy ending, just a realistic one. Still, I wasn’t 100% happy with it. I agree that the author could have done better just by adding 50 pages or so.In conclusion, this is the beautiful story of a little innocent girl as she fights her way through life and hardships in an unfair society and struggles to reach her loved one and have a reason to simply wake up every day and live. This is not a fairy tale but it does contain certain elements of those tales therefore this book is not for everyone, but I really enjoyed it and find it very memorable and special.",191,0.9993,0.098,0.715,0.187,0.5657687864175206,NEGATIVE,0.9643
7,373260057,07/20/2012,5.0,I read this a long time ago ---(a favorite) --- Its amazing a 'male' wrote this book. (sure 'felt' like a female speaking). ,183,0.743,0.0,0.73,0.27,0.5759259259259258,POSITIVE,0.9949
8,1121214538,12/02/2014,4.0,"Well, I finally got around to this one. & I think I understand its fan base and its subsequent literary worth; it was the ""Gone Girl"" of the 90's. (Only in popularity.) This time, the fairy tale (with ""Girl"" it seems as if we're more comfortable with the cautionary tale in the 10's) has a Cinderella and many suitors after her. It is absolutely immersive... a page turner that has as many colors as a used-up coloring book. I see the geisha in that light: like La Marilyn, the geisha are symbol of tragedy and misplaced youth and beauty.The plot is orchestrated in that well-intentioned Great Novel tradition. A Great Expectations-meets-Great Gatsby novelty item that's as pure as winter's snow, that shimmers & attracts the senses like a ruby from some volcano deep in the Pacific. Metaphors and similes are very effectively used here, & their dual purpose is clear: it tells the life story in a very non-nebulous manner, in clear, concise, not-to-be-misconstrued mode; and the words seem authentic enough to evoke an actual geisha-- it is her telling you her memoirs, sitting there with you, drinking tea.Also, Hastumomo, in the role of ugly stepsister, is an adversary from hell. Grrrreat character! Too bad she leaves the narrative at too-crucial a juncture (the anticlimax meaning, then, the immediate displacement of anything that did not fit into the societal standards from the board... Lame!). She is a worthy nemesis to our heroine--as voracious for fresh meat as a Great White. The feud between them two is the centerpiece of this Fanny Hill-like tale, this enormously feminist (?) text. For in Gion, Japan, the geisha are treated like a lot of women have been, like objects, pawns, or even disembodied ideas.",160,0.9782,0.069,0.771,0.16,0.5695238095238094,POSITIVE,0.998
9,2533126039,09/17/2018,5.0,"This was one of the best-written books I have ever read. There was something so special about the writing style, I can't really put it into words. It was just so ""fitting"" and transported me right into this fascinating world. I knew absolutely nothing about the Geisha tradition going into this book, and I feel like I've learnt so much! It is extremely evident that the author did a lot of extensive research and clearly appreciates the Japanese culture. I never would have guessed that I could become so invested in the life of a single girl, who is growing up in a country I don't have any connection to, and who is living a lifestyle I've never thought all too much about before.I thing the exquisite writing style is what truly makes this book. Of course the plot is interesting as well (especially if, like me, you don't know anything about all the work that goes into becoming a Geisha), but without  Arthur Golden's wonderful storytelling it would have been only half as good. He made me feel things I wouldn't have felt otherwise. He managed to make even the most mundane things sound exciting and interesting. I especially need to mention the fact that there were many things happening I would have found disgusting and appalling under different circumstances (this is not a critique on the book itself; these situations are realistic and an attribute to the time period the book takes place in). However, the author pulled me so far into the story and had such a beautiful way of describing things, that I just couldn't bring myself to be angry at anything.All in all, this was an absolute perfect book to me. If I were to teach a writing class, I would definitely choose this novel as an example on great storytelling. It deserves all the hype and acclaim it gets.",162,0.9864,0.048,0.796,0.157,0.6226190476190475,POSITIVE,1.0
