,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,765943,04/17/2007,5.0,"most of us have heard of this controverisal book. it takes an open minded person to read this and to remember it is just fiction. but it brings up a lot of important questions about the Christian church, and the loss of paganism and the respect of the Goddess or the Woman. I don't care if I am the only one who likes this book. it is my own truth, and i will think what i want to think. Dan Brown didn't LEAD me or anyone else. he OPENED our minds. simply and importantly...he was just a catalyst for different thinking. that is a good thing...poorly written or not.if you finish the book you will notice that Dan Brown even makes it clear to readers through his characters words, that he doesn't want to destroy christianity because it has done so much good for so many people, and if it works for them, let's let them continue to do what works for them. but find your own path. if you were or are a Christian ask yourself about the topics in this book. They are so eye opening. Jesus having a baby? totally possible...never thought of it before. never thought of it. is it true? who knows. Things like this are happening all the time today...Weapons of Mass destruction in Iraq? sound familiar? Maybe the church repressed information LIKE this because it was a threat to the church. totally possible. The catholic church creating the biblical canon with a political agenda to wipe out paganism? actually this seems to be a fact. women being oppressed due to the fear of religous zealot men in power losing their power...never looked at it that way. but this seems to be a fact too. is it helpful in broadening my perspective of the fact that christianity is just a religion made by fallible people. it sure is. does it open my mind to other faiths like paganism, judiasm, islam, bhuddism, and want to take the truths from all of them, and then THINK FOR MYSELF and figure out my own truth. it sure does...and that is what this book has probably done for many other people. why do you think Dan Brown's book was on the bestseller list for so long...and became a movie...obviously it was doing some good.",810,0.9888,0.077,0.757,0.166,0.5357266865079365,NEGATIVE,0.9846
1,683649155,08/01/2013,4.0,"(A-) 80% | Very GoodNotes: Excessive exposition and ludicrous writing discolor an otherwise captivating, thought-provoking, page-turning read.",528,-0.3612,0.143,0.857,0.0,0.6499999999999999,NEGATIVE,0.6334
2,3181304,07/17/2007,1.0,"This is a pretty formulaic page turner, a fun quick read. Written at about the level of the average Nancy Drew mystery, it is best appreciated at that level. As far as the content, there are howlers on virtually every page (starting with the hero who looks like ""Harrison Ford in Harris tweed"" and is a ""Professor of Religious Symbology at Harvard"" -- good work if you can find it). You have to ignore very pulpy, cheesy writing to enjoy this romantic thriller.Intended as a book that a dedicated reader could finish in a day, or something you take to the beach and casually finish in a weekend, The Da Vinci Code makes for a reasonable airline novel, so much so that it is often a bit clunky in its desire to ensure that no intellectual effort on the reader's part will be required. Here's a recurring example in this novel: a bit of unfamiliar terminology, say ""crux gemmata"" (jeweled cross) will will be explained on page N, then on page N+1, a character will finger his jeweled cross and explain, ""Oh, yes -- this is a crux gemmata."" I've read dinner menus that were more demanding on the reader. My wife and I both read about a third of it in a day, sharing the same copy, and that's a full work day plus taking care of kids, bedtime, etc. That's also a kind of virtue, I guess -- it's fast and peppy.As far as history goes, Dan Brown apparently thinks that ""most historians"" give credence to the hoary forgeries and frauds promoted in sensationalist best-sellers like Holy Blood, Holy Grail. This author gets the best of both worlds: simultaneously claiming that ""it's just fiction,"" while introducing the novel with claims that the historical record contained within is ""fact."" That claim is ridiculous. To pluck a random example, he spends some time talking about the Council of Nicaea, and incorrectly summarizes it as the origin of the doctrine of Christ's divinity by Constantine. He ignores the Arian controversy out of which it arose, which is like trying to explain the Treaty of Versailles without mentioning World War I. He ignores the documented fact, agreed upon even by the cheerleaders of the gnostics that he is sympathetic to, that the earliest gnostic doctrines held that Christ was *purely* God, and not really man -- the very reverse of the doctrine that serves as the linchpin of his novel's intellectual base (such as it is). This is a bad novel for weak or misinformed Christians, but anyone familiar with history should spot the train wreck of Brown's ideas a mile off.Oh yes, and in Brown's world, Opus Dei has shadowy assassin ""monks"" (in real life, Opus Dei is not a monastic order -- there are no Opus Dei monks, let alone trained assassins), and the Catholic Church has been promulgating known lies as its central dogmas, promotes violence throughout the world, and has been retarding the progress of science and knowledge for 2 millennia. Brown leaves the reader with the impression that this, too, is a matter of settled historical record. Oh, but then again, it's just fiction. Except when it's not.In general, if you're looking for a heady thriller wrapped around Christian arcana, I'd recommend Umberto Eco's excellent The Name of the Rose, not this dumbed down, by-the-numbers novel.",318,0.9898,0.06,0.788,0.152,0.4570230607966457,NEGATIVE,0.9752
3,73281413,10/03/2009,5.0,"The Da Vinci Code (Robert Langdon #2), Dan BrownThe Da Vinci Code is a 2003 mystery thriller novel by Dan Brown. It follows ""symbologist"" Robert Langdon and cryptologist Sophie Neveu after a murder in the Louvre Museum in Paris causes them to become involved in a battle between the Priory of Sion and Opus Dei over the possibility of Jesus Christ having been a companion to Mary Magdalene.عنوانهای چاپ شده در ایران: «رمز داوینچی»؛ «راز داوینچی»؛ نویسنده: دن براون؛ تاریخ نخستین خوانش: سال 2007میلادیعنوان: رمز داوینچی؛ نویسنده: دن براون؛ مترجم: نوشین ریشهری؛ تهران، نگارینه، 1384، در 336ص؛ شابک 9647533764؛ چاپ سوم 1385؛ موضوع داستانهای نویسندگان ایالات متحده آمریکا - سده 21معنوان: راز داوینچی؛ نویسنده: دن براون؛ مترجم: حسین شهرابی؛ سمیه گنجی؛ تهران، زهره، 1384، در 462ص؛ مصور؛ شابک 964570340؛ چاپ هفتم 1385؛ چاپ دیگر: تهران، علم آرین، 1384؛ در 462 ص؛ شابک 9649582541؛عنوان: راز داوینچی؛ نویسنده: دن براون؛ مترجم: مریم بهرامی؛ تهران؛ بهزاد، 1385؛ در 571ص؛ شابک 9642569264؛صهیون، نام خرابه های قلعه ای در «سوریه»، و نزدیک «لاذقیه» است، در زمان «اسکندر»، «فنیقیان»، چهارصد سال پیش از میلاد مسیح در آنجا مسکن گزیدند؛ در سال 1119میلادی، به تصرف «صلیبیون مسیحی» درآمد، سپس «صلاح الدین ایوبی»، در سال 1188میلادی، آنجا را فتح کرد؛ همچنین کوهی است، در جنوبغربی «اورشلیم (بیت المقدس)» که معبد را روی آن بنا کرده اند، و در آن «مسجد الاقصی» و «قبه ی صخره» است؛ گاهی «بیت المقدس» را به این نام خوانند؛ از فرهنگ معینکتاب «رمز داوینچی» ترجمه خانم «نوشین ریشهری»، با پاراگراف بالا آغاز شده، «رابرت لانگدون»، سمبل شناس و استاد دانشگاه «هاروارد»، و «سوفی نی وو» نقش آفرینان رخدادها هستند، دل انگیز بود، کتاب با نام «راز داوینچی» و با ترجمه جناب «حسین شهرابی» و بانو «سمیه گنجی» در انتشارات زهره، و با ترجمه بانو «مریم بهرامی»، در نشر بهزاد، نیز منتشر شده استماجرای داستان به یک تئوری ویژه، درباره ی تاریخ «مسیحیت» برمی‌گردد، که پیش از این کتاب نیز، در موردش نوشته هایی نگاشته شده، و تاریخ‌دانانی با آن موافق هستند؛ کتاب «خون مقدس، جام مقدس»، منبع اصلی «براون»، برای این تئوری‌ها بوده ‌اند؛ طبق این تئوری، «عیسی مسیح» با «مریم مجدلیه» ازدواج کرده‌؛ و صاحب فرزند شده ‌است، و کلیسای کاتولیک، و «واتیکان»، با آگاهی از این قضایا، برای پنهان کردن آن‌ها کوشیده ‌اند؛ در ضمن «جام مقدس»، نه یک شیئ، بلکه خود «مریم مجدلیه» است؛ تئوری‌های دیگری نیز، در این کتاب وجود دارند؛ که «لئوناردو دا وینچی» همجنس گرا بوده، و نقاشی معروف «مونالیزا»، در واقع پرتره ی «داوینچی»، از خودش به شکل یک زن است؛ داستان کتاب، در کشورهای «فرانسه» و «بریتانیا»، و در اماکن نام آشنای این دو کشور، رخ می‌دهند؛ (همانند «موزهٔ لوور» و صومعه‌ ای که به «صومعه برهنه» موسوم است، و همچون نقاشی مشهور «داوینچی» از آناتومی انسان ژست گرفته، و پیغامی رمزی نیز در کنارش نوشته شده ‌است)؛ پنج ماه پیش از آغاز داستان، «واتیکان» به اسقف «آرینگاروسا»، رهبر فرقه ای مسیحی تندرو، و مبتنی بر ریاضت‌های سنگین جسمانی، موسوم به «اپوس دئی (یعنی: کار خدا)» اعلام می‌کند، که می‌خواهد دست از حمایت از آن فرقه بردارد، و بیست میلیون یوروی اهدایی فرقه را هم، پس خواهد داد؛ فردی موسوم به «استاد»، که در اصل قصد تخریب وجهه ی کلیسا، و «اپوس دئی» را دارد، به اسقف پیشنهاد می‌دهد، در ازای بیست میلیون یورو، جام مقدس گمشده ی «عیسی» را، در اختیارش بگذارد، تا «اپوس دئی» قدرت و محبوبیت پیدا کند؛ ولی در حقیقت، با استفاده از یکی از نیروهای اسقف، به قتل اعضای دیر صهیون، که مخالفان قدیمی کلیسا، و حافظان جام مقدس هستند، می‌پردازد، تا خودش بتواند جام را به دست بیاورد؛ «استاد اعظم دیر صهیون»، که رئیس موزه «لوور» است، پیش از مرگ، اسرار یافتن جام را، به نوه ‌اش «سوفی» گفته است، و از او خواسته، از دانشمندی «آمریکایی» به نام «رابرت لنگدان»، که در نمادشناسی مذهبی، و باستان‌شناسی تواناست، یاری بخواهد؛ این دو، با وجود پیگیری بی‌امان پلیس، و نیروهای «استاد»، مرحله به مرحله، به «جام مقدس» نزدیکتر می‌شوند، و در این راه، از یک تاریخ‌دان «انگلیسی» به نام «تیبنیگ» هم، یاری می‌گیرند، نهایتاً «پرنسس سوفی»، خانواده گمشده ‌اش را پیدا می‌کند، و «لنگدان» هم جام مقدس را؛ و تازه آن دو همدیگر را نیز پیدا می‌کنندتاریخ بهنگام رسانی 03/06/1399هجری خورشیدی؛ 15/05/1400هجری خورشیدی؛ ا. شربیانی",285,-0.6808,0.011,0.983,0.006,0.0,POSITIVE,0.9972
4,1194579,05/13/2007,1.0,"A thriller devoid of pacing or exciting language. A mystery devoid of clues, foreshadowing, or facts. A tell-all of half-truths based upon a forged document written by a schizophrenic conman. A character-driven modern novel devoid of character. The second draft of Angels and Demons. Page-turning action thanks to the literary equivalent of pulling out at the moment of orgasm. A spiritual awakening built on new-age conspiracy theory. This book is many things, and none of them good, new, or interesting. However, it is an excellent litmus test for idealistic delusion.Upon the first reading, I must admit I found it a bit interesting, but then I turned the final page, and there was no bibliography. No explanation of how the author became familiar with all the concepts he claimed to 'faithfully portray'. He wrote this book and pretended it was a history book, and then refused to support it in any way. And any history you can't check up on is a bad one. He's no better than James Frey. In fact, he may be worse, since I know people who base their religious beliefs on this book, whereas Frey's only crime was wishing he was Scarface. And really, what macho thirtysomething male doesn't?Brown had good reasons for hiding his sources: they were forged by con-man Pierre Plantard and snuck into the Bibliotheque National in Paris back in the seventies. And it's not like Plantard got away with it, either--the whole 'Priory of Sion' thing was debunked thirty years before this book was even written.The artistic 'iconography' that figures heavily into the mystery is also completely made-up, and was declared ludicrous by an art history professor of my acquaintance. There are a lot of well-known symbols and allusions in classic art, but none of them resemble Brown's claims. The whole hinge on which the plot turns--the notion that an inverted triangle is automatically symbolic of women--makes about as much sense as declaring that the use of the swastika by 3rd century, BC Buddhists was proof that they were fascists.The rest of Brown's book is filled with the sort of cliched religious conspiracies you get from your first year as a theology student. Not only that, but these conspiracies were already explored by better writers in 'Foucault's Pendulum' and the 'Illuminatus! Trilogy'.Well, I've already done more legitimate historical research on this review than Brown did in his whole book, so I guess I'll call it a day.",235,-0.9005,0.092,0.833,0.076,0.4258234519104083,NEGATIVE,1.0
5,31092669,08/24/2008,3.0,"OKAY PEOPLE…someone let me in on the gag because between the cries of ""Greatest Book of Greaty Greatness EVER"" and the screams of ""Lamest Load of Lamey Lameness EVER"", my itty bitty brain is left very… 

So post Hype-a-ganza, I finally got around to reading this popular, polarizing, pop culture icon and thought it was….drum roll……………………FINE(sigh). It was a solid read with a slight lean towards the “eh” side of MEH and few moments of genuine “that’s neat.” I don’t see all the love and I don’t see all the rage. Other than the obvious religious flavor of the content, it reminded me of your typical page-turning, popcorn beach read and I thought it accomplished its goal in decent, if unremarkable, fashion. Now I have a strict “don’t ask, don’t tell, don’t mock, don’t preach” approach when it comes to religiousness so I am going to ignore the bird-flipping Vatican bash aspects of the story, though I can certainly see people on both sides of the fence having “epic rah rah” or “epic fail” reactions and I respect that. For me, it didn’t move my needle much in either direction beyond my fondness for the “big hidden history mystery” which is something I generally really enjoy. The plot of this one has been talked to death and beyond so rather than adding one more jelly bean to the jar, I thought I would just run down a few likes and dislikes about the story and leave it at that. 
TURN ONS
1. Conspiracy theories: are just fully fun and I am a major sucker for plots concerning “shadow” histories and secret people doing secret things behind secret doors for reasons that are SHHHHHHH. I love a good conspiracy. Find me a rumor involving  Kim Kardashian being a Bilderberger and using a secret banking pipeline running from Area 51 through Microsoft to the Saudi Royal Family and laundering vast monies to be used to coordinate the sale of Boise, Idaho to a mysterious consortium headed by  Jay Z and Justin Bieber who will then turn the city into a giant quasi-government facility used for the testing of alien “cloning” technology………….and I am glued to my seat and ONE HAPPY FELLA. 2. Knights Templar: As much as I love conspiracies in general, when you throw the Knights Templar into the mix, it’s gonna perk me up better than a latte enema. I am always in favor of having them show up as a lynch pin to any massive global plot. The Knights Templar are like caramel on ice cream and just make a good conspiracy better. I had a lot of fun with the rehash of the Templar’s place in the center of EVERYTHING. 3. Symbology, Da Vinci and the Holy Grail (the IDEA): I thought the major plot components themselves were interesting and I enjoyed following the hidden clues, messages, riddles and the tie in to all of the famous historical artifacts. It was fun. I also liked the “historical significance” of the search (i.e., the “big reveal”) and the implications to the world if revealed. 
TURN OFFS
1. Symbology, Da Vinci and the Holy Grail (the EXECUTION): As much as I enjoyed the plot concept, the execution of the story was often frustrating and occasionally insulting. I’m not talking about the clunky, “serviceable at best” prose as that’s gotten enough play without my squirting lighter fluid on the bonfire. My issue is more with Dan feeling the need to “spoon feed” me details about his “oh so clever plot” so that my economy-sized brain could grasp it. 

For example, there would be a “reveal” that I thought was interesting….and then Dan would exhaust me with explaining EXACTLY what that meant and EXACTLY what the implications were and make sure I knew EXACTLY what he had told me. I get it Mr. Brown, heard you the first time. 2. THRILLer killing amounts of PLOD: For a page turning, actiony thriller, there was just too much sideways movement of the plot and some really unnecessary amounts of plod to the narrative. Part of this has to do with the excessive “hand holding” Dan does with his audience mentioned above. However, there are also WAY too much time spent slowing down to take a look around and where we are and where we’ve been. I started getting the impression that Brown was trying to hit a particular page count for the book and didn’t have anything but filler to loan the pages with. This is never a good thing for this kind of story. 3. The End: Not a big fan of the final resolution of the story and I found it very un climaxy and a bit of a let down. Once we have the big reveal, very little new information ever really got added to the picture and I felt like my curiosity should have been stroked a few more times than it was in the home stretch. This lack of satisfying climax left me with a serious case of “blue brain.” Still, overall, this was a good, serviceable mystery-thriller that seems tailor-made for a warm afternoon on the sand. It isn’t great literature, or even good literature, but it is a good thriller, a good concept and, for the most part, fun. It seems to accomplish pretty much exactly what it set out to do. 2.5 to 3.0 stars.",213,0.9968,0.047,0.829,0.124,0.4736566039663388,NEGATIVE,0.9818
6,258114122,01/07/2012,5.0,"5 stars to Dan Brown's The Da Vinci Code. Most folks have seen the movie and probably not read the book. What a loss for them! That said, I know a lot of people don't enjoy Brown's books, believing he is too commercialized and over-exaggerated in his style. While I can understand why someone may think that, I don't agree. I love the complexity of the story, the reality and the fiction, the test of character strength, the puzzles, the different view points. It completely absorbs me... so I fall into the category of those who love him and this style of writing, even if others think his writing isn't fantastic. Doesn't mean I don't love the more classic and richly written novels where it's the imagery and the words that win out, too.I had never heard of Dan Brown in his early years. I heard about the movie being made of the book and how it was coming out relatively soon. I looked it up and saw it had the ""treasure-hunter"" thrill appeal and decided to read the book before the movie could come out and warp my interpretation. So glad I did!It's addicting. Growing up Catholic, I knew most of the religious detail, but once it weaved it art, literature, history and philosophy, I was just enamored with the story. Could it really be true? Maybe I'm related to Adam and Eve too! Ok, let's not get too crazy...Magnificent story-telling. Quick adventure. Beautiful scenes and images. Brown exhibit's intensely good control weaving back and forth between each of the plots, sub-plots and mini-plots. It's as realistic of a treasure hunt as one can get if you are not an adventurer, archaeologist or exhibition-junkie.But what took it to the next level for me was the amount of detail included for every component. It's the intricate of the intricate, relying on pure puzzles to move the story forward. Each new puzzle creates its own spark of drama directing readers to challenge what they do and do not know about Jesus, Mary Magdalene, languages, culture, locations, etc.It hits so many different waves of appeal that I felt it was at the top of its game. And it probably only edged out Angels & Demons because of how tight this story was. Definitely a must-read for the genre, for Brown and before watching the movie adaption.",185,0.9862,0.038,0.841,0.12,0.5020463089542037,POSITIVE,1.0
7,25234507,06/23/2008,1.0,"I downloaded the book and put it on my ipod and began to listen to it on a long road trip. I found it engaging and the plot twisted and turned, jumping from scene to scene, back and forth in time. Really kept the reader on her toes. I'm not sure if I liked it, the writing style was pretty crude, but it kept me thinking.About an hour into listening I realized that the ipod was on shuffle mode and in fact all the chapters were being shuffled. I groaned and started over. When played in a linear fashion I found it to be one of the mindless things ever.",179,-0.35,0.084,0.854,0.062,0.6888888888888889,NEGATIVE,0.9999
8,977314047,06/25/2014,1.0,"No, I am not! No, I am not going to write a review about this piece of nonsense just because I had yet ANOTHER of those incredibly annoying conversations (in a bookstore to top it off!). No, I am not.Oh, for goodness sake! It is NOT a great book to broaden your cultural horizons, and whatever the humbug mentioned on Leonardo - it is NOT equivalent to reading a book researched by a REAL art historian, - which is something entirely different from a blind-folded arrogant gold digging bestseller author. It is not a well-written, exciting thriller. It is Brown in Wonderland, minus the humour, the wit and the beautiful language of the Wonderland Alice visited, and minus the credible plot.It is not something a bookworm like me HAS to read! Okay? Once and for all, no!""Lisa, you as a book lover and art historian must love Dan Brown!"" No! Period. I don't. I read three ... THREE! ... of his arrogant idiocies posing as novels. I DON'T love him. It makes me furious to get the question, over and over:""How much of what he discovered on Leonardo is true?""I did not write a review, I hope. It would have been a bad one. Let's forget it.",176,-0.9239,0.187,0.701,0.112,0.5333333333333332,NEGATIVE,1.0
9,2320539158,03/08/2018,4.0,"Alternate history, uchronias, and indirect criticism of faith and ideology combine to one of the most successful thriller series of all times. Everything was already on the table, many authors had dealt with the different ideas Brown is mixing together, and finding and recombining conspiracy theories isn´t that complicated. It´s the mix of different topics that interest many people stirred together that make it entertaining for the ones who like art or thrillers, for atheists and religious people, for the ones interested in plot or characterization, it´s just difficult to find someone who would immediately say that she/he isn´t interested in one of the plot vehicles. It doesn´t just relativizes general history, but religious and political history in a way that makes it a prime example of the fact that history and holy texts are written by the winners. Widening the range, questioning the status quo, and making people skeptical regarding omniscience, commandments, and whatever is something of huge importance and Brown did more than Richard Dawkins and Christopher Hitchens combined and multiplied could have done in centuries by reaching so many people and making them think about the legitimation of any kind of belief.Imagine many people would start writing fanfiction like that about different religious texts, expanding universes with new and alternative prophets, letting the whole thing collapse into a parody of itself within years.I tend to equate religious, economic, and political science texts for the simple reason that, as soon as there is one more truth, or in hard science, formulas and equations, the others or even the own one must the wrong. The more open criticism and sarcastic to profound interpretations of all those one hit wonders are made by sophisticated, young people, the less power all of those charlatanries can generate in their stupid quest towards the one and only variation of reality they want to establish. Blasphemy in a (view spoiler)[ Why can´t JC have a daughter, what´s your problem dudes? It´s so ridiculous, if any prophet would be a woman or, gosh, a lesbian (or even a gay male prophet), they would of course completely freak out even more. (hide spoiler)] A wiki walk can be as refreshing to the mind as a walk through nature in this completely overrated real life outside books: https://en.wikipedia.org/wiki/Critici...https://en.wikipedia.org/wiki/Critici...",175,-0.7831,0.103,0.799,0.098,0.5462183649683648,POSITIVE,0.9994
